# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_D08_058_2018_2 -               10     976       6     966       3     966    1491    +           0 1187.8  21.4  -
Bacillaceae               -          LKAP-TSAKG2_D08_058_2018_2 -               11     982       7     966       2     966    1493    +           0 1104.2  21.3  -
Bacillales                -          LKAP-TSAKG2_D08_058_2018_2 -               17     989       6     966       3     966    1503    +           0 1101.4  21.5  -
Staphylococcaceae         -          LKAP-TSAKG2_D08_058_2018_2 -               12     976       6     966       2     966    1479    +           0 1089.4  21.1  -
Listeriaceae              -          LKAP-TSAKG2_D08_058_2018_2 -                6     962      15     966      10     966    1448    +           0 1079.4  20.9  -
Carnobacteriaceae         -          LKAP-TSAKG2_D08_058_2018_2 -               10     979       6     966       2     966    1496    +           0 1070.6  21.6  -
Enterococcaceae           -          LKAP-TSAKG2_D08_058_2018_2 -               10     984       6     966       2     966    1498    +           0 1056.3  21.5  -
Sporolactobacillaceae     -          LKAP-TSAKG2_D08_058_2018_2 -               10     973       6     966       2     966    1503    +           0 1055.9  21.4  -
Aerococcaceae             -          LKAP-TSAKG2_D08_058_2018_2 -               10     979       6     966       2     966    1473    +           0 1052.4  21.4  -
Paenibacillaceae          -          LKAP-TSAKG2_D08_058_2018_2 -               11     981       6     966       2     966    1493    +           0 1034.0  21.2  -
Lactobacillaceae          -          LKAP-TSAKG2_D08_058_2018_2 -               13    1007       6     966       3     966    1522    +    5.4e-307 1017.1  21.4  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_D08_058_2018_2 -               18     978       6     966       3     966    1495    +    6.4e-305 1010.4  21.7  -
Peptococcaceae            -          LKAP-TSAKG2_D08_058_2018_2 -               17     952       6     966       2     966    1479    +    2.5e-292  968.2  23.0  -
Alicyclobacillaceae       -          LKAP-TSAKG2_D08_058_2018_2 -               30     982       6     966       3     966    1512    +    1.9e-284  942.6  21.6  -
Clostridiaceae            -          LKAP-TSAKG2_D08_058_2018_2 -               24     955       6     966       2     966    1485    +      2e-283  938.7  22.7  -
Streptococcaceae          -          LKAP-TSAKG2_D08_058_2018_2 -               16     985       6     966       3     966    1497    +    6.7e-282  933.8  21.4  -
Eubacteriaceae            -          LKAP-TSAKG2_D08_058_2018_2 -               24     966       6     966       3     966    1485    +    3.7e-281  931.3  23.3  -
Leuconostocaceae          -          LKAP-TSAKG2_D08_058_2018_2 -                6     980       6     966       2     966    1479    +    1.3e-279  926.4  21.6  -
Clostridiales             -          LKAP-TSAKG2_D08_058_2018_2 -               17     959       6     966       3     966    1470    +    1.1e-277  919.8  22.9  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_D08_058_2018_2 -               16     963       6     966       2     966    1492    +      5e-277  917.5  22.7  -
Erysipelotrichaceae       -          LKAP-TSAKG2_D08_058_2018_2 -               15     960       6     966       3     966    1466    +    8.5e-277  917.0  22.1  -
Syntrophomonadaceae       -          LKAP-TSAKG2_D08_058_2018_2 -               27     992       6     966       3     966    1515    +    4.5e-276  914.3  21.7  -
Ruminococcaceae           -          LKAP-TSAKG2_D08_058_2018_2 -               10     957       6     966       3     966    1457    +    8.6e-267  883.6  22.7  -
Sporomusaceae             -          LKAP-TSAKG2_D08_058_2018_2 -               29     996       6     966       2     966    1535    +    6.7e-265  877.2  22.0  -
Thermoanaerobacterales    -          LKAP-TSAKG2_D08_058_2018_2 -               18     965       6     966       3     966    1472    +    6.8e-265  877.5  22.9  -
Peptostreptococcaceae     -          LKAP-TSAKG2_D08_058_2018_2 -               10     940       6     966       2     966    1441    +    8.4e-265  877.0  22.9  -
Selenomonadaceae          -          LKAP-TSAKG2_D08_058_2018_2 -               29    1004       6     966       3     966    1531    +    9.3e-265  876.9  21.6  -
Heliobacteriaceae         -          LKAP-TSAKG2_D08_058_2018_2 -               27     962       6     966       3     966    1500    +    5.2e-263  871.3  23.0  -
Veillonellaceae           -          LKAP-TSAKG2_D08_058_2018_2 -                7     965      23     966      19     966    1450    +    2.5e-258  855.5  21.7  -
Geobacteraceae            -          LKAP-TSAKG2_D08_058_2018_2 -               18     987       6     966       3     966    1487    +    6.8e-257  850.9  21.8  -
Brevibacteriaceae         -          LKAP-TSAKG2_D08_058_2018_2 -               20     962       6     966       3     966    1487    +    1.9e-256  849.3  22.3  -
Desulfovibrionaceae       -          LKAP-TSAKG2_D08_058_2018_2 -               25     988       6     966       3     966    1527    +    1.1e-254  843.6  21.8  -
Acidaminococcaceae        -          LKAP-TSAKG2_D08_058_2018_2 -               17     985       6     966       3     966    1504    +    1.2e-253  839.8  22.0  -
Thermoleophilaceae        -          LKAP-TSAKG2_D08_058_2018_2 -                3     967       6     966       4     966    1494    +    2.9e-253  838.8  21.8  -
Natranaerobiaceae         -          LKAP-TSAKG2_D08_058_2018_2 -                3     940      18     966      16     966    1429    +    2.7e-252  835.6  21.9  -
Lachnospiraceae           -          LKAP-TSAKG2_D08_058_2018_2 -               10     956       6     966       3     966    1469    +      8e-252  834.1  22.7  -
Halobacteroidaceae        -          LKAP-TSAKG2_D08_058_2018_2 -               18     967       6     966       2     966    1478    +      1e-250  830.3  21.4  -
Desulfuromonadaceae       -          LKAP-TSAKG2_D08_058_2018_2 -               27     997       6     966       3     966    1518    +    5.6e-250  828.1  21.8  -
Desulfobacteraceae        -          LKAP-TSAKG2_D08_058_2018_2 -               23     998       6     966       3     966    1516    +    4.2e-249  825.1  21.4  -
Deltaproteobacteria       -          LKAP-TSAKG2_D08_058_2018_2 -               26     998       6     966       3     966    1514    +    2.7e-248  822.5  21.6  -
Deferribacteraceae        -          LKAP-TSAKG2_D08_058_2018_2 -               17     976       6     966       3     966    1513    +    8.4e-248  820.7  21.8  -
Mycoplasmataceae          -          LKAP-TSAKG2_D08_058_2018_2 -                5     948       6     966       3     966    1467    +      4e-246  815.5  22.1  -
