# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Idiomarinaceae                   -          C0705_LKAP-FHGF1_D01_009 -               23     575       5     567       2     569    1466    +    7.3e-166  547.2  16.5  -
Ferrimonadaceae                  -          C0705_LKAP-FHGF1_D01_009 -               22     579       4     561       1     568    1475    +    2.3e-164  542.3  17.9  -
Aeromonadaceae                   -          C0705_LKAP-FHGF1_D01_009 -               35     584       5     562       1     569    1496    +    6.6e-163  537.4  17.2  -
Unclassified_Alteromonadales     -          C0705_LKAP-FHGF1_D01_009 -               23     571       5     563       2     569    1467    +    1.8e-161  532.6  16.6  -
Colwelliaceae                    -          C0705_LKAP-FHGF1_D01_009 -               24     572       6     565       2     569    1465    +    1.1e-160  530.3  17.0  -
Budviciaceae                     -          C0705_LKAP-FHGF1_D01_009 -               11     559       4     561       1     567    1483    +    4.4e-160  528.2  17.2  -
Hafniaceae                       -          C0705_LKAP-FHGF1_D01_009 -               17     563       5     561       1     568    1459    +    1.2e-156  516.8  17.3  -
Unclassified_Oceanospirillales   -          C0705_LKAP-FHGF1_D01_009 -               28     570       5     563       1     569    1483    +    1.9e-156  516.0  17.6  -
Psychromonadaceae                -          C0705_LKAP-FHGF1_D01_009 -               24     562       6     554       2     565    1467    +    4.7e-155  511.7  17.0  -
Moritellaceae                    -          C0705_LKAP-FHGF1_D01_009 -               39     588       6     563       2     569    1501    +    1.4e-153  506.6  17.0  -
Halothiobacillaceae              -          C0705_LKAP-FHGF1_D01_009 -               40     586       5     561       2     565    1501    +    8.5e-149  490.8  17.9  -
Microbulbiferaceae               -          C0705_LKAP-FHGF1_D01_009 -               23     562       5     561       1     568    1478    +    2.8e-147  486.0  16.6  -
Succinivibrionaceae              -          C0705_LKAP-FHGF1_D01_009 -               27     549       6     561       2     568    1474    +    3.5e-146  482.2  16.9  -
Litoricolaceae                   -          C0705_LKAP-FHGF1_D01_009 -               31     580       5     566       2     569    1474    +    1.9e-145  479.9  17.3  -
Alcanivoracaceae                 -          C0705_LKAP-FHGF1_D01_009 -               43     587       5     561       2     568    1504    +    3.4e-145  478.7  17.7  -
Thorselliaceae                   -          C0705_LKAP-FHGF1_D01_009 -                1     538      10     561      10     565    1419    +      2e-144  476.3  19.0  -
Cardiobacteriaceae               -          C0705_LKAP-FHGF1_D01_009 -               32     569       6     558       2     564    1462    +    4.2e-144  475.6  18.2  -
Celerinatantimonadaceae          -          C0705_LKAP-FHGF1_D01_009 -               19     566       6     553       2     564    1433    +    6.3e-144  474.8  17.3  -
Halieaceae                       -          C0705_LKAP-FHGF1_D01_009 -               30     569       5     561       1     565    1484    +    6.5e-144  474.7  17.4  -
Thioalkalispiraceae              -          C0705_LKAP-FHGF1_D01_009 -               36     584       5     561       1     564    1478    +    1.1e-143  473.8  17.9  -
Salinisphaeraceae                -          C0705_LKAP-FHGF1_D01_009 -               11     549       5     554       2     561    1432    +      6e-141  464.9  18.1  -
Spongiibacteraceae               -          C0705_LKAP-FHGF1_D01_009 -               26     560       5     555       2     564    1462    +    1.9e-140  463.0  17.8  -
Coxiellaceae                     -          C0705_LKAP-FHGF1_D01_009 -               22     569       5     554       1     563    1473    +    2.6e-140  462.8  18.1  -
Orbaceae                         -          C0705_LKAP-FHGF1_D01_009 -               51     583       6     552       2     565    1538    +    3.9e-140  462.0  18.3  -
