# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1120      10    1092       2    1100    1466    +           0 1135.8  10.8  -
Vibrionaceae_Photobacterium                      -          LKAP-GUTHK2_D08_058_2017_1 -               19    1113      11    1085       2    1097    1487    +           0 1078.0  10.6  -
Vibrionaceae_Aliivibrio                          -          LKAP-GUTHK2_D08_058_2017_1 -               43    1127      11    1085       2    1094    1474    +           0 1071.4  10.7  -
Vibrionaceae_Enterovibrio                        -          LKAP-GUTHK2_D08_058_2017_1 -               18    1112      10    1090       2    1099    1499    +           0 1042.4  10.7  -
Vibrionaceae_Grimontia                           -          LKAP-GUTHK2_D08_058_2017_1 -               18    1113      10    1085       2    1097    1493    +    3.1e-299  993.9  10.7  -
Shewanellaceae_Shewanella                        -          LKAP-GUTHK2_D08_058_2017_1 -               18    1105      10    1085       2    1097    1483    +    3.7e-297  987.1  10.7  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GUTHK2_D08_058_2017_1 -               14    1113       6    1085       2    1096    1475    +    8.7e-297  985.7  10.8  -
Yersiniaceae_Serratia                            -          LKAP-GUTHK2_D08_058_2017_1 -               23    1108      11    1086       2    1099    1491    +    1.9e-296  984.7  10.7  -
Erwiniaceae_Erwinia                              -          LKAP-GUTHK2_D08_058_2017_1 -               18    1109      10    1091       2    1100    1495    +    3.9e-296  983.9  10.7  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GUTHK2_D08_058_2017_1 -               33    1118      10    1085       2    1098    1517    +    2.8e-293  974.3  10.6  -
Erwiniaceae_Tatumella                            -          LKAP-GUTHK2_D08_058_2017_1 -               18    1103      10    1085       2    1097    1490    +    4.5e-293  973.6  10.7  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GUTHK2_D08_058_2017_1 -               24    1113       8    1087       2    1099    1499    +      5e-293  973.5  10.7  -
Hafniaceae_Hafnia                                -          LKAP-GUTHK2_D08_058_2017_1 -               19    1109      11    1091       2    1100    1463    +    6.6e-293  973.0  10.8  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GUTHK2_D08_058_2017_1 -               17    1099      11    1085       2    1098    1476    +    2.1e-292  971.4  10.7  -
Enterobacteriaceae_Escherichia                   -          LKAP-GUTHK2_D08_058_2017_1 -               18    1103      10    1085       2    1099    1480    +    5.7e-292  970.0  10.7  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GUTHK2_D08_058_2017_1 -                4    1086      18    1091      15    1100    1422    +    8.1e-292  969.5  10.4  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GUTHK2_D08_058_2017_1 -               38    1117      10    1078       2    1093    1532    +    1.8e-290  965.0  10.8  -
Yersiniaceae_Rouxiella                           -          LKAP-GUTHK2_D08_058_2017_1 -               45    1136       8    1089       2    1098    1551    +    1.6e-289  961.7  10.7  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GUTHK2_D08_058_2017_1 -                8    1089      12    1085       5    1097    1455    +    1.7e-289  961.7  10.6  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GUTHK2_D08_058_2017_1 -               25    1107      11    1085       2    1097    1503    +    3.7e-289  960.7  10.7  -
Pectobacteriaceae_Brenneria                      -          LKAP-GUTHK2_D08_058_2017_1 -                5    1085      18    1089      14    1099    1457    +    4.3e-289  960.3  10.3  -
Enterobacteriaceae_Salmonella                    -          LKAP-GUTHK2_D08_058_2017_1 -               15    1099      11    1085       2    1099    1457    +    5.3e-289  960.2  10.6  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GUTHK2_D08_058_2017_1 -               30    1113      10    1085       2    1099    1436    +    1.1e-287  955.8  10.8  -
Morganellaceae_Xenorhabdus                       -          LKAP-GUTHK2_D08_058_2017_1 -               19    1106       9    1086       2    1096    1493    +    4.5e-287  953.8  10.6  -
Erwiniaceae_Pantoea                              -          LKAP-GUTHK2_D08_058_2017_1 -                4    1040      58    1085      55    1097    1416    +    7.4e-287  953.0  11.0  -
Enterobacteriaceae_Raoultella                    -          LKAP-GUTHK2_D08_058_2017_1 -               16    1099      10    1085       2    1097    1452    +    3.6e-286  950.8  10.8  -
Pectobacteriaceae_Dickeya                        -          LKAP-GUTHK2_D08_058_2017_1 -               13    1100       8    1085       2    1097    1421    +      4e-286  950.6  10.7  -
Enterobacteriaceae_Shigella                      -          LKAP-GUTHK2_D08_058_2017_1 -               26    1111      10    1085       2    1097    1488    +    1.6e-285  948.6  10.6  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GUTHK2_D08_058_2017_1 -               13    1096      10    1085       2    1097    1449    +    3.7e-285  947.4  10.9  -
Yersiniaceae_Yersinia                            -          LKAP-GUTHK2_D08_058_2017_1 -               17    1106       9    1088       2    1095    1461    +      3e-284  944.4  10.7  -
Gammaproteobacteria_Gallaecimonas                -          LKAP-GUTHK2_D08_058_2017_1 -               40    1123      12    1085       2    1094    1506    +    3.5e-284  944.1  10.6  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GUTHK2_D08_058_2017_1 -                7    1081      18    1085      12    1099    1422    +    7.3e-284  942.8  10.3  -
Morganellaceae_Proteus                           -          LKAP-GUTHK2_D08_058_2017_1 -               28    1113      10    1085       2    1095    1494    +    8.5e-284  942.8  10.7  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GUTHK2_D08_058_2017_1 -               15    1100      10    1085       2    1097    1459    +      1e-283  942.6  10.7  -
Budviciaceae_Budvicia                            -          LKAP-GUTHK2_D08_058_2017_1 -               39    1129      10    1090       2    1099    1536    +    1.7e-283  941.8  10.7  -
Morganellaceae_Photorhabdus                      -          LKAP-GUTHK2_D08_058_2017_1 -               21    1107      11    1085       2    1095    1478    +    3.5e-283  941.2  10.6  -
Enterobacteriaceae_Gibbsiella                    -          LKAP-GUTHK2_D08_058_2017_1 -               14    1065      42    1085      28    1097    1396    +    4.9e-283  940.4  10.4  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GUTHK2_D08_058_2017_1 -               19    1100      11    1088       2    1099    1461    +    6.9e-283  939.7   9.9  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GUTHK2_D08_058_2017_1 -               10    1097      10    1085       2    1097    1471    +    1.3e-282  939.1  10.6  -
Alteromonadaceae_Catenovulum                     -          LKAP-GUTHK2_D08_058_2017_1 -               21    1097      13    1086       2    1098    1451    +    1.5e-282  938.6  10.2  -
Vibrionaceae_Salinivibrio                        -          LKAP-GUTHK2_D08_058_2017_1 -               37    1140      10    1090       2    1099    1502    +    1.5e-282  938.2  10.6  -
Psychromonadaceae_Psychromonas                   -          LKAP-GUTHK2_D08_058_2017_1 -               21    1106      13    1088       3    1099    1467    +    1.8e-282  938.5  10.5  -
Colwelliaceae_Thalassotalea                      -          LKAP-GUTHK2_D08_058_2017_1 -               22    1101      14    1085       3    1099    1463    +    2.2e-282  938.3  10.7  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GUTHK2_D08_058_2017_1 -               49    1130      14    1085       2    1097    1451    +    2.5e-282  938.1  10.5  -
Morganellaceae_Providencia                       -          LKAP-GUTHK2_D08_058_2017_1 -               25    1109       9    1085       2    1099    1489    +    3.3e-282  937.5  10.7  -
