# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-Gut2_H02_002.seq -               27    1074       8    1050       3    1054    1474    +           0 1272.6  24.7  -
Enterobacteriaceae        -          LKAP-Gut2_H02_002.seq -               27    1064       8    1050       4    1054    1465    +           0 1143.3  24.6  -
Yersiniaceae              -          LKAP-Gut2_H02_002.seq -               27    1064       8    1050       4    1054    1473    +           0 1140.5  24.7  -
Erwiniaceae               -          LKAP-Gut2_H02_002.seq -               23    1059       9    1050       3    1054    1483    +           0 1136.7  24.6  -
Pectobacteriaceae         -          LKAP-Gut2_H02_002.seq -               24    1061       8    1050       3    1054    1477    +           0 1131.4  24.7  -
Alteromonadales           -          LKAP-Gut2_H02_002.seq -               28    1065       9    1050       4    1054    1468    +           0 1121.3  24.6  -
Aeromonadaceae            -          LKAP-Gut2_H02_002.seq -               39    1077       8    1049       3    1054    1496    +           0 1119.9  24.5  -
Hafniaceae                -          LKAP-Gut2_H02_002.seq -               21    1058       8    1050       2    1054    1459    +           0 1118.8  24.6  -
Ferrimonadaceae           -          LKAP-Gut2_H02_002.seq -               27    1074       8    1050       2    1054    1475    +           0 1118.4  24.5  -
Morganellaceae            -          LKAP-Gut2_H02_002.seq -               30    1067       8    1050       4    1054    1487    +           0 1114.7  24.6  -
Gammaproteobacteria       -          LKAP-Gut2_H02_002.seq -               27    1063       8    1050       4    1054    1481    +           0 1114.0  24.4  -
Shewanellaceae            -          LKAP-Gut2_H02_002.seq -               27    1066       8    1050       3    1054    1483    +           0 1109.6  24.6  -
Alteromonadaceae          -          LKAP-Gut2_H02_002.seq -               27    1063       8    1050       4    1054    1468    +           0 1097.4  24.6  -
Budviciaceae              -          LKAP-Gut2_H02_002.seq -               17    1054       8    1050       4    1054    1483    +           0 1092.8  24.6  -
Pseudoalteromonadaceae    -          LKAP-Gut2_H02_002.seq -               27    1060       8    1050       4    1054    1469    +           0 1091.8  23.6  -
Idiomarinaceae            -          LKAP-Gut2_H02_002.seq -               27    1065       8    1050       3    1054    1466    +           0 1082.4  24.5  -
Oceanospirillaceae        -          LKAP-Gut2_H02_002.seq -               28    1065       9    1050       4    1054    1467    +           0 1073.4  24.3  -
Thorselliaceae            -          LKAP-Gut2_H02_002.seq -                6    1033      13    1050       9    1054    1419    +           0 1064.9  24.9  -
Moritellaceae             -          LKAP-Gut2_H02_002.seq -               42    1081       8    1050       4    1054    1501    +           0 1063.6  24.5  -
Colwelliaceae             -          LKAP-Gut2_H02_002.seq -               27    1065       8    1050       4    1054    1467    +           0 1062.6  24.6  -
Psychromonadaceae         -          LKAP-Gut2_H02_002.seq -               27    1064       8    1050       4    1054    1467    +           0 1056.9  24.6  -
Chromatiaceae             -          LKAP-Gut2_H02_002.seq -               27    1053       8    1050       3    1054    1455    +           0 1052.2  24.6  -
Pasteurellaceae           -          LKAP-Gut2_H02_002.seq -               27    1066       8    1051       4    1054    1422    +           0 1038.4  24.4  -
Oceanospirillales         -          LKAP-Gut2_H02_002.seq -               33    1069       8    1050       4    1054    1489    +           0 1032.8  24.5  -
Pseudomonadaceae          -          LKAP-Gut2_H02_002.seq -               34    1067       8    1049       3    1054    1491    +           0 1028.6  24.2  -
Cellvibrionaceae          -          LKAP-Gut2_H02_002.seq -               27    1062       8    1049       4    1054    1472    +           0 1028.7  24.3  -
Orbaceae                  -          LKAP-Gut2_H02_002.seq -               54    1088       8    1050       4    1054    1539    +           0 1027.1  24.5  -
Piscirickettsiaceae       -          LKAP-Gut2_H02_002.seq -               29    1066       8    1049       4    1054    1466    +           0 1026.6  24.4  -
Methylococcaceae          -          LKAP-Gut2_H02_002.seq -               41    1071       8    1050       4    1054    1481    +    3.6e-306 1014.3  24.3  -
Alcanivoracaceae          -          LKAP-Gut2_H02_002.seq -               47    1082       8    1049       4    1054    1504    +    1.6e-305 1012.1  24.1  -
Lysobacteraceae           -          LKAP-Gut2_H02_002.seq -               28    1065       8    1049       3    1054    1484    +      4e-304 1007.6  24.5  -
Halothiobacillaceae       -          LKAP-Gut2_H02_002.seq -               44    1081       8    1049       4    1054    1500    +    4.7e-302 1000.7  24.5  -
