# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Idiomarinaceae                   -          F0116_LKAP-FHGF1_G03_019 -               26     641       5     629       2     638    1466    +    5.2e-195  644.0  16.3  -
Ferrimonadaceae                  -          F0116_LKAP-FHGF1_G03_019 -               27     654       6     632       2     638    1475    +    1.1e-191  632.9  17.2  -
Unclassified_Alteromonadales     -          F0116_LKAP-FHGF1_G03_019 -               27     643       6     631       2     638    1467    +    1.3e-190  629.5  16.6  -
Aeromonadaceae                   -          F0116_LKAP-FHGF1_G03_019 -               39     658       6     632       2     638    1496    +    1.9e-188  622.2  16.9  -
Colwelliaceae                    -          F0116_LKAP-FHGF1_G03_019 -               27     639       6     628       3     636    1465    +    2.3e-188  622.3  16.7  -
Hafniaceae                       -          F0116_LKAP-FHGF1_G03_019 -               21     638       6     632       2     638    1459    +    7.8e-183  603.7  17.0  -
Unclassified_Oceanospirillales   -          F0116_LKAP-FHGF1_G03_019 -               32     642       6     631       3     636    1483    +      9e-183  603.4  17.0  -
Budviciaceae                     -          F0116_LKAP-FHGF1_G03_019 -               17     634       6     632       2     638    1483    +    1.3e-182  603.0  16.7  -
Psychromonadaceae                -          F0116_LKAP-FHGF1_G03_019 -               27     641       6     629       3     638    1467    +    9.8e-182  600.3  16.2  -
Moritellaceae                    -          F0116_LKAP-FHGF1_G03_019 -               42     657       6     628       3     638    1501    +    8.8e-180  593.6  16.6  -
Halothiobacillaceae              -          F0116_LKAP-FHGF1_G03_019 -               44     659       6     630       3     635    1501    +    6.3e-174  574.3  17.2  -
Microbulbiferaceae               -          F0116_LKAP-FHGF1_G03_019 -               27     629       6     624       2     635    1478    +      1e-170  563.9  15.6  -
Thorselliaceae                   -          F0116_LKAP-FHGF1_G03_019 -                1     613       7     632       7     638    1419    +    4.4e-170  561.5  18.0  -
Succinivibrionaceae              -          F0116_LKAP-FHGF1_G03_019 -               30     620       6     628       3     635    1474    +    7.8e-169  557.4  15.6  -
Celerinatantimonadaceae          -          F0116_LKAP-FHGF1_G03_019 -               22     646       6     629       3     638    1433    +    1.5e-168  556.6  16.5  -
Litoricolaceae                   -          F0116_LKAP-FHGF1_G03_019 -               35     648       6     630       3     635    1474    +    1.5e-168  556.6  16.7  -
Alcanivoracaceae                 -          F0116_LKAP-FHGF1_G03_019 -               47     661       6     631       2     637    1504    +      2e-168  555.9  17.2  -
Thioalkalispiraceae              -          F0116_LKAP-FHGF1_G03_019 -               40     655       6     628       2     635    1478    +    3.3e-167  551.9  16.6  -
Halieaceae                       -          F0116_LKAP-FHGF1_G03_019 -               35     641       6     629       2     638    1484    +    3.5e-167  551.9  16.6  -
Cardiobacteriaceae               -          F0116_LKAP-FHGF1_G03_019 -               35     643       6     628       3     635    1462    +    4.4e-167  551.9  17.1  -
Orbaceae                         -          F0116_LKAP-FHGF1_G03_019 -               54     666       6     631       3     638    1538    +    3.9e-165  545.0  16.6  -
Spongiibacteraceae               -          F0116_LKAP-FHGF1_G03_019 -               30     639       6     630       2     635    1462    +    1.9e-164  542.7  16.6  -
Saccharospirillaceae             -          F0116_LKAP-FHGF1_G03_019 -               28     634       6     629       3     635    1468    +    4.7e-163  538.3  16.8  -
Salinisphaeraceae                -          F0116_LKAP-FHGF1_G03_019 -               14     627       5     628       1     634    1432    +      1e-161  533.9  16.4  -
Hydrogenophilaceae               -          F0116_LKAP-FHGF1_G03_019 -               27     638       6     632       2     637    1462    +    5.2e-160  528.5  17.7  -
Kangiellaceae                    -          F0116_LKAP-FHGF1_G03_019 -               36     655       6     632       3     636    1479    +    7.5e-160  527.6  16.5  -
Coxiellaceae                     -          F0116_LKAP-FHGF1_G03_019 -               27     647       6     628       3     635    1473    +    7.1e-159  524.5  16.8  -
Nevskiaceae                      -          F0116_LKAP-FHGF1_G03_019 -               36     635       6     629       2     636    1470    +    1.7e-158  523.5  16.6  -
Unclassified_Thiotrichales       -          F0116_LKAP-FHGF1_G03_019 -               89     654      57     628      19     636    1517    +    1.8e-158  523.0  15.4  -
Granulosicoccaceae               -          F0116_LKAP-FHGF1_G03_019 -               27     640       6     628       3     635    1471    +    3.4e-158  522.3  16.1  -
Thermoleophilaceae               -          F0116_LKAP-FHGF1_G03_019 -               57     640      58     632      35     635    1486    +    5.2e-158  521.5  16.4  -
Sulfuricellaceae                 -          F0116_LKAP-FHGF1_G03_019 -               27     640       6     632       2     638    1462    +    6.1e-153  504.8  17.6  -
Arenicellaceae                   -          F0116_LKAP-FHGF1_G03_019 -               27     635       6     628       3     636    1488    +    9.5e-152  500.9  15.7  -
Acidiferrobacteraceae            -          F0116_LKAP-FHGF1_G03_019 -               64     630      61     628      39     635    1456    +    9.6e-152  500.9  15.4  -
Azonexaceae                      -          F0116_LKAP-FHGF1_G03_019 -               28     642       6     632       2     637    1474    +    1.3e-151  500.6  17.9  -
Sutterellaceae                   -          F0116_LKAP-FHGF1_G03_019 -               27     642       6     632       3     636    1487    +    4.2e-150  495.2  17.5  -
Thiobacilliaceae                 -          F0116_LKAP-FHGF1_G03_019 -               46     658       6     634       2     638    1517    +    2.7e-149  492.8  17.3  -
Francisellaceae                  -          F0116_LKAP-FHGF1_G03_019 -               37     642       6     630       3     636    1509    +    7.8e-149  491.2  16.6  -
Methylophilaceae                 -          F0116_LKAP-FHGF1_G03_019 -                7     625       6     634       2     638    1430    +    1.3e-148  490.4  16.7  -
Nitrosomonadaceae                -          F0116_LKAP-FHGF1_G03_019 -               27     640       6     631       2     637    1463    +    1.8e-148  490.2  17.9  -
Thermithiobacillaceae            -          F0116_LKAP-FHGF1_G03_019 -               12     619       6     628       2     636    1419    +    3.8e-148  489.0  16.5  -
Zoogloeaceae                     -          F0116_LKAP-FHGF1_G03_019 -               34     641       6     628       2     636    1474    +    7.1e-146  481.4  17.7  -
Unclassified_Alphaproteobacteria -          F0116_LKAP-FHGF1_G03_019 -               27     589       6     632       2     636    1412    +    7.4e-144  475.0  14.3  -
Hyphomonadaceae                  -          F0116_LKAP-FHGF1_G03_019 -               27     585       6     630       2     636    1399    +    2.1e-142  470.2  14.3  -
Geobacteraceae                   -          F0116_LKAP-FHGF1_G03_019 -               35     660       6     628       2     635    1485    +    3.1e-142  469.3  16.8  -
Sneathiellaceae                  -          F0116_LKAP-FHGF1_G03_019 -               32     600       6     630       2     635    1427    +    6.2e-142  468.4  14.6  -
Unclassified_Deltaproteobacteria -          F0116_LKAP-FHGF1_G03_019 -               43     674       6     631       2     637    1518    +    1.4e-141  467.2  16.0  -
Unclassified_Rhizobiales         -          F0116_LKAP-FHGF1_G03_019 -               37     596       6     631       3     636    1437    +    2.3e-140  463.3  14.3  -
Acidithiobacillaceae             -          F0116_LKAP-FHGF1_G03_019 -               26     631       6     628       2     636    1457    +      1e-139  460.8  16.8  -
Methylothermaceae                -          F0116_LKAP-FHGF1_G03_019 -               48     661       6     629       3     636    1491    +    1.3e-139  460.6  16.7  -
Bdellovibrionaceae               -          F0116_LKAP-FHGF1_G03_019 -               23     609       6     629       3     635    1430    +    4.1e-138  455.7  14.9  -
Desulfuromonadaceae              -          F0116_LKAP-FHGF1_G03_019 -               45     671       6     628       3     635    1519    +    6.9e-138  454.9  16.2  -
Erythrobacteraceae               -          F0116_LKAP-FHGF1_G03_019 -               52     585      58     630      15     635    1433    +      1e-137  454.5  13.5  -
Wenzhouxiangellaceae             -          F0116_LKAP-FHGF1_G03_019 -               64     644      52     629      32     635    1472    +    3.7e-136  449.0  15.5  -
Anaplasmataceae                  -          F0116_LKAP-FHGF1_G03_019 -               38     615       6     628       2     635    1438    +    4.5e-136  449.2  13.8  -
Desulfobulbaceae                 -          F0116_LKAP-FHGF1_G03_019 -               27     652       6     628       3     636    1482    +    6.7e-136  448.3  16.1  -
Syntrophaceae                    -          F0116_LKAP-FHGF1_G03_019 -               44     670       6     628       3     635    1556    +    1.9e-135  446.8  15.7  -
Kordiimonadaceae                 -          F0116_LKAP-FHGF1_G03_019 -               27     596       6     630       2     635    1423    +      8e-135  445.0  14.2  -
Desulfohalobiaceae               -          F0116_LKAP-FHGF1_G03_019 -               31     667       6     628       2     635    1510    +    5.1e-134  442.0  16.5  -
Spirillaceae                     -          F0116_LKAP-FHGF1_G03_019 -               43     655       6     632       2     637    1447    +    5.9e-134  442.2  17.6  -
Brucellaceae                     -          F0116_LKAP-FHGF1_G03_019 -               32     588       6     630       3     635    1412    +    2.4e-133  440.2  14.2  -
Kiloniellaceae                   -          F0116_LKAP-FHGF1_G03_019 -               46     602       6     618       3     634    1450    +    6.6e-133  438.3  13.8  -
Caulobacteraceae                 -          F0116_LKAP-FHGF1_G03_019 -               27     585       6     630       2     636    1418    +    3.1e-132  436.3  13.8  -
Beijerinckiaceae                 -          F0116_LKAP-FHGF1_G03_019 -               40     598       6     630       3     636    1421    +    4.2e-132  435.8  13.9  -
Nautiliaceae                     -          F0116_LKAP-FHGF1_G03_019 -               27     610       6     630       3     635    1428    +    6.3e-132  435.5  15.7  -
Parvularculaceae                 -          F0116_LKAP-FHGF1_G03_019 -               47     603       6     628       3     635    1429    +    6.4e-129  425.6  13.6  -
Aurantimonadaceae                -          F0116_LKAP-FHGF1_G03_019 -               44     601       6     630       2     635    1444    +    1.2e-128  424.6  13.7  -
Chelatococcaceae                 -          F0116_LKAP-FHGF1_G03_019 -               38     595       6     629       2     636    1439    +    4.9e-128  422.5  13.7  -
Halobacteriovoracaceae           -          F0116_LKAP-FHGF1_G03_019 -               27     652       6     628       2     635    1480    +    3.8e-127  419.2  15.8  -
