# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae_Pseudomonas                     -          B1b3_2_reverse       -              482    1447     996      26    1024      16    1502    -           0 1107.4  10.9  -
Pseudomonadaceae_Azomonas                        -          B1b3_2_reverse       -              456    1412    1001      40    1023      26    1453    -           0 1096.9  11.5  -
Pseudomonadaceae_Azotobacter                     -          B1b3_2_reverse       -              469    1431    1009      40    1069      26    1473    -           0 1069.1  11.3  -
Alteromonadaceae_Marinobacterium                 -          B1b3_2_reverse       -              479    1432     995      38    1035      18    1465    -      4e-304 1010.3  10.8  -
Cellvibrionaceae_Cellvibrio                      -          B1b3_2_reverse       -              489    1443     998      40    1023      22    1505    -    8.5e-304 1009.3  11.2  -
Cellvibrionaceae_Gilvimarinus                    -          B1b3_2_reverse       -              469    1418     994      41    1014      24    1445    -    2.6e-302 1004.2  11.4  -
Microbulbiferaceae_Microbulbifer                 -          B1b3_2_reverse       -              472    1423     995      40    1022      24    1480    -    5.8e-302 1003.3  11.6  -
Alteromonadaceae_Marinobacter                    -          B1b3_2_reverse       -              477    1426     995      41    1022      31    1478    -    1.1e-300  998.8  11.7  -
Thermoleophilaceae_Thermoleophilum               -          B1b3_2_reverse       -              461    1438    1014      43    1069      32    1494    -      6e-298  989.8  11.4  -
Alcanivoracaceae_Alcanivorax                     -          B1b3_2_reverse       -              498    1448     994      41    1014      21    1505    -    1.5e-297  988.3  11.2  -
Cellvibrionaceae_Simiduia                        -          B1b3_2_reverse       -              478    1427     994      41    1016      22    1463    -    2.2e-296  984.6  11.4  -
Cellvibrionaceae_Pseudomaricurvus                -          B1b3_2_reverse       -              411    1421    1072      40    1093      22    1490    -    4.6e-296  983.5  11.9  -
Cellvibrionaceae_Eionea                          -          B1b3_2_reverse       -              467    1424    1003      42    1042      25    1469    -    2.2e-295  981.2  11.1  -
Oceanospirillaceae_Marinospirillum               -          B1b3_2_reverse       -              477    1421     988      41    1009      22    1451    -    6.4e-295  979.8  11.5  -
Cellvibrionaceae_Marinimicrobium                 -          B1b3_2_reverse       -              471    1422     994      40    1015      22    1455    -    9.2e-295  979.2  11.4  -
Oceanospirillaceae_Neptuniibacter                -          B1b3_2_reverse       -              504    1454     995      41    1024      22    1541    -    4.8e-294  976.7  11.4  -
Oceanospirillaceae_Neptunomonas                  -          B1b3_2_reverse       -              478    1431     996      40    1031      22    1484    -      3e-293  974.2  11.1  -
Hahellaceae_Endozoicomonas                       -          B1b3_2_reverse       -              492    1448    1004      43    1029      23    1524    -    7.4e-293  973.0  11.2  -
Oceanospirillaceae_Amphritea                     -          B1b3_2_reverse       -              479    1427     993      41    1018      21    1463    -    4.7e-292  970.2  11.4  -
Methylococcaceae_Methylococcus                   -          B1b3_2_reverse       -              476    1434    1003      41    1026      26    1482    -    5.3e-290  963.5  11.5  -
Oceanospirillaceae_Nitrincola                    -          B1b3_2_reverse       -              464    1434    1017      40    1072      22    1477    -    1.7e-289  961.7  11.4  -
Spongiibacteraceae_Spongiibacter                 -          B1b3_2_reverse       -              474    1425     995      40    1024      28    1441    -    3.1e-289  960.8  11.6  -
Alcanivoracaceae_Pseudohongiella                 -          B1b3_2_reverse       -              469    1425    1004      41    1060      23    1461    -    3.6e-289  960.7  10.7  -
Oceanospirillaceae_Oceanospirillum               -          B1b3_2_reverse       -              479    1427     994      41    1017      24    1462    -    9.1e-289  959.5  11.6  -
