# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Hafniaceae                       -          B0323_LKAP-FHGF1_D10_074 -               14     402       7     387       1     388    1459    +     2.3e-77  253.5   3.6  -
Idiomarinaceae                   -          B0323_LKAP-FHGF1_D10_074 -               18     409       5     388       1     388    1466    +     6.6e-77  251.8   3.6  -
Unclassified_Alteromonadales     -          B0323_LKAP-FHGF1_D10_074 -               20     409       7     388       2     388    1467    +     1.8e-75  247.1   3.5  -
Aeromonadaceae                   -          B0323_LKAP-FHGF1_D10_074 -               30     423       5     388       1     388    1496    +       1e-73  241.2   3.6  -
Moritellaceae                    -          B0323_LKAP-FHGF1_D10_074 -               47     425      20     387       2     388    1501    +     2.1e-72  237.0   3.4  -
Budviciaceae                     -          B0323_LKAP-FHGF1_D10_074 -                9     399       6     388       2     388    1483    +     2.5e-72  236.9   3.5  -
Ferrimonadaceae                  -          B0323_LKAP-FHGF1_D10_074 -               27     418      14     387       2     388    1475    +     2.6e-72  236.6   3.5  -
Colwelliaceae                    -          B0323_LKAP-FHGF1_D10_074 -               29     408      16     388       2     388    1465    +       1e-71  234.9   3.4  -
Psychromonadaceae                -          B0323_LKAP-FHGF1_D10_074 -               27     409      14     388       2     388    1467    +     6.1e-71  232.3   3.4  -
Thorselliaceae                   -          B0323_LKAP-FHGF1_D10_074 -                7     378      22     388      16     388    1419    +     8.7e-69  225.1   3.2  -
Halothiobacillaceae              -          B0323_LKAP-FHGF1_D10_074 -               51     426      22     388       3     388    1501    +     6.6e-67  218.8   3.2  -
Unclassified_Oceanospirillales   -          B0323_LKAP-FHGF1_D10_074 -               27     408       9     388       2     388    1483    +     2.7e-65  213.4   3.7  -
Succinivibrionaceae              -          B0323_LKAP-FHGF1_D10_074 -               37     406      22     388       4     388    1474    +     3.1e-64  210.0   3.1  -
Celerinatantimonadaceae          -          B0323_LKAP-FHGF1_D10_074 -               15     409       7     388       2     388    1433    +     4.9e-64  209.5   3.4  -
Litoricolaceae                   -          B0323_LKAP-FHGF1_D10_074 -               40     415      20     388       2     388    1474    +     5.9e-64  209.2   3.5  -
Thioalkalispiraceae              -          B0323_LKAP-FHGF1_D10_074 -               37     424      11     388       2     388    1478    +     1.2e-63  208.0   3.4  -
Salinisphaeraceae                -          B0323_LKAP-FHGF1_D10_074 -                7     395       6     388       2     388    1432    +     1.2e-63  208.2   3.6  -
Microbulbiferaceae               -          B0323_LKAP-FHGF1_D10_074 -               20     402       7     388       2     388    1478    +     9.1e-63  205.4   3.6  -
Alcanivoracaceae                 -          B0323_LKAP-FHGF1_D10_074 -               38     427       5     388       1     388    1504    +     1.9e-62  203.9   3.6  -
Halieaceae                       -          B0323_LKAP-FHGF1_D10_074 -               43     409      23     388       3     388    1484    +     2.5e-62  203.7   3.4  -
Nevskiaceae                      -          B0323_LKAP-FHGF1_D10_074 -               66     403      59     387      38     388    1470    +     7.7e-61  199.1   2.9  -
Spongiibacteraceae               -          B0323_LKAP-FHGF1_D10_074 -               24     406       8     388       2     388    1462    +     9.9e-61  198.3   3.5  -
Coxiellaceae                     -          B0323_LKAP-FHGF1_D10_074 -               32     415      20     387       4     388    1473    +     1.2e-60  198.1   3.3  -
Cardiobacteriaceae               -          B0323_LKAP-FHGF1_D10_074 -               43     413      23     388       5     388    1462    +     1.4e-59  194.9   3.2  -
Thermoleophilaceae               -          B0323_LKAP-FHGF1_D10_074 -               38     405      37     388       5     388    1486    +     1.8e-59  194.2   3.0  -
Orbaceae                         -          B0323_LKAP-FHGF1_D10_074 -               62     429      23     385       3     388    1538    +     1.6e-58  191.0   3.4  -
Sutterellaceae                   -          B0323_LKAP-FHGF1_D10_074 -               34     406      22     387       6     388    1487    +     1.4e-57  187.8   3.2  -
