# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          LKAP-GUTHK2_F07_053_2017_1 -               27    1280      18    1248       3    1253    1467    +           0 1240.2  26.1  -
Ferrimonadaceae                  -          LKAP-GUTHK2_F07_053_2017_1 -               23    1286      13    1244       2    1254    1475    +           0 1233.3  26.2  -
Hafniaceae                       -          LKAP-GUTHK2_F07_053_2017_1 -               14    1211      10    1196       1    1219    1459    +           0 1210.0  26.2  -
Aeromonadaceae                   -          LKAP-GUTHK2_F07_053_2017_1 -               39    1286      18    1243       3    1253    1496    +           0 1207.6  26.0  -
Budviciaceae                     -          LKAP-GUTHK2_F07_053_2017_1 -               17    1262      18    1243       6    1253    1483    +           0 1184.4  26.2  -
Colwelliaceae                    -          LKAP-GUTHK2_F07_053_2017_1 -               27    1275      18    1244       4    1253    1465    +           0 1177.0  26.0  -
Idiomarinaceae                   -          LKAP-GUTHK2_F07_053_2017_1 -               25    1273      16    1243       3    1252    1466    +           0 1174.6  26.1  -
Moritellaceae                    -          LKAP-GUTHK2_F07_053_2017_1 -               42    1289      18    1243       4    1252    1501    +           0 1173.1  26.0  -
Psychromonadaceae                -          LKAP-GUTHK2_F07_053_2017_1 -               27    1281      18    1249       3    1254    1467    +           0 1169.0  26.2  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_F07_053_2017_1 -               32    1280      18    1249       4    1253    1483    +           0 1142.5  26.3  -
Thorselliaceae                   -          LKAP-GUTHK2_F07_053_2017_1 -                6    1190      23    1200      19    1236    1419    +           0 1139.7  25.7  -
Orbaceae                         -          LKAP-GUTHK2_F07_053_2017_1 -               54    1239      18    1196       4    1239    1538    +           0 1123.3  26.3  -
Celerinatantimonadaceae          -          LKAP-GUTHK2_F07_053_2017_1 -               22    1283      18    1244       4    1253    1433    +           0 1119.5  26.1  -
Alcanivoracaceae                 -          LKAP-GUTHK2_F07_053_2017_1 -               47    1297      18    1247       3    1253    1504    +           0 1109.4  25.9  -
Halieaceae                       -          LKAP-GUTHK2_F07_053_2017_1 -               35    1282      18    1250       4    1254    1484    +           0 1099.5  26.6  -
Succinivibrionaceae              -          LKAP-GUTHK2_F07_053_2017_1 -               30    1240      18    1232       4    1252    1474    +           0 1097.7  25.6  -
Saccharospirillaceae             -          LKAP-GUTHK2_F07_053_2017_1 -               28    1270      18    1245       3    1253    1468    +           0 1093.5  26.4  -
Thioalkalispiraceae              -          LKAP-GUTHK2_F07_053_2017_1 -               40    1232      18    1195       2    1217    1478    +           0 1091.5  25.7  -
Litoricolaceae                   -          LKAP-GUTHK2_F07_053_2017_1 -               35    1223      18    1197       4    1228    1474    +           0 1079.0  25.9  -
Spongiibacteraceae               -          LKAP-GUTHK2_F07_053_2017_1 -               31    1278      19    1249       3    1253    1462    +           0 1072.0  26.0  -
Halothiobacillaceae              -          LKAP-GUTHK2_F07_053_2017_1 -               44    1293      18    1244       3    1253    1501    +           0 1069.5  25.7  -
Kangiellaceae                    -          LKAP-GUTHK2_F07_053_2017_1 -               36    1290      18    1248       5    1253    1479    +           0 1067.9  25.3  -
