# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_E09_071_2018_2 -               19     843      14     835      10     835    1504    +           0 1040.8  21.4  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               28     853      16     835       9     835    1503    +    1.8e-289  961.2  21.4  -
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_E09_071_2018_2 -               29     853      14     835      10     835    1492    +    5.1e-289  959.8  21.2  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_E09_071_2018_2 -               26     843      20     835       9     835    1485    +    1.1e-288  958.8  21.2  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_E09_071_2018_2 -               19     838      21     835      10     835    1481    +      2e-287  954.4  21.5  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_E09_071_2018_2 -               19     845      14     835       8     835    1483    +    2.9e-287  953.9  21.5  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               28     847      21     835       7     835    1476    +    2.5e-285  947.4  21.6  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_E09_071_2018_2 -               29     845      22     835      11     835    1507    +    8.1e-282  935.9  21.5  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               28     844      21     835       8     835    1476    +    4.2e-281  933.6  21.6  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_E09_071_2018_2 -               48     862      21     835       8     835    1544    +    1.3e-279  928.7  21.4  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               20     845      15     835      11     835    1505    +    6.5e-278  922.8  21.4  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               21     846      15     835      10     835    1495    +    1.8e-276  918.2  21.4  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               24     841      18     835       8     835    1473    +    3.1e-274  910.7  21.4  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_E09_071_2018_2 -               12     830      21     835      13     835    1458    +    9.6e-272  902.7  21.6  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_E09_071_2018_2 -               28     845      21     835       9     835    1479    +    1.5e-271  901.7  21.6  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_E09_071_2018_2 -               47     876      15     835      10     835    1492    +    3.9e-271  900.3  21.5  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               10     820      22     833      15     835    1439    +    5.6e-271  899.9  21.8  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               28     858      21     834       9     835    1508    +    7.3e-269  893.1  21.5  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_E09_071_2018_2 -               22     852      14     835       9     835    1525    +    1.5e-268  891.9  21.4  -
Planococcaceae_Ureibacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               26     853      14     835      10     835    1497    +      5e-267  886.8  21.6  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_E09_071_2018_2 -               40     866      15     835      10     835    1547    +    1.9e-265  881.7  21.7  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               13     840      22     834      13     835    1469    +    2.6e-265  881.3  21.7  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_E09_071_2018_2 -               20     836      21     834       9     835    1476    +    1.8e-264  878.5  21.5  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               29     860      22     834      10     835    1519    +    4.5e-264  877.3  21.6  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -               29     856      22     834       9     835    1482    +    2.7e-261  868.0  21.6  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               16     855      13     833       9     835    1471    +    1.2e-260  865.9  21.5  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_E09_071_2018_2 -               29     853      15     835      10     835    1484    +    5.3e-260  863.6  21.2  -
Bacillaceae_Sediminibacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               10     841      22     833      15     835    1478    +    2.9e-259  861.2  21.8  -
Bacillaceae_Terribacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               12     848      13     833       7     835    1472    +    2.3e-258  858.3  21.5  -
Bacillaceae_Aquibacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               35     875      13     834       8     835    1524    +    2.4e-257  854.8  21.5  -
Bacillaceae_Lentibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               15     849      19     833       8     835    1470    +      4e-257  854.3  21.6  -
Enterococcaceae_Vagococcus                       -          LKAP-TSAKG2_E09_071_2018_2 -               28     854      21     834      10     835    1472    +    6.8e-257  853.4  21.5  -
Enterococcaceae_Enterococcus                     -          LKAP-TSAKG2_E09_071_2018_2 -               28     854      21     835       9     835    1502    +    1.4e-255  848.9  21.3  -
Sporolactobacillaceae_Sporolactobacillus         -          LKAP-TSAKG2_E09_071_2018_2 -               21     841      16     833       8     835    1503    +    3.1e-255  847.8  21.5  -
Bacillaceae_Gracilibacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               31     860      22     834       9     835    1511    +    2.4e-254  844.9  21.6  -
Bacillaceae_Geobacillus                          -          LKAP-TSAKG2_E09_071_2018_2 -               34     861      15     835      10     835    1527    +    5.2e-254  843.9  21.6  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-TSAKG2_E09_071_2018_2 -               40     872      15     833      11     835    1553    +      1e-253  842.9  21.7  -
Carnobacteriaceae_Carnobacterium                 -          LKAP-TSAKG2_E09_071_2018_2 -               38     874      14     835       9     835    1520    +    6.2e-253  840.3  21.4  -
Bacillales_Geomicrobium                          -          LKAP-TSAKG2_E09_071_2018_2 -               30     855      14     833      10     835    1537    +    1.3e-252  839.2  21.6  -
Carnobacteriaceae_Jeotgalibaca                   -          LKAP-TSAKG2_E09_071_2018_2 -               15     837      18     834       8     835    1453    +      1e-251  836.0  21.6  -
Staphylococcaceae_Jeotgalicoccus                 -          LKAP-TSAKG2_E09_071_2018_2 -               14     831      21     835      11     835    1443    +    2.1e-251  835.1  21.5  -
Aerococcaceae_Facklamia                          -          LKAP-TSAKG2_E09_071_2018_2 -               28     845      21     833      11     835    1501    +    2.3e-251  835.1  21.5  -
Bacillaceae_Halobacillus                         -          LKAP-TSAKG2_E09_071_2018_2 -               29     859      22     833       9     835    1520    +      3e-251  834.6  21.6  -
Bacillaceae_Amphibacillus                        -          LKAP-TSAKG2_E09_071_2018_2 -               28     859      21     833      10     835    1490    +      2e-250  831.9  21.5  -
Bacillaceae_Scopulibacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               49     874      22     833       7     835    1555    +      1e-249  829.5  21.8  -
Bacillaceae_Alkalibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               20     849      22     834      10     835    1492    +    1.4e-249  829.2  21.7  -
Bacillaceae_Alteribacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               45     831      54     834      31     835    1440    +    2.9e-249  828.1  21.9  -
Bacillaceae_Paraliobacillus                      -          LKAP-TSAKG2_E09_071_2018_2 -               20     862      15     835      10     835    1511    +    2.9e-249  828.1  21.4  -
Bacillaceae_Thalassobacillus                     -          LKAP-TSAKG2_E09_071_2018_2 -               26     866      14     833      10     835    1506    +    3.1e-249  828.1  21.5  -
Bacillaceae_Halolactibacillus                    -          LKAP-TSAKG2_E09_071_2018_2 -                6     847      14     834      10     835    1491    +    3.3e-249  827.7  21.4  -
Bacillales_Exiguobacterium                       -          LKAP-TSAKG2_E09_071_2018_2 -               41     868      21     835      10     835    1526    +    3.3e-247  821.3  21.8  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-TSAKG2_E09_071_2018_2 -               21     836      14     835      10     835    1483    +    7.7e-247  819.9  21.6  -
Aerococcaceae_Aerococcus                         -          LKAP-TSAKG2_E09_071_2018_2 -               19     834      21     834       9     835    1461    +    1.2e-246  819.3  21.7  -
Bacillaceae_Anaerobacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               39     862      15     833      10     835    1512    +    1.4e-246  819.0  21.3  -
Carnobacteriaceae_Granulicatella                 -          LKAP-TSAKG2_E09_071_2018_2 -               39     864      14     834      10     835    1407    +    2.7e-246  818.2  21.5  -
Bacillaceae_Tepidibacillus                       -          LKAP-TSAKG2_E09_071_2018_2 -               35     847      22     833       9     835    1493    +    4.8e-246  817.0  21.3  -
Paenibacillaceae_Brevibacillus                   -          LKAP-TSAKG2_E09_071_2018_2 -               26     830      21     835      10     835    1486    +    7.3e-246  816.8  21.8  -
Listeriaceae_Brochothrix                         -          LKAP-TSAKG2_E09_071_2018_2 -                7     829      15     833      11     835    1421    +    1.2e-245  816.3  21.8  -
Bacillaceae_Salipaludibacillus                   -          LKAP-TSAKG2_E09_071_2018_2 -               11     840      22     833      14     835    1480    +    1.3e-245  816.0  21.6  -
Paenibacillaceae_Cohnella                        -          LKAP-TSAKG2_E09_071_2018_2 -               32     846      21     833       8     835    1482    +    5.4e-245  814.1  21.3  -
Carnobacteriaceae_Trichococcus                   -          LKAP-TSAKG2_E09_071_2018_2 -               30     855      21     835      10     835    1513    +    3.4e-244  811.1  21.5  -
