# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       2     933    1474    +           0 1046.9  17.5  -
Enterobacteriaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1465    +    5.1e-281  930.9  17.5  -
Yersiniaceae              -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1473    +    7.7e-281  930.2  17.5  -
Erwiniaceae               -          B0306_LKAP-FHGF1_A06_048 -               19     935       6     927       2     933    1483    +    2.5e-279  925.2  17.5  -
Pectobacteriaceae         -          B0306_LKAP-FHGF1_A06_048 -               21     937       6     927       2     933    1477    +    3.5e-279  924.7  17.5  -
Alteromonadales           -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1468    +    1.2e-278  922.6  17.4  -
Aeromonadaceae            -          B0306_LKAP-FHGF1_A06_048 -               36     954       6     927       2     933    1496    +      3e-277  918.1  17.4  -
Ferrimonadaceae           -          B0306_LKAP-FHGF1_A06_048 -               24     950       6     927       1     933    1475    +    9.8e-275  909.8  17.5  -
Hafniaceae                -          B0306_LKAP-FHGF1_A06_048 -               18     934       6     927       2     933    1459    +    2.2e-273  905.4  17.5  -
Gammaproteobacteria       -          B0306_LKAP-FHGF1_A06_048 -               23     939       5     927       2     933    1481    +    2.8e-273  905.0  17.3  -
Pseudoalteromonadaceae    -          B0306_LKAP-FHGF1_A06_048 -               23     936       5     927       2     933    1469    +    2.5e-272  901.9  16.6  -
Morganellaceae            -          B0306_LKAP-FHGF1_A06_048 -               27     943       6     927       2     933    1487    +    3.7e-272  901.6  17.5  -
Shewanellaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     942       5     927       2     933    1483    +    9.1e-272  900.1  17.4  -
Alteromonadaceae          -          B0306_LKAP-FHGF1_A06_048 -               24     938       6     926       2     933    1468    +    2.9e-271  898.4  17.5  -
Idiomarinaceae            -          B0306_LKAP-FHGF1_A06_048 -               23     942       5     928       2     933    1466    +    3.1e-269  891.5  16.9  -
Budviciaceae              -          B0306_LKAP-FHGF1_A06_048 -               14     930       6     927       2     933    1483    +    3.3e-267  885.0  17.5  -
Colwelliaceae             -          B0306_LKAP-FHGF1_A06_048 -               24     941       6     927       2     933    1467    +    2.6e-264  875.5  17.1  -
Psychromonadaceae         -          B0306_LKAP-FHGF1_A06_048 -               24     940       6     927       2     933    1467    +    2.6e-262  868.8  17.5  -
Oceanospirillaceae        -          B0306_LKAP-FHGF1_A06_048 -               24     939       6     925       2     933    1467    +    3.8e-262  868.2  17.1  -
Moritellaceae             -          B0306_LKAP-FHGF1_A06_048 -               39     957       6     927       2     933    1501    +    9.4e-260  860.2  17.3  -
Thorselliaceae            -          B0306_LKAP-FHGF1_A06_048 -                6     909      14     927      10     933    1419    +    4.9e-258  854.5  17.8  -
