# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               29     955      22     946      13     948    1468    +           0 1081.4  18.9  -
Oceanospirillaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               32     965      22     946      12     948    1467    +    2.8e-297  984.6  18.4  -
Gammaproteobacteria       -          LKAP-TSAKG2_D09_073_2018_2 -               33     963      23     946      14     948    1481    +    1.1e-294  975.9  18.4  -
Alteromonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               32     963      22     946      12     948    1468    +    6.6e-294  973.4  18.4  -
Oceanospirillales         -          LKAP-TSAKG2_D09_073_2018_2 -               39     969      23     946      15     948    1489    +    1.4e-292  968.9  18.4  -
Hahellaceae               -          LKAP-TSAKG2_D09_073_2018_2 -               32     962      22     946      10     948    1473    +    3.3e-291  964.7  18.5  -
Halomonadaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               32     961      22     944      11     948    1466    +    4.4e-290  960.8  18.5  -
Cellvibrionaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               31     963      22     946      14     948    1472    +    8.8e-286  946.6  18.3  -
Methylococcaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               47     971      23     946      15     948    1481    +    1.2e-284  942.8  18.7  -
Kangiellaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               39     976      21     946      15     948    1479    +    1.5e-284  942.5  18.4  -
Pseudomonadaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               36     968      20     946      11     948    1491    +    1.7e-284  942.3  18.3  -
Alcanivoracaceae          -          LKAP-TSAKG2_D09_073_2018_2 -               51     983      21     946      10     948    1504    +      4e-284  941.0  18.6  -
Piscirickettsiaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               35     966      23     945      15     948    1466    +    2.2e-282  935.2  18.5  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_D09_073_2018_2 -               40     967      23     943      13     947    1463    +    5.3e-280  927.6  18.8  -
Chromatiaceae             -          LKAP-TSAKG2_D09_073_2018_2 -               33     953      23     946      13     948    1455    +    6.4e-280  927.3  18.7  -
Spongiibacteraceae        -          LKAP-TSAKG2_D09_073_2018_2 -               35     961      22     946      10     948    1462    +    3.6e-279  924.6  18.4  -
Saccharospirillaceae      -          LKAP-TSAKG2_D09_073_2018_2 -               28     956      17     945       9     948    1468    +      2e-278  922.2  18.6  -
Thiotrichaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               30     920      21     946      13     948    1421    +      2e-277  918.8  19.4  -
Thioalkalispiraceae       -          LKAP-TSAKG2_D09_073_2018_2 -               45     977      23     941      13     947    1479    +    2.2e-277  918.7  18.5  -
Halieaceae                -          LKAP-TSAKG2_D09_073_2018_2 -               41     964      23     946      15     948    1484    +    2.3e-274  908.7  18.4  -
Granulosicoccaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               33     960      23     941      15     947    1471    +      3e-273  905.2  18.6  -
Litoricolaceae            -          LKAP-TSAKG2_D09_073_2018_2 -               41     969      23     945      14     948    1474    +    5.2e-273  904.4  18.4  -
Microbulbiferaceae        -          LKAP-TSAKG2_D09_073_2018_2 -               31     957      22     946      13     948    1480    +    1.6e-272  902.8  18.6  -
Alteromonadales           -          LKAP-TSAKG2_D09_073_2018_2 -               33     965      23     946      12     948    1468    +    9.4e-269  889.9  18.5  -
Halothiobacillaceae       -          LKAP-TSAKG2_D09_073_2018_2 -               50     982      23     946      15     948    1500    +    2.1e-268  889.1  18.4  -
