# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Shewanellaceae_Shewanella                        -          B1a1_reverse         -              416    1459    1076       9    1103       1    1483    -           0 1147.3  11.5  -
Vibrionaceae_Photobacterium                      -          B1a1_reverse         -              449    1467    1043       9    1070       1    1487    -           0 1028.2  11.3  -
Ferrimonadaceae_Ferrimonas                       -          B1a1_reverse         -              424    1466    1076      10    1096       3    1475    -    1.3e-304 1011.7  11.6  -
Moritellaceae_Paramoritella                      -          B1a1_reverse         -              412    1455    1076       9    1096       1    1512    -    4.4e-304 1010.0  11.5  -
Vibrionaceae_Vibrio                              -          B1a1_reverse         -              431    1464    1069      12    1089      10    1466    -    1.6e-302 1004.9  11.1  -
Moritellaceae_Moritella                          -          B1a1_reverse         -              436    1479    1076       9    1096       1    1506    -    1.3e-300  998.6  11.5  -
Vibrionaceae_Enterovibrio                        -          B1a1_reverse         -              442    1461    1046       9    1070       1    1499    -    1.1e-299  995.4  11.1  -
Vibrionaceae_Aliivibrio                          -          B1a1_reverse         -              464    1464    1042      28    1063      18    1474    -    1.9e-298  991.7  10.7  -
Colwelliaceae_Colwellia                          -          B1a1_reverse         -              415    1456    1075      11    1095       1    1485    -    8.5e-298  989.3  11.7  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B1a1_reverse         -              409    1434    1079      28    1099       8    1461    -    3.7e-297  987.1  11.0  -
Yersiniaceae_Rouxiella                           -          B1a1_reverse         -              482    1484    1028      11    1061       2    1551    -    1.2e-294  978.8  10.7  -
Pectobacteriaceae_Brenneria                      -          B1a1_reverse         -              392    1432    1076      11    1096       2    1457    -    1.9e-294  978.2  11.7  -
Vibrionaceae_Grimontia                           -          B1a1_reverse         -              441    1467    1054       9    1075       1    1493    -    2.3e-294  977.9  11.3  -
Colwelliaceae_Thalassotalea                      -          B1a1_reverse         -              416    1438    1072      28    1093       8    1463    -    7.2e-294  976.4  11.4  -
Vibrionaceae_Salinivibrio                        -          B1a1_reverse         -              454    1491    1068       7    1089       1    1502    -    2.7e-293  973.9  11.3  -
Gammaproteobacteria_Gallaecimonas                -          B1a1_reverse         -              434    1477    1076       9    1096       1    1506    -    9.6e-292  969.2  11.7  -
Aeromonadaceae_Oceanisphaera                     -          B1a1_reverse         -              417    1453    1073      12    1094       3    1464    -    1.2e-291  968.8  11.5  -
Yersiniaceae_Serratia                            -          B1a1_reverse         -              420    1458    1074      11    1095       2    1491    -      2e-291  968.1  11.4  -
Erwiniaceae_Erwinia                              -          B1a1_reverse         -              414    1455    1076      11    1096       2    1495    -      2e-291  968.3  11.6  -
Pseudoalteromonadaceae_Algicola                  -          B1a1_reverse         -              427    1469    1076       9    1096       1    1490    -    2.6e-291  967.7  11.7  -
Alteromonadaceae_Agarivorans                     -          B1a1_reverse         -              431    1446    1065      29    1086      22    1454    -    6.7e-290  963.2  11.1  -
Yersiniaceae_Rahnella                            -          B1a1_reverse         -              337    1344    1074      44    1094      43    1345    -    7.6e-290  963.0  10.1  -
Colwelliaceae_Thalassomonas                      -          B1a1_reverse         -              418    1437    1070      28    1092       8    1462    -    1.2e-289  962.3  11.2  -
Pectobacteriaceae_Pectobacterium                 -          B1a1_reverse         -              423    1462    1075      11    1096       1    1499    -    1.5e-289  962.0  11.6  -
Idiomarinaceae_Idiomarina                        -          B1a1_reverse         -              424    1462    1071      10    1093       3    1471    -    2.9e-289  960.8  11.4  -
Hafniaceae_Hafnia                                -          B1a1_reverse         -              453    1439    1028      29    1062       9    1463    -      1e-288  959.1  10.5  -
Erwiniaceae_Pantoea                              -          B1a1_reverse         -              351    1391    1076      11    1096       2    1416    -    2.2e-288  958.1  11.6  -
Yersiniaceae_Yersinia                            -          B1a1_reverse         -              416    1440    1074      28    1095       8    1461    -    2.3e-288  958.1  11.0  -
Psychromonadaceae_Psychromonas                   -          B1a1_reverse         -              414    1459    1076       9    1096       3    1467    -    1.2e-287  955.7  11.5  -
Chromatiaceae_Rheinheimera                       -          B1a1_reverse         -              405    1444    1074      11    1095       2    1472    -    1.8e-287  955.1  11.6  -
Alteromonadaceae_Marinobacterium                 -          B1a1_reverse         -              416    1457    1074       9    1094       3    1465    -    5.2e-287  953.5  11.8  -
Morganellaceae_Xenorhabdus                       -          B1a1_reverse         -              416    1441    1076      29    1096       8    1493    -    1.5e-286  952.1  11.3  -
Enterobacteriaceae_Cronobacter                   -          B1a1_reverse         -              392    1416    1075      29    1096      25    1422    -    4.6e-286  950.5  11.3  -
Pseudoalteromonadaceae_Psychrosphaera            -          B1a1_reverse         -              432    1449    1048      12    1094      11    1450    -    5.9e-286  950.1  11.2  -
