# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B2b1_forward         -               16    1105      13    1103       4    1112    1491    +           0 1304.8  18.8  -
Cellvibrionaceae          -          B2b1_forward         -                9    1091      13    1094       5    1110    1472    +           0 1201.4  19.2  -
Oceanospirillaceae        -          B2b1_forward         -                9    1088      13    1094       6    1112    1467    +           0 1200.1  19.0  -
Gammaproteobacteria       -          B2b1_forward         -                9    1095      13    1098       5    1112    1481    +           0 1186.6  19.0  -
Alteromonadaceae          -          B2b1_forward         -                9    1087      13    1095       6    1113    1468    +           0 1182.7  18.9  -
Alcanivoracaceae          -          B2b1_forward         -               29    1105      13    1093       5    1111    1504    +           0 1168.4  19.1  -
Thermoleophilaceae        -          B2b1_forward         -                2    1104      13    1104      12    1111    1494    +           0 1167.1  18.9  -
Oceanospirillales         -          B2b1_forward         -               15    1092      13    1094       5    1112    1489    +           0 1162.5  19.1  -
Microbulbiferaceae        -          B2b1_forward         -                9    1089      13    1098       6    1111    1480    +           0 1160.2  19.0  -
Hahellaceae               -          B2b1_forward         -                9    1084      13    1093       6    1112    1473    +           0 1156.9  19.1  -
Moraxellaceae             -          B2b1_forward         -                6    1078      13    1094       7    1113    1468    +           0 1152.8  19.1  -
Methylococcaceae          -          B2b1_forward         -               23    1093      13    1093       5    1110    1481    +           0 1145.9  19.4  -
Spongiibacteraceae        -          B2b1_forward         -               12    1090      13    1095       5    1110    1462    +           0 1144.6  19.2  -
Alteromonadales           -          B2b1_forward         -                9    1088      13    1094       6    1111    1468    +           0 1139.4  19.3  -
Thioalkalispiraceae       -          B2b1_forward         -               21    1104      13    1093       4    1111    1479    +           0 1136.0  19.3  -
Piscirickettsiaceae       -          B2b1_forward         -               11    1114      13    1110       4    1115    1466    +           0 1135.1  18.6  -
Halomonadaceae            -          B2b1_forward         -                9    1086      13    1094       6    1111    1466    +           0 1127.7  19.1  -
Litoricolaceae            -          B2b1_forward         -               17    1092      13    1093       5    1113    1474    +           0 1120.0  19.1  -
Halieaceae                -          B2b1_forward         -               17    1092      13    1094       5    1109    1484    +           0 1119.2  19.1  -
Ectothiorhodospiraceae    -          B2b1_forward         -               16    1092      13    1093       5    1110    1463    +           0 1114.0  19.3  -
Lysobacteraceae           -          B2b1_forward         -               10    1087      13    1092       5    1107    1484    +           0 1108.0  19.5  -
Chromatiaceae             -          B2b1_forward         -                9    1075      13    1093       6    1109    1455    +           0 1103.9  19.3  -
Aeromonadaceae            -          B2b1_forward         -               21    1113      13    1101       4    1112    1496    +           0 1098.7  19.2  -
Shewanellaceae            -          B2b1_forward         -                9    1089      13    1094       6    1108    1483    +           0 1087.6  19.2  -
Colwelliaceae             -          B2b1_forward         -                9    1089      13    1095       6    1108    1467    +           0 1087.1  19.1  -
Idiomarinaceae            -          B2b1_forward         -                9    1086      13    1092       6    1109    1466    +           0 1085.0  19.3  -
Saccharospirillaceae      -          B2b1_forward         -               10    1080      13    1094       5    1108    1468    +           0 1083.4  18.8  -
Halothiobacillaceae       -          B2b1_forward         -               26    1105      13    1094       5    1113    1500    +           0 1081.4  19.1  -
Thiotrichaceae            -          B2b1_forward         -                9    1044      13    1095       6    1108    1421    +           0 1074.9  18.6  -
Kangiellaceae             -          B2b1_forward         -               18    1124      13    1111       5    1116    1479    +           0 1070.4  18.4  -
Nevskiaceae               -          B2b1_forward         -               18    1106      13    1111       5    1114    1470    +           0 1070.6  18.8  -
Pseudoalteromonadaceae    -          B2b1_forward         -                9    1084      13    1095       6    1109    1469    +           0 1067.8  18.7  -
Vibrionaceae              -          B2b1_forward         -                9    1095      13    1092       6    1106    1474    +           0 1063.2  19.4  -
Granulosicoccaceae        -          B2b1_forward         -                9    1087      13    1092       6    1110    1471    +           0 1055.0  19.2  -
Ferrimonadaceae           -          B2b1_forward         -                9    1095      13    1092       6    1108    1475    +           0 1053.8  19.1  -
Acidiferrobacteraceae     -          B2b1_forward         -                9    1103      13    1111       6    1114    1454    +           0 1050.2  18.7  -
Chromobacteriaceae        -          B2b1_forward         -                8    1106      13    1111       6    1115    1460    +           0 1047.1  18.6  -
Coxiellaceae              -          B2b1_forward         -                9    1109      13    1104       5    1113    1475    +           0 1046.1  19.1  -
Cardiobacteriaceae        -          B2b1_forward         -               17    1089      13    1092       4    1109    1464    +           0 1038.4  19.7  -
Enterobacteriaceae        -          B2b1_forward         -                9    1102      13    1104       5    1111    1465    +           0 1033.9  19.1  -
Moritellaceae             -          B2b1_forward         -               24    1102      13    1092       4    1107    1501    +           0 1030.1  19.3  -
Erwiniaceae               -          B2b1_forward         -                4    1097      13    1104      10    1112    1483    +           0 1027.0  18.9  -
Legionellaceae            -          B2b1_forward         -                5    1084      13    1093       9    1111    1446    +           0 1026.8  19.1  -
Yersiniaceae              -          B2b1_forward         -                9    1102      13    1104       6    1112    1473    +           0 1023.9  19.0  -
Pectobacteriaceae         -          B2b1_forward         -                6    1099      13    1104       7    1112    1477    +    6.2e-308 1020.2  18.9  -
Morganellaceae            -          B2b1_forward         -               12    1105      13    1104       4    1112    1487    +    6.7e-307 1017.0  19.1  -
Rhodanobacteraceae        -          B2b1_forward         -               10    1087      13    1092       5    1108    1473    +      7e-307 1016.9  19.5  -
Hafniaceae                -          B2b1_forward         -                3    1096      13    1104      11    1113    1459    +    1.2e-306 1015.9  18.7  -
Psychromonadaceae         -          B2b1_forward         -                9    1085      13    1092       6    1109    1467    +      7e-305 1010.2  19.1  -
Arenicellaceae            -          B2b1_forward         -                9    1081      13    1094       6    1111    1488    +    1.2e-303 1006.2  19.0  -
Succinivibrionaceae       -          B2b1_forward         -               12    1075      13    1100       5    1110    1473    +    1.5e-303 1005.7  19.6  -
Neisseriaceae             -          B2b1_forward         -               23    1125      13    1110       4    1114    1477    +    6.7e-303 1003.7  18.7  -
Budviciaceae              -          B2b1_forward         -                1    1092      15    1104      15    1113    1483    +    7.2e-302 1000.1  19.0  -
Rhodocyclaceae            -          B2b1_forward         -                9    1107      13    1107       6    1114    1484    +    6.4e-301  997.0  19.0  -
Celerinatantimonadaceae   -          B2b1_forward         -                4    1094      13    1094       9    1109    1433    +    1.3e-299  992.7  19.3  -
Rhodospirillaceae         -          B2b1_forward         -               11    1055      13    1102       3    1113    1429    +    8.9e-299  990.1  18.7  -
Thiotrichales             -          B2b1_forward         -               29    1130      13    1110       4    1113    1519    +    1.2e-297  986.0  18.5  -
Salinisphaeraceae         -          B2b1_forward         -                2    1096      18    1110      17    1115    1429    +      2e-297  985.5  18.3  -
Sulfuricellaceae          -          B2b1_forward         -               10    1112      13    1111       5    1115    1463    +    6.9e-296  980.4  18.6  -
