# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-GUTHK2_C02_012_2017_1 -                3     958      10     955       7     981    1448    +    3.2e-286  947.4  12.3  -
Aerococcaceae                    -          LKAP-GUTHK2_C02_012_2017_1 -               15    1043       9    1018       2    1030    1474    +    4.4e-280  926.9  13.1  -
Sporolactobacillaceae            -          LKAP-GUTHK2_C02_012_2017_1 -               15    1033       9    1012       2    1030    1503    +    8.5e-280  926.0  13.0  -
Heliobacteriaceae                -          LKAP-GUTHK2_C02_012_2017_1 -               32    1014       9    1004       2    1025    1502    +    9.9e-225  743.5  14.0  -
Acidaminococcaceae               -          LKAP-GUTHK2_C02_012_2017_1 -               22    1027       9     995       2    1016    1506    +    1.8e-220  729.2  12.5  -
Geobacteraceae                   -          LKAP-GUTHK2_C02_012_2017_1 -               23     992       9     963       2     987    1485    +    2.8e-215  712.1  12.8  -
Thermoleophilaceae               -          LKAP-GUTHK2_C02_012_2017_1 -                7    1008       8     998       2    1020    1486    +      5e-215  711.2  13.1  -
Unclassified_Deltaproteobacteria -          LKAP-GUTHK2_C02_012_2017_1 -               31    1058       9    1010       2    1027    1518    +    1.2e-211  700.2  13.1  -
Deferribacteraceae               -          LKAP-GUTHK2_C02_012_2017_1 -               22     980       9     962       2     986    1514    +    2.9e-211  698.7  12.9  -
Desulfuromonadaceae              -          LKAP-GUTHK2_C02_012_2017_1 -               33    1000       9     960       2     981    1519    +    9.4e-211  697.1  12.8  -
Natranaerobiaceae                -          LKAP-GUTHK2_C02_012_2017_1 -                6     931      20     950      15     971    1426    +    1.3e-209  693.3  13.2  -
Unclassified_Acidobacteria       -          LKAP-GUTHK2_C02_012_2017_1 -               35     990       9     952       2     974    1505    +    7.2e-207  684.8  13.1  -
Syntrophaceae                    -          LKAP-GUTHK2_C02_012_2017_1 -               32     998       9     959       2     980    1556    +    7.2e-205  677.6  12.9  -
Halanaerobiaceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               26    1020       9     979       2    1000    1506    +      1e-204  677.0  12.3  -
Symbiobacteriaceae               -          LKAP-GUTHK2_C02_012_2017_1 -                5     973       8     961       4     989    1487    +    1.1e-204  677.4  12.6  -
Thermolithobacteraceae           -          LKAP-GUTHK2_C02_012_2017_1 -               35    1003       9     951       2     971    1546    +    3.3e-204  675.2  13.2  -
Entomoplasmataceae               -          LKAP-GUTHK2_C02_012_2017_1 -               22     954       9     951       2     971    1498    +    1.8e-203  673.2  13.5  -
Desulfohalobiaceae               -          LKAP-GUTHK2_C02_012_2017_1 -               19     989       9     954       2     980    1510    +    2.5e-203  672.4  13.0  -
Caldicoprobacteraceae            -          LKAP-GUTHK2_C02_012_2017_1 -               30     967       8     951       2     971    1531    +    5.5e-203  671.3  14.2  -
Anaeroplasmataceae               -          LKAP-GUTHK2_C02_012_2017_1 -               42     967       9     963       2     986    1453    +    6.5e-201  664.6  13.7  -
Desulfonatronaceae               -          LKAP-GUTHK2_C02_012_2017_1 -               15     979       9     961       2     983    1495    +    7.5e-201  664.3  13.3  -
Rubrobacteraceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               23     970      16     959       2     979    1494    +    1.6e-200  663.3  13.1  -
Bdellovibrionaceae               -          LKAP-GUTHK2_C02_012_2017_1 -               11     956       9     979       2    1000    1430    +    1.8e-200  663.1  13.6  -
Desulfobulbaceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               15     971       9     951       2     971    1482    +    6.6e-199  657.8  12.8  -
Thermodesulfobiaceae             -          LKAP-GUTHK2_C02_012_2017_1 -               31     958       9     950       2     967    1524    +    4.3e-198  655.1  14.1  -
Unclassified_Alphaproteobacteria -          LKAP-GUTHK2_C02_012_2017_1 -               20     969      14    1010       3    1027    1412    +    8.6e-197  651.2  13.7  -
Nitrospiraceae                   -          LKAP-GUTHK2_C02_012_2017_1 -               21     945       9     952       2     973    1480    +    5.8e-196  648.2  14.1  -
Leptospiraceae                   -          LKAP-GUTHK2_C02_012_2017_1 -               14     932       6     952       2     974    1433    +    8.4e-196  647.5  13.7  -
Unclassified_Calditrichaeota     -          LKAP-GUTHK2_C02_012_2017_1 -               22    1024       9     996       2    1018    1483    +    2.7e-195  646.1  13.3  -
Acholeplasmataceae               -          LKAP-GUTHK2_C02_012_2017_1 -                7     944       9     956       4     977    1440    +    6.2e-195  644.6  13.1  -
Hyphomonadaceae                  -          LKAP-GUTHK2_C02_012_2017_1 -               24     900      17     951       3     973    1399    +    1.1e-194  644.2  14.0  -
Halothiobacillaceae              -          LKAP-GUTHK2_C02_012_2017_1 -               34     994      11     968       2    1019    1501    +    1.1e-194  643.8  12.7  -
Defluviitaleaceae                -          LKAP-GUTHK2_C02_012_2017_1 -                8     994      13    1013       3    1033    1413    +    5.1e-194  641.8  14.0  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_C02_012_2017_1 -               24    1020      13    1009       2    1029    1483    +      4e-193  638.5  12.8  -
Caulobacteraceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               19     899      13     950       2     972    1418    +    5.2e-193  638.5  14.3  -
Kangiellaceae                    -          LKAP-GUTHK2_C02_012_2017_1 -               27    1030      12    1006       3    1026    1479    +    1.5e-192  636.7  12.5  -
Conexibacteraceae                -          LKAP-GUTHK2_C02_012_2017_1 -               35    1032       9     996       2    1017    1536    +    1.6e-192  636.5  13.3  -
Solirubrobacteraceae             -          LKAP-GUTHK2_C02_012_2017_1 -                8     998      17     999      11    1024    1443    +    3.8e-192  635.4  12.4  -
Chrysiogenaceae                  -          LKAP-GUTHK2_C02_012_2017_1 -               34    1022       8    1010       1    1028    1513    +    4.6e-192  635.2  12.9  -
Spongiibacteraceae               -          LKAP-GUTHK2_C02_012_2017_1 -               26    1019      16    1010       2    1030    1462    +    1.1e-191  633.8  12.9  -
Kineosporiaceae                  -          LKAP-GUTHK2_C02_012_2017_1 -               23     944       9     954       2     975    1463    +    1.5e-191  633.6  14.3  -
Alcanivoracaceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               39     993      13     966       2    1018    1504    +    1.8e-191  633.0  12.9  -
Desulfomicrobiaceae              -          LKAP-GUTHK2_C02_012_2017_1 -               25     975       9     953       2     973    1495    +    4.3e-191  632.0  13.1  -
Parviterribacteraceae            -          LKAP-GUTHK2_C02_012_2017_1 -               15     957       9     959       2     980    1456    +    7.2e-191  631.3  13.1  -
Polyangiaceae                    -          LKAP-GUTHK2_C02_012_2017_1 -               34     986       9     950       3     959    1550    +    8.3e-191  631.0  13.1  -
Sneathiellaceae                  -          LKAP-GUTHK2_C02_012_2017_1 -               25     914      14     950       3     970    1427    +    1.4e-190  630.4  13.6  -
Litoricolaceae                   -          LKAP-GUTHK2_C02_012_2017_1 -               31     966      16     953       3     980    1474    +    3.3e-190  629.2  12.6  -
Haliangiaceae                    -          LKAP-GUTHK2_C02_012_2017_1 -               34    1054      12    1013       3    1032    1507    +    4.4e-190  628.7  12.8  -
Thermodesulfobacteriaceae        -          LKAP-GUTHK2_C02_012_2017_1 -               15     978       9     960       2     980    1498    +    7.9e-190  628.0  13.0  -
Bacteriovoracaceae               -          LKAP-GUTHK2_C02_012_2017_1 -               14     969       8     954       2     974    1473    +    9.7e-190  627.5  13.1  -
Frankiaceae                      -          LKAP-GUTHK2_C02_012_2017_1 -               36     949       9     952       2     972    1499    +    5.4e-189  625.2  14.5  -
Patulibacteraceae                -          LKAP-GUTHK2_C02_012_2017_1 -               35     976       9     958       2     980    1494    +    6.4e-189  624.6  13.3  -
Nakamurellaceae                  -          LKAP-GUTHK2_C02_012_2017_1 -               15     937       9     954       2     971    1462    +      1e-188  624.1  14.1  -
Bogoriellaceae                   -          LKAP-GUTHK2_C02_012_2017_1 -               14     948       8     954       2     974    1472    +    1.8e-188  623.2  13.9  -
Desulfarculaceae                 -          LKAP-GUTHK2_C02_012_2017_1 -               75    1050      57    1011      33    1030    1516    +      2e-188  623.2  12.5  -
Coxiellaceae                     -          LKAP-GUTHK2_C02_012_2017_1 -               16     963      10     950       2     972    1473    +    3.1e-188  622.5  13.0  -
