# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B2a_forward          -               34    1104      17    1096       3    1114    1504    +           0 1056.9  22.0  -
Unclassified_Oceanospirillales   -          B2a_forward          -               20    1078      18    1088       2    1109    1483    +           0 1049.3  22.3  -
Microbulbiferaceae               -          B2a_forward          -               64    1078      69    1096      46    1114    1478    +           0 1047.6  20.5  -
Thermoleophilaceae               -          B2a_forward          -                7    1077      17    1088       7    1108    1486    +           0 1038.0  22.2  -
Spongiibacteraceae               -          B2a_forward          -               17    1076      17    1088       3    1109    1462    +           0 1025.7  22.3  -
Thioalkalispiraceae              -          B2a_forward          -               32    1096      22    1088       3    1109    1478    +           0 1025.6  22.2  -
Unclassified_Alteromonadales     -          B2a_forward          -               16    1079      19    1088       3    1109    1467    +           0 1022.8  22.0  -
Litoricolaceae                   -          B2a_forward          -               23    1085      18    1088       4    1109    1474    +    6.7e-303 1002.7  22.1  -
Halieaceae                       -          B2a_forward          -               73    1085      69    1096      49    1114    1484    +    7.6e-302  999.1  20.7  -
Saccharospirillaceae             -          B2a_forward          -               16    1072      18    1088       3    1109    1468    +    5.3e-299  989.6  22.2  -
Idiomarinaceae                   -          B2a_forward          -               14    1045      17    1044       3    1070    1466    +    2.5e-295  977.3  22.0  -
Nevskiaceae                      -          B2a_forward          -               23    1047      17    1056       4    1108    1470    +    4.6e-295  977.0  22.2  -
Colwelliaceae                    -          B2a_forward          -               23    1053      26    1059       6    1108    1465    +    8.4e-294  972.5  21.8  -
Aeromonadaceae                   -          B2a_forward          -               27    1093      18    1088       3    1108    1496    +    1.1e-293  971.8  22.3  -
Halothiobacillaceae              -          B2a_forward          -               31    1077      17    1063       4    1108    1501    +    2.4e-292  967.6  22.2  -
Kangiellaceae                    -          B2a_forward          -               35    1098      29    1097       9    1115    1479    +    7.5e-292  965.9  21.3  -
Acidiferrobacteraceae            -          B2a_forward          -               55    1072      62    1088      41    1109    1456    +      2e-288  954.7  21.1  -
Ferrimonadaceae                  -          B2a_forward          -               80    1064      66    1059      45    1108    1475    +    2.2e-285  944.4  21.0  -
Coxiellaceae                     -          B2a_forward          -               19    1085      22    1088       5    1109    1473    +    1.8e-284  941.6  22.0  -
Granulosicoccaceae               -          B2a_forward          -               55    1080      55    1088      32    1109    1471    +    5.4e-282  933.4  20.9  -
Hafniaceae                       -          B2a_forward          -               12    1072      21    1087       6    1108    1459    +      4e-276  913.7  22.1  -
Arenicellaceae                   -          B2a_forward          -               67    1080      70    1098      50    1116    1488    +    6.2e-276  913.3  20.6  -
Cardiobacteriaceae               -          B2a_forward          -               24    1052      19    1052       5    1083    1462    +      7e-276  913.3  22.2  -
Moritellaceae                    -          B2a_forward          -               41    1071      29    1059       9    1108    1501    +    2.9e-275  910.9  21.5  -
Budviciaceae                     -          B2a_forward          -                8    1068      21    1087       9    1108    1483    +    1.4e-270  895.5  22.0  -
Unclassified_Thiotrichales       -          B2a_forward          -               89    1061      65    1044      44    1072    1517    +    3.5e-270  894.1  20.0  -
Psychromonadaceae                -          B2a_forward          -               26    1054      29    1059       9    1108    1467    +    5.1e-270  893.7  21.4  -
Succinivibrionaceae              -          B2a_forward          -               74    1055      65    1087      44    1108    1474    +    3.6e-268  887.4  21.1  -
Salinisphaeraceae                -          B2a_forward          -               13    1047      28    1064      12    1108    1432    +    3.1e-267  884.5  21.8  -
Sulfuricellaceae                 -          B2a_forward          -               19    1049      22    1052       8    1073    1462    +      7e-265  876.6  21.5  -
Methylothermaceae                -          B2a_forward          -               40    1108      22    1096       5    1114    1491    +    2.8e-264  874.6  21.9  -
Celerinatantimonadaceae          -          B2a_forward          -               11    1066      19    1063       6    1108    1433    +      8e-263  869.9  22.2  -
Francisellaceae                  -          B2a_forward          -               65    1080      59    1088      31    1108    1509    +    1.2e-262  869.2  20.8  -
Wenzhouxiangellaceae             -          B2a_forward          -               15    1064      18    1063       4    1108    1472    +    1.6e-262  868.7  22.1  -
Desulfohalobiaceae               -          B2a_forward          -               72    1072      69    1043      44    1064    1510    +    5.8e-259  857.0  20.6  -
Orbaceae                         -          B2a_forward          -               53    1102      29    1088       8    1108    1538    +    2.8e-258  854.6  21.8  -
Methylophilaceae                 -          B2a_forward          -               48    1033      64    1051      38    1073    1430    +    5.3e-256  847.1  20.8  -
Hydrogenophilaceae               -          B2a_forward          -               14    1048      17    1052       5    1083    1462    +    8.1e-255  843.5  22.1  -
Geobacteraceae                   -          B2a_forward          -               22    1082      17    1063       2    1108    1485    +    1.2e-254  842.7  22.4  -
Thermithiobacillaceae            -          B2a_forward          -               49    1032      66    1053      44    1108    1419    +    1.7e-253  838.9  21.1  -
Unclassified_Alphaproteobacteria -          B2a_forward          -               14     997      17    1052       2    1083    1412    +    8.3e-253  836.9  20.9  -
Zoogloeaceae                     -          B2a_forward          -               22    1054      18    1052       4    1083    1474    +    1.1e-252  836.2  22.2  -
Nitrosomonadaceae                -          B2a_forward          -               14    1050      17    1052       6    1083    1463    +    4.1e-252  834.5  22.1  -
Unclassified_Deltaproteobacteria -          B2a_forward          -               30    1086      17    1052       3    1083    1518    +      1e-251  833.1  22.1  -
Sutterellaceae                   -          B2a_forward          -               15    1049      18    1052       5    1082    1487    +    5.2e-250  827.2  22.1  -
Thorselliaceae                   -          B2a_forward          -               13    1048      43    1088      31    1108    1419    +    2.5e-249  825.0  21.4  -
Syntrophaceae                    -          B2a_forward          -               86    1083      70    1052      49    1076    1556    +    2.7e-249  825.0  20.7  -
Acidithiobacillaceae             -          B2a_forward          -               15    1072      19    1088       6    1108    1457    +      3e-249  824.7  22.2  -
Thiobacilliaceae                 -          B2a_forward          -               38    1074      22    1062       6    1108    1517    +    2.3e-248  822.0  22.1  -
Azonexaceae                      -          B2a_forward          -               15    1051      17    1052       5    1083    1474    +    2.3e-248  822.1  22.1  -
Sneathiellaceae                  -          B2a_forward          -               69    1011      68    1052      30    1083    1427    +    5.4e-248  820.7  19.7  -
Hyphomonadaceae                  -          B2a_forward          -               42     996      56    1052      34    1083    1399    +    5.7e-248  820.8  19.5  -
Desulfobulbaceae                 -          B2a_forward          -               15    1067      18    1052       4    1083    1482    +    1.4e-247  819.2  21.8  -
Unclassified_Rhizobiales         -          B2a_forward          -               47    1005      51    1052      29    1083    1437    +    1.8e-246  815.8  19.8  -
Desulfuromonadaceae              -          B2a_forward          -               33    1094      18    1063       2    1108    1519    +      3e-246  814.9  22.1  -
Nautiliaceae                     -          B2a_forward          -               16    1038      19    1074       5    1108    1428    +    1.1e-243  806.7  22.2  -
Erythrobacteraceae               -          B2a_forward          -               46    1007      60    1064      40    1108    1433    +    1.6e-240  796.0  19.5  -
Unclassified_Acidobacteria       -          B2a_forward          -               34    1073      17    1044       3    1073    1505    +    1.8e-239  792.9  22.4  -
Aurantimonadaceae                -          B2a_forward          -               57    1007      58    1051      38    1073    1444    +    6.4e-239  790.8  19.3  -
Holophagaceae                    -          B2a_forward          -               34    1065      18    1052       5    1084    1502    +    2.7e-237  785.4  21.4  -
Deferribacteraceae               -          B2a_forward          -               21    1060      17    1043       3    1063    1514    +    8.4e-237  783.5  21.9  -
Kiloniellaceae                   -          B2a_forward          -               84    1054      69    1088      49    1108    1450    +    2.5e-235  778.5  20.3  -
Beijerinckiaceae                 -          B2a_forward          -               62    1009      63    1052      36    1084    1421    +    2.8e-234  775.2  19.6  -
Caulobacteraceae                 -          B2a_forward          -               15     992      18    1052       3    1082    1418    +    5.4e-234  774.4  20.2  -
Anaplasmataceae                  -          B2a_forward          -               83    1027      65    1056      45    1108    1438    +    5.6e-234  774.5  19.7  -
