# target name                                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          B0707_LKAP-FHGF1_C09_075 -               22     956       4     936       1     936    1466    +           0 1183.7  24.6  -
Vibrionaceae_Photobacterium                      -          B0707_LKAP-FHGF1_C09_075 -               22     956       4     936       1     936    1487    +           0 1122.7  24.6  -
Vibrionaceae_Aliivibrio                          -          B0707_LKAP-FHGF1_C09_075 -               47     970       5     936       1     936    1474    +           0 1092.3  23.7  -
Vibrionaceae_Enterovibrio                        -          B0707_LKAP-FHGF1_C09_075 -               21     950       4     936       1     936    1499    +           0 1063.3  24.2  -
Vibrionaceae_Grimontia                           -          B0707_LKAP-FHGF1_C09_075 -               21     956       4     936       1     936    1493    +           0 1039.3  24.6  -
Ferrimonadaceae_Ferrimonas                       -          B0707_LKAP-FHGF1_C09_075 -               23     956       5     936       1     936    1475    +    2.9e-305 1013.6  24.6  -
Erwiniaceae_Erwinia                              -          B0707_LKAP-FHGF1_C09_075 -               23     946       5     936       1     936    1495    +    3.6e-301 1000.3  24.1  -
Yersiniaceae_Serratia                            -          B0707_LKAP-FHGF1_C09_075 -               25     950       4     936       1     936    1491    +    1.1e-299  995.2  24.3  -
Shewanellaceae_Shewanella                        -          B0707_LKAP-FHGF1_C09_075 -               22     948       4     936       1     936    1483    +    3.8e-299  993.5  24.1  -
Erwiniaceae_Tatumella                            -          B0707_LKAP-FHGF1_C09_075 -               23     946       5     936       1     936    1490    +    8.2e-297  985.8  24.3  -
Enterobacteriaceae_Enterobacter                  -          B0707_LKAP-FHGF1_C09_075 -               21     942       5     936       1     936    1476    +      4e-296  983.5  24.2  -
Enterobacteriaceae_Salmonella                    -          B0707_LKAP-FHGF1_C09_075 -               19     942       5     936       1     936    1457    +      1e-295  982.2  24.0  -
Enterobacteriaceae_Citrobacter                   -          B0707_LKAP-FHGF1_C09_075 -               38     961       5     936       1     936    1517    +      2e-295  981.2  24.0  -
Pectobacteriaceae_Pectobacterium                 -          B0707_LKAP-FHGF1_C09_075 -               31     954       5     936       1     936    1499    +      2e-294  977.9  24.2  -
Enterobacteriaceae_Cronobacter                   -          B0707_LKAP-FHGF1_C09_075 -                1     923       6     936       6     936    1422    +    3.9e-294  976.9  24.6  -
Enterobacteriaceae_Escherichia                   -          B0707_LKAP-FHGF1_C09_075 -               21     946       4     936       1     936    1480    +    8.9e-294  975.8  24.2  -
Enterobacteriaceae_Trabulsiella                  -          B0707_LKAP-FHGF1_C09_075 -               15     940       4     936       1     936    1471    +    3.5e-293  973.9  25.2  -
Erwiniaceae_Pantoea                              -          B0707_LKAP-FHGF1_C09_075 -                5     883      59     936      55     936    1416    +    5.9e-293  973.0  24.2  -
Enterobacteriaceae_Pluralibacter                 -          B0707_LKAP-FHGF1_C09_075 -               41     969       4     936       1     936    1532    +    3.2e-292  970.5  24.1  -
Hafniaceae_Hafnia                                -          B0707_LKAP-FHGF1_C09_075 -               23     946       5     936       1     936    1463    +    4.4e-292  970.0  24.3  -
Aeromonadaceae_Aeromonas                         -          B0707_LKAP-FHGF1_C09_075 -               42     967       5     936       1     936    1503    +    9.7e-292  968.8  24.0  -
Enterobacteriaceae_Kluyvera                      -          B0707_LKAP-FHGF1_C09_075 -               11     932       5     936       1     936    1455    +    1.4e-291  968.4  24.3  -
Enterobacteriaceae_Klebsiella                    -          B0707_LKAP-FHGF1_C09_075 -               35     956       5     936       1     936    1436    +    2.4e-291  967.7  24.4  -
Pectobacteriaceae_Brenneria                      -          B0707_LKAP-FHGF1_C09_075 -                2     924       6     936       5     936    1457    +    3.7e-291  967.0  24.5  -
Enterobacteriaceae_Buttiauxella                  -          B0707_LKAP-FHGF1_C09_075 -               27     950       4     936       1     936    1503    +    6.3e-291  966.3  24.6  -
Enterobacteriaceae_Franconibacter                -          B0707_LKAP-FHGF1_C09_075 -               29     950       5     936       1     936    1325    +    1.7e-290  965.1  23.9  -
Vibrionaceae_Salinivibrio                        -          B0707_LKAP-FHGF1_C09_075 -               42     978       5     936       1     936    1502    +    1.8e-290  964.2  24.4  -
Morganellaceae_Xenorhabdus                       -          B0707_LKAP-FHGF1_C09_075 -               23     948       4     936       1     936    1493    +    2.2e-290  964.6  24.4  -
Yersiniaceae_Yersinia                            -          B0707_LKAP-FHGF1_C09_075 -               21     946       4     936       1     936    1461    +    2.8e-290  964.1  24.1  -
Enterobacteriaceae_Pseudocitrobacter             -          B0707_LKAP-FHGF1_C09_075 -               19     943       4     936       1     936    1459    +    2.5e-289  961.0  24.2  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          B0707_LKAP-FHGF1_C09_075 -               22     940       4     936       1     936    1461    +    3.3e-289  960.4  23.2  -
Moritellaceae_Paramoritella                      -          B0707_LKAP-FHGF1_C09_075 -               24     944       6     936       2     936    1512    +    1.9e-288  957.9  24.6  -
Enterobacteriaceae_Siccibacter                   -          B0707_LKAP-FHGF1_C09_075 -               50     973       5     936       1     936    1451    +    2.4e-288  957.8  24.0  -
Enterobacteriaceae_Raoultella                    -          B0707_LKAP-FHGF1_C09_075 -               19     942       4     936       1     936    1452    +    3.1e-288  957.4  24.4  -
Colwelliaceae_Thalassotalea                      -          B0707_LKAP-FHGF1_C09_075 -               24     944       6     936       2     936    1463    +    9.9e-288  955.8  24.3  -
Enterobacteriaceae_Shigella                      -          B0707_LKAP-FHGF1_C09_075 -               29     954       4     936       1     936    1488    +    1.5e-287  955.1  24.2  -
Pectobacteriaceae_Dickeya                        -          B0707_LKAP-FHGF1_C09_075 -               20     943       5     936       1     936    1421    +    1.7e-287  954.9  24.5  -
Alteromonadaceae_Agarivorans                     -          B0707_LKAP-FHGF1_C09_075 -               31     953       6     936       2     936    1454    +    4.9e-287  953.4  24.2  -
Enterobacteriaceae_Kosakonia                     -          B0707_LKAP-FHGF1_C09_075 -                3     924       5     936       3     936    1422    +    1.2e-286  951.8  24.4  -
Yersiniaceae_Rouxiella                           -          B0707_LKAP-FHGF1_C09_075 -               50     975       4     936       1     936    1551    +    1.2e-286  952.0  24.4  -
Enterobacteriaceae_Lelliottia                    -          B0707_LKAP-FHGF1_C09_075 -               16     939       4     936       1     936    1449    +      2e-286  951.3  24.5  -
Enterobacteriaceae_Shimwellia                    -          B0707_LKAP-FHGF1_C09_075 -                2     924       6     936       5     936    1422    +    2.5e-286  951.1  24.4  -
Idiomarinaceae_Idiomarina                        -          B0707_LKAP-FHGF1_C09_075 -               27     952       4     936       2     936    1471    +    2.6e-286  950.7  24.1  -
Enterobacteriaceae_Mangrovibacter                -          B0707_LKAP-FHGF1_C09_075 -               16     893      60     936      54     936    1368    +    3.9e-285  947.1  24.1  -
Psychromonadaceae_Psychromonas                   -          B0707_LKAP-FHGF1_C09_075 -               24     946       6     936       2     936    1467    +    6.9e-285  946.3  24.1  -
Enterobacteriaceae_Gibbsiella                    -          B0707_LKAP-FHGF1_C09_075 -               28     908      57     936      40     936    1396    +      9e-285  945.9  24.4  -
Hafniaceae_Edwardsiella                          -          B0707_LKAP-FHGF1_C09_075 -               24     948       6     936       2     936    1466    +    1.6e-284  945.0  24.5  -
Morganellaceae_Photorhabdus                      -          B0707_LKAP-FHGF1_C09_075 -               25     950       5     936       2     936    1478    +    2.4e-284  944.8  24.3  -
Aeromonadaceae_Oceanisphaera                     -          B0707_LKAP-FHGF1_C09_075 -               23     945       5     936       1     936    1464    +    7.7e-284  942.6  24.1  -
Chromatiaceae_Rheinheimera                       -          B0707_LKAP-FHGF1_C09_075 -               29     935       4     936       1     936    1472    +    1.4e-283  941.9  24.0  -
Enterobacteriaceae_Cedecea                       -          B0707_LKAP-FHGF1_C09_075 -                1     868      70     936      70     936    1403    +    2.2e-283  941.3  22.8  -
Pectobacteriaceae_Sodalis                        -          B0707_LKAP-FHGF1_C09_075 -               17     942       4     936       1     936    1511    +    4.2e-283  940.3  24.3  -
Pseudoalteromonadaceae_Algicola                  -          B0707_LKAP-FHGF1_C09_075 -               36     959       4     936       1     936    1490    +    5.5e-283  939.8  23.6  -
Morganellaceae_Morganella                        -          B0707_LKAP-FHGF1_C09_075 -               17     893      61     936      54     936    1356    +    2.1e-282  938.2  24.1  -
Alteromonadaceae_Catenovulum                     -          B0707_LKAP-FHGF1_C09_075 -               23     938       5     936       1     936    1451    +    2.1e-282  937.8  23.6  -
Gammaproteobacteria_Gallaecimonas                -          B0707_LKAP-FHGF1_C09_075 -               43     966       5     936       1     936    1506    +    9.9e-282  935.7  24.1  -
Colwelliaceae_Colwellia                          -          B0707_LKAP-FHGF1_C09_075 -               24     946       6     936       2     936    1485    +    1.2e-281  935.5  24.2  -
Yersiniaceae_Rahnella                            -          B0707_LKAP-FHGF1_C09_075 -                1     867      71     936      71     936    1345    +      4e-281  933.8  22.9  -
