# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Oceanospirillales   -          LKAP-TSA1KG_C01_011_2018_1 -               26     368      11     352       1     355    1483    +     2.5e-98  322.7  10.0  -
Alcanivoracaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               41     387      11     352       1     355    1504    +     3.3e-98  322.3  10.1  -
Saccharospirillaceae             -          LKAP-TSA1KG_C01_011_2018_1 -               23     362      12     352       1     355    1468    +     2.8e-96  316.1  10.5  -
Litoricolaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               32     375      13     352       1     355    1474    +     5.7e-96  315.2  10.1  -
Kangiellaceae                    -          LKAP-TSA1KG_C01_011_2018_1 -               29     379      10     351       2     354    1479    +     4.2e-94  308.8   9.9  -
Thioalkalispiraceae              -          LKAP-TSA1KG_C01_011_2018_1 -               39     383      14     351       1     354    1478    +     1.2e-92  303.9  10.1  -
Wenzhouxiangellaceae             -          LKAP-TSA1KG_C01_011_2018_1 -               26     370      14     351       2     354    1472    +     4.1e-91  298.9   9.9  -
Granulosicoccaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               20     368      10     351       2     354    1471    +     8.5e-91  298.0   9.9  -
Spongiibacteraceae               -          LKAP-TSA1KG_C01_011_2018_1 -               25     366      11     352       1     355    1462    +     6.1e-90  295.0  10.0  -
Microbulbiferaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               22     362      11     352       1     355    1478    +       2e-89  293.6   9.9  -
Cardiobacteriaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               26     372       8     351       1     354    1462    +     4.2e-89  292.6  10.1  -
Halieaceae                       -          LKAP-TSA1KG_C01_011_2018_1 -               30     369      12     352       1     355    1484    +     1.2e-88  290.8  10.0  -
Moritellaceae                    -          LKAP-TSA1KG_C01_011_2018_1 -               34     386       9     352       1     354    1501    +     2.3e-88  289.7   9.9  -
Arenicellaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               21     363      11     351       4     353    1488    +     5.6e-87  285.4   9.7  -
Acidiferrobacteraceae            -          LKAP-TSA1KG_C01_011_2018_1 -               21     359      11     351       2     354    1456    +       1e-86  284.5   9.9  -
Salinisphaeraceae                -          LKAP-TSA1KG_C01_011_2018_1 -               13     355      13     352       3     355    1432    +     3.9e-86  282.6  10.0  -
Halothiobacillaceae              -          LKAP-TSA1KG_C01_011_2018_1 -               36     385       9     351       1     354    1501    +       2e-85  280.1  10.0  -
Coxiellaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               21     375      11     351       3     354    1473    +     9.6e-85  277.9  10.0  -
Nevskiaceae                      -          LKAP-TSA1KG_C01_011_2018_1 -               32     363      13     351       1     354    1470    +     5.4e-84  275.8  10.2  -
Aeromonadaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               36     383      14     352       1     355    1496    +       1e-83  274.3  10.1  -
Ferrimonadaceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               26     379      14     352       1     355    1475    +     1.8e-83  273.5  10.1  -
Colwelliaceae                    -          LKAP-TSA1KG_C01_011_2018_1 -               19     368       9     352       1     355    1465    +     3.7e-83  272.7  10.1  -
Unclassified_Alteromonadales     -          LKAP-TSA1KG_C01_011_2018_1 -               20     369      10     352       1     355    1467    +       6e-83  271.7  10.1  -
Idiomarinaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               25     369      13     352       1     355    1466    +     8.7e-83  271.2  10.1  -
Succinivibrionaceae              -          LKAP-TSA1KG_C01_011_2018_1 -               30     366      15     352       2     355    1474    +     5.3e-82  268.7  10.4  -
Sulfuricellaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               23     365      12     352       3     354    1462    +     3.4e-81  266.2  10.0  -
Thermoleophilaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               12     365       9     352       1     355    1486    +     2.6e-79  259.8  10.0  -
Thiobacilliaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               45     382      14     352       3     354    1517    +     8.5e-79  258.3  10.1  -
Zoogloeaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               30     370      12     352       2     355    1474    +     1.9e-78  257.0  10.2  -
Unclassified_Thiotrichales       -          LKAP-TSA1KG_C01_011_2018_1 -               48     382      15     351       2     353    1517    +       7e-78  255.0   9.8  -
Aurantimonadaceae                -          LKAP-TSA1KG_C01_011_2018_1 -               36     353       9     352       1     355    1444    +     2.5e-77  253.6   9.4  -
Hydrogenophilaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               18     363       7     352       1     355    1462    +       4e-77  252.9  10.1  -
Sutterellaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               26     367      14     352       3     354    1487    +     5.3e-77  252.1  10.0  -
Unclassified_Rhizobiales         -          LKAP-TSA1KG_C01_011_2018_1 -               29     347       9     352       1     355    1437    +     9.3e-77  251.6   9.3  -
Psychromonadaceae                -          LKAP-TSA1KG_C01_011_2018_1 -               19     369       9     352       1     355    1467    +     9.3e-77  251.5  10.0  -
Unclassified_Alphaproteobacteria -          LKAP-TSA1KG_C01_011_2018_1 -               26     339      14     352       1     355    1412    +     1.4e-76  251.3   9.4  -
Francisellaceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               29     366       9     351       1     353    1509    +     2.2e-76  250.2   9.7  -
Anaplasmataceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               29     369       8     352       1     354    1438    +     9.9e-76  248.3   9.4  -
Hyphomonadaceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               20     337      10     352       2     355    1399    +     1.3e-75  247.9   9.4  -
Parvularculaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               39     357       9     352       1     355    1429    +       2e-75  247.4   9.2  -
Acidithiobacillaceae             -          LKAP-TSA1KG_C01_011_2018_1 -               26     355      15     347       2     353    1457    +     3.3e-75  246.2   9.8  -
Celerinatantimonadaceae          -          LKAP-TSA1KG_C01_011_2018_1 -               15     369      10     352       1     355    1433    +     1.3e-74  244.4  10.0  -
Brucellaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               24     340       9     352       1     355    1412    +     3.3e-73  240.1   9.3  -
Kiloniellaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               37     366       8     352       1     355    1450    +     6.1e-73  238.7   9.0  -
Thermithiobacillaceae            -          LKAP-TSA1KG_C01_011_2018_1 -               12     343      15     347       3     353    1419    +       8e-73  238.5  10.0  -
Sneathiellaceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               26     352      11     352       1     355    1427    +     1.6e-72  237.5   9.1  -
Methylophilaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -                5     349      13     352      10     354    1430    +     1.4e-71  234.3   9.9  -
Bartonellaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               19     338       9     352       1     355    1410    +     1.6e-71  234.3   9.2  -
Nautiliaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               17     361       7     351       1     354    1428    +     2.1e-71  234.0   9.6  -
Beijerinckiaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               33     350      10     352       1     355    1421    +     2.2e-71  233.7   9.2  -
Azonexaceae                      -          LKAP-TSA1KG_C01_011_2018_1 -               22     367      10     352       1     355    1474    +     2.5e-71  233.6   9.9  -
Nitrosomonadaceae                -          LKAP-TSA1KG_C01_011_2018_1 -               20     366      10     352       1     355    1463    +       5e-71  232.6  10.0  -
Budviciaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               14     359      13     352       1     355    1483    +       5e-71  232.4  10.0  -
Spirillaceae                     -          LKAP-TSA1KG_C01_011_2018_1 -               37     379      10     352       1     355    1447    +     6.9e-71  232.3   9.9  -
Orbaceae                         -          LKAP-TSA1KG_C01_011_2018_1 -               46     392       9     352       1     355    1538    +     2.4e-70  230.0  10.0  -
Thorselliaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -                1     338      16     352      16     355    1419    +     3.4e-70  229.6  10.5  -
Bdellovibrionaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               13     358       7     351       1     354    1430    +     4.3e-70  229.4   9.3  -
Chelatococcaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               31     348      10     352       1     355    1439    +     1.7e-69  227.7   9.2  -
Methylothermaceae                -          LKAP-TSA1KG_C01_011_2018_1 -               37     388       6     352       1     355    1491    +     4.5e-69  225.9  10.0  -
Rickettsiaceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               20     350      10     351       3     353    1430    +     2.8e-68  223.5   9.4  -
Kordiimonadaceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               27     347      15     351       2     355    1423    +     4.4e-68  222.9   9.2  -
Caulobacteraceae                 -          LKAP-TSA1KG_C01_011_2018_1 -               22     337      11     352       1     355    1418    +     1.5e-67  221.1   9.4  -
Cohaesibacteraceae               -          LKAP-TSA1KG_C01_011_2018_1 -               75     357      58     352      37     355    1416    +     3.2e-67  220.0   8.6  -
Bacteriovoracaceae               -          LKAP-TSA1KG_C01_011_2018_1 -               18     374       8     351       1     354    1473    +     2.9e-66  216.6   9.9  -
Nitrospiraceae                   -          LKAP-TSA1KG_C01_011_2018_1 -               25     378       9     351       1     354    1480    +     7.2e-66  215.4   9.9  -
Erythrobacteraceae               -          LKAP-TSA1KG_C01_011_2018_1 -               28     336      16     351       2     354    1433    +     9.4e-66  215.1   9.0  -
Hafniaceae                       -          LKAP-TSA1KG_C01_011_2018_1 -               20     363      14     352       1     355    1459    +     3.3e-65  213.1  10.2  -
Bryobacteraceae                  -          LKAP-TSA1KG_C01_011_2018_1 -               35     369       6     351       1     354    1416    +       1e-64  211.7  10.5  -
Unclassified_Acidobacteria       -          LKAP-TSA1KG_C01_011_2018_1 -               37     397       7     351       1     354    1505    +     6.2e-64  209.4  10.0  -
Unclassified_Deltaproteobacteria -          LKAP-TSA1KG_C01_011_2018_1 -               35     398       9     351       1     354    1518    +     1.5e-63  207.8  10.0  -
