# target name                                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Lysobacteraceae_Stenotrophomonas                 -          A1d_reverse          -              388    1447    1101      25    1118       5    1484    -           0 1193.3  10.5  -
Lysobacteraceae_Xanthomonas                      -          A1d_reverse          -              389    1448    1101      25    1118       6    1502    -           0 1167.9  10.4  -
Lysobacteraceae_Pseudoxanthomonas                -          A1d_reverse          -              392    1451    1101      25    1118       5    1484    -           0 1166.1  10.5  -
Lysobacteraceae_Lysobacter                       -          A1d_reverse          -              389    1454    1102      21    1117       4    1475    -           0 1162.0  10.4  -
Lysobacteraceae_Luteimonas                       -          A1d_reverse          -              392    1456    1101      21    1118       4    1490    -           0 1158.9  10.5  -
Lysobacteraceae_Thermomonas                      -          A1d_reverse          -              387    1452    1101      20    1116       4    1488    -           0 1135.1  10.5  -
Lysobacteraceae_Xylella                          -          A1d_reverse          -              411    1466    1097      25    1117       6    1537    -           0 1112.5  10.4  -
Lysobacteraceae_Arenimonas                       -          A1d_reverse          -              389    1456    1103      20    1117       4    1490    -           0 1094.4  10.6  -
Lysobacteraceae_Vulcaniibacterium                -          A1d_reverse          -              412    1473    1103      25    1118       6    1549    -           0 1089.4  10.7  -
Lysobacteraceae_Silanimonas                      -          A1d_reverse          -              396    1460    1105      25    1117       5    1493    -           0 1075.0  10.6  -
Rhodanobacteraceae_Dokdonella                    -          A1d_reverse          -              380    1447    1102      19    1118       4    1480    -           0 1046.2  10.8  -
Lysobacteraceae_Tahibacter                       -          A1d_reverse          -              375    1438    1105      25    1117       7    1459    -           0 1034.5  10.3  -
Rhodanobacteraceae_Dyella                        -          A1d_reverse          -              385    1446    1104      26    1117      20    1453    -           0 1027.4  10.3  -
Rhodanobacteraceae_Fulvimonas                    -          A1d_reverse          -              388    1460    1105      17    1117       4    1484    -    2.1e-305 1014.5  10.5  -
Pseudomonadaceae_Pseudomonas                     -          A1d_reverse          -              392    1448    1101      25    1116       5    1502    -    7.8e-302 1002.7  10.7  -
Lysobacteraceae_Oleiagrimonas                    -          A1d_reverse          -              389    1457    1101      17    1117       5    1469    -    4.5e-301 1000.1  10.5  -
Rhodanobacteraceae_Rhodanobacter                 -          A1d_reverse          -              390    1459    1104      19    1117       4    1481    -    6.6e-300  996.4  10.5  -
Rhodanobacteraceae_Luteibacter                   -          A1d_reverse          -              390    1451    1104      26    1117      21    1457    -    2.8e-298  990.9  10.2  -
Rhodanobacteraceae_Frateuria                     -          A1d_reverse          -              405    1476    1104      18    1116       3    1542    -    4.7e-298  990.1  10.4  -
Gammaproteobacteria_Plasticicumulans             -          A1d_reverse          -              389    1444    1100      26    1116       7    1491    -    1.5e-289  962.0  10.7  -
Thiotrichaceae_Thiothrix                         -          A1d_reverse          -              412    1402    1011      20    1031       6    1417    -    1.8e-289  961.6  10.1  -
Alteromonadaceae_Marinobacterium                 -          A1d_reverse          -              385    1445    1103      24    1116       6    1465    -    5.1e-282  937.0  10.8  -
Halothiobacillaceae_Halothiobacillus             -          A1d_reverse          -              407    1464    1101      26    1116       6    1505    -    1.1e-281  936.0  10.5  -
Pseudomonadaceae_Stenotrophomonas                -          A1d_reverse          -              387    1448    1103      25    1118       5    1502    -    1.2e-281  935.1  10.5  -
Ectothiorhodospiraceae_Thioalkalivibrio          -          A1d_reverse          -              374    1431    1101      26    1116      20    1438    -    2.7e-280  931.1  10.3  -
Thermoleophilaceae_Thermoleophilum               -          A1d_reverse          -              386    1458    1101      26    1118       6    1494    -    1.7e-278  925.3  10.7  -
Nevskiaceae_Nevskia                              -          A1d_reverse          -              373    1432    1104      25    1116       7    1451    -    1.1e-277  922.9  10.1  -
Wenzhouxiangellaceae_Wenzhouxiangella            -          A1d_reverse          -              389    1449    1101      25    1116       6    1472    -    3.7e-277  920.7  10.5  -
Nevskiaceae_Hydrocarboniphaga                    -          A1d_reverse          -              387    1446    1105      26    1117       7    1487    -    1.3e-276  919.4  10.0  -
Methylococcaceae_Methylococcus                   -          A1d_reverse          -              398    1450    1092      24    1112       6    1482    -    3.3e-276  917.7  10.4  -
Piscirickettsiaceae_Methylophaga                 -          A1d_reverse          -              377    1437    1104      24    1117       6    1487    -    5.6e-275  913.5  10.3  -
Thiotrichaceae_Beggiatoa                         -          A1d_reverse          -              394    1449    1101      26    1116       6    1491    -      1e-274  913.1  10.4  -
Methylococcaceae_Methylocaldum                   -          A1d_reverse          -              403    1467    1103      20    1116       4    1491    -    1.4e-274  912.5  10.8  -
Alcanivoracaceae_Alcanivorax                     -          A1d_reverse          -              403    1472    1103      17    1116       4    1505    -    5.3e-274  910.3  11.2  -
Chromobacteriaceae_Aquaspirillum                 -          A1d_reverse          -              401    1456    1101      26    1115       7    1488    -    1.1e-273  909.5  10.4  -
Moraxellaceae_Acinetobacter                      -          A1d_reverse          -              390    1436    1087      25    1107       5    1463    -    3.8e-273  907.7  10.6  -
Cellvibrionaceae_Simiduia                        -          A1d_reverse          -              385    1441    1101      26    1116       7    1463    -    1.8e-272  905.3  10.6  -
Gammaproteobacteria_Sedimenticola                -          A1d_reverse          -              405    1469    1100      23    1115       4    1540    -    6.2e-272  903.5  10.6  -
Lysobacteraceae_Ignatzschineria                  -          A1d_reverse          -              404    1461    1101      21    1115       7    1541    -    1.8e-271  902.1  10.3  -
Cellvibrionaceae_Cellvibrio                      -          A1d_reverse          -              398    1458    1103      24    1116       5    1505    -    2.4e-270  898.4  10.4  -
Salinisphaeraceae_Salinisphaera                  -          A1d_reverse          -              371    1427    1101      26    1116      24    1429    -    2.9e-270  898.1  10.2  -
Desulfovibrionaceae_Desulfovibrio                -          A1d_reverse          -              447    1452    1049      36    1084      19    1521    -    2.2e-269  895.2  10.4  -
Ectothiorhodospiraceae_Halorhodospira            -          A1d_reverse          -              415    1465    1092      26    1112      16    1479    -    2.2e-269  895.4  10.3  -
Alteromonadaceae_Marinobacter                    -          A1d_reverse          -              385    1441    1101      25    1116       5    1478    -    2.2e-269  895.0  10.8  -
Moraxellaceae_Moraxella                          -          A1d_reverse          -              370    1423    1101      25    1116       6    1446    -    2.5e-269  895.0  10.3  -
Legionellaceae_Legionella                        -          A1d_reverse          -              390    1441    1092      26    1112      21    1446    -    2.5e-269  895.0  10.3  -
Ectothiorhodospiraceae_Spiribacter               -          A1d_reverse          -              418    1468    1093      26    1114       7    1544    -    6.6e-269  893.7  10.6  -
Oceanospirillaceae_Neptunomonas                  -          A1d_reverse          -              383    1451    1105      19    1117       5    1484    -    1.4e-268  892.4  10.7  -
Methylococcaceae_Methylomonas                    -          A1d_reverse          -              407    1459    1090      21    1110       6    1475    -    1.9e-268  892.0  10.3  -
Spongiibacteraceae_Spongiibacter                 -          A1d_reverse          -              379    1438    1104      26    1117      23    1441    -    3.6e-268  890.9  10.3  -
Shewanellaceae_Shewanella                        -          A1d_reverse          -              384    1455    1106      17    1116       4    1483    -    4.1e-268  890.9  10.8  -
Lysobacteraceae_Wohlfahrtiimonas                 -          A1d_reverse          -              386    1443    1102      29    1115      24    1448    -    6.6e-268  890.3  10.3  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          A1d_reverse          -              380    1442    1103      22    1116       5    1461    -    1.4e-267  889.0  10.6  -
Oceanospirillaceae_Neptuniibacter                -          A1d_reverse          -              421    1476    1090      19    1110       3    1541    -    2.9e-267  887.8  10.6  -
Pseudomonadaceae_Azotobacter                     -          A1d_reverse          -              390    1449    1100      21    1116       6    1473    -    1.3e-265  882.7  10.7  -
Pseudomonadaceae_Azomonas                        -          A1d_reverse          -              371    1426    1100      25    1116       7    1453    -    1.6e-265  882.3  10.4  -
Ectothiorhodospiraceae_Alkalilimnicola           -          A1d_reverse          -              397    1453    1100      26    1116      10    1472    -    4.8e-265  880.9  10.4  -
Acidithiobacillaceae_Acidithiobacillus           -          A1d_reverse          -              372    1435    1107      26    1116       7    1457    -    6.4e-265  880.2  10.9  -
Methylococcaceae_Methylomicrobium                -          A1d_reverse          -              407    1456    1091      25    1112      16    1467    -    7.1e-265  880.1  10.0  -
Halieaceae_Halioglobus                           -          A1d_reverse          -              379    1432    1101      29    1116      28    1433    -    9.7e-265  879.7  10.4  -
Geobacteraceae_Geobacter                         -          A1d_reverse          -              400    1449    1099      35    1118      21    1470    -    2.7e-264  878.2  10.7  -
Neisseriaceae_Vitreoscilla                       -          A1d_reverse          -              362    1423    1110      24    1117       6    1457    -    3.9e-264  877.7  10.6  -
Chromatiaceae_Thiorhodococcus                    -          A1d_reverse          -              348    1405    1101      25    1116       7    1426    -    4.7e-264  877.5  10.7  -
Colwelliaceae_Colwellia                          -          A1d_reverse          -              385    1450    1103      21    1116       5    1485    -    4.9e-264  877.4  10.7  -
Ectothiorhodospiraceae_Ectothiorhodospira        -          A1d_reverse          -              396    1456    1101      25    1116       6    1490    -    4.9e-264  877.5  10.6  -
Desulfobacteraceae_Desulfobacterium              -          A1d_reverse          -              425    1470    1096      35    1116      22    1522    -    5.9e-264  877.0  10.7  -
Ectothiorhodospiraceae_Aquisalimonas             -          A1d_reverse          -              405    1459    1099      27    1116      22    1464    -    1.7e-263  875.7  10.4  -
Chromatiaceae_Allochromatium                     -          A1d_reverse          -              385    1439    1099      26    1118       7    1462    -    2.1e-263  875.3  10.9  -
Desulfuromonadaceae_Pelobacter                   -          A1d_reverse          -              452    1470    1061      33    1089      20    1542    -    2.2e-263  875.4  10.3  -
