# target name                           accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                   ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Carnobacteriaceae_Desemzia              -          LKAP-TSAKG2_E04_024_2018_2 -               21     271       7     254       1     271    1505    +      0.0046   11.1   3.7  -
Bacillaceae_Fictibacillus               -          LKAP-TSAKG2_E04_024_2018_2 -               47     242      61     253      40     268    1439    +       0.049    7.0   2.8  -
Bacillaceae_Domibacillus                -          LKAP-TSAKG2_E04_024_2018_2 -               88     262      78     253      41     268    1476    +        0.05    7.0   2.7  -
Thermoactinomycetaceae_Mechercharimyces -          LKAP-TSAKG2_E04_024_2018_2 -              202     270     185     253     164     269    1439    +        0.21    5.0   0.0  -
Carnobacteriaceae_Pisciglobus           -          LKAP-TSAKG2_E04_024_2018_2 -               55     243      65     254      44     271    1501    +        0.57    4.2   3.1  -
Bacillaceae_Alkalibacillus              -          LKAP-TSAKG2_E04_024_2018_2 -              202     269     186     253     165     267    1492    +         0.6    3.5   0.0  -
Bacillaceae_Lysinibacillus              -          LKAP-TSAKG2_E04_024_2018_2 -               74     265      65     253      42     270    1476    +        0.62    3.2   3.6  -
Bacillaceae_Salirhabdus                 -          LKAP-TSAKG2_E04_024_2018_2 -              107     289      70     253      49     270    1546    +        0.73    4.0   2.8  -
Planococcaceae_Jeotgalibacillus         -          LKAP-TSAKG2_E04_024_2018_2 -              190     263     180     253     140     268    1507    +        0.79    2.9   0.1  -
Bacillaceae_Saccharococcus              -          LKAP-TSAKG2_E04_024_2018_2 -              204     278     180     254     151     268    1538    +        0.81    3.8   0.0  -
Bacillaceae_Ornithinibacillus           -          LKAP-TSAKG2_E04_024_2018_2 -              205     275     183     253     160     269    1482    +        0.83    3.0   0.0  -
Bacillaceae_Natronobacillus             -          LKAP-TSAKG2_E04_024_2018_2 -              224     303     174     253      50     270    1473    +        0.94    3.8   2.5  -
Planococcaceae_Filibacter               -          LKAP-TSAKG2_E04_024_2018_2 -               75     271      56     253      32     271    1517    +         1.1    3.4   4.2  -
Bacillaceae_Falsibacillus               -          LKAP-TSAKG2_E04_024_2018_2 -              162     234     181     253     154     270    1413    +         1.2    3.3   0.0  -
Bacillaceae_Melghiribacillus            -          LKAP-TSAKG2_E04_024_2018_2 -              211     285     180     254     157     271    1552    +         1.3    3.2   0.0  -
Bacillaceae_Halobacillus                -          LKAP-TSAKG2_E04_024_2018_2 -              211     278     186     253     166     268    1520    +         1.3    2.3   0.0  -
Bacillaceae_Alkalilactibacillus         -          LKAP-TSAKG2_E04_024_2018_2 -              112     302      66     253      46     270    1567    +         1.5    2.9   3.2  -
Bacillaceae_Lentibacillus               -          LKAP-TSAKG2_E04_024_2018_2 -              197     268     182     253     160     267    1470    +         1.6    2.3   0.0  -
Paenibacillaceae_Marinicrinis           -          LKAP-TSAKG2_E04_024_2018_2 -              162     267     150     255      51     270    1476    +         1.7    2.8   3.0  -
Bacillaceae_Aquisalibacillus            -          LKAP-TSAKG2_E04_024_2018_2 -              116     298      70     253      48     271    1484    +         1.8    2.6   3.2  -
Bacillaceae_Aeribacillus                -          LKAP-TSAKG2_E04_024_2018_2 -              195     268     181     254      56     271    1516    +           2    2.6   2.3  -
Bacillaceae_Amphibacillus               -          LKAP-TSAKG2_E04_024_2018_2 -              211     278     186     253     163     266    1490    +         2.1    1.6   0.0  -
Clostridiaceae_Caloramator              -          LKAP-TSAKG2_E04_024_2018_2 -              189     256     186     253      49     258    1453    +         2.4    1.5   2.3  -
Bacillaceae_Gracilibacillus             -          LKAP-TSAKG2_E04_024_2018_2 -              206     278     181     253     157     269    1511    +         2.5    1.4   0.0  -
Thermoactinomycetaceae_Kroppenstedtia   -          LKAP-TSAKG2_E04_024_2018_2 -              204     277     180     253     160     268    1486    +         2.6    1.3   0.0  -
Planococcaceae_Planococcus              -          LKAP-TSAKG2_E04_024_2018_2 -              200     272     181     253     161     268    1492    +         4.5    0.5   0.0  -
Bacillaceae_Polygonibacillus            -          LKAP-TSAKG2_E04_024_2018_2 -               45     230      70     254      49     270    1480    +         4.9    1.1   3.4  -
Bacillaceae_Virgibacillus               -          LKAP-TSAKG2_E04_024_2018_2 -              210     278     185     253     161     267    1519    +         5.7    0.3   0.0  -
Bacillales_Chungangia                   -          LKAP-TSAKG2_E04_024_2018_2 -               88     269      71     253      47     271    1440    +         8.9    0.4   2.7  -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_E04_024_2018_2.fa
# Target file:     /home/ubuntu/Github/Database/Genera_DB
# Option settings: nhmmscan --tblout /home/ubuntu/Github/Project_Mendel/Data/Genera_Search_Data/MSA_Scans_From_nhmmerscan/LKAP-TSAKG2_E04_024_2018_2.txt --noali /home/ubuntu/Github/Database/Genera_DB /home/ubuntu/Github/Project_Mendel/Data/Metadata/Experimental_Sequences_Kaplan/LKAP-TSAKG2_E04_024_2018_2.fa 
# Current dir:     /home/ubuntu/Github/Project_Mendel/source_code/Genera_Search
# Date:            Thu Jul 16 21:15:32 2020
# [ok]
