# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP-GUTHK2_E11_087_2017_1 -               14     967       8     949       3     951    1466    +           0 1093.4  22.4  -
Vibrionaceae_Photobacterium                      -          LKAP-GUTHK2_E11_087_2017_1 -               13     967       7     949       3     951    1487    +           0 1039.5  22.2  -
Vibrionaceae_Aliivibrio                          -          LKAP-GUTHK2_E11_087_2017_1 -               38     981       8     949       3     951    1474    +           0 1029.9  22.2  -
Vibrionaceae_Enterovibrio                        -          LKAP-GUTHK2_E11_087_2017_1 -               13     961       7     949       4     951    1499    +    3.4e-301 1000.1  22.2  -
Vibrionaceae_Grimontia                           -          LKAP-GUTHK2_E11_087_2017_1 -               13     967       7     949       3     951    1493    +    3.2e-289  960.5  22.2  -
Shewanellaceae_Shewanella                        -          LKAP-GUTHK2_E11_087_2017_1 -               15     959       9     949       3     951    1483    +    8.2e-285  946.0  21.7  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-GUTHK2_E11_087_2017_1 -               12     967       6     949       3     951    1475    +    2.6e-282  937.5  22.1  -
Erwiniaceae_Erwinia                              -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       3     950    1495    +    5.7e-282  936.7  22.4  -
Enterobacteriaceae_Escherichia                   -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       4     950    1480    +    2.3e-279  928.0  22.4  -
Enterobacteriaceae_Citrobacter                   -          LKAP-GUTHK2_E11_087_2017_1 -               28     972       7     949       3     951    1517    +    6.9e-279  926.4  22.3  -
Enterobacteriaceae_Enterobacter                  -          LKAP-GUTHK2_E11_087_2017_1 -               12     953       8     949       3     951    1476    +    9.9e-279  925.9  22.4  -
Yersiniaceae_Serratia                            -          LKAP-GUTHK2_E11_087_2017_1 -               17     961       7     949       4     951    1491    +    9.9e-279  925.8  22.4  -
Erwiniaceae_Tatumella                            -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       3     951    1490    +    4.6e-278  923.7  22.6  -
Enterobacteriaceae_Salmonella                    -          LKAP-GUTHK2_E11_087_2017_1 -               10     953       8     949       4     950    1457    +    5.5e-278  923.5  22.3  -
Enterobacteriaceae_Pluralibacter                 -          LKAP-GUTHK2_E11_087_2017_1 -               33     980       7     949       4     951    1532    +    1.1e-277  922.4  22.4  -
Enterobacteriaceae_Cronobacter                   -          LKAP-GUTHK2_E11_087_2017_1 -                1     934      15     949      15     950    1422    +    1.2e-276  918.9  22.2  -
Pectobacteriaceae_Pectobacterium                 -          LKAP-GUTHK2_E11_087_2017_1 -               21     965       7     949       3     951    1499    +    2.7e-276  917.8  22.4  -
Hafniaceae_Hafnia                                -          LKAP-GUTHK2_E11_087_2017_1 -               14     957       8     949       3     951    1463    +    4.2e-275  913.7  22.5  -
Enterobacteriaceae_Klebsiella                    -          LKAP-GUTHK2_E11_087_2017_1 -               25     967       7     949       3     951    1436    +    4.1e-274  910.6  22.5  -
Pseudoalteromonadaceae_Pseudoalteromonas         -          LKAP-GUTHK2_E11_087_2017_1 -               13     951       7     949       3     951    1461    +    1.2e-273  908.9  20.8  -
Enterobacteriaceae_Kluyvera                      -          LKAP-GUTHK2_E11_087_2017_1 -               11     943      14     949       7     951    1455    +    1.2e-273  909.0  22.2  -
Enterobacteriaceae_Shigella                      -          LKAP-GUTHK2_E11_087_2017_1 -               21     965       7     949       4     950    1488    +    1.4e-273  908.8  22.5  -
Pectobacteriaceae_Brenneria                      -          LKAP-GUTHK2_E11_087_2017_1 -                2     935      15     949      14     951    1457    +    3.2e-273  907.5  22.1  -
Enterobacteriaceae_Buttiauxella                  -          LKAP-GUTHK2_E11_087_2017_1 -               19     961       7     949       3     951    1503    +    6.3e-273  906.7  22.5  -
Erwiniaceae_Pantoea                              -          LKAP-GUTHK2_E11_087_2017_1 -                4     894      59     949      56     951    1416    +    1.5e-272  905.4  23.4  -
Yersiniaceae_Rouxiella                           -          LKAP-GUTHK2_E11_087_2017_1 -               42     986       7     949       3     951    1551    +    2.9e-272  904.4  22.5  -
Enterobacteriaceae_Kosakonia                     -          LKAP-GUTHK2_E11_087_2017_1 -                3     935      14     949      12     950    1422    +    6.6e-272  902.9  22.0  -
Aeromonadaceae_Aeromonas                         -          LKAP-GUTHK2_E11_087_2017_1 -               32     978       7     949       3     950    1503    +    1.4e-271  902.0  22.2  -
Alteromonadaceae_Agarivorans                     -          LKAP-GUTHK2_E11_087_2017_1 -               20     964       7     949       4     950    1454    +    1.7e-271  902.0  22.1  -
Enterobacteriaceae_Trabulsiella                  -          LKAP-GUTHK2_E11_087_2017_1 -               15     951      13     949       4     950    1471    +    2.7e-271  901.4  22.4  -
Enterobacteriaceae_Pseudocitrobacter             -          LKAP-GUTHK2_E11_087_2017_1 -               13     954      10     949       3     950    1459    +    4.3e-271  900.5  22.5  -
Colwelliaceae_Thalassotalea                      -          LKAP-GUTHK2_E11_087_2017_1 -               13     955       7     949       4     951    1463    +    1.1e-270  899.2  22.4  -
Enterobacteriaceae_Raoultella                    -          LKAP-GUTHK2_E11_087_2017_1 -               11     953       7     949       4     951    1452    +    2.7e-270  898.0  22.5  -
Pectobacteriaceae_Dickeya                        -          LKAP-GUTHK2_E11_087_2017_1 -               10     954       7     949       3     951    1421    +    6.3e-270  896.7  22.5  -
Enterobacteriaceae_Lelliottia                    -          LKAP-GUTHK2_E11_087_2017_1 -                8     950       7     949       4     951    1449    +    1.3e-269  895.7  22.7  -
Alteromonadaceae_Catenovulum                     -          LKAP-GUTHK2_E11_087_2017_1 -               22     949      13     949       3     951    1451    +    2.9e-269  894.3  21.6  -
Idiomarinaceae_Idiomarina                        -          LKAP-GUTHK2_E11_087_2017_1 -               18     963       7     949       3     951    1471    +    3.7e-269  893.9  22.1  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-GUTHK2_E11_087_2017_1 -               13     956       7     949       3     951    1464    +    3.8e-269  893.9  22.4  -
Enterobacteriaceae_Franconibacter                -          LKAP-GUTHK2_E11_087_2017_1 -               29     961      14     949       3     950    1325    +    4.7e-269  894.1  22.4  -
Enterobacteriaceae_Siccibacter                   -          LKAP-GUTHK2_E11_087_2017_1 -               50     984      14     949       3     950    1451    +    5.4e-269  893.8  22.3  -
Psychromonadaceae_Psychromonas                   -          LKAP-GUTHK2_E11_087_2017_1 -               13     957       7     949       3     951    1467    +    7.8e-269  893.1  22.1  -
