# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcaligenaceae_Alcaligenes                       -          LKAP-TSAKG2_H07_049_2018_2 -               11     921      11     920       5     921    1469    +           0 1175.2  21.6  -
Alcaligenaceae_Paenalcaligenes                   -          LKAP-TSAKG2_H07_049_2018_2 -               16     927      11     921       7     921    1432    +           0 1085.4  21.4  -
Alcaligenaceae_Pusillimonas                      -          LKAP-TSAKG2_H07_049_2018_2 -                6     903      25     921      21     921    1446    +           0 1074.3  22.4  -
Alcaligenaceae_Advenella                         -          LKAP-TSAKG2_H07_049_2018_2 -               12     908      26     921      16     921    1428    +           0 1067.6  21.7  -
Alcaligenaceae_Pelistega                         -          LKAP-TSAKG2_H07_049_2018_2 -               23     935      11     921       7     921    1472    +           0 1061.5  21.5  -
Alcaligenaceae_Castellaniella                    -          LKAP-TSAKG2_H07_049_2018_2 -                9     923      11     921       6     921    1464    +           0 1046.6  21.6  -
Alcaligenaceae_Candidimonas                      -          LKAP-TSAKG2_H07_049_2018_2 -                3     895      23     921      21     921    1411    +           0 1033.5  22.2  -
Alcaligenaceae_Bordetella                        -          LKAP-TSAKG2_H07_049_2018_2 -               36     941      11     921       6     921    1476    +           0 1031.0  21.1  -
Alcaligenaceae_Pigmentiphaga                     -          LKAP-TSAKG2_H07_049_2018_2 -               18     921      13     921       9     921    1481    +      1e-307 1021.9  21.9  -
Alcaligenaceae_Kerstersia                        -          LKAP-TSAKG2_H07_049_2018_2 -                5     914      11     921       8     921    1414    +    6.1e-307 1019.5  21.5  -
Alcaligenaceae_Achromobacter                     -          LKAP-TSAKG2_H07_049_2018_2 -               16     921      11     921       7     921    1483    +    6.2e-305 1012.7  21.8  -
Alcaligenaceae_Taylorella                        -          LKAP-TSAKG2_H07_049_2018_2 -               38     954      13     921       9     921    1521    +    1.5e-304 1011.6  21.5  -
Alcaligenaceae_Oligella                          -          LKAP-TSAKG2_H07_049_2018_2 -               31     942      11     921       7     921    1504    +    1.3e-293  975.1  21.0  -
Oxalobacteraceae_Undibacterium                   -          LKAP-TSAKG2_H07_049_2018_2 -               14     917      13     921       8     921    1442    +    4.1e-287  953.8  21.5  -
Sutterellaceae_Sutterella                        -          LKAP-TSAKG2_H07_049_2018_2 -                7     915      12     921       8     921    1471    +    1.9e-286  951.3  21.4  -
Oxalobacteraceae_Noviherbaspirillum              -          LKAP-TSAKG2_H07_049_2018_2 -               22     925      13     921       9     921    1464    +    3.2e-286  950.9  21.9  -
Neisseriaceae_Neisseria                          -          LKAP-TSAKG2_H07_049_2018_2 -               31     942      12     921       7     921    1475    +      2e-285  948.2  21.3  -
Oxalobacteraceae_Oxalicibacterium                -          LKAP-TSAKG2_H07_049_2018_2 -               18     923      13     921      10     921    1489    +    1.4e-284  945.3  21.5  -
Oxalobacteraceae_Herbaspirillum                  -          LKAP-TSAKG2_H07_049_2018_2 -               18     923      13     921       9     921    1485    +    4.9e-284  943.6  21.9  -
Neisseriaceae_Kingella                           -          LKAP-TSAKG2_H07_049_2018_2 -               43     950      12     921       9     921    1474    +    3.1e-282  937.4  21.3  -
Burkholderiaceae_Paraburkholderia                -          LKAP-TSAKG2_H07_049_2018_2 -               18     921      13     921       8     921    1472    +    3.5e-282  937.4  21.5  -
Chromobacteriaceae_Aquaspirillum                 -          LKAP-TSAKG2_H07_049_2018_2 -               37     940      12     920       8     921    1488    +      4e-282  937.2  21.5  -
Oxalobacteraceae_Oxalobacter                     -          LKAP-TSAKG2_H07_049_2018_2 -               32     938      12     921       9     921    1524    +    3.1e-281  934.4  21.3  -
Oxalobacteraceae_Glaciimonas                     -          LKAP-TSAKG2_H07_049_2018_2 -               38     943      13     921      10     921    1525    +    3.9e-281  934.0  21.5  -
Sutterellaceae_Parasutterella                    -          LKAP-TSAKG2_H07_049_2018_2 -               17     933      12     921       8     921    1494    +    1.5e-280  931.9  21.3  -
Neisseriaceae_Vitreoscilla                       -          LKAP-TSAKG2_H07_049_2018_2 -               10     910      12     920       9     921    1457    +    1.2e-279  928.8  22.0  -
Burkholderiaceae_Ralstonia                       -          LKAP-TSAKG2_H07_049_2018_2 -               20     917      22     921       8     921    1446    +    1.6e-279  928.7  21.8  -
Alcaligenaceae_Derxia                            -          LKAP-TSAKG2_H07_049_2018_2 -               46     938      23     921       7     921    1481    +    4.5e-278  923.8  21.9  -
Burkholderiaceae_Caballeronia                    -          LKAP-TSAKG2_H07_049_2018_2 -               27     930      13     921       9     921    1479    +    7.6e-278  923.0  21.4  -
