# target name             accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          B0304_LKAP-FHGF1_A02_016 -               18    1057       3    1044       1    1044    1474    +           0 1210.4  22.1  -
Yersiniaceae              -          B0304_LKAP-FHGF1_A02_016 -               18    1047       3    1044       1    1044    1473    +           0 1085.4  22.2  -
Enterobacteriaceae        -          B0304_LKAP-FHGF1_A02_016 -               19    1047       4    1044       1    1044    1465    +           0 1084.6  22.2  -
Erwiniaceae               -          B0304_LKAP-FHGF1_A02_016 -               14    1042       4    1044       1    1044    1483    +           0 1078.0  22.1  -
Pectobacteriaceae         -          B0304_LKAP-FHGF1_A02_016 -               16    1044       4    1044       1    1044    1477    +           0 1077.7  22.2  -
Alteromonadales           -          B0304_LKAP-FHGF1_A02_016 -               19    1048       4    1044       1    1044    1468    +           0 1074.7  22.0  -
Aeromonadaceae            -          B0304_LKAP-FHGF1_A02_016 -               30    1061       3    1044       1    1044    1496    +           0 1063.8  22.0  -
Ferrimonadaceae           -          B0304_LKAP-FHGF1_A02_016 -               19    1057       4    1044       1    1044    1475    +           0 1062.6  22.0  -
Hafniaceae                -          B0304_LKAP-FHGF1_A02_016 -               15    1041       6    1044       1    1044    1459    +           0 1058.1  22.1  -
Morganellaceae            -          B0304_LKAP-FHGF1_A02_016 -               21    1050       3    1044       1    1044    1487    +           0 1057.1  22.2  -
Gammaproteobacteria       -          B0304_LKAP-FHGF1_A02_016 -               22    1046       6    1044       1    1044    1481    +           0 1054.5  21.9  -
Shewanellaceae            -          B0304_LKAP-FHGF1_A02_016 -               20    1049       5    1044       1    1044    1483    +           0 1053.4  22.1  -
Pseudoalteromonadaceae    -          B0304_LKAP-FHGF1_A02_016 -               18    1043       3    1044       1    1044    1469    +           0 1052.4  21.2  -
Alteromonadaceae          -          B0304_LKAP-FHGF1_A02_016 -               18    1046       3    1044       1    1044    1468    +           0 1047.2  22.1  -
Budviciaceae              -          B0304_LKAP-FHGF1_A02_016 -                7    1037       2    1044       1    1044    1483    +           0 1042.5  22.3  -
Idiomarinaceae            -          B0304_LKAP-FHGF1_A02_016 -               18    1048       3    1044       1    1044    1466    +           0 1027.9  21.8  -
Oceanospirillaceae        -          B0304_LKAP-FHGF1_A02_016 -               18    1048       3    1044       1    1044    1467    +    6.4e-307 1016.7  21.8  -
Psychromonadaceae         -          B0304_LKAP-FHGF1_A02_016 -               19    1047       4    1044       1    1044    1467    +    1.7e-306 1015.4  21.8  -
Colwelliaceae             -          B0304_LKAP-FHGF1_A02_016 -               20    1048       5    1044       1    1044    1467    +    6.8e-306 1013.5  21.9  -
Moritellaceae             -          B0304_LKAP-FHGF1_A02_016 -               34    1064       4    1044       1    1044    1501    +    3.5e-305 1010.9  21.9  -
Thorselliaceae            -          B0304_LKAP-FHGF1_A02_016 -                1    1016      12    1044      12    1044    1419    +    6.3e-301  996.9  22.4  -
Oceanospirillales         -          B0304_LKAP-FHGF1_A02_016 -               24    1052       3    1044       1    1044    1489    +    6.1e-299  990.2  22.1  -
Chromatiaceae             -          B0304_LKAP-FHGF1_A02_016 -               20    1036       5    1044       1    1044    1455    +    6.5e-299  990.3  22.1  -
Cellvibrionaceae          -          B0304_LKAP-FHGF1_A02_016 -               18    1046       3    1044       1    1044    1472    +    4.4e-297  984.2  21.9  -
Pseudomonadaceae          -          B0304_LKAP-FHGF1_A02_016 -               26    1051       4    1044       1    1044    1491    +    1.4e-296  982.5  21.3  -
Pasteurellaceae           -          B0304_LKAP-FHGF1_A02_016 -               21    1048       6    1044       1    1044    1422    +    7.6e-296  980.1  21.9  -
Piscirickettsiaceae       -          B0304_LKAP-FHGF1_A02_016 -               21    1050       4    1044       1    1044    1466    +    4.9e-295  977.3  21.7  -
Celerinatantimonadaceae   -          B0304_LKAP-FHGF1_A02_016 -               13    1054       3    1044       1    1044    1433    +      7e-293  970.3  22.1  -
Alcanivoracaceae          -          B0304_LKAP-FHGF1_A02_016 -               38    1066       3    1044       1    1044    1504    +    9.5e-293  969.7  21.6  -
Methylococcaceae          -          B0304_LKAP-FHGF1_A02_016 -               38    1054       8    1044       2    1044    1481    +    3.7e-291  964.5  21.6  -
Orbaceae                  -          B0304_LKAP-FHGF1_A02_016 -               46    1071       4    1044       1    1044    1539    +    3.1e-289  958.1  22.1  -
Lysobacteraceae           -          B0304_LKAP-FHGF1_A02_016 -               20    1049       4    1044       1    1044    1484    +    9.1e-288  953.4  21.9  -
Succinivibrionaceae       -          B0304_LKAP-FHGF1_A02_016 -               21    1024       3    1044       1    1044    1473    +    5.3e-287  950.8  21.9  -
Hahellaceae               -          B0304_LKAP-FHGF1_A02_016 -               18    1045       3    1044       1    1044    1473    +    3.8e-286  948.0  22.0  -
Halothiobacillaceae       -          B0304_LKAP-FHGF1_A02_016 -               36    1065       4    1044       1    1044    1500    +    1.7e-284  942.5  21.8  -
Halieaceae                -          B0304_LKAP-FHGF1_A02_016 -               25    1047       2    1044       1    1044    1484    +    8.2e-284  940.2  21.9  -
Halomonadaceae            -          B0304_LKAP-FHGF1_A02_016 -               19    1046       4    1044       1    1044    1466    +    1.2e-283  939.5  21.9  -
Ectothiorhodospiraceae    -          B0304_LKAP-FHGF1_A02_016 -               29    1053       6    1044       2    1044    1463    +    2.3e-283  938.8  21.8  -
Thioalkalispiraceae       -          B0304_LKAP-FHGF1_A02_016 -               35    1065       7    1044       2    1044    1479    +    2.4e-282  935.2  21.5  -
Moraxellaceae             -          B0304_LKAP-FHGF1_A02_016 -               18    1038       6    1044       1    1044    1468    +    6.1e-282  934.2  21.9  -
Kangiellaceae             -          B0304_LKAP-FHGF1_A02_016 -               33    1059       8    1044       2    1044    1479    +    1.6e-280  929.3  21.7  -
Thermoleophilaceae        -          B0304_LKAP-FHGF1_A02_016 -               12    1049       4    1044       1    1044    1494    +    3.6e-280  928.1  21.5  -
Saccharospirillaceae      -          B0304_LKAP-FHGF1_A02_016 -               21    1040       5    1044       1    1044    1468    +    4.3e-280  927.9  21.5  -
Litoricolaceae            -          B0304_LKAP-FHGF1_A02_016 -               26    1053       3    1044       1    1044    1474    +    1.4e-279  926.3  22.0  -
Microbulbiferaceae        -          B0304_LKAP-FHGF1_A02_016 -               18    1040       3    1044       1    1044    1480    +    8.6e-279  923.8  21.7  -
Spongiibacteraceae        -          B0304_LKAP-FHGF1_A02_016 -               21    1044       3    1044       1    1044    1462    +    9.3e-279  923.3  21.6  -
Thiotrichaceae            -          B0304_LKAP-FHGF1_A02_016 -               24    1003       8    1044       2    1044    1421    +    1.4e-273  906.2  20.7  -
Legionellaceae            -          B0304_LKAP-FHGF1_A02_016 -               19    1045       7    1044       2    1044    1446    +      4e-273  904.9  22.0  -
Chromobacteriaceae        -          B0304_LKAP-FHGF1_A02_016 -               21    1041       6    1044       2    1044    1460    +    5.5e-272  901.2  21.5  -
