# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSA1KG_H10_066_2018_1 -               24    1030      15    1016       3    1016    1491    +           0 1240.3  24.5  -
Bacillales                -          LKAP-TSA1KG_H10_066_2018_1 -               31    1041      15    1015       4    1016    1503    +           0 1165.5  24.5  -
Bacillaceae               -          LKAP-TSA1KG_H10_066_2018_1 -               20    1035      13    1015       2    1016    1493    +           0 1137.6  24.4  -
Listeriaceae              -          LKAP-TSA1KG_H10_066_2018_1 -               16    1009      19    1011       5    1016    1448    +           0 1131.8  24.1  -
Staphylococcaceae         -          LKAP-TSA1KG_H10_066_2018_1 -               26    1024      15    1010       3    1016    1479    +           0 1129.9  23.9  -
Carnobacteriaceae         -          LKAP-TSA1KG_H10_066_2018_1 -               24    1026      15    1011       3    1016    1496    +           0 1108.0  24.2  -
Sporolactobacillaceae     -          LKAP-TSA1KG_H10_066_2018_1 -               26    1019      17    1008       3    1016    1503    +           0 1103.3  24.2  -
Enterococcaceae           -          LKAP-TSA1KG_H10_066_2018_1 -               25    1031      16    1011       3    1016    1498    +           0 1100.2  24.2  -
Aerococcaceae             -          LKAP-TSA1KG_H10_066_2018_1 -               25    1024      16    1010       3    1016    1473    +           0 1088.3  23.9  -
Paenibacillaceae          -          LKAP-TSA1KG_H10_066_2018_1 -               24    1033      14    1016       3    1016    1493    +           0 1085.8  24.4  -
Lactobacillaceae          -          LKAP-TSA1KG_H10_066_2018_1 -               29    1053      17    1010       3    1015    1522    +           0 1064.6  24.2  -
Thermoactinomycetaceae    -          LKAP-TSA1KG_H10_066_2018_1 -               32    1029      15    1016       4    1016    1495    +           0 1046.9  24.3  -
Peptococcaceae            -          LKAP-TSA1KG_H10_066_2018_1 -               36     997      19    1005       3    1016    1479    +    6.3e-298  986.9  24.7  -
Alicyclobacillaceae       -          LKAP-TSA1KG_H10_066_2018_1 -               46    1027      17    1010       4    1016    1512    +    1.1e-297  986.5  24.2  -
Leuconostocaceae          -          LKAP-TSA1KG_H10_066_2018_1 -               20    1027      15    1011       4    1016    1479    +    2.4e-295  978.6  24.3  -
Clostridiaceae            -          LKAP-TSA1KG_H10_066_2018_1 -               43    1009      19    1015       3    1016    1485    +    2.8e-294  974.8  24.0  -
Eubacteriaceae            -          LKAP-TSA1KG_H10_066_2018_1 -               43    1018      19    1015       4    1016    1485    +    7.9e-294  973.4  25.0  -
Streptococcaceae          -          LKAP-TSA1KG_H10_066_2018_1 -               31    1035      16    1015       3    1016    1497    +    4.8e-293  970.9  24.4  -
Clostridiales             -          LKAP-TSA1KG_H10_066_2018_1 -               36    1006      19    1009       4    1016    1470    +    6.3e-289  957.1  24.6  -
Erysipelotrichaceae       -          LKAP-TSA1KG_H10_066_2018_1 -               30     992      16     995       5    1015    1466    +    3.6e-286  948.2  24.4  -
Peptostreptococcaceae     -          LKAP-TSA1KG_H10_066_2018_1 -               29     993      19    1015       4    1016    1441    +    4.3e-283  937.7  24.8  -
Syntrophomonadaceae       -          LKAP-TSA1KG_H10_066_2018_1 -               46    1034      19    1006       3    1015    1515    +    1.9e-279  925.6  24.0  -
Ruminococcaceae           -          LKAP-TSA1KG_H10_066_2018_1 -               29    1009      19    1015       4    1016    1457    +    9.5e-279  923.3  24.7  -
Thermoanaerobacteraceae   -          LKAP-TSA1KG_H10_066_2018_1 -               35     977      19     977       4     998    1492    +    3.5e-277  918.1  25.2  -
Selenomonadaceae          -          LKAP-TSA1KG_H10_066_2018_1 -               39    1050      13    1010       3    1015    1531    +    3.2e-275  911.7  24.4  -
Thermoanaerobacterales    -          LKAP-TSA1KG_H10_066_2018_1 -               29     980      14     978       3     998    1472    +    5.2e-270  894.5  25.4  -
Heliobacteriaceae         -          LKAP-TSA1KG_H10_066_2018_1 -               46    1009      19    1010       4    1016    1500    +    2.3e-268  889.1  24.6  -
Sporomusaceae             -          LKAP-TSA1KG_H10_066_2018_1 -               48    1043      19    1009       3    1015    1535    +    3.2e-267  885.0  24.7  -
