# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales_Exiguobacterium                       -          LKAP-GUTHK2_F03_021_2017_1 -               36    1064      15    1040       2    1043    1526    +           0 1209.4  30.3  -
Bacillaceae_Virgibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               15    1055       7    1040       2    1043    1519    +    3.1e-297  987.5  30.5  -
Bacillaceae_Pontibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -                7    1035      15    1040       9    1043    1469    +    1.8e-296  984.9  29.8  -
Bacillaceae_Oceanobacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               17    1053       9    1040       2    1043    1508    +      1e-295  982.4  30.6  -
Bacillaceae_Aquibacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               40    1070      15    1040       2    1043    1524    +      2e-295  981.3  30.1  -
Planococcaceae_Kurthia                           -          LKAP-GUTHK2_F03_021_2017_1 -               16    1041       8    1040       2    1043    1479    +    2.2e-295  981.0  29.4  -
Bacillaceae_Salinibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               21    1051      15    1040       3    1043    1471    +    2.9e-295  981.0  30.1  -
Bacillaceae_Domibacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               22    1040      14    1040       2    1043    1476    +    3.8e-294  977.2  29.0  -
Bacillaceae_Anoxybacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               24    1044      15    1040       3    1043    1495    +    8.6e-294  976.0  28.6  -
Sporolactobacillaceae_Pullulanibacillus          -          LKAP-GUTHK2_F03_021_2017_1 -               43    1070      15    1040       3    1043    1553    +    1.3e-293  975.5  30.8  -
Bacillaceae_Lysinibacillus                       -          LKAP-GUTHK2_F03_021_2017_1 -               20    1043      12    1040       2    1043    1476    +    2.5e-292  971.0  29.0  -
Bacillaceae_Ornithinibacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               22    1051      14    1040       2    1043    1482    +    6.9e-292  969.7  30.3  -
Planococcaceae_Ureibacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               31    1049      16    1040       3    1043    1497    +    1.1e-291  968.8  28.6  -
Bacillaceae_Scopulibacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               43    1072      15    1040       2    1043    1555    +    4.8e-291  966.7  30.5  -
Bacillaceae_Amphibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               23    1057      15    1040       2    1043    1490    +    8.4e-291  966.1  30.3  -
Planococcaceae_Sporosarcina                      -          LKAP-GUTHK2_F03_021_2017_1 -               24    1039      16    1040       3    1043    1504    +    6.8e-290  963.0  28.3  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-GUTHK2_F03_021_2017_1 -               15    1041       7    1040       2    1043    1507    +    3.2e-289  960.7  29.3  -
Bacillaceae_Lentibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -                5    1045       7    1040       3    1043    1470    +    4.7e-289  960.4  30.6  -
Bacillales_Rummeliibacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               17    1037       9    1040       2    1043    1473    +    2.8e-288  957.6  28.8  -
Bacillaceae_Sediminibacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -                3    1037      14    1040      12    1043    1478    +    1.8e-287  955.1  29.3  -
Bacillaceae_Gracilibacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               19    1055       9    1040       2    1043    1511    +    2.5e-287  954.6  30.4  -
Bacillaceae_Thalassobacillus                     -          LKAP-GUTHK2_F03_021_2017_1 -               30    1062      15    1040       2    1043    1506    +    7.8e-286  949.7  30.3  -
Bacillaceae_Salipaludibacillus                   -          LKAP-GUTHK2_F03_021_2017_1 -                5    1038      15    1040      12    1043    1480    +    1.2e-284  945.6  29.4  -
Planococcaceae_Chryseomicrobium                  -          LKAP-GUTHK2_F03_021_2017_1 -               23    1041      15    1040       2    1043    1483    +    2.6e-284  944.4  28.8  -
Bacillaceae_Terribacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -               15    1044      14    1040       2    1043    1472    +      9e-284  942.8  30.0  -
Enterococcaceae_Enterococcus                     -          LKAP-GUTHK2_F03_021_2017_1 -               23    1048      15    1040       2    1043    1502    +    1.8e-283  941.7  28.9  -
Bacillaceae_Halobacillus                         -          LKAP-GUTHK2_F03_021_2017_1 -               15    1055       7    1040       1    1044    1520    +    2.5e-283  941.3  30.2  -
Staphylococcaceae_Macrococcus                    -          LKAP-GUTHK2_F03_021_2017_1 -               44    1062      16    1040       3    1043    1547    +    3.5e-283  940.7  28.7  -
Bacillaceae_Paraliobacillus                      -          LKAP-GUTHK2_F03_021_2017_1 -               23    1056      15    1040       2    1043    1511    +    9.5e-283  939.4  30.0  -
Bacillaceae_Halolactibacillus                    -          LKAP-GUTHK2_F03_021_2017_1 -               11    1042      16    1040       7    1043    1491    +    1.3e-282  938.8  29.6  -
Paenibacillaceae_Aneurinibacillus                -          LKAP-GUTHK2_F03_021_2017_1 -               26    1030      16    1040       3    1043    1483    +    1.4e-282  938.7  27.5  -
Bacillaceae_Fictibacillus                        -          LKAP-GUTHK2_F03_021_2017_1 -                6    1018      17    1040      13    1043    1439    +    2.7e-282  937.8  27.5  -
Enterococcaceae_Vagococcus                       -          LKAP-GUTHK2_F03_021_2017_1 -               20    1049      12    1040       2    1043    1472    +    2.2e-281  934.9  29.2  -
Bacillaceae_Alkalicoccus                         -          LKAP-GUTHK2_F03_021_2017_1 -               43    1083      15    1040       2    1043    1558    +    5.8e-281  933.5  30.2  -
Planococcaceae_Planococcus                       -          LKAP-GUTHK2_F03_021_2017_1 -               34    1049      16    1040       3    1043    1492    +    7.7e-281  933.0  28.5  -
Planococcaceae_Bhargavaea                        -          LKAP-GUTHK2_F03_021_2017_1 -               44    1058      16    1040       2    1043    1544    +    2.4e-280  931.4  28.9  -
