# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_C01_011.seq -               24    1172       5    1155       2    1158    1474    +           0 1392.1  23.1  -
Ferrimonadaceae           -          LKAP.g-Gut1_C01_011.seq -               24    1172       5    1155       2    1158    1475    +           0 1244.9  23.2  -
Alteromonadales           -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1468    +           0 1224.1  22.6  -
Enterobacteriaceae        -          LKAP.g-Gut1_C01_011.seq -               24    1161       5    1155       2    1158    1465    +           0 1219.6  22.7  -
Gammaproteobacteria       -          LKAP.g-Gut1_C01_011.seq -               24    1161       5    1155       2    1158    1481    +           0 1217.6  22.6  -
Shewanellaceae            -          LKAP.g-Gut1_C01_011.seq -               23    1164       4    1155       2    1158    1483    +           0 1217.2  22.6  -
Yersiniaceae              -          LKAP.g-Gut1_C01_011.seq -               24    1162       5    1155       2    1158    1473    +           0 1215.1  22.7  -
Erwiniaceae               -          LKAP.g-Gut1_C01_011.seq -               19    1156       5    1155       2    1158    1483    +           0 1212.6  22.8  -
Alteromonadaceae          -          LKAP.g-Gut1_C01_011.seq -               24    1160       5    1155       2    1158    1468    +           0 1208.1  22.7  -
Pectobacteriaceae         -          LKAP.g-Gut1_C01_011.seq -               21    1159       5    1155       2    1158    1477    +           0 1207.1  22.8  -
Aeromonadaceae            -          LKAP.g-Gut1_C01_011.seq -               36    1176       5    1155       2    1158    1496    +           0 1196.6  22.6  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_C01_011.seq -               24    1158       5    1155       2    1158    1469    +           0 1195.7  21.9  -
Morganellaceae            -          LKAP.g-Gut1_C01_011.seq -               27    1165       5    1155       2    1158    1487    +           0 1189.9  22.9  -
Hafniaceae                -          LKAP.g-Gut1_C01_011.seq -               18    1156       5    1155       2    1158    1459    +           0 1187.8  22.7  -
Budviciaceae              -          LKAP.g-Gut1_C01_011.seq -               14    1152       5    1155       2    1158    1483    +           0 1177.6  22.5  -
Oceanospirillaceae        -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1467    +           0 1177.1  22.5  -
Colwelliaceae             -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1467    +           0 1173.1  22.6  -
Idiomarinaceae            -          LKAP.g-Gut1_C01_011.seq -               24    1163       5    1155       2    1158    1466    +           0 1167.3  22.6  -
Moritellaceae             -          LKAP.g-Gut1_C01_011.seq -               39    1179       5    1155       2    1158    1501    +           0 1161.5  22.4  -
