# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B2b1_reverse         -              487    1445    1010      43    1035      23    1504    -           0 1030.2   7.6  -
Unclassified_Oceanospirillales   -          B2b1_reverse         -              464    1425    1014      44    1036      23    1483    -           0 1028.5   7.8  -
Microbulbiferaceae               -          B2b1_reverse         -              463    1422    1009      41    1033      21    1478    -      9e-307 1015.7   7.8  -
Spongiibacteraceae               -          B2b1_reverse         -              434    1423    1048      44    1069      23    1462    -    2.9e-306 1013.6   7.4  -
Unclassified_Alteromonadales     -          B2b1_reverse         -              439    1426    1046      44    1066      24    1467    -    3.8e-305 1009.9   7.3  -
Thermoleophilaceae               -          B2b1_reverse         -              469    1450    1006      27    1030       7    1486    -    1.3e-303 1004.9   7.6  -
Thioalkalispiraceae              -          B2b1_reverse         -              486    1443    1008      43    1030      22    1478    -    3.7e-303 1003.4   7.9  -
Litoricolaceae                   -          B2b1_reverse         -              470    1431    1015      44    1059      24    1474    -    1.4e-297  985.1   7.3  -
Kangiellaceae                    -          B2b1_reverse         -              482    1435    1008      45    1030      25    1479    -      6e-296  979.5   7.7  -
Halothiobacillaceae              -          B2b1_reverse         -              490    1445    1006      43    1026      22    1501    -    1.5e-295  978.2   7.5  -
Halieaceae                       -          B2b1_reverse         -              473    1427    1006      43    1030      22    1484    -    1.9e-295  977.9   7.9  -
Saccharospirillaceae             -          B2b1_reverse         -              464    1406    1008      57    1030      34    1468    -    5.3e-295  976.4   7.9  -
Colwelliaceae                    -          B2b1_reverse         -              438    1441    1046      28    1068      19    1465    -    3.3e-290  960.7   7.2  -
Nevskiaceae                      -          B2b1_reverse         -              463    1419    1010      45    1033      25    1470    -    1.7e-284  942.0   7.8  -
Idiomarinaceae                   -          B2b1_reverse         -              468    1427    1011      44    1050      23    1466    -    2.9e-284  940.7   7.5  -
Granulosicoccaceae               -          B2b1_reverse         -              471    1428    1008      44    1030      24    1471    -    3.8e-283  937.3   7.7  -
Cardiobacteriaceae               -          B2b1_reverse         -              473    1417    1009      54    1030      29    1462    -    3.1e-281  931.1   7.9  -
Aeromonadaceae                   -          B2b1_reverse         -              481    1440    1012      44    1036      24    1496    -      5e-281  929.9   7.8  -
Arenicellaceae                   -          B2b1_reverse         -              469    1419    1005      44    1026      24    1488    -    4.7e-280  927.0   7.8  -
Coxiellaceae                     -          B2b1_reverse         -              477    1433    1009      43    1034      23    1473    -    6.2e-280  926.6   7.8  -
Ferrimonadaceae                  -          B2b1_reverse         -              446    1442    1049      38    1070      18    1475    -    2.3e-279  924.5   7.2  -
Acidiferrobacteraceae            -          B2b1_reverse         -              463    1415    1006      46    1026      25    1456    -    1.7e-277  918.6   7.6  -
Succinivibrionaceae              -          B2b1_reverse         -              452    1408    1007      39    1030      22    1474    -    6.7e-273  903.2   7.8  -
Wenzhouxiangellaceae             -          B2b1_reverse         -              476    1433    1006      42    1027      21    1472    -    4.4e-271  897.1   7.6  -
Desulfohalobiaceae               -          B2b1_reverse         -              507    1464     997      35    1029      15    1510    -    8.8e-268  886.2   7.5  -
Moritellaceae                    -          B2b1_reverse         -              462    1443    1040      44    1065      24    1501    -    3.7e-267  884.1   7.3  -
Psychromonadaceae                -          B2b1_reverse         -              442    1424    1043      46    1065      25    1467    -      3e-264  874.6   7.1  -
Celerinatantimonadaceae          -          B2b1_reverse         -              437    1429    1049      48    1069      44    1433    -    3.1e-263  871.3   7.5  -
Desulfobulbaceae                 -          B2b1_reverse         -              474    1452    1014      34    1036      21    1482    -    4.4e-263  870.7   7.6  -
Salinisphaeraceae                -          B2b1_reverse         -              453    1413    1013      44    1034      25    1432    -    7.8e-263  869.9   7.7  -
Methylothermaceae                -          B2b1_reverse         -              492    1446    1007      48    1028      27    1491    -    2.7e-262  868.1   7.8  -
Hafniaceae                       -          B2b1_reverse         -              462    1420    1011      44    1050      24    1459    -    8.4e-261  863.0   7.8  -
Unclassified_Deltaproteobacteria -          B2b1_reverse         -              513    1466     995      39    1016      19    1518    -    1.4e-259  859.2   7.5  -
Budviciaceae                     -          B2b1_reverse         -              459    1416    1010      44    1035      24    1483    -    5.1e-259  857.2   8.1  -
Desulfuromonadaceae              -          B2b1_reverse         -              498    1458    1009      45    1032      25    1519    -    4.2e-258  854.2   7.9  -
Francisellaceae                  -          B2b1_reverse         -              471    1416    1006      53    1028      33    1509    -      6e-258  853.7   7.8  -
Geobacteraceae                   -          B2b1_reverse         -              500    1459     997      32    1029      19    1485    -    3.6e-257  851.1   7.8  -
Orbaceae                         -          B2b1_reverse         -              496    1448    1006      44    1028      24    1538    -    2.6e-256  848.2   8.0  -
Unclassified_Thiotrichales       -          B2b1_reverse         -              496    1440     995      45    1016      25    1517    -    2.8e-256  848.0   8.1  -
Hydrogenophilaceae               -          B2b1_reverse         -              465    1421    1008      45    1028      25    1462    -    3.8e-256  847.9   7.9  -
Sulfuricellaceae                 -          B2b1_reverse         -              478    1424     995      43    1026      23    1462    -      5e-256  847.4   7.7  -
Syntrophaceae                    -          B2b1_reverse         -              499    1469    1007      31    1031      10    1556    -    1.1e-254  842.8   7.8  -
Methylophilaceae                 -          B2b1_reverse         -              463    1408     994      45    1015      25    1430    -    1.7e-254  842.2   8.0  -
Acidithiobacillaceae             -          B2b1_reverse         -              464    1419    1006      43    1028      23    1457    -    2.5e-249  825.0   7.8  -
Azonexaceae                      -          B2b1_reverse         -              464    1423    1012      46    1033      26    1474    -    3.5e-249  824.8   8.0  -
Unclassified_Acidobacteria       -          B2b1_reverse         -              512    1452     995      47    1015      29    1505    -    7.2e-247  817.5   8.0  -
Zoogloeaceae                     -          B2b1_reverse         -              474    1428    1006      44    1027      24    1474    -    7.8e-247  816.8   7.9  -
Unclassified_Alphaproteobacteria -          B2b1_reverse         -              427    1375     995      39    1015      19    1412    -      1e-246  816.8   7.6  -
Thermithiobacillaceae            -          B2b1_reverse         -              443    1404    1015      47    1038      29    1419    -    2.6e-245  811.8   7.8  -
Hyphomonadaceae                  -          B2b1_reverse         -              426    1350     994      44    1014      24    1399    -    3.6e-245  811.6   7.5  -
Thiobacilliaceae                 -          B2b1_reverse         -              477    1434    1015      45    1035      24    1517    -    7.3e-245  810.4   8.2  -
Sutterellaceae                   -          B2b1_reverse         -              471    1419    1006      43    1026      22    1487    -    1.8e-243  805.5   7.7  -
Desulfomicrobiaceae              -          B2b1_reverse         -              491    1441    1005      46    1027      26    1495    -      3e-242  801.7   7.7  -
