# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B2c_reverse          -              487    1448     990      24    1011      11    1491    -           0 1106.6   9.2  -
Cellvibrionaceae          -          B2c_reverse          -              480    1444     991      23    1024      11    1472    -           0 1055.3   9.0  -
Oceanospirillaceae        -          B2c_reverse          -              484    1442     990      27    1024      11    1467    -           0 1032.5   9.1  -
Alcanivoracaceae          -          B2c_reverse          -              501    1461     990      25    1010      12    1504    -    2.4e-308 1021.5   9.2  -
Alteromonadaceae          -          B2c_reverse          -              482    1443     990      23    1022      11    1468    -    5.2e-308 1020.5   9.3  -
Hahellaceae               -          B2c_reverse          -              437    1443    1043      23    1064      10    1473    -    8.8e-308 1019.9   8.3  -
Gammaproteobacteria       -          B2c_reverse          -              482    1442     990      25    1011      12    1481    -      1e-307 1019.4   9.2  -
Oceanospirillales         -          B2c_reverse          -              487    1434     990      39    1011      18    1489    -    4.3e-306 1014.0   9.7  -
Microbulbiferaceae        -          B2c_reverse          -              476    1423     990      38    1011      17    1480    -    2.6e-305 1011.8   9.8  -
Thermoleophilaceae        -          B2c_reverse          -              482    1450     990      32    1010      21    1494    -    2.1e-303 1005.2   9.8  -
Spongiibacteraceae        -          B2c_reverse          -              433    1428    1046      37    1062      16    1462    -    1.1e-300  996.2   8.7  -
Alteromonadales           -          B2c_reverse          -              426    1444    1056      25    1069      11    1468    -    2.7e-300  994.7   8.2  -
Thioalkalispiraceae       -          B2c_reverse          -              499    1458     990      27    1022      12    1479    -    1.8e-298  988.9   9.2  -
Methylococcaceae          -          B2c_reverse          -              488    1436     991      39    1024      19    1481    -      3e-297  984.9   9.6  -
Litoricolaceae            -          B2c_reverse          -              489    1448     990      25    1022      13    1474    -    2.2e-296  982.2   9.2  -
Chromatiaceae             -          B2c_reverse          -              471    1418     990      39    1010      18    1455    -    2.2e-295  978.8   9.7  -
