# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Rhodobacteraceae          -          LKAP-Gut2_B06_046.seq -               27    1102       4    1074       2    1080    1402    +           0 1277.7  15.6  -
Hyphomonadaceae           -          LKAP-Gut2_B06_046.seq -               27    1099       4    1073       2    1081    1400    +           0 1153.2  15.8  -
Rhizobiaceae              -          LKAP-Gut2_B06_046.seq -               27    1100       4    1079       2    1081    1422    +           0 1126.2  15.8  -
Rhodobiaceae              -          LKAP-Gut2_B06_046.seq -               38    1112       5    1079       2    1081    1440    +           0 1125.1  15.5  -
Hyphomicrobiaceae         -          LKAP-Gut2_B06_046.seq -               27    1102       4    1079       2    1081    1427    +           0 1120.7  15.5  -
Methylocystaceae          -          LKAP-Gut2_B06_046.seq -               38    1111       4    1079       2    1081    1424    +           0 1119.3  15.6  -
Phyllobacteriaceae        -          LKAP-Gut2_B06_046.seq -               27    1102       4    1079       2    1081    1424    +           0 1118.9  15.8  -
Alphaproteobacteria       -          LKAP-Gut2_B06_046.seq -               27    1097       4    1073       2    1081    1409    +           0 1107.8  15.4  -
Rhizobiales               -          LKAP-Gut2_B06_046.seq -               37    1112       4    1079       2    1081    1438    +           0 1099.2  15.7  -
Rhodospirillaceae         -          LKAP-Gut2_B06_046.seq -               30    1104       5    1073       2    1080    1429    +           0 1097.7  15.8  -
Aurantimonadaceae         -          LKAP-Gut2_B06_046.seq -               44    1116       4    1079       2    1081    1442    +           0 1092.6  15.7  -
Brucellaceae              -          LKAP-Gut2_B06_046.seq -               33    1104       5    1078       2    1081    1411    +           0 1079.8  15.9  -
Xanthobacteraceae         -          LKAP-Gut2_B06_046.seq -               27    1100       4    1079       2    1081    1415    +           0 1077.7  15.9  -
Beijerinckiaceae          -          LKAP-Gut2_B06_046.seq -               40    1115       4    1078       2    1081    1421    +           0 1068.7  15.7  -
Caulobacteraceae          -          LKAP-Gut2_B06_046.seq -               27    1093       4    1073       2    1081    1415    +           0 1068.7  15.4  -
Sneathiellaceae           -          LKAP-Gut2_B06_046.seq -               33    1113       5    1073       2    1081    1427    +           0 1057.5  15.9  -
Bradyrhizobiaceae         -          LKAP-Gut2_B06_046.seq -               33    1103       9    1079       2    1081    1428    +           0 1055.7  15.6  -
Methylobacteriaceae       -          LKAP-Gut2_B06_046.seq -               27    1099       4    1077       2    1081    1426    +           0 1047.0  15.6  -
Sphingomonadaceae         -          LKAP-Gut2_B06_046.seq -               34    1108       4    1077       2    1081    1434    +           0 1035.3  15.3  -
Kordiimonadaceae          -          LKAP-Gut2_B06_046.seq -               28    1108       5    1073       2    1081    1421    +           0 1033.9  15.5  -
Parvularculaceae          -          LKAP-Gut2_B06_046.seq -               47    1116       4    1073       2    1081    1428    +           0 1030.0  15.6  -
Bartonellaceae            -          LKAP-Gut2_B06_046.seq -               28    1104       5    1079       2    1081    1410    +           0 1028.7  15.4  -
Erythrobacteraceae        -          LKAP-Gut2_B06_046.seq -               28    1102       4    1077       2    1081    1433    +    4.2e-308 1021.1  15.5  -
Cohaesibacteraceae        -          LKAP-Gut2_B06_046.seq -               45    1116       2    1073       1    1081    1425    +    8.1e-307 1016.7  15.2  -
Chelatococcaceae          -          LKAP-Gut2_B06_046.seq -               38    1114       4    1079       2    1081    1439    +    9.1e-303 1003.4  15.6  -
