# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-TSAKG2_E08_056_2018_2 -                6     424      14     433       9     436    1448    +    1.8e-125  413.4   9.1  -
Sporolactobacillaceae            -          LKAP-TSAKG2_E08_056_2018_2 -               18     436      13     434       7     436    1503    +    1.9e-123  406.5   9.3  -
Aerococcaceae                    -          LKAP-TSAKG2_E08_056_2018_2 -               18     441      13     433       7     436    1474    +    1.1e-117  387.4   9.0  -
Acidaminococcaceae               -          LKAP-TSAKG2_E08_056_2018_2 -               31     446      18     430       7     435    1506    +     4.7e-97  318.9   9.2  -
Heliobacteriaceae                -          LKAP-TSAKG2_E08_056_2018_2 -               35     447      13     431       8     435    1502    +     4.4e-94  309.2   9.5  -
Entomoplasmataceae               -          LKAP-TSAKG2_E08_056_2018_2 -               25     431      13     434       8     436    1498    +     6.3e-94  308.9   9.4  -
Deferribacteraceae               -          LKAP-TSAKG2_E08_056_2018_2 -               26     435      14     430       9     435    1514    +     3.6e-92  302.7   9.2  -
Thermolithobacteraceae           -          LKAP-TSAKG2_E08_056_2018_2 -               38     470      13     429       7     433    1546    +     3.2e-91  299.4   9.3  -
Nitrospiraceae                   -          LKAP-TSAKG2_E08_056_2018_2 -               24     439      13     433       8     436    1480    +     2.3e-90  296.9   9.1  -
Rubrobacteraceae                 -          LKAP-TSAKG2_E08_056_2018_2 -               23     428      17     429       6     432    1494    +     9.2e-90  294.9   9.5  -
Natranaerobiaceae                -          LKAP-TSAKG2_E08_056_2018_2 -                3     422      19     430      17     435    1426    +     1.4e-89  294.2   9.4  -
Halanaerobiaceae                 -          LKAP-TSAKG2_E08_056_2018_2 -               35     459      18     430       9     435    1506    +     6.3e-89  292.0   9.0  -
Bdellovibrionaceae               -          LKAP-TSAKG2_E08_056_2018_2 -               14     417      13     431       7     435    1430    +     2.5e-88  290.1   9.5  -
Bogoriellaceae                   -          LKAP-TSAKG2_E08_056_2018_2 -               22     426      16     429       5     434    1472    +     2.9e-88  289.9   9.6  -
Dermatophilaceae                 -          LKAP-TSAKG2_E08_056_2018_2 -               27     427      17     429       9     434    1481    +     5.4e-88  288.9   9.4  -
Sanguibacteraceae                -          LKAP-TSAKG2_E08_056_2018_2 -               41     440      18     429       8     434    1483    +     7.3e-88  288.6   9.3  -
