# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B1g3_reverse         -              494    1462    1014      24    1017       4    1504    -    3.9e-240  794.2  11.5  -
Unclassified_Oceanospirillales   -          B1g3_reverse         -              475    1442    1013      25    1017       5    1483    -    1.5e-239  792.2  11.4  -
Microbulbiferaceae               -          B1g3_reverse         -              469    1437    1013      24    1017       4    1478    -    7.3e-238  787.1  11.4  -
Spongiibacteraceae               -          B1g3_reverse         -              475    1441    1011      24    1017       5    1462    -    8.2e-235  776.6  11.4  -
Unclassified_Alteromonadales     -          B1g3_reverse         -              476    1447    1013      22    1017       4    1467    -    3.3e-234  774.6  11.3  -
Thermoleophilaceae               -          B1g3_reverse         -              469    1448    1016      27    1017       7    1486    -    1.9e-232  768.9  11.6  -
Thioalkalispiraceae              -          B1g3_reverse         -              491    1455    1013      30    1017      10    1478    -    5.5e-231  764.0  11.2  -
Halieaceae                       -          B1g3_reverse         -              476    1444    1013      24    1017       4    1484    -    5.8e-227  750.7  11.5  -
Litoricolaceae                   -          B1g3_reverse         -              483    1449    1013      24    1017       5    1474    -    2.3e-226  748.9  11.4  -
Halothiobacillaceae              -          B1g3_reverse         -              493    1469    1013      16    1017       3    1501    -    8.9e-225  743.5  11.5  -
Kangiellaceae                    -          B1g3_reverse         -              487    1442    1013      37    1017      17    1479    -    2.8e-224  741.8  11.1  -
Saccharospirillaceae             -          B1g3_reverse         -              469    1403    1013      59    1017      39    1468    -    4.2e-224  741.2  10.8  -
Colwelliaceae                    -          B1g3_reverse         -              475    1444    1013      23    1017       4    1465    -    1.3e-221  733.2  11.4  -
Idiomarinaceae                   -          B1g3_reverse         -              476    1444    1013      25    1017       5    1466    -    1.6e-215  712.7  11.5  -
Nevskiaceae                      -          B1g3_reverse         -              469    1432    1014      31    1017       7    1470    -    1.9e-215  713.0  11.3  -
Aeromonadaceae                   -          B1g3_reverse         -              489    1469    1014      12    1017       2    1496    -    5.7e-214  707.5  11.6  -
Granulosicoccaceae               -          B1g3_reverse         -              475    1446    1014      24    1017      10    1471    -    5.8e-212  701.2  11.1  -
Cardiobacteriaceae               -          B1g3_reverse         -              479    1442    1013      25    1017       6    1462    -    9.1e-212  700.7  11.5  -
Ferrimonadaceae                  -          B1g3_reverse         -              486    1455    1013      23    1017       5    1475    -    5.3e-211  697.7  11.5  -
Coxiellaceae                     -          B1g3_reverse         -              481    1449    1015      25    1017       5    1473    -    2.7e-210  695.6  11.7  -
Arenicellaceae                   -          B1g3_reverse         -              471    1448    1013      12    1017       2    1488    -    7.8e-210  694.1  11.6  -
Acidiferrobacteraceae            -          B1g3_reverse         -              465    1427    1014      33    1017      17    1456    -    3.2e-208  688.8  11.3  -
Desulfohalobiaceae               -          B1g3_reverse         -              502    1429    1014      68    1017      46    1510    -    1.9e-204  676.1  10.6  -
Wenzhouxiangellaceae             -          B1g3_reverse         -              479    1443    1013      31    1017      10    1472    -    6.1e-204  674.4  11.4  -
Succinivibrionaceae              -          B1g3_reverse         -              454    1422    1015      25    1017       7    1474    -    2.4e-203  672.5  11.3  -
Moritellaceae                    -          B1g3_reverse         -              493    1461    1013      24    1017       4    1501    -    2.7e-201  665.6  11.7  -
Methylothermaceae                -          B1g3_reverse         -              496    1451    1013      42    1017      18    1491    -    2.9e-201  665.6  11.8  -
Salinisphaeraceae                -          B1g3_reverse         -              463    1425    1013      31    1017      24    1432    -    8.8e-200  660.8  12.1  -
Budviciaceae                     -          B1g3_reverse         -              466    1446    1013      11    1017       2    1483    -    2.7e-196  649.1  11.6  -
Desulfobulbaceae                 -          B1g3_reverse         -              488    1425    1013      60    1017      38    1482    -    3.6e-196  648.7  11.0  -
Orbaceae                         -          B1g3_reverse         -              499    1479    1013      10    1017       2    1538    -    6.8e-196  647.7  12.0  -
Celerinatantimonadaceae          -          B1g3_reverse         -              480    1424    1014      52    1017      45    1433    -    1.1e-195  647.2  11.1  -
Hafniaceae                       -          B1g3_reverse         -              470    1447    1013      14    1017       4    1459    -    1.4e-195  646.6  11.5  -
Psychromonadaceae                -          B1g3_reverse         -              476    1432    1013      37    1017      14    1467    -    2.3e-193  639.5  11.0  -
Sulfuricellaceae                 -          B1g3_reverse         -              474    1440    1011      25    1017       5    1462    -    3.2e-193  639.0  11.5  -
Francisellaceae                  -          B1g3_reverse         -              476    1416    1011      52    1017      28    1509    -    4.5e-193  638.5  10.6  -
Geobacteraceae                   -          B1g3_reverse         -              493    1419    1016      70    1017      42    1485    -    1.2e-192  637.0  10.8  -
Unclassified_Deltaproteobacteria -          B1g3_reverse         -              505    1445    1015      59    1017      38    1518    -    2.6e-192  636.1  11.0  -
Hydrogenophilaceae               -          B1g3_reverse         -              471    1431    1012      34    1017      13    1462    -    4.6e-192  635.4  11.6  -
Desulfuromonadaceae              -          B1g3_reverse         -              507    1464    1013      38    1017      26    1519    -    6.9e-192  634.5  11.9  -
Nautiliaceae                     -          B1g3_reverse         -              441    1375    1016      63    1017      41    1428    -    3.8e-191  632.4  11.2  -
Unclassified_Thiotrichales       -          B1g3_reverse         -              487    1460    1016      23    1017       3    1517    -    1.2e-190  630.3  11.8  -
Acidithiobacillaceae             -          B1g3_reverse         -              467    1435    1013      25    1017       7    1457    -    2.8e-189  625.8  12.1  -
Methylophilaceae                 -          B1g3_reverse         -              458    1422    1011      30    1017      22    1430    -    3.4e-189  625.6  12.1  -
Syntrophaceae                    -          B1g3_reverse         -              506    1439    1013      61    1017      40    1556    -      1e-188  624.0  10.7  -
Hyphomonadaceae                  -          B1g3_reverse         -              416    1325    1016      67    1017      46    1399    -    4.7e-188  622.1  11.3  -
Azonexaceae                      -          B1g3_reverse         -              475    1442    1012      25    1017       6    1474    -      2e-187  620.0  11.6  -
Zoogloeaceae                     -          B1g3_reverse         -              478    1445    1012      25    1017       5    1474    -    6.7e-186  614.7  11.7  -
Unclassified_Alphaproteobacteria -          B1g3_reverse         -              418    1347    1016      66    1017      45    1412    -    6.2e-185  611.8  10.8  -
Desulfomicrobiaceae              -          B1g3_reverse         -              491    1417    1015      68    1017      42    1495    -    3.8e-183  605.6  10.9  -
Thermithiobacillaceae            -          B1g3_reverse         -              457    1389    1011      61    1017      40    1419    -    5.6e-183  605.1  10.9  -
Unclassified_Acidobacteria       -          B1g3_reverse         -              502    1436    1017      62    1017      42    1505    -    5.8e-182  602.1  11.7  -
Deferribacteraceae               -          B1g3_reverse         -              481    1416    1017      70    1017      49    1514    -    9.9e-182  600.8  11.3  -
Unclassified_Rhizobiales         -          B1g3_reverse         -              426    1351    1016      70    1017      50    1437    -    2.2e-181  599.9  10.8  -
Aurantimonadaceae                -          B1g3_reverse         -              432    1356    1016      68    1017      48    1444    -    2.6e-181  599.8  11.0  -
Sneathiellaceae                  -          B1g3_reverse         -              431    1358    1016      69    1017      49    1427    -    4.7e-181  598.7  10.8  -
Thiobacilliaceae                 -          B1g3_reverse         -              490    1453    1012      24    1017       4    1517    -      8e-181  598.0  11.9  -
Nitrosomonadaceae                -          B1g3_reverse         -              474    1434    1012      33    1017      13    1463    -    1.6e-178  590.5  11.6  -
Listeriaceae                     -          B1g3_reverse         -              473    1391    1011      70    1017      50    1448    -    9.9e-178  587.8  10.6  -
Sutterellaceae                   -          B1g3_reverse         -              476    1427    1011      34    1017      14    1487    -    1.3e-177  587.0  11.5  -
Sporolactobacillaceae            -          B1g3_reverse         -              479    1405    1016      70    1017      50    1503    -    2.7e-177  586.2  10.8  -
Desulfonatronaceae               -          B1g3_reverse         -              489    1412    1013      68    1017      47    1495    -    5.8e-177  585.1  11.2  -
Aerococcaceae                    -          B1g3_reverse         -              491    1408    1010      70    1017      50    1474    -    4.1e-176  582.3  10.3  -
Leptospiraceae                   -          B1g3_reverse         -              447    1373    1015      63    1017      41    1433    -    9.8e-176  581.0  11.1  -
Holophagaceae                    -          B1g3_reverse         -              487    1431    1017      48    1017      28    1502    -    1.5e-175  580.6  11.2  -
Unclassified_Calditrichaeota     -          B1g3_reverse         -              488    1418    1015      67    1017      45    1483    -    1.6e-175  580.5  10.7  -
Desulfarculaceae                 -          B1g3_reverse         -              502    1460    1013      34    1017      15    1516    -    1.8e-175  580.2  11.7  -
Spirillaceae                     -          B1g3_reverse         -              487    1437    1012      44    1017      34    1447    -    3.9e-175  579.3  11.7  -
Myxococcaceae                    -          B1g3_reverse         -              498    1431    1014      58    1017      41    1517    -    4.7e-175  578.7  11.3  -
Erythrobacteraceae               -          B1g3_reverse         -              416    1350    1016      63    1017      43    1433    -    5.1e-175  578.8  10.6  -
Cystobacteraceae                 -          B1g3_reverse         -              482    1413    1014      60    1017      40    1491    -    7.5e-175  578.0  11.3  -
Nitrospiraceae                   -          B1g3_reverse         -              460    1403    1015      63    1017      43    1480    -    9.7e-174  574.5  10.7  -
Caulobacteraceae                 -          B1g3_reverse         -              416    1318    1016      68    1017      48    1418    -    1.7e-173  573.7  11.4  -
Kiloniellaceae                   -          B1g3_reverse         -              449    1373    1013      67    1017      48    1450    -    1.2e-172  570.6  10.6  -
Acidimicrobiaceae                -          B1g3_reverse         -              471    1394    1014      70    1017      50    1463    -    2.6e-172  569.8  10.8  -
Heliobacteriaceae                -          B1g3_reverse         -              470    1396    1016      71    1017      51    1502    -    5.2e-172  568.7  11.2  -
Oscillatoriales                  -          B1g3_reverse         -              423    1342    1011      70    1017      50    1445    -    6.5e-172  568.6  10.7  -
Parvularculaceae                 -          B1g3_reverse         -              438    1341    1015      69    1017      49    1429    -    6.8e-172  568.7  11.6  -
Thorselliaceae                   -          B1g3_reverse         -              445    1405    1013      32    1017      18    1419    -    1.2e-171  567.4  11.6  -
Natranaerobiaceae                -          B1g3_reverse         -              445    1365    1016      75    1017      55    1426    -    2.6e-171  566.3  10.8  -
