# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-GutHK_H11_081   -               12     954       7     948       2     948    1475    +    3.3e-308 1019.8  28.0  -
Aeromonadaceae                   -          LKAP-GutHK_H11_081   -               24     958       7     948       2     948    1496    +    1.2e-303 1004.6  26.4  -
Unclassified_Alteromonadales     -          LKAP-GutHK_H11_081   -               28     944      19     948       3     948    1467    +    6.8e-301  995.5  26.4  -
Hafniaceae                       -          LKAP-GutHK_H11_081   -               17     938      13     948       2     948    1459    +    5.1e-299  989.4  26.4  -
Budviciaceae                     -          LKAP-GutHK_H11_081   -                2     934       7     948       6     948    1483    +    1.8e-296  981.0  25.9  -
Colwelliaceae                    -          LKAP-GutHK_H11_081   -               27     943      18     948       3     948    1465    +    9.3e-289  955.6  26.5  -
Idiomarinaceae                   -          LKAP-GutHK_H11_081   -               13     945       8     948       2     948    1466    +    4.4e-288  953.0  26.7  -
Moritellaceae                    -          LKAP-GutHK_H11_081   -               42     961      18     948       3     948    1501    +    2.5e-284  940.7  26.1  -
Psychromonadaceae                -          LKAP-GutHK_H11_081   -               27     944      18     948       3     948    1467    +    5.9e-280  926.3  25.9  -
Thorselliaceae                   -          LKAP-GutHK_H11_081   -               40     913      72     948      51     948    1419    +    3.1e-276  913.9  25.2  -
Unclassified_Oceanospirillales   -          LKAP-GutHK_H11_081   -               17     943       7     948       2     948    1483    +    6.6e-276  912.7  27.3  -
Orbaceae                         -          LKAP-GutHK_H11_081   -               93     967      71     948      50     948    1538    +    9.3e-270  892.4  25.3  -
Alcanivoracaceae                 -          LKAP-GutHK_H11_081   -               33     963       8     948       3     948    1504    +    2.2e-269  891.1  26.6  -
Succinivibrionaceae              -          LKAP-GutHK_H11_081   -               16     921       8     948       3     948    1474    +    1.7e-266  881.7  26.8  -
Celerinatantimonadaceae          -          LKAP-GutHK_H11_081   -               22     951      18     948       3     948    1433    +    6.3e-266  879.9  26.6  -
Halothiobacillaceae              -          LKAP-GutHK_H11_081   -               44     962      18     948       2     948    1501    +    2.9e-263  870.9  26.5  -
Litoricolaceae                   -          LKAP-GutHK_H11_081   -               34     949      17     947       3     948    1474    +    1.6e-259  858.7  26.7  -
Halieaceae                       -          LKAP-GutHK_H11_081   -               21     944       8     948       3     948    1484    +    1.9e-259  858.3  26.9  -
