# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae             -          A1b_forward          -                2     895       5     900       4     900    1468    +           0 1065.9  19.6  -
Oceanospirillaceae        -          A1b_forward          -                3     905       3     900       1     900    1467    +    9.6e-295  976.1  18.8  -
Gammaproteobacteria       -          A1b_forward          -                2     903       2     900       1     900    1481    +    3.6e-292  967.5  18.8  -
Alteromonadaceae          -          A1b_forward          -                3     903       3     900       1     900    1468    +    3.9e-291  964.2  18.8  -
Oceanospirillales         -          A1b_forward          -                8     909       2     900       1     900    1489    +      8e-290  959.7  18.7  -
Hahellaceae               -          A1b_forward          -                3     902       3     900       1     900    1473    +    6.4e-288  953.7  18.8  -
Halomonadaceae            -          A1b_forward          -                2     903       2     900       1     900    1466    +    7.9e-287  949.9  18.7  -
Cellvibrionaceae          -          A1b_forward          -                2     903       2     900       1     900    1472    +    2.6e-283  938.3  18.8  -
Methylococcaceae          -          A1b_forward          -               16     911       2     900       1     900    1481    +    2.5e-282  935.1  19.0  -
Kangiellaceae             -          A1b_forward          -               11     916       2     900       1     900    1479    +    4.3e-282  934.2  18.8  -
Alcanivoracaceae          -          A1b_forward          -               22     923       2     900       1     900    1504    +    3.9e-281  931.0  18.9  -
Pseudomonadaceae          -          A1b_forward          -               10     908       3     900       1     900    1491    +    7.6e-281  930.1  18.4  -
Piscirickettsiaceae       -          A1b_forward          -                5     907       3     900       1     900    1466    +      2e-279  925.4  18.8  -
Ectothiorhodospiraceae    -          A1b_forward          -               10     910       3     900       1     900    1463    +    6.8e-277  917.2  19.1  -
Chromatiaceae             -          A1b_forward          -                3     893       3     900       1     900    1455    +    2.6e-276  915.2  19.0  -
Spongiibacteraceae        -          A1b_forward          -                5     901       2     900       1     900    1462    +    2.9e-275  911.5  18.7  -
Saccharospirillaceae      -          A1b_forward          -                4     897       3     900       1     900    1468    +    3.1e-275  911.6  18.9  -
Thioalkalispiraceae       -          A1b_forward          -               14     922       2     900       1     900    1479    +    1.1e-274  909.6  18.8  -
Thiotrichaceae            -          A1b_forward          -                3     860       3     900       1     900    1421    +    7.5e-273  903.6  20.1  -
Halieaceae                -          A1b_forward          -               10     904       2     900       1     900    1484    +    2.5e-272  901.9  18.7  -
Litoricolaceae            -          A1b_forward          -               10     910       2     900       1     900    1474    +    1.4e-271  899.6  18.8  -
Microbulbiferaceae        -          A1b_forward          -                3     897       3     900       1     900    1480    +    1.7e-270  896.0  19.0  -
Granulosicoccaceae        -          A1b_forward          -                3     905       3     900       1     900    1471    +    9.2e-270  893.5  18.8  -
Alteromonadales           -          A1b_forward          -                2     905       2     900       1     900    1468    +    6.6e-267  883.7  18.8  -
Cardiobacteriaceae        -          A1b_forward          -               10     907       2     899       1     900    1464    +    7.4e-265  877.5  18.8  -
Wenzhouxiangellaceae      -          A1b_forward          -                3     909       3     900       1     900    1472    +    4.9e-264  874.3  18.8  -
Halothiobacillaceae       -          A1b_forward          -               19     922       2     900       1     900    1500    +    6.8e-264  874.0  18.8  -
Shewanellaceae            -          A1b_forward          -                3     906       3     900       1     900    1483    +    9.2e-261  863.6  18.8  -
Idiomarinaceae            -          A1b_forward          -                3     905       3     900       1     900    1466    +      1e-260  863.2  18.8  -
Chromobacteriaceae        -          A1b_forward          -                2     896       3     900       2     900    1460    +    2.3e-260  862.4  19.1  -
Pseudoalteromonadaceae    -          A1b_forward          -                3     900       3     900       1     900    1469    +    3.9e-260  861.4  18.8  -
Ferrimonadaceae           -          A1b_forward          -                2     914       2     900       1     900    1475    +    1.9e-258  855.7  18.8  -
Coxiellaceae              -          A1b_forward          -                3     911       3     900       1     900    1475    +    2.6e-258  855.5  18.9  -
Lysobacteraceae           -          A1b_forward          -                5     906       4     900       2     900    1484    +    1.3e-257  853.2  19.0  -
Colwelliaceae             -          A1b_forward          -                3     905       3     900       1     900    1467    +    1.8e-257  852.7  18.9  -
Moritellaceae             -          A1b_forward          -               17     921       2     900       1     900    1501    +    2.2e-257  852.3  18.8  -
Nevskiaceae               -          A1b_forward          -               11     898       2     900       1     900    1470    +    6.6e-257  851.1  18.7  -
Aeromonadaceae            -          A1b_forward          -               14     918       2     900       1     900    1496    +      2e-255  845.7  18.8  -
Burkholderiaceae          -          A1b_forward          -                2     897       2     900       1     900    1482    +    6.7e-255  844.3  18.6  -
Alcaligenaceae            -          A1b_forward          -                3     899       3     899       1     900    1467    +    6.1e-254  841.1  18.7  -
Thermoleophilaceae        -          A1b_forward          -                1     905       8     900       8     900    1494    +    6.5e-254  840.8  19.0  -
Arenicellaceae            -          A1b_forward          -                3     898       3     900       1     900    1488    +      2e-253  839.4  18.7  -
Legionellaceae            -          A1b_forward          -                2     902       6     900       5     900    1446    +    2.2e-253  839.3  18.9  -
Vibrionaceae              -          A1b_forward          -                3     914       3     900       1     900    1474    +    3.1e-253  838.5  18.8  -
Acidiferrobacteraceae     -          A1b_forward          -                2     895       2     900       1     900    1454    +    3.1e-253  838.7  18.9  -
Neisseriaceae             -          A1b_forward          -               16     918       2     900       1     900    1477    +    3.3e-253  838.6  18.8  -
Thiotrichales             -          A1b_forward          -               22     923       2     900       1     900    1519    +    9.5e-252  833.5  19.2  -
Succinivibrionaceae       -          A1b_forward          -                5     881       2     900       1     900    1473    +    1.9e-250  829.4  19.7  -
Rhodocyclaceae            -          A1b_forward          -                3     900       3     899       1     900    1484    +      1e-248  823.7  18.9  -
Burkholderiales           -          A1b_forward          -                3     898       3     900       1     900    1463    +    1.1e-247  820.4  18.7  -
Sulfuricellaceae          -          A1b_forward          -                3     902       2     900       1     900    1463    +    2.7e-245  812.4  18.9  -
Salinisphaeraceae         -          A1b_forward          -                1     889      13     900      13     900    1429    +    3.2e-245  812.2  18.7  -
Oxalobacteraceae          -          A1b_forward          -                3     898       3     899       1     900    1459    +    4.1e-245  811.9  18.9  -
Rhodanobacteraceae        -          A1b_forward          -                4     906       3     900       1     900    1473    +    4.4e-244  808.4  18.8  -
Enterobacteriaceae        -          A1b_forward          -                3     904       3     900       1     900    1465    +    4.5e-244  808.4  18.7  -
Rhodospirillaceae         -          A1b_forward          -                5     852       3     900       1     900    1429    +    1.6e-242  803.4  19.2  -
Pectobacteriaceae         -          A1b_forward          -                2     901       5     900       4     900    1477    +    8.6e-241  797.4  19.1  -
Psychromonadaceae         -          A1b_forward          -                3     904       3     900       1     900    1467    +      1e-240  797.2  18.8  -
Pasteurellaceae           -          A1b_forward          -                2     905       2     900       1     900    1422    +      2e-240  796.2  18.7  -
Yersiniaceae              -          A1b_forward          -                2     904       2     900       1     900    1473    +      3e-240  795.6  18.8  -
Erwiniaceae               -          A1b_forward          -                1     899       6     900       6     900    1483    +      7e-240  794.4  18.8  -
Celerinatantimonadaceae   -          A1b_forward          -                1     911       6     900       6     900    1433    +    8.9e-240  794.1  18.9  -
Methylophilaceae          -          A1b_forward          -                2     888      19     900      18     900    1431    +    8.6e-239  790.9  18.5  -
Zoogloeaceae              -          A1b_forward          -                9     905       2     899       1     900    1474    +      2e-238  789.6  19.5  -
Francisellaceae           -          A1b_forward          -               12     904       2     899       1     900    1508    +    4.3e-238  788.5  19.0  -
Hydrogenophilaceae        -          A1b_forward          -                2     899       2     900       1     900    1461    +    6.6e-238  788.1  18.6  -
Sutterellaceae            -          A1b_forward          -                2     900       2     899       1     900    1487    +    6.8e-237  784.4  18.8  -
Morganellaceae            -          A1b_forward          -                6     907       3     900       1     900    1487    +      7e-237  784.6  18.8  -
Hafniaceae                -          A1b_forward          -                1     898       7     900       7     900    1459    +    5.5e-236  781.4  18.7  -
Hyphomicrobiaceae         -          A1b_forward          -                3     848       3     900       1     900    1427    +    8.8e-236  780.9  19.2  -
Rhodobiaceae              -          A1b_forward          -               13     856       3     900       1     900    1440    +      9e-235  777.7  18.9  -
Acetobacteraceae          -          A1b_forward          -                8     854       3     900       2     900    1438    +      2e-234  776.6  20.0  -
Thiobacilliaceae          -          A1b_forward          -               21     917       2     899       1     900    1517    +    4.2e-234  775.3  19.2  -
Nitrosomonadaceae         -          A1b_forward          -                2     899       2     899       1     900    1461    +    1.8e-233  773.4  19.0  -
Comamonadaceae            -          A1b_forward          -                3     896       3     899       1     900    1466    +    4.4e-233  771.7  19.0  -
Budviciaceae              -          A1b_forward          -                1     894      11     900      11     900    1483    +    6.5e-232  767.9  19.1  -
Alphaproteobacteria       -          A1b_forward          -                3     846       3     900       2     900    1409    +    7.2e-231  764.9  19.1  -
Thermithiobacillaceae     -          A1b_forward          -                2     883      17     900      16     900    1419    +    3.3e-230  762.4  18.4  -
Acidithiobacillaceae      -          A1b_forward          -                2     895       3     900       2     900    1457    +    1.3e-228  757.0  19.1  -
Eubacteriaceae            -          A1b_forward          -               17     904       3     900       2     900    1485    +      1e-227  754.1  20.2  -
Clostridiaceae            -          A1b_forward          -               18     893       4     900       2     900    1485    +    1.3e-227  753.6  19.7  -
Clostridiales             -          A1b_forward          -               10     897       3     900       2     900    1470    +    4.6e-226  748.6  19.4  -
Azonexaceae               -          A1b_forward          -                4     902       3     899       1     900    1474    +    9.2e-226  747.8  18.7  -
Orbaceae                  -          A1b_forward          -               29     928       2     900       1     900    1539    +    1.4e-225  746.9  19.0  -
Methylocystaceae          -          A1b_forward          -               14     858       3     900       2     900    1424    +    6.3e-225  745.1  19.3  -
Rhodobacteraceae          -          A1b_forward          -                3     848       3     900       2     900    1402    +    6.4e-225  745.0  18.8  -
Desulfovibrionaceae       -          A1b_forward          -               18     926       3     900       1     900    1527    +    6.7e-225  744.8  18.9  -
Desulfobacteraceae        -          A1b_forward          -               17     936       4     900       2     900    1516    +    1.6e-224  743.5  18.9  -
Hyphomonadaceae           -          A1b_forward          -                3     846       3     900       2     900    1400    +    3.5e-224  742.7  19.0  -
Syntrophomonadaceae       -          A1b_forward          -               20     930       3     900       2     900    1515    +    6.2e-224  741.4  19.2  -
Phyllobacteriaceae        -          A1b_forward          -                3     845       3     900       1     900    1424    +      1e-222  737.7  19.4  -
Rhizobiales               -          A1b_forward          -               13     856       3     900       1     900    1438    +    1.1e-222  737.7  19.3  -
Deltaproteobacteria       -          A1b_forward          -               19     936       3     900       1     900    1514    +    1.9e-222  736.7  18.7  -
Nautiliaceae              -          A1b_forward          -                4     870       4     899       2     900    1431    +    8.1e-221  731.6  19.3  -
Desulfobulbaceae          -          A1b_forward          -                4     919       3     900       1     900    1483    +      1e-220  730.8  18.7  -
Ruminococcaceae           -          A1b_forward          -                3     895       3     900       2     900    1457    +    1.3e-220  730.5  19.9  -
Methylothermaceae         -          A1b_forward          -               25     925       4     900       2     900    1491    +    1.9e-220  730.0  19.0  -
Aurantimonadaceae         -          A1b_forward          -               20     863       3     900       1     900    1442    +    3.1e-220  729.5  19.0  -
Xanthobacteraceae         -          A1b_forward          -                3     844       3     900       1     900    1415    +    3.3e-220  729.4  19.1  -
Desulfohalobiaceae        -          A1b_forward          -               10     930       4     900       2     900    1509    +    3.8e-220  729.0  18.9  -
Syntrophaceae             -          A1b_forward          -               20     935       3     900       2     900    1551    +    4.8e-220  728.7  18.9  -
Rhizobiaceae              -          A1b_forward          -                3     845       3     900       1     900    1422    +    8.3e-220  728.0  19.3  -
Sneathiellaceae           -          A1b_forward          -                8     861       3     900       2     900    1427    +    4.2e-219  725.7  19.3  -
Peptococcaceae            -          A1b_forward          -               10     890       3     900       1     900    1479    +    2.2e-217  719.7  20.2  -
Beijerinckiaceae          -          A1b_forward          -               16     859       3     900       2     900    1421    +    4.1e-217  719.0  19.4  -
Sphingomonadaceae         -          A1b_forward          -               10     854       3     900       1     900    1434    +    4.6e-217  719.1  18.5  -
Geobacteraceae            -          A1b_forward          -               11     925       3     900       2     900    1487    +      3e-216  716.1  18.6  -
Kiloniellaceae            -          A1b_forward          -               28     875       9     900       2     900    1450    +    3.4e-216  715.8  19.0  -
Helicobacteraceae         -          A1b_forward          -               23     882       4     899       2     900    1473    +    3.7e-216  715.5  19.1  -
Anaplasmataceae           -          A1b_forward          -               14     877       3     899       2     900    1441    +    5.1e-216  715.6  18.7  -
Thorselliaceae            -          A1b_forward          -                1     873      28     900      28     900    1419    +      9e-216  714.4  18.7  -
Methylobacteriaceae       -          A1b_forward          -                3     848       3     900       1     900    1426    +    1.9e-214  710.2  18.9  -
Lachnospiraceae           -          A1b_forward          -                4     894       4     900       2     900    1469    +    6.1e-214  708.4  20.1  -
Parvularculaceae          -          A1b_forward          -               23     866       3     900       1     900    1428    +    2.1e-213  707.1  18.8  -
Brucellaceae              -          A1b_forward          -                8     849       3     900       1     900    1411    +    4.4e-213  705.8  19.3  -
Bradyrhizobiaceae         -          A1b_forward          -                3     848       3     900       1     900    1428    +    4.8e-213  705.5  19.1  -
Spirillaceae              -          A1b_forward          -               18     922       2     899       1     900    1447    +    8.6e-213  704.9  18.9  -
Desulfuromonadaceae       -          A1b_forward          -               20     935       3     900       1     900    1518    +    8.6e-213  704.7  18.7  -
Thermoanaerobacteraceae   -          A1b_forward          -                9     901       3     900       2     900    1492    +    2.1e-212  703.2  19.6  -
Erythrobacteraceae        -          A1b_forward          -                4     848       3     900       1     900    1433    +    3.1e-211  699.8  18.5  -
Porticoccaceae            -          A1b_forward          -               10     905       2     900       1     900    1497    +      9e-211  697.7  18.7  -
Caulobacteraceae          -          A1b_forward          -                3     846       3     900       2     900    1415    +    1.2e-210  697.7  18.9  -
Bdellovibrionaceae        -          A1b_forward          -                1     873       5     900       5     900    1430    +    2.7e-210  696.4  19.5  -
Peptostreptococcaceae     -          A1b_forward          -                4     877       4     899       2     900    1441    +    5.9e-210  695.1  19.3  -
Acidobacteria             -          A1b_forward          -               24     935       4     900       2     900    1505    +    1.8e-209  694.2  18.9  -
Oleiphilaceae             -          A1b_forward          -               11     901       2     900       1     900    1437    +    3.6e-209  692.4  19.1  -
Bacteroidaceae            -          A1b_forward          -               13     915       4     900       2     900    1480    +    4.6e-209  692.3  19.2  -
Bacillales                -          A1b_forward          -               10     927       3     900       2     900    1503    +    6.3e-208  688.7  18.9  -
Chelatococcaceae          -          A1b_forward          -               14     857       3     900       1     900    1439    +    8.8e-208  688.3  18.8  -
Nitrospiraceae            -          A1b_forward          -                9     888       3     900       2     900    1479    +    2.2e-207  686.7  18.8  -
Kordiimonadaceae          -          A1b_forward          -                3     857       3     900       2     900    1421    +    4.9e-207  685.8  18.8  -
Flavobacteriaceae         -          A1b_forward          -                4     901       5     900       2     900    1451    +      5e-207  685.5  19.2  -
