# target name                    accession  query name                accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------      -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          A0515b_LKAP-FHGF1_E09_071 -               24     789       8     775       2     779    1467    +    5.2e-253  836.5  18.9  -
Idiomarinaceae                   -          A0515b_LKAP-FHGF1_E09_071 -               24     789       8     775       2     779    1466    +    9.3e-249  822.4  18.8  -
Ferrimonadaceae                  -          A0515b_LKAP-FHGF1_E09_071 -               24     799       8     775       2     779    1475    +    1.7e-248  821.6  18.8  -
Aeromonadaceae                   -          A0515b_LKAP-FHGF1_E09_071 -               36     803       8     775       2     779    1496    +    1.4e-245  811.8  18.8  -
Colwelliaceae                    -          A0515b_LKAP-FHGF1_E09_071 -               24     788       8     775       1     779    1465    +      2e-243  805.0  18.8  -
Hafniaceae                       -          A0515b_LKAP-FHGF1_E09_071 -               18     783       8     775       2     779    1459    +    1.8e-240  795.1  18.9  -
Psychromonadaceae                -          A0515b_LKAP-FHGF1_E09_071 -               24     789       8     775       1     779    1467    +    4.7e-240  793.8  18.9  -
Moritellaceae                    -          A0515b_LKAP-FHGF1_E09_071 -               40     806       9     775       3     779    1501    +    3.1e-238  787.6  18.9  -
Unclassified_Oceanospirillales   -          A0515b_LKAP-FHGF1_E09_071 -               29     788       8     775       2     779    1483    +    9.1e-236  779.4  19.2  -
Celerinatantimonadaceae          -          A0515b_LKAP-FHGF1_E09_071 -               19     794       8     775       2     779    1433    +    7.6e-232  766.7  18.9  -
Alcanivoracaceae                 -          A0515b_LKAP-FHGF1_E09_071 -               44     807       8     775       2     779    1504    +    9.3e-232  766.1  18.9  -
Budviciaceae                     -          A0515b_LKAP-FHGF1_E09_071 -               14     779       8     775       2     779    1483    +    4.6e-230  760.6  19.0  -
Succinivibrionaceae              -          A0515b_LKAP-FHGF1_E09_071 -               27     769       8     775       2     779    1474    +    4.7e-230  760.6  19.2  -
Thorselliaceae                   -          A0515b_LKAP-FHGF1_E09_071 -                1     753      12     769      12     777    1419    +    7.4e-229  756.6  19.3  -
Thioalkalispiraceae              -          A0515b_LKAP-FHGF1_E09_071 -               37     804       8     775       2     779    1478    +    2.9e-226  747.9  18.8  -
Litoricolaceae                   -          A0515b_LKAP-FHGF1_E09_071 -               32     795       8     775       3     779    1474    +    1.1e-225  746.3  19.0  -
Orbaceae                         -          A0515b_LKAP-FHGF1_E09_071 -               51     812       8     775       1     779    1538    +    1.1e-225  746.1  18.9  -
Spongiibacteraceae               -          A0515b_LKAP-FHGF1_E09_071 -               27     786       8     775       2     779    1462    +      8e-224  739.8  18.9  -
Halieaceae                       -          A0515b_LKAP-FHGF1_E09_071 -               33     789       9     775       2     779    1484    +    9.9e-224  739.6  19.4  -
Halothiobacillaceae              -          A0515b_LKAP-FHGF1_E09_071 -               41     804       8     772       2     778    1501    +    1.4e-222  735.9  18.8  -
Microbulbiferaceae               -          A0515b_LKAP-FHGF1_E09_071 -               23     782       8     775       2     779    1478    +    2.2e-222  735.4  19.2  -
Kangiellaceae                    -          A0515b_LKAP-FHGF1_E09_071 -               34     800       9     775       3     779    1479    +    5.2e-222  733.9  18.7  -
Saccharospirillaceae             -          A0515b_LKAP-FHGF1_E09_071 -               25     782       8     775       2     779    1468    +    6.8e-217  717.0  19.3  -
Cardiobacteriaceae               -          A0515b_LKAP-FHGF1_E09_071 -               30     790       8     772       1     778    1462    +    8.5e-217  717.0  18.8  -
Thermoleophilaceae               -          A0515b_LKAP-FHGF1_E09_071 -               18     785       9     775       2     779    1486    +    9.4e-217  716.5  19.0  -
Granulosicoccaceae               -          A0515b_LKAP-FHGF1_E09_071 -               25     789       9     775       3     779    1471    +    1.3e-216  716.2  18.9  -
Nevskiaceae                      -          A0515b_LKAP-FHGF1_E09_071 -               34     783       9     775       2     779    1470    +    3.7e-213  705.0  19.4  -
Coxiellaceae                     -          A0515b_LKAP-FHGF1_E09_071 -               25     796       9     775       2     779    1473    +    5.9e-209  690.7  18.8  -
Arenicellaceae                   -          A0515b_LKAP-FHGF1_E09_071 -               24     784       8     775       3     779    1488    +    1.3e-204  676.4  19.0  -
Unclassified_Thiotrichales       -          A0515b_LKAP-FHGF1_E09_071 -               46     803       9     775       3     779    1517    +    1.3e-204  676.2  18.8  -
Methylophilaceae                 -          A0515b_LKAP-FHGF1_E09_071 -                4     767       8     772       5     778    1430    +    4.7e-203  671.1  18.9  -
Sulfuricellaceae                 -          A0515b_LKAP-FHGF1_E09_071 -               23     783       7     772       4     778    1462    +    6.1e-201  664.2  19.0  -
Acidiferrobacteraceae            -          A0515b_LKAP-FHGF1_E09_071 -               25     779       9     775       2     779    1456    +    1.1e-200  663.5  19.2  -
Francisellaceae                  -          A0515b_LKAP-FHGF1_E09_071 -               34     787       8     775       2     779    1509    +    3.1e-200  661.9  18.8  -
Hydrogenophilaceae               -          A0515b_LKAP-FHGF1_E09_071 -               23     781       7     772       2     778    1462    +    4.6e-199  658.2  19.1  -
Salinisphaeraceae                -          A0515b_LKAP-FHGF1_E09_071 -               12     776       8     775       2     779    1432    +    1.9e-198  656.0  18.8  -
Sutterellaceae                   -          A0515b_LKAP-FHGF1_E09_071 -               23     785       7     772       3     778    1487    +    1.4e-196  649.5  18.9  -
Zoogloeaceae                     -          A0515b_LKAP-FHGF1_E09_071 -               30     789       7     773       3     778    1474    +    8.1e-195  643.9  19.2  -
Acidithiobacillaceae             -          A0515b_LKAP-FHGF1_E09_071 -               24     779       9     773       3     778    1457    +    1.4e-194  643.0  19.3  -
Geobacteraceae                   -          A0515b_LKAP-FHGF1_E09_071 -               33     809       9     775       3     779    1485    +    1.6e-193  639.5  19.0  -
Thermithiobacillaceae            -          A0515b_LKAP-FHGF1_E09_071 -               10     767       9     773       4     778    1419    +    2.3e-193  639.1  19.2  -
Azonexaceae                      -          A0515b_LKAP-FHGF1_E09_071 -               24     786       7     773       3     778    1474    +    2.9e-193  638.9  19.2  -
Unclassified_Alphaproteobacteria -          A0515b_LKAP-FHGF1_E09_071 -               24     735       8     776       2     779    1412    +    5.2e-193  638.2  19.1  -
Thiobacilliaceae                 -          A0515b_LKAP-FHGF1_E09_071 -               42     800       7     772       4     778    1517    +    6.7e-193  637.6  19.0  -
Nitrosomonadaceae                -          A0515b_LKAP-FHGF1_E09_071 -               23     785       7     773       1     779    1463    +    1.8e-191  633.0  18.7  -
Methylothermaceae                -          A0515b_LKAP-FHGF1_E09_071 -               45     808       8     773       2     778    1491    +    7.8e-191  630.6  19.1  -
Wenzhouxiangellaceae             -          A0515b_LKAP-FHGF1_E09_071 -               24     791       8     773       2     778    1472    +    9.6e-191  630.2  18.8  -
Syntrophaceae                    -          A0515b_LKAP-FHGF1_E09_071 -               42     819       9     775       3     779    1556    +    1.3e-190  629.9  19.3  -
Unclassified_Deltaproteobacteria -          A0515b_LKAP-FHGF1_E09_071 -               41     820       9     775       3     779    1518    +    2.4e-190  629.2  19.1  -
Desulfuromonadaceae              -          A0515b_LKAP-FHGF1_E09_071 -               43     820       9     775       2     779    1519    +    2.8e-190  628.8  19.1  -
Anaplasmataceae                  -          A0515b_LKAP-FHGF1_E09_071 -               35     764       8     775       1     779    1438    +    6.6e-188  621.2  18.3  -
Sneathiellaceae                  -          A0515b_LKAP-FHGF1_E09_071 -               30     747       9     775       2     779    1427    +    3.4e-187  618.7  18.7  -
Hyphomonadaceae                  -          A0515b_LKAP-FHGF1_E09_071 -               24     733       8     776       2     779    1399    +    4.4e-187  618.5  18.6  -
Unclassified_Rhizobiales         -          A0515b_LKAP-FHGF1_E09_071 -               34     742       8     775       1     779    1437    +      1e-185  613.9  18.7  -
Desulfohalobiaceae               -          A0515b_LKAP-FHGF1_E09_071 -               29     816       9     775       3     779    1510    +    1.6e-185  613.0  19.4  -
Desulfobulbaceae                 -          A0515b_LKAP-FHGF1_E09_071 -               24     801       8     775       2     779    1482    +    8.2e-185  610.7  19.1  -
Erythrobacteraceae               -          A0515b_LKAP-FHGF1_E09_071 -               54     733      58     776      36     779    1433    +      1e-181  600.6  18.3  -
Brucellaceae                     -          A0515b_LKAP-FHGF1_E09_071 -               29     736       8     776       1     779    1412    +    3.6e-180  595.6  18.7  -
Bdellovibrionaceae               -          A0515b_LKAP-FHGF1_E09_071 -               20     757       8     775       4     779    1430    +    4.3e-180  595.1  19.2  -
Aurantimonadaceae                -          A0515b_LKAP-FHGF1_E09_071 -               42     749       9     776       1     779    1444    +    7.3e-180  594.6  18.3  -
