# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_F09_069   -               13    1002       7     989       2     993    1474    +           0 1198.3  22.0  -
Ferrimonadaceae           -          LKAP-GutHK_F09_069   -               11    1002       5     989       1     993    1475    +           0 1069.5  22.2  -
Enterobacteriaceae        -          LKAP-GutHK_F09_069   -               27     992      17     989       2     993    1465    +           0 1042.8  21.9  -
Gammaproteobacteria       -          LKAP-GutHK_F09_069   -               27     991      17     989       2     993    1481    +           0 1039.8  21.6  -
Alteromonadales           -          LKAP-GutHK_F09_069   -               27     992      17     988       2     993    1468    +           0 1037.8  21.4  -
Shewanellaceae            -          LKAP-GutHK_F09_069   -               26     995      16     990       2     993    1483    +           0 1036.2  22.0  -
Yersiniaceae              -          LKAP-GutHK_F09_069   -               13     993       7     990       2     993    1473    +           0 1033.4  21.9  -
Aeromonadaceae            -          LKAP-GutHK_F09_069   -               25    1004       7     987       2     992    1496    +           0 1032.5  21.9  -
Alteromonadaceae          -          LKAP-GutHK_F09_069   -               14     992       8     990       2     993    1468    +           0 1031.9  22.1  -
Erwiniaceae               -          LKAP-GutHK_F09_069   -               23     987      18     989       2     993    1483    +           0 1031.7  21.8  -
Pectobacteriaceae         -          LKAP-GutHK_F09_069   -               24     989      17     989       2     993    1477    +           0 1028.2  22.0  -
Hafniaceae                -          LKAP-GutHK_F09_069   -               20     984      16     987       1     992    1459    +           0 1023.1  21.9  -
Morganellaceae            -          LKAP-GutHK_F09_069   -               17     995       8     989       2     993    1487    +    5.1e-308 1020.5  22.0  -
Pseudoalteromonadaceae    -          LKAP-GutHK_F09_069   -               13     989       7     990       1     993    1469    +    1.3e-307 1018.9  21.4  -
Budviciaceae              -          LKAP-GutHK_F09_069   -               57     980      64     987      42     992    1483    +    1.7e-302 1002.0  21.3  -
Colwelliaceae             -          LKAP-GutHK_F09_069   -               27     991      17     987       2     993    1467    +    4.1e-302 1000.9  21.8  -
Oceanospirillaceae        -          LKAP-GutHK_F09_069   -               27     993      17     989       2     993    1467    +    1.3e-301  999.1  21.9  -
Idiomarinaceae            -          LKAP-GutHK_F09_069   -               13     992       7     988       1     993    1466    +    1.5e-298  988.8  21.9  -
Psychromonadaceae         -          LKAP-GutHK_F09_069   -               27     983      17     979       2     991    1467    +    1.7e-298  988.9  21.7  -
Moritellaceae             -          LKAP-GutHK_F09_069   -               42    1007      17     987       2     993    1501    +    2.3e-298  988.2  21.8  -
Chromatiaceae             -          LKAP-GutHK_F09_069   -               27     980      17     988       1     993    1455    +    8.3e-297  983.3  22.2  -
Cellvibrionaceae          -          LKAP-GutHK_F09_069   -               11     992       5     990       1     993    1472    +    3.3e-295  977.9  21.9  -
Pseudomonadaceae          -          LKAP-GutHK_F09_069   -               20     997       7     990       2     993    1491    +      1e-294  976.3  21.8  -
Thorselliaceae            -          LKAP-GutHK_F09_069   -               39     958      67     986      46     991    1419    +    4.5e-294  974.0  21.2  -
Oceanospirillales         -          LKAP-GutHK_F09_069   -               20     998       8     990       2     993    1489    +    2.6e-293  971.4  21.6  -
Piscirickettsiaceae       -          LKAP-GutHK_F09_069   -               29     994      17     988       2     993    1466    +      3e-289  958.1  21.9  -
Methylococcaceae          -          LKAP-GutHK_F09_069   -               41     998      17     988       2     993    1481    +      1e-287  953.1  21.6  -
Alcanivoracaceae          -          LKAP-GutHK_F09_069   -               33    1012       7     990       2     993    1504    +    1.1e-286  949.5  21.8  -
Celerinatantimonadaceae   -          LKAP-GutHK_F09_069   -                8     999       7     989       2     993    1433    +    5.2e-286  947.5  22.2  -
Pasteurellaceae           -          LKAP-GutHK_F09_069   -               27     991      17     987       2     992    1422    +    7.3e-286  946.9  21.7  -
Hahellaceae               -          LKAP-GutHK_F09_069   -               12     990       6     989       1     993    1473    +    3.7e-284  941.3  22.0  -
Halieaceae                -          LKAP-GutHK_F09_069   -               21     992       7     989       2     993    1484    +    4.6e-284  940.9  21.9  -
Orbaceae                  -          LKAP-GutHK_F09_069   -               54    1014      17     987       2     991    1539    +    1.7e-283  939.1  22.2  -
Ectothiorhodospiraceae    -          LKAP-GutHK_F09_069   -               33    1000      16     991       1     993    1463    +    3.4e-281  931.6  22.1  -
Moraxellaceae             -          LKAP-GutHK_F09_069   -               24     983      17     989       2     993    1468    +      3e-280  928.5  22.1  -
Spongiibacteraceae        -          LKAP-GutHK_F09_069   -               16     990       7     990       1     993    1462    +    2.2e-279  925.3  21.8  -
Litoricolaceae            -          LKAP-GutHK_F09_069   -               34     997      16     988       2     993    1474    +    3.5e-279  925.0  22.1  -
Halomonadaceae            -          LKAP-GutHK_F09_069   -               13     990       7     988       1     993    1466    +    8.7e-279  923.4  22.1  -
Succinivibrionaceae       -          LKAP-GutHK_F09_069   -               16     960       7     979       2     991    1473    +    1.7e-278  922.5  21.5  -
Microbulbiferaceae        -          LKAP-GutHK_F09_069   -               13     985       7     989       2     993    1480    +    9.6e-278  920.2  21.6  -
Thioalkalispiraceae       -          LKAP-GutHK_F09_069   -               40    1011      18     990       1     993    1479    +    1.3e-277  919.5  21.8  -
Lysobacteraceae           -          LKAP-GutHK_F09_069   -               27     995      16     990       2     993    1484    +      2e-277  919.0  22.0  -
Thermoleophilaceae        -          LKAP-GutHK_F09_069   -               20     981      17     976       2     992    1494    +    5.4e-277  917.5  21.0  -
Saccharospirillaceae      -          LKAP-GutHK_F09_069   -               27     986      15     990       2     993    1468    +    3.4e-276  914.9  21.4  -
Halothiobacillaceae       -          LKAP-GutHK_F09_069   -               44    1011      17     990       1     993    1500    +    5.9e-276  914.1  22.1  -
Kangiellaceae             -          LKAP-GutHK_F09_069   -               36    1004      17     989       2     993    1479    +    2.4e-273  905.4  21.6  -
Thiotrichaceae            -          LKAP-GutHK_F09_069   -               27     946      17     987       2     993    1421    +    1.5e-269  892.8  20.3  -
Chromobacteriaceae        -          LKAP-GutHK_F09_069   -               26     983      17     988       2     993    1460    +    1.4e-266  883.1  21.6  -
Nevskiaceae               -          LKAP-GutHK_F09_069   -               66     984      68     987      46     991    1470    +    1.9e-266  882.9  21.1  -
Coxiellaceae              -          LKAP-GutHK_F09_069   -               27     996      17     986       1     991    1475    +    1.3e-265  879.9  22.0  -
Arenicellaceae            -          LKAP-GutHK_F09_069   -               37     983      31     986       9     990    1488    +    1.5e-265  879.8  21.2  -
Legionellaceae            -          LKAP-GutHK_F09_069   -               23     989      17     988       1     993    1446    +    2.4e-265  879.1  21.9  -
Cardiobacteriaceae        -          LKAP-GutHK_F09_069   -               35     996      17     989       2     993    1464    +    3.1e-264  875.6  21.7  -
Rhodospirillaceae         -          LKAP-GutHK_F09_069   -               32     942      40     989      19     993    1429    +    4.3e-259  858.4  20.0  -
Rhodocyclaceae            -          LKAP-GutHK_F09_069   -               27     987      17     987       2     992    1484    +    4.9e-259  858.0  21.9  -
Granulosicoccaceae        -          LKAP-GutHK_F09_069   -               27     990      17     986       2     993    1471    +    7.1e-259  857.6  21.6  -
Thiotrichales             -          LKAP-GutHK_F09_069   -               47    1001      17     978       2     989    1519    +    2.3e-258  855.6  20.4  -
Rhodanobacteraceae        -          LKAP-GutHK_F09_069   -               28     992      17     987       1     991    1473    +    2.4e-258  855.8  22.0  -
Acidiferrobacteraceae     -          LKAP-GutHK_F09_069   -               61     982      67     988      46     992    1454    +    7.5e-257  850.9  21.3  -
Salinisphaeraceae         -          LKAP-GutHK_F09_069   -               15     978      17     990       5     993    1429    +    9.8e-256  847.2  21.8  -
Neisseriaceae             -          LKAP-GutHK_F09_069   -               42    1006      18     989       1     993    1477    +    3.8e-255  845.2  21.9  -
Alcaligenaceae            -          LKAP-GutHK_F09_069   -               28     984      18     985       2     991    1467    +      4e-253  838.5  21.4  -
Burkholderiaceae          -          LKAP-GutHK_F09_069   -               47     983      49     987      24     992    1482    +    5.6e-253  838.1  21.3  -
Hydrogenophilaceae        -          LKAP-GutHK_F09_069   -               27     984      17     986       1     992    1461    +    5.7e-252  834.8  21.9  -
Hyphomicrobiaceae         -          LKAP-GutHK_F09_069   -               54     937      67     989      44     993    1427    +    1.5e-249  826.7  20.2  -
Sulfuricellaceae          -          LKAP-GutHK_F09_069   -               51     993      52     992      29     993    1463    +    2.9e-249  825.7  21.4  -
Acidithiobacillaceae      -          LKAP-GutHK_F09_069   -               26     981      17     987       1     991    1457    +    8.5e-248  820.7  21.5  -
Geobacteraceae            -          LKAP-GutHK_F09_069   -               35    1006      17     981       3     991    1487    +    1.1e-247  820.4  20.9  -
Sutterellaceae            -          LKAP-GutHK_F09_069   -               27     980      17     979       2     991    1487    +    1.3e-247  820.1  21.6  -
Francisellaceae           -          LKAP-GutHK_F09_069   -               39     991      19     987       2     993    1508    +    6.1e-247  818.0  21.0  -
Burkholderiales           -          LKAP-GutHK_F09_069   -               27     985      17     988       1     992    1463    +    7.7e-247  817.7  21.8  -
Clostridiaceae            -          LKAP-GutHK_F09_069   -               41     972      17     979       3     992    1485    +    8.1e-247  817.4  20.7  -
Desulfovibrionaceae       -          LKAP-GutHK_F09_069   -               42    1005      17     979       5     991    1527    +    1.1e-246  817.2  21.0  -
Rhodobiaceae              -          LKAP-GutHK_F09_069   -               39     946      19     989       2     992    1440    +    2.2e-246  816.4  20.0  -
Eubacteriaceae            -          LKAP-GutHK_F09_069   -               41     985      17     981       3     992    1485    +      4e-246  815.2  20.9  -
Methylophilaceae          -          LKAP-GutHK_F09_069   -               10     974      17     987      10     992    1431    +    5.1e-246  815.0  20.6  -
Oxalobacteraceae          -          LKAP-GutHK_F09_069   -               27     984      17     986       1     991    1459    +    5.3e-246  815.0  21.5  -
Thermithiobacillaceae     -          LKAP-GutHK_F09_069   -               12     969      17     987      10     990    1419    +    3.7e-245  812.1  21.6  -
Clostridiales             -          LKAP-GutHK_F09_069   -               34     983      17     986       2     992    1470    +    4.9e-245  811.6  20.4  -
Desulfobacteraceae        -          LKAP-GutHK_F09_069   -               75    1015      61     979      35     991    1516    +    1.6e-244  810.0  20.6  -
Desulfobulbaceae          -          LKAP-GutHK_F09_069   -               29     998      18     979       3     990    1483    +    2.3e-244  809.3  20.8  -
Deltaproteobacteria       -          LKAP-GutHK_F09_069   -               44    1026      18     989       4     992    1514    +    2.6e-244  809.3  21.2  -
Syntrophaceae             -          LKAP-GutHK_F09_069   -               80    1013      65     978      43     991    1551    +    4.3e-243  805.2  20.5  -
Methylothermaceae         -          LKAP-GutHK_F09_069   -               48    1010      17     986       2     989    1491    +      6e-242  801.4  21.6  -
Desulfohalobiaceae        -          LKAP-GutHK_F09_069   -               33    1015      17     986       3     992    1509    +    7.5e-242  801.1  21.5  -
Nitrosomonadaceae         -          LKAP-GutHK_F09_069   -               63     979      64     979      42     991    1461    +      3e-241  799.3  20.8  -
Desulfuromonadaceae       -          LKAP-GutHK_F09_069   -               45    1006      18     971       2     989    1518    +    5.2e-241  798.4  20.6  -
Syntrophomonadaceae       -          LKAP-GutHK_F09_069   -               44    1008      17     978       4     991    1515    +    5.5e-241  798.1  21.4  -
Acetobacteraceae          -          LKAP-GutHK_F09_069   -               39     944      44     989      24     992    1438    +    1.4e-240  797.2  20.5  -
Alphaproteobacteria       -          LKAP-GutHK_F09_069   -               37     933      51     986      29     992    1409    +    3.6e-240  795.8  19.8  -
Thiobacilliaceae          -          LKAP-GutHK_F09_069   -               66    1005      51     988      24     993    1517    +    7.4e-240  794.6  21.6  -
Methylocystaceae          -          LKAP-GutHK_F09_069   -               63     945      66     988      39     993    1424    +    2.6e-239  792.9  20.0  -
Comamonadaceae            -          LKAP-GutHK_F09_069   -               27     985      17     989       1     993    1466    +    8.4e-239  790.8  22.0  -
Hyphomonadaceae           -          LKAP-GutHK_F09_069   -               27     936      17     989       2     992    1400    +    1.1e-238  790.9  19.7  -
Wenzhouxiangellaceae      -          LKAP-GutHK_F09_069   -               70     997      67     989      44     993    1472    +    7.5e-238  787.7  20.9  -
Bdellovibrionaceae        -          LKAP-GutHK_F09_069   -               24     961      18     987       8     992    1430    +    1.4e-237  786.9  20.1  -
Sphingomonadaceae         -          LKAP-GutHK_F09_069   -               60     943      68     988      47     992    1434    +    2.3e-237  786.6  19.3  -
Zoogloeaceae              -          LKAP-GutHK_F09_069   -               34     996      17     991       1     993    1474    +    6.9e-237  784.6  22.0  -
Azonexaceae               -          LKAP-GutHK_F09_069   -               28     989      17     987       2     993    1474    +    2.8e-236  782.8  21.6  -
Ruminococcaceae           -          LKAP-GutHK_F09_069   -               27     980      17     986       2     992    1457    +    4.6e-236  781.8  21.3  -
Peptococcaceae            -          LKAP-GutHK_F09_069   -               34     971      17     981       3     992    1479    +    7.1e-236  781.2  21.0  -
Rhizobiales               -          LKAP-GutHK_F09_069   -               37     947      17     990       2     993    1438    +    3.8e-235  779.1  20.5  -
Sneathiellaceae           -          LKAP-GutHK_F09_069   -               18     948       7     986       2     992    1427    +    6.4e-235  778.2  20.0  -
Rhodobacteraceae          -          LKAP-GutHK_F09_069   -               36     936      50     987      29     992    1402    +    8.7e-235  777.8  19.5  -
Xanthobacteraceae         -          LKAP-GutHK_F09_069   -               52     935      69     990      49     993    1415    +    1.3e-234  777.3  20.2  -
Erythrobacteraceae        -          LKAP-GutHK_F09_069   -               37     936      30     987       6     992    1433    +    1.4e-233  773.9  19.3  -
Syntrophobacteraceae      -          LKAP-GutHK_F09_069   -               75    1004      66     977      43     992    1496    +    5.8e-233  771.8  20.9  -
Rhizobiaceae              -          LKAP-GutHK_F09_069   -               49     934      65     989      35     993    1422    +    1.2e-232  770.8  19.7  -
Anaplasmataceae           -          LKAP-GutHK_F09_069   -               38     948      17     970       2     988    1441    +    3.1e-232  769.5  19.1  -
Phyllobacteriaceae        -          LKAP-GutHK_F09_069   -               50     932      66     986      43     992    1424    +    1.3e-231  767.3  19.7  -
Lachnospiraceae           -          LKAP-GutHK_F09_069   -               27     964      17     970       3     989    1469    +    2.4e-230  762.9  20.7  -
Bacillales                -          LKAP-GutHK_F09_069   -               34    1014      17     987       3     992    1503    +    3.7e-230  762.5  21.5  -
Peptostreptococcaceae     -          LKAP-GutHK_F09_069   -               27     949      17     971       3     989    1441    +    9.6e-229  757.5  20.6  -
Acidobacteria             -          LKAP-GutHK_F09_069   -               48    1021      18     986       5     992    1505    +    1.8e-228  757.2  21.3  -
Holophagaceae             -          LKAP-GutHK_F09_069   -               77    1007      74     987      54     991    1502    +    4.6e-228  755.6  20.9  -
Aurantimonadaceae         -          LKAP-GutHK_F09_069   -               68     953      66     990      42     993    1442    +    9.5e-228  754.6  19.9  -
Nautiliaceae              -          LKAP-GutHK_F09_069   -               27     958      17     988       2     992    1431    +    3.4e-227  752.8  21.2  -
Bacillaceae               -          LKAP-GutHK_F09_069   -               24    1006      16     986       2     992    1493    +    5.7e-227  751.9  21.7  -
