# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-GUTHK2_B04_030_2017_1 -               17     975       6     966       3     966    1503    +           0 1064.0  31.7  -
Planococcaceae            -          LKAP-GUTHK2_B04_030_2017_1 -               10     962       6     966       3     966    1491    +    3.7e-291  964.5  31.1  -
Bacillaceae               -          LKAP-GUTHK2_B04_030_2017_1 -               11     968       7     966       3     966    1493    +      2e-290  962.1  31.4  -
Sporolactobacillaceae     -          LKAP-GUTHK2_B04_030_2017_1 -               10     959       6     966       3     966    1503    +    2.4e-283  938.6  31.3  -
Staphylococcaceae         -          LKAP-GUTHK2_B04_030_2017_1 -               12     962       6     966       3     966    1479    +      1e-282  936.6  31.0  -
Carnobacteriaceae         -          LKAP-GUTHK2_B04_030_2017_1 -               11     965       7     966       3     966    1496    +    9.8e-281  930.0  31.5  -
Enterococcaceae           -          LKAP-GUTHK2_B04_030_2017_1 -               11     970       7     966       3     966    1498    +    1.1e-278  923.3  31.8  -
Aerococcaceae             -          LKAP-GUTHK2_B04_030_2017_1 -               10     965       6     966       3     966    1473    +    2.3e-275  912.2  31.2  -
Listeriaceae              -          LKAP-GUTHK2_B04_030_2017_1 -               57     948      76     966      56     966    1448    +    2.1e-274  909.1  28.8  -
Paenibacillaceae          -          LKAP-GUTHK2_B04_030_2017_1 -               11     967       6     966       2     966    1493    +    9.5e-273  903.6  31.3  -
Lactobacillaceae          -          LKAP-GUTHK2_B04_030_2017_1 -               13     993       6     966       3     966    1522    +    2.5e-270  895.5  32.6  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_B04_030_2017_1 -               18     964       6     966       3     966    1495    +    4.7e-268  888.1  31.5  -
Peptococcaceae            -          LKAP-GUTHK2_B04_030_2017_1 -               17     938       6     966       3     966    1479    +    1.1e-262  870.0  30.3  -
Clostridiaceae            -          LKAP-GUTHK2_B04_030_2017_1 -               24     941       6     966       3     966    1485    +    4.4e-258  854.7  30.0  -
Eubacteriaceae            -          LKAP-GUTHK2_B04_030_2017_1 -               24     952       6     966       4     966    1485    +    7.3e-257  850.8  31.6  -
Erysipelotrichaceae       -          LKAP-GUTHK2_B04_030_2017_1 -               16     946       7     966       4     966    1466    +    8.8e-257  850.7  31.1  -
Alicyclobacillaceae       -          LKAP-GUTHK2_B04_030_2017_1 -               30     968       6     966       3     966    1512    +    2.3e-255  846.2  31.2  -
Leuconostocaceae          -          LKAP-GUTHK2_B04_030_2017_1 -                6     966       6     966       3     966    1479    +    1.7e-254  843.1  32.5  -
Clostridiales             -          LKAP-GUTHK2_B04_030_2017_1 -               17     945       6     966       3     966    1470    +    1.8e-254  842.9  30.9  -
