# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Microbulbiferaceae               -          B2c_forward          -               67    1004      70    1012      50    1035    1478    +    1.6e-299  991.6  19.1  -
Alcanivoracaceae                 -          B2c_forward          -               91    1028      69    1010      49    1033    1504    +    2.3e-299  990.7  19.3  -
Thermoleophilaceae               -          B2c_forward          -               62    1005      71    1008      51    1032    1486    +    1.9e-296  981.2  18.9  -
Unclassified_Oceanospirillales   -          B2c_forward          -               72    1013      69    1015      49    1035    1483    +      1e-294  975.3  19.4  -
Thioalkalispiraceae              -          B2c_forward          -               90    1024      71    1008      50    1028    1478    +    2.7e-290  960.7  18.9  -
Spongiibacteraceae               -          B2c_forward          -               70    1009      69    1013      49    1035    1462    +    3.2e-290  960.5  19.4  -
Halieaceae                       -          B2c_forward          -               74    1014      70    1015      50    1035    1484    +    4.5e-286  946.8  19.2  -
Litoricolaceae                   -          B2c_forward          -               79    1013      69    1008      49    1028    1474    +    1.5e-285  945.3  18.6  -
Unclassified_Alteromonadales     -          B2c_forward          -               74    1018      70    1020      50    1041    1467    +    2.7e-284  940.8  18.8  -
Saccharospirillaceae             -          B2c_forward          -               72    1003      69    1011      49    1035    1468    +    7.3e-279  922.9  18.9  -
Aeromonadaceae                   -          B2c_forward          -               88    1031      70    1019      49    1041    1496    +    8.1e-273  902.7  19.7  -
Idiomarinaceae                   -          B2c_forward          -               74    1018      70    1019      50    1041    1466    +    2.9e-272  900.8  18.8  -
Colwelliaceae                    -          B2c_forward          -               72    1013      69    1015      49    1035    1465    +    1.7e-271  898.6  18.7  -
Halothiobacillaceae              -          B2c_forward          -               92    1025      71    1008      51    1039    1501    +    2.9e-271  897.7  19.4  -
Kangiellaceae                    -          B2c_forward          -               84    1026      71    1015      51    1035    1479    +    8.4e-269  889.5  18.9  -
Granulosicoccaceae               -          B2c_forward          -               75    1008      71    1008      51    1040    1471    +    8.5e-269  889.7  18.4  -
Ferrimonadaceae                  -          B2c_forward          -               83    1024      69    1015      49    1040    1475    +    7.9e-268  886.2  19.2  -
Nevskiaceae                      -          B2c_forward          -               70    1002      71    1009      51    1040    1470    +    2.1e-267  885.3  19.3  -
Acidiferrobacteraceae            -          B2c_forward          -               66    1012      71    1021      51    1041    1456    +    5.7e-265  877.0  19.3  -
Coxiellaceae                     -          B2c_forward          -               76    1013      70    1008      46    1028    1473    +    1.3e-263  872.5  19.4  -
Arenicellaceae                   -          B2c_forward          -               68     998      71    1005      51    1027    1488    +    9.1e-260  859.8  18.7  -
Cardiobacteriaceae               -          B2c_forward          -               79    1016      71    1015      50    1040    1462    +    1.1e-257  853.0  19.5  -
Moritellaceae                    -          B2c_forward          -               88    1030      69    1014      49    1040    1501    +    4.4e-256  847.3  18.5  -
Hafniaceae                       -          B2c_forward          -               67    1008      69    1015      49    1041    1459    +    7.7e-256  846.6  19.1  -
Budviciaceae                     -          B2c_forward          -               64    1009      70    1021      50    1041    1483    +    1.3e-252  835.9  18.8  -
Psychromonadaceae                -          B2c_forward          -               75    1018      71    1020      52    1041    1467    +    2.4e-250  828.5  18.3  -
Salinisphaeraceae                -          B2c_forward          -               57     991      69    1005      49    1027    1432    +    5.2e-249  824.1  19.5  -
Methylothermaceae                -          B2c_forward          -               88    1054      69    1035      49    1055    1491    +    8.7e-248  819.9  19.7  -
Succinivibrionaceae              -          B2c_forward          -               80     996      71    1021      51    1041    1474    +    1.1e-247  819.6  19.6  -
Sulfuricellaceae                 -          B2c_forward          -               73    1001      73    1005      53    1034    1462    +    1.9e-246  815.6  18.3  -
Unclassified_Thiotrichales       -          B2c_forward          -               95    1007      71     989      51    1015    1517    +    4.2e-246  814.3  18.3  -
Wenzhouxiangellaceae             -          B2c_forward          -               75    1012      71    1008      54    1028    1472    +    4.1e-243  804.4  18.5  -
Celerinatantimonadaceae          -          B2c_forward          -               70    1014      70    1008      52    1033    1433    +    1.5e-239  792.7  18.6  -
Hydrogenophilaceae               -          B2c_forward          -               70     997      72    1002      50    1034    1462    +      3e-239  791.9  19.0  -
Francisellaceae                  -          B2c_forward          -               76    1010      70    1010      50    1032    1509    +    7.8e-239  790.3  19.0  -
Unclassified_Alphaproteobacteria -          B2c_forward          -               57     966      69    1021      49    1041    1412    +    6.6e-238  787.6  18.9  -
Zoogloeaceae                     -          B2c_forward          -               79    1003      74    1002      55    1028    1474    +    3.9e-237  784.7  18.4  -
