# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-GUTHK2_A03_031_2017_1 -               20    1084       9    1067       4    1075    1503    +           0 1124.0  23.8  -
Planococcaceae            -          LKAP-GUTHK2_A03_031_2017_1 -               14    1073      10    1068       4    1075    1491    +    1.4e-307 1019.1  23.6  -
Bacillaceae               -          LKAP-GUTHK2_A03_031_2017_1 -               13    1077       9    1066       3    1075    1493    +      4e-304 1007.7  23.9  -
Staphylococcaceae         -          LKAP-GUTHK2_A03_031_2017_1 -               16    1071      10    1067       3    1075    1479    +    9.8e-297  983.2  23.5  -
Sporolactobacillaceae     -          LKAP-GUTHK2_A03_031_2017_1 -               14    1069      10    1068       4    1075    1503    +    2.8e-296  981.6  23.5  -
Carnobacteriaceae         -          LKAP-GUTHK2_A03_031_2017_1 -               15    1074      11    1069       4    1075    1496    +      3e-295  978.3  23.9  -
Enterococcaceae           -          LKAP-GUTHK2_A03_031_2017_1 -               14    1078      10    1068       3    1075    1498    +    1.6e-292  969.3  24.2  -
Aerococcaceae             -          LKAP-GUTHK2_A03_031_2017_1 -               15    1071      11    1067       4    1075    1473    +    6.2e-289  957.3  23.2  -
Paenibacillaceae          -          LKAP-GUTHK2_A03_031_2017_1 -               14    1075       9    1067       3    1075    1493    +      2e-288  955.7  23.7  -
Listeriaceae              -          LKAP-GUTHK2_A03_031_2017_1 -               57    1056      75    1068      53    1075    1448    +    2.9e-286  948.6  21.5  -
Lactobacillaceae          -          LKAP-GUTHK2_A03_031_2017_1 -               16    1099       9    1066       4    1075    1522    +      3e-285  945.2  24.7  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_A03_031_2017_1 -               21    1061       9    1058       4    1073    1495    +    6.4e-283  937.6  23.7  -
Peptococcaceae            -          LKAP-GUTHK2_A03_031_2017_1 -               19    1050       8    1066       4    1075    1479    +    9.8e-274  906.8  22.8  -
Eubacteriaceae            -          LKAP-GUTHK2_A03_031_2017_1 -               26    1059       8    1065       5    1075    1485    +    5.8e-273  904.3  24.0  -
Clostridiaceae            -          LKAP-GUTHK2_A03_031_2017_1 -               26    1051       8    1066       3    1075    1485    +    6.2e-273  904.1  22.8  -
Alicyclobacillaceae       -          LKAP-GUTHK2_A03_031_2017_1 -               18    1074      24    1066       7    1075    1512    +    1.3e-271  900.1  23.8  -
Clostridiales             -          LKAP-GUTHK2_A03_031_2017_1 -               19    1054       8    1066       4    1075    1470    +    2.9e-269  892.1  23.4  -
Leuconostocaceae          -          LKAP-GUTHK2_A03_031_2017_1 -                9    1073       9    1067       4    1075    1479    +    3.8e-269  891.8  24.5  -
Erysipelotrichaceae       -          LKAP-GUTHK2_A03_031_2017_1 -               29    1052      18    1070       5    1075    1466    +    6.1e-266  881.2  23.9  -
Streptococcaceae          -          LKAP-GUTHK2_A03_031_2017_1 -               20    1078      10    1067       4    1075    1497    +    1.8e-262  869.6  23.7  -
Peptostreptococcaceae     -          LKAP-GUTHK2_A03_031_2017_1 -               13    1029       9    1060       4    1074    1441    +    2.3e-262  869.1  22.9  -
Thermoanaerobacteraceae   -          LKAP-GUTHK2_A03_031_2017_1 -               19    1070       9    1067       4    1075    1492    +    7.7e-256  847.4  22.7  -
Ruminococcaceae           -          LKAP-GUTHK2_A03_031_2017_1 -               12    1051       8    1066       4    1075    1457    +    5.3e-254  841.4  23.1  -
Syntrophomonadaceae       -          LKAP-GUTHK2_A03_031_2017_1 -               30    1086       9    1068       4    1075    1515    +    7.3e-252  834.2  23.9  -
Thermoanaerobacterales    -          LKAP-GUTHK2_A03_031_2017_1 -               20    1065       8    1066       4    1075    1472    +    5.9e-251  831.4  23.8  -
Lachnospiraceae           -          LKAP-GUTHK2_A03_031_2017_1 -               12    1050       8    1067       4    1075    1469    +    8.6e-246  814.2  23.6  -
Mycoplasmataceae          -          LKAP-GUTHK2_A03_031_2017_1 -               13    1041      14    1071       6    1075    1467    +    1.3e-243  807.3  23.9  -
Heliobacteriaceae         -          LKAP-GUTHK2_A03_031_2017_1 -               35    1057      14    1067       5    1075    1500    +    9.9e-243  804.2  22.7  -
Brevibacteriaceae         -          LKAP-GUTHK2_A03_031_2017_1 -               23    1055       9    1066       3    1075    1487    +      3e-242  802.4  22.9  -
Halanaerobiaceae          -          LKAP-GUTHK2_A03_031_2017_1 -               20    1092       8    1067       3    1075    1503    +    1.8e-240  796.6  24.9  -
Selenomonadaceae          -          LKAP-GUTHK2_A03_031_2017_1 -               31    1095       8    1065       3    1075    1531    +    4.9e-240  795.1  23.7  -
Veillonellaceae           -          LKAP-GUTHK2_A03_031_2017_1 -               49    1059      74    1066      53    1075    1450    +    9.6e-240  794.1  22.0  -
Geobacteraceae            -          LKAP-GUTHK2_A03_031_2017_1 -               20    1082       8    1067       4    1075    1487    +    1.6e-239  793.4  23.8  -
Deltaproteobacteria       -          LKAP-GUTHK2_A03_031_2017_1 -               29    1093       9    1066       4    1075    1514    +    8.3e-239  791.2  24.2  -
Peptoniphilaceae          -          LKAP-GUTHK2_A03_031_2017_1 -                5    1024      22    1070      19    1075    1437    +    4.3e-237  785.7  23.1  -
Spirochaetaceae           -          LKAP-GUTHK2_A03_031_2017_1 -               34    1048      21    1050       2    1070    1486    +    1.7e-236  783.6  23.8  -
Sporomusaceae             -          LKAP-GUTHK2_A03_031_2017_1 -               32    1091       9    1067       4    1075    1535    +    3.3e-236  782.3  23.9  -
