# target name                                    accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae_Vibrio                              -          LKAP.g-Gut1_B06_046.seq -               24     908       5     900       2     901    1466    +    8.8e-304 1008.7  18.1  -
Vibrionaceae_Photobacterium                      -          LKAP.g-Gut1_B06_046.seq -               24     907       5     899       2     901    1487    +    2.1e-285  947.8  18.1  -
Vibrionaceae_Aliivibrio                          -          LKAP.g-Gut1_B06_046.seq -               48     922       5     900       2     901    1474    +    4.6e-276  917.2  17.4  -
Vibrionaceae_Enterovibrio                        -          LKAP.g-Gut1_B06_046.seq -               24     902       5     900       2     901    1499    +    1.9e-267  888.1  17.8  -
Vibrionaceae_Grimontia                           -          LKAP.g-Gut1_B06_046.seq -               24     908       5     900       2     901    1493    +    9.9e-267  885.9  18.2  -
Ferrimonadaceae_Ferrimonas                       -          LKAP.g-Gut1_B06_046.seq -               24     908       5     900       2     901    1475    +    2.9e-256  851.1  18.2  -
Erwiniaceae_Erwinia                              -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1495    +      3e-250  831.5  17.6  -
Shewanellaceae_Shewanella                        -          LKAP.g-Gut1_B06_046.seq -               23     900       4     900       2     901    1483    +    3.8e-250  831.0  17.6  -
Yersiniaceae_Serratia                            -          LKAP.g-Gut1_B06_046.seq -               28     902       5     900       2     901    1491    +    4.4e-246  817.5  17.7  -
Erwiniaceae_Tatumella                            -          LKAP.g-Gut1_B06_046.seq -               24     898       5     900       2     901    1490    +    5.5e-246  817.3  17.7  -
Erwiniaceae_Pantoea                              -          LKAP.g-Gut1_B06_046.seq -                5     835      57     900      53     901    1416    +    1.4e-245  816.0  17.4  -
Enterobacteriaceae_Enterobacter                  -          LKAP.g-Gut1_B06_046.seq -               22     894       5     900       2     901    1476    +    1.8e-245  815.6  17.6  -
Vibrionaceae_Salinivibrio                        -          LKAP.g-Gut1_B06_046.seq -               43     930       5     900       2     901    1502    +    2.9e-245  814.3  17.9  -
