# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       2     958    1474    +           0 1110.4  20.0  -
Ferrimonadaceae           -          LKAP.g-Gut1_A10_080.seq -               27     976       6     957       2     958    1475    +    5.7e-295  976.9  20.1  -
Enterobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               28     966       7     957       3     958    1465    +    1.8e-286  949.0  19.6  -
Gammaproteobacteria       -          LKAP.g-Gut1_A10_080.seq -               27     965       6     957       3     958    1481    +    5.2e-286  947.2  19.7  -
Aeromonadaceae            -          LKAP.g-Gut1_A10_080.seq -               40     980       7     957       2     958    1496    +    5.5e-286  947.1  19.5  -
Alteromonadales           -          LKAP.g-Gut1_A10_080.seq -               70     967      57     957      36     958    1468    +    1.4e-285  945.6  18.9  -
Shewanellaceae            -          LKAP.g-Gut1_A10_080.seq -               27     968       6     957       2     958    1483    +    4.4e-284  941.0  19.5  -
Erwiniaceae               -          LKAP.g-Gut1_A10_080.seq -               61     961      53     957      31     958    1483    +    4.5e-284  941.0  19.1  -
Yersiniaceae              -          LKAP.g-Gut1_A10_080.seq -               28     966       7     957       3     958    1473    +    4.6e-284  940.9  19.6  -
Pectobacteriaceae         -          LKAP.g-Gut1_A10_080.seq -               24     963       6     957       3     958    1477    +    4.1e-283  937.7  19.6  -
Alteromonadaceae          -          LKAP.g-Gut1_A10_080.seq -               27     965       6     957       2     958    1468    +    4.9e-283  937.4  19.6  -
Morganellaceae            -          LKAP.g-Gut1_A10_080.seq -               31     969       7     957       3     958    1487    +    3.9e-279  924.7  19.7  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_A10_080.seq -               27     962       6     957       3     958    1469    +    7.7e-279  923.5  18.8  -
Hafniaceae                -          LKAP.g-Gut1_A10_080.seq -               22     960       7     957       3     958    1459    +    8.9e-279  923.3  19.6  -
Budviciaceae              -          LKAP.g-Gut1_A10_080.seq -               59     956      56     957      34     958    1483    +    4.7e-275  911.0  19.0  -
Oceanospirillaceae        -          LKAP.g-Gut1_A10_080.seq -               28     967       7     957       3     958    1467    +    1.1e-273  906.4  19.5  -
Idiomarinaceae            -          LKAP.g-Gut1_A10_080.seq -               27     967       6     957       2     958    1466    +    8.8e-273  903.3  19.4  -
Colwelliaceae             -          LKAP.g-Gut1_A10_080.seq -               27     967       6     957       3     958    1467    +    3.1e-272  901.8  19.6  -
Moritellaceae             -          LKAP.g-Gut1_A10_080.seq -               42     983       6     957       3     958    1501    +    2.3e-268  888.8  19.4  -
Oceanospirillales         -          LKAP.g-Gut1_A10_080.seq -               33     971       6     957       3     958    1489    +    3.1e-268  888.3  19.9  -
Chromatiaceae             -          LKAP.g-Gut1_A10_080.seq -               27     955       6     957       2     958    1455    +    3.5e-268  888.4  20.0  -
Thorselliaceae            -          LKAP.g-Gut1_A10_080.seq -               36     935      54     957      28     958    1419    +    5.9e-268  887.5  19.0  -
Psychromonadaceae         -          LKAP.g-Gut1_A10_080.seq -               28     966       7     957       3     958    1467    +    1.8e-266  882.7  19.7  -
Cellvibrionaceae          -          LKAP.g-Gut1_A10_080.seq -               27     965       6     957       3     958    1472    +    2.7e-265  878.7  19.8  -
Pseudomonadaceae          -          LKAP.g-Gut1_A10_080.seq -               34     970       6     957       2     958    1491    +    3.3e-264  875.1  19.6  -
Piscirickettsiaceae       -          LKAP.g-Gut1_A10_080.seq -               66     969      53     957      28     958    1466    +    3.4e-263  871.7  19.1  -
Alcanivoracaceae          -          LKAP.g-Gut1_A10_080.seq -               47     985       6     957       2     958    1504    +    3.7e-262  868.2  19.7  -
Methylococcaceae          -          LKAP.g-Gut1_A10_080.seq -               41     973       6     957       3     958    1481    +    6.3e-259  857.6  19.9  -
Pasteurellaceae           -          LKAP.g-Gut1_A10_080.seq -               33     967      11     957       4     958    1422    +    2.7e-258  855.5  19.6  -
Orbaceae                  -          LKAP.g-Gut1_A10_080.seq -               93     990      57     957      34     958    1539    +    6.9e-257  850.8  19.1  -
Halieaceae                -          LKAP.g-Gut1_A10_080.seq -               36     965       7     956       3     958    1484    +    6.7e-256  847.5  20.1  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_A10_080.seq -               23     973       7     957       3     958    1433    +    5.3e-255  844.7  19.7  -
Hahellaceae               -          LKAP.g-Gut1_A10_080.seq -               27     964       6     957       2     958    1473    +      1e-254  843.7  19.7  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_A10_080.seq -               34     972       6     957       2     958    1463    +    1.4e-254  843.4  19.9  -
Thioalkalispiraceae       -          LKAP.g-Gut1_A10_080.seq -               46     984      12     957       3     958    1479    +    3.1e-254  842.0  19.4  -
Moraxellaceae             -          LKAP.g-Gut1_A10_080.seq -               25     957       7     957       3     958    1468    +    9.5e-254  840.6  19.6  -
Succinivibrionaceae       -          LKAP.g-Gut1_A10_080.seq -               73     943      55     957      29     958    1473    +    7.4e-253  837.5  19.2  -
Halothiobacillaceae       -          LKAP.g-Gut1_A10_080.seq -               45     984       7     957       3     958    1500    +    1.8e-252  836.3  20.0  -
Halomonadaceae            -          LKAP.g-Gut1_A10_080.seq -               27     965       6     957       2     958    1466    +    2.1e-252  835.9  19.7  -
Lysobacteraceae           -          LKAP.g-Gut1_A10_080.seq -               28     968       6     957       2     958    1484    +    3.8e-252  835.2  19.9  -
Microbulbiferaceae        -          LKAP.g-Gut1_A10_080.seq -               27     958       6     956       3     958    1480    +    2.7e-250  829.2  20.1  -
Saccharospirillaceae      -          LKAP.g-Gut1_A10_080.seq -               31     959       8     957       2     958    1468    +    8.5e-250  827.3  19.5  -
Spongiibacteraceae        -          LKAP.g-Gut1_A10_080.seq -               30     963       6     957       2     958    1462    +    1.5e-249  826.4  19.5  -
Thermoleophilaceae        -          LKAP.g-Gut1_A10_080.seq -               20     966       6     956       2     958    1494    +    2.7e-249  825.6  19.9  -
Litoricolaceae            -          LKAP.g-Gut1_A10_080.seq -               35     972       6     957       3     958    1474    +    1.2e-248  823.7  20.0  -
Kangiellaceae             -          LKAP.g-Gut1_A10_080.seq -               37     978       7     957       3     958    1479    +    1.3e-245  813.5  19.5  -
Chromobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               57     958      51     957      23     958    1460    +      6e-245  811.4  19.1  -
Thiotrichaceae            -          LKAP.g-Gut1_A10_080.seq -               27     922       6     957       3     958    1421    +    1.3e-242  803.5  18.9  -
Arenicellaceae            -          LKAP.g-Gut1_A10_080.seq -               37     960      20     957       4     958    1488    +    8.2e-242  801.0  19.9  -
Legionellaceae            -          LKAP.g-Gut1_A10_080.seq -               63     964      54     957      33     958    1446    +    1.8e-241  799.9  19.3  -
Nevskiaceae               -          LKAP.g-Gut1_A10_080.seq -               66     960      58     957      38     958    1470    +      2e-241  799.9  19.1  -
Cardiobacteriaceae        -          LKAP.g-Gut1_A10_080.seq -               36     962       7     949       4     957    1464    +    1.1e-240  797.4  20.2  -
Granulosicoccaceae        -          LKAP.g-Gut1_A10_080.seq -               67     967      54     957      33     958    1471    +    7.8e-240  794.4  19.3  -
Rhodocyclaceae            -          LKAP.g-Gut1_A10_080.seq -               29     963       8     957       3     958    1484    +    1.6e-239  793.3  20.0  -
Coxiellaceae              -          LKAP.g-Gut1_A10_080.seq -               27     973       6     957       3     958    1475    +    3.4e-239  792.2  20.1  -
Rhodanobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               31     968       9     957       3     958    1473    +    3.9e-237  785.5  19.9  -
Burkholderiaceae          -          LKAP.g-Gut1_A10_080.seq -               56     959      49     957      26     958    1482    +    3.2e-235  779.2  18.9  -
Thiotrichales             -          LKAP.g-Gut1_A10_080.seq -               47     985       6     957       3     958    1519    +    5.3e-235  778.0  19.2  -
Rhodospirillaceae         -          LKAP.g-Gut1_A10_080.seq -               54     914      55     957      34     958    1429    +    9.2e-235  777.7  18.5  -
Acidiferrobacteraceae     -          LKAP.g-Gut1_A10_080.seq -               59     957      55     957      35     958    1454    +    3.4e-234  775.7  19.3  -
Neisseriaceae             -          LKAP.g-Gut1_A10_080.seq -               78     980      51     957      29     958    1477    +    1.4e-231  767.1  19.0  -
Alcaligenaceae            -          LKAP.g-Gut1_A10_080.seq -               63     962      53     957      30     958    1467    +    3.7e-231  765.7  18.9  -
Hydrogenophilaceae        -          LKAP.g-Gut1_A10_080.seq -               29     961       8     957       3     958    1461    +    4.8e-231  765.4  19.9  -
Sulfuricellaceae          -          LKAP.g-Gut1_A10_080.seq -               64     964      54     957      33     958    1463    +    1.1e-230  764.1  19.2  -
Oxalobacteraceae          -          LKAP.g-Gut1_A10_080.seq -               40     961      31     957      10     958    1459    +    6.2e-228  755.0  19.4  -
Methylophilaceae          -          LKAP.g-Gut1_A10_080.seq -               12     950       8     957       3     958    1431    +    1.1e-226  750.9  19.4  -
Salinisphaeraceae         -          LKAP.g-Gut1_A10_080.seq -               15     951       6     957       2     958    1429    +    2.7e-226  749.6  20.1  -
Burkholderiales           -          LKAP.g-Gut1_A10_080.seq -               58     960      51     957      27     958    1463    +    5.2e-226  748.6  19.0  -
Sutterellaceae            -          LKAP.g-Gut1_A10_080.seq -               64     963      53     957      31     958    1487    +    7.8e-226  747.8  18.7  -
Deltaproteobacteria       -          LKAP.g-Gut1_A10_080.seq -               50     991      12     950       3     957    1514    +    2.1e-225  746.6  20.5  -
Geobacteraceae            -          LKAP.g-Gut1_A10_080.seq -               36     986       7     956       3     958    1487    +    1.1e-224  744.0  19.7  -
Thermithiobacillaceae     -          LKAP.g-Gut1_A10_080.seq -               12     944       6     956       3     958    1419    +    2.2e-224  743.2  20.2  -
Hyphomicrobiaceae         -          LKAP.g-Gut1_A10_080.seq -               54     910      57     957      36     958    1427    +    2.9e-224  742.8  18.4  -
Nitrosomonadaceae         -          LKAP.g-Gut1_A10_080.seq -               62     962      53     957      29     958    1461    +      2e-223  740.1  19.0  -
Francisellaceae           -          LKAP.g-Gut1_A10_080.seq -               71     967      56     957      32     958    1508    +    2.2e-223  739.9  19.0  -
Rhodobiaceae              -          LKAP.g-Gut1_A10_080.seq -               48     918      30     957       9     958    1440    +    1.2e-222  737.7  18.7  -
Desulfobacteraceae        -          LKAP.g-Gut1_A10_080.seq -               46     997      16     956       4     957    1516    +    2.2e-222  736.5  19.8  -
Azonexaceae               -          LKAP.g-Gut1_A10_080.seq -               59     965      48     957      11     958    1474    +    3.5e-222  736.0  19.5  -
Eubacteriaceae            -          LKAP.g-Gut1_A10_080.seq -               41     966       6     957       3     958    1485    +    4.6e-222  735.4  20.4  -
Desulfovibrionaceae       -          LKAP.g-Gut1_A10_080.seq -               42     988       6     957       3     958    1527    +      3e-221  732.8  19.8  -
