# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_H06_034_2018_2 -               15     853      13     844       5     844    1491    +    7.8e-304 1006.3  20.3  -
Bacillaceae               -          LKAP-TSAKG2_H06_034_2018_2 -               19     858      17     844       4     844    1493    +    3.2e-278  921.5  20.2  -
Staphylococcaceae         -          LKAP-TSAKG2_H06_034_2018_2 -               17     853      13     844       5     844    1479    +    3.3e-277  918.1  20.0  -
Bacillales                -          LKAP-TSAKG2_H06_034_2018_2 -               22     866      13     844       6     844    1503    +      3e-276  915.0  20.3  -
Listeriaceae              -          LKAP-TSAKG2_H06_034_2018_2 -               12     839      19     844       8     844    1448    +    1.6e-274  909.4  20.0  -
Carnobacteriaceae         -          LKAP-TSAKG2_H06_034_2018_2 -               25     856      21     844       5     844    1496    +    5.6e-268  887.5  20.3  -
Enterococcaceae           -          LKAP-TSAKG2_H06_034_2018_2 -               15     861      13     844       4     844    1498    +    4.8e-265  877.8  20.4  -
Sporolactobacillaceae     -          LKAP-TSAKG2_H06_034_2018_2 -               15     850      13     844       5     844    1503    +    3.5e-264  874.9  20.3  -
Aerococcaceae             -          LKAP-TSAKG2_H06_034_2018_2 -               15     855      13     843       5     844    1473    +    3.5e-263  871.6  20.2  -
Paenibacillaceae          -          LKAP-TSAKG2_H06_034_2018_2 -               15     857      12     843       4     844    1493    +    7.2e-259  857.4  20.2  -
Lactobacillaceae          -          LKAP-TSAKG2_H06_034_2018_2 -               32     884      24     844       6     844    1522    +    8.1e-252  834.0  20.1  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_H06_034_2018_2 -               23     854      13     843       6     844    1495    +    3.9e-249  825.3  20.5  -
Peptococcaceae            -          LKAP-TSAKG2_H06_034_2018_2 -               21     828      12     843       5     844    1479    +    7.8e-237  784.1  21.8  -
Alicyclobacillaceae       -          LKAP-TSAKG2_H06_034_2018_2 -               35     858      13     843       5     844    1512    +    1.3e-230  763.9  20.6  -
Clostridiaceae            -          LKAP-TSAKG2_H06_034_2018_2 -               28     831      12     843       5     844    1485    +    7.6e-230  761.0  21.6  -
Eubacteriaceae            -          LKAP-TSAKG2_H06_034_2018_2 -               29     842      13     843       8     844    1485    +      1e-226  750.7  21.7  -
Streptococcaceae          -          LKAP-TSAKG2_H06_034_2018_2 -               21     862      13     844       6     844    1497    +    3.1e-226  749.1  20.3  -
Leuconostocaceae          -          LKAP-TSAKG2_H06_034_2018_2 -               11     857      13     844       5     844    1479    +    3.4e-226  749.1  20.4  -
Erysipelotrichaceae       -          LKAP-TSAKG2_H06_034_2018_2 -               30     836      21     843       6     844    1466    +      1e-223  740.9  20.9  -
Clostridiales             -          LKAP-TSAKG2_H06_034_2018_2 -               21     836      12     844       7     844    1470    +    1.2e-223  740.5  21.7  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_H06_034_2018_2 -               20     839      12     843       6     844    1492    +    1.6e-222  736.6  21.5  -
Syntrophomonadaceae       -          LKAP-TSAKG2_H06_034_2018_2 -               31     868      12     843       6     844    1515    +    3.6e-222  735.5  20.6  -
Ruminococcaceae           -          LKAP-TSAKG2_H06_034_2018_2 -               14     833      12     843       6     844    1457    +    1.2e-214  710.6  21.5  -
Selenomonadaceae          -          LKAP-TSAKG2_H06_034_2018_2 -               33     880      12     843       6     844    1531    +    8.6e-214  707.8  20.6  -
Peptostreptococcaceae     -          LKAP-TSAKG2_H06_034_2018_2 -               14     817      12     844       6     844    1441    +    9.5e-214  707.6  21.6  -
Sporomusaceae             -          LKAP-TSAKG2_H06_034_2018_2 -               33     872      12     843       5     844    1535    +    1.6e-213  706.7  20.9  -
Thermoanaerobacterales    -          LKAP-TSAKG2_H06_034_2018_2 -               22     841      12     843       6     844    1472    +    5.6e-211  698.6  21.7  -
Veillonellaceae           -          LKAP-TSAKG2_H06_034_2018_2 -               11     841      27     843      19     844    1450    +    2.7e-209  692.8  20.0  -
Heliobacteriaceae         -          LKAP-TSAKG2_H06_034_2018_2 -               46     838      24     843       7     844    1500    +    3.2e-209  692.7  21.6  -
Brevibacteriaceae         -          LKAP-TSAKG2_H06_034_2018_2 -               25     839      13     844       6     844    1487    +    5.6e-207  685.2  21.1  -
Geobacteraceae            -          LKAP-TSAKG2_H06_034_2018_2 -               22     864      12     844       6     844    1487    +    3.1e-206  682.8  20.6  -
Acidaminococcaceae        -          LKAP-TSAKG2_H06_034_2018_2 -               22     861      13     843       6     844    1504    +    5.9e-205  678.2  20.6  -
Natranaerobiaceae         -          LKAP-TSAKG2_H06_034_2018_2 -                3     817      19     844      17     844    1429    +    2.2e-204  676.7  20.3  -
Desulfovibrionaceae       -          LKAP-TSAKG2_H06_034_2018_2 -               29     864      12     843       7     844    1527    +    3.4e-204  676.1  20.7  -
Lachnospiraceae           -          LKAP-TSAKG2_H06_034_2018_2 -               14     832      12     843       5     844    1469    +    1.2e-202  670.8  21.5  -
Thermoleophilaceae        -          LKAP-TSAKG2_H06_034_2018_2 -               22     844      24     844       7     844    1494    +    3.3e-202  669.4  20.6  -
Halobacteroidaceae        -          LKAP-TSAKG2_H06_034_2018_2 -               22     844      12     844       6     844    1478    +    6.5e-202  668.3  20.2  -
Mycoplasmataceae          -          LKAP-TSAKG2_H06_034_2018_2 -               24     825      24     844       9     844    1467    +    2.7e-201  666.7  20.3  -
