# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               24     900      20     891       7     891    1491    +           0 1082.8  21.9  -
Bacillaceae               -          LKAP-TSAKG2_F04_022_2018_2 -               18     906      16     891       5     891    1493    +    1.5e-302 1002.2  21.8  -
Bacillales                -          LKAP-TSAKG2_F04_022_2018_2 -               31     913      20     891       8     891    1503    +      2e-300  995.2  21.9  -
Staphylococcaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               26     900      20     891       7     891    1479    +    2.4e-300  994.9  21.6  -
Listeriaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               14     886      23     891      12     891    1448    +    2.9e-294  974.8  21.8  -
Carnobacteriaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               24     903      20     891       7     891    1496    +      4e-293  970.9  21.7  -
Enterococcaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               24     908      20     891       7     891    1498    +    9.4e-290  959.8  21.9  -
Sporolactobacillaceae     -          LKAP-TSAKG2_F04_022_2018_2 -               24     897      20     891       7     891    1503    +    2.6e-289  958.2  21.9  -
Aerococcaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               24     903      20     891       7     891    1473    +    1.7e-286  949.0  21.9  -
Paenibacillaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               19     905      16     891       6     891    1493    +      1e-281  933.2  21.7  -
Lactobacillaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               28     931      21     891       8     891    1522    +      2e-275  912.3  21.9  -
Thermoactinomycetaceae    -          LKAP-TSAKG2_F04_022_2018_2 -               32     902      20     891       8     891    1495    +    1.1e-274  910.0  22.1  -
Peptococcaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               24     876      15     891       7     891    1479    +    7.1e-261  863.9  23.4  -
Clostridiaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               31     879      15     891       7     891    1485    +    5.9e-254  840.9  22.7  -
Alicyclobacillaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               44     906      20     891       8     891    1512    +    1.1e-253  840.5  21.9  -
Eubacteriaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               39     890      23     891       9     891    1485    +    4.3e-250  828.2  23.4  -
Streptococcaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               30     909      20     891       8     891    1497    +    4.8e-250  828.1  22.0  -
Leuconostocaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               20     904      20     891       7     891    1479    +    7.9e-249  824.2  22.1  -
Clostridiales             -          LKAP-TSAKG2_F04_022_2018_2 -               25     883      16     891       8     891    1470    +    2.3e-247  819.2  23.3  -
Thermoanaerobacteraceae   -          LKAP-TSAKG2_F04_022_2018_2 -               34     887      23     891       8     891    1492    +    9.8e-246  813.6  23.0  -
Erysipelotrichaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               30     884      21     891       9     891    1466    +    6.3e-245  811.3  22.1  -
Syntrophomonadaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               34     916      15     891       8     891    1515    +    6.7e-245  810.9  22.0  -
Ruminococcaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               18     881      16     891       8     891    1457    +    2.2e-237  786.0  23.1  -
Peptostreptococcaceae     -          LKAP-TSAKG2_F04_022_2018_2 -               19     864      17     891       8     891    1441    +    4.2e-237  785.1  23.2  -
Sporomusaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               36     920      15     891       7     891    1535    +    1.4e-236  783.2  22.5  -
Thermoanaerobacterales    -          LKAP-TSAKG2_F04_022_2018_2 -               25     889      15     891       7     891    1472    +    8.9e-235  777.5  23.2  -
Selenomonadaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               35     928      14     891       7     891    1531    +    2.3e-234  776.1  22.2  -
Heliobacteriaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               46     886      24     891      11     891    1500    +      2e-233  773.1  22.8  -
Veillonellaceae           -          LKAP-TSAKG2_F04_022_2018_2 -                7     889      24     891      20     891    1450    +    1.5e-229  760.1  22.5  -
Acidaminococcaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               30     909      21     891       8     891    1504    +    1.5e-226  749.9  22.2  -
Brevibacteriaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               25     886      13     891       6     891    1487    +    3.1e-226  749.1  22.7  -
Geobacteraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               26     911      16     891       8     891    1487    +    4.3e-226  748.6  22.0  -
Desulfovibrionaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               31     911      14     890       8     891    1527    +    1.1e-225  747.4  21.7  -
Thermoleophilaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               22     890      24     890      11     891    1494    +    5.9e-224  741.5  21.8  -
Deferribacteraceae        -          LKAP-TSAKG2_F04_022_2018_2 -               25     900      16     891       8     891    1513    +      1e-222  737.4  21.7  -
Halobacteroidaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               25     891      15     891       8     891    1478    +    1.9e-222  736.4  21.3  -
Lachnospiraceae           -          LKAP-TSAKG2_F04_022_2018_2 -               17     880      15     891       7     891    1469    +    2.7e-221  732.8  23.0  -
Natranaerobiaceae         -          LKAP-TSAKG2_F04_022_2018_2 -                8     864      24     891      18     891    1429    +    2.2e-220  729.7  22.4  -
Desulfuromonadaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               34     921      15     891       7     891    1518    +    5.5e-220  728.5  21.9  -
Mycoplasmataceae          -          LKAP-TSAKG2_F04_022_2018_2 -               19     872      20     891       9     891    1467    +    1.9e-219  726.9  22.2  -
Desulfobacteraceae        -          LKAP-TSAKG2_F04_022_2018_2 -               29     922      14     891       8     891    1516    +      3e-218  722.7  21.7  -
Deltaproteobacteria       -          LKAP-TSAKG2_F04_022_2018_2 -               45     922      24     891       8     891    1514    +      7e-217  718.3  21.9  -
Thermodesulfobiaceae      -          LKAP-TSAKG2_F04_022_2018_2 -               45     890      24     891      10     891    1520    +    5.5e-216  715.2  22.7  -
Symbiobacteriaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               10     896      13     891       6     891    1468    +    4.4e-215  712.6  21.9  -
Spiroplasmataceae         -          LKAP-TSAKG2_F04_022_2018_2 -               48     897      21     891      13     891    1516    +    1.1e-214  711.3  22.6  -
Spirochaetaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               35     896      24     891       8     891    1486    +    1.3e-214  710.8  22.2  -
Syntrophaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               35     921      16     891       8     891    1551    +    2.5e-214  709.7  21.9  -
Rhodospirillaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               31     838      24     891      11     891    1429    +    3.5e-214  709.4  23.0  -
Acidobacteria             -          LKAP-TSAKG2_F04_022_2018_2 -               49     921      24     891       9     891    1505    +      4e-214  709.6  21.7  -
Gammaproteobacteria       -          LKAP-TSAKG2_F04_022_2018_2 -               29     889      24     891       8     891    1481    +    5.1e-214  708.5  22.1  -
Bacteroidaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               38     901      24     891      13     891    1480    +    3.5e-213  705.9  22.2  -
Rubrobacteraceae          -          LKAP-TSAKG2_F04_022_2018_2 -               15     893      13     890       5     891    1495    +    1.4e-212  704.0  22.0  -
Desulfohalobiaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               35     915      24     890       9     891    1509    +    1.2e-211  700.8  21.5  -
Anaeroplasmataceae        -          LKAP-TSAKG2_F04_022_2018_2 -               51     886      20     891       9     891    1453    +    3.3e-210  696.2  22.5  -
Caldicoprobacteraceae     -          LKAP-TSAKG2_F04_022_2018_2 -               41     899      23     891       8     891    1530    +    3.4e-210  696.0  23.3  -
Micrococcaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               24     882      13     891       6     891    1476    +    4.9e-210  695.6  23.2  -
Entomoplasmataceae        -          LKAP-TSAKG2_F04_022_2018_2 -               32     885      21     891      13     891    1497    +    6.5e-210  695.3  22.4  -
Acetobacteraceae          -          LKAP-TSAKG2_F04_022_2018_2 -               34     840      24     891       9     891    1438    +    1.6e-209  694.1  23.5  -
Peptoniphilaceae          -          LKAP-TSAKG2_F04_022_2018_2 -                5     851      24     891      21     891    1437    +    2.7e-209  693.3  23.4  -
Synergistaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               25     863      23     891       8     891    1450    +      3e-209  693.0  23.6  -
Thermolithobacteraceae    -          LKAP-TSAKG2_F04_022_2018_2 -               49     935      24     891       8     891    1546    +    3.3e-209  692.6  22.0  -
Streptomycetaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               17     867      15     891       7     891    1479    +    4.9e-209  692.4  23.0  -
Acholeplasmataceae        -          LKAP-TSAKG2_F04_022_2018_2 -               16     869      20     891       9     891    1437    +    9.6e-209  691.1  21.8  -
Hyphomicrobiaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               29     834      24     891      11     891    1427    +    1.9e-207  687.0  22.7  -
Desulfonatronaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               25     900      23     891       7     891    1495    +    3.3e-207  686.1  22.4  -
Desulfobulbaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               16     905      13     891       6     891    1483    +    4.8e-207  685.5  21.6  -
Syntrophobacteraceae      -          LKAP-TSAKG2_F04_022_2018_2 -               37     913      24     891       9     891    1496    +    2.5e-206  683.4  22.4  -
Halanaerobiaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               92     920      63     891      43     891    1503    +    3.1e-206  682.8  21.8  -
Microbacteriaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               19     875      14     891       6     891    1464    +    3.8e-206  682.6  23.1  -
Ectothiorhodospiraceae    -          LKAP-TSAKG2_F04_022_2018_2 -               36     896      24     891       9     891    1463    +      5e-206  682.3  22.0  -
Pseudonocardiaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               21     875      13     891       5     891    1475    +      1e-205  681.3  22.7  -
Solirubrobacteraceae      -          LKAP-TSAKG2_F04_022_2018_2 -               13     878      24     891      15     891    1443    +    2.9e-205  679.6  22.2  -
Bdellovibrionaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               13     858      15     890       7     891    1430    +      3e-204  676.3  22.7  -
Piscirickettsiaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               31     893      24     891      12     891    1466    +    3.6e-204  675.9  21.8  -
Methylococcaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               43     895      24     889      10     891    1481    +    4.8e-204  675.6  21.7  -
Alphaproteobacteria       -          LKAP-TSAKG2_F04_022_2018_2 -               29     832      24     891      12     891    1409    +    6.1e-204  675.6  23.1  -
Conexibacteraceae         -          LKAP-TSAKG2_F04_022_2018_2 -               44     915      20     891       8     891    1536    +      8e-204  674.7  22.7  -
Oceanospirillaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               29     889      24     889      13     891    1467    +    8.1e-204  674.8  21.7  -
Pseudomonadaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               36     893      24     890      13     891    1491    +    1.3e-203  674.1  21.6  -
Halothiobacillaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               46     908      24     891       9     891    1500    +    1.4e-203  674.1  21.5  -
Hyphomonadaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               29     831      24     890      12     891    1400    +    2.4e-203  673.6  22.7  -
Acidimicrobiaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               37     889      15     891       8     891    1464    +    3.8e-203  672.8  23.1  -
Alteromonadaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               29     887      24     889      13     891    1468    +    4.6e-203  672.3  21.6  -
Rhodobiaceae              -          LKAP-TSAKG2_F04_022_2018_2 -               39     842      24     891      10     891    1440    +    1.2e-202  671.3  23.3  -
Oceanospirillales         -          LKAP-TSAKG2_F04_022_2018_2 -               35     893      24     889      14     891    1489    +    2.4e-202  669.8  21.6  -
Defluviitaleaceae         -          LKAP-TSAKG2_F04_022_2018_2 -                8     859      13     891       7     891    1413    +    3.5e-202  669.6  23.4  -
Calditrichaeota           -          LKAP-TSAKG2_F04_022_2018_2 -               24     907      15     891       8     891    1483    +    1.4e-201  667.7  22.3  -
Polyangiaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               48     919      24     891      11     891    1548    +    1.4e-201  667.5  22.1  -
Kineosporiaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               24     873      14     891       7     891    1463    +    2.4e-201  666.9  23.3  -
Spongiibacteraceae        -          LKAP-TSAKG2_F04_022_2018_2 -               32     885      24     889      10     891    1462    +    3.1e-201  666.2  21.8  -
Actinomycetaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               15     899      13     891       7     891    1468    +    3.5e-201  666.2  22.3  -
Haliangiaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               45     920      24     891      11     891    1507    +    4.5e-201  665.9  22.0  -
Leptospiraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               24     860      20     891       9     891    1431    +    8.6e-201  664.8  22.5  -
Chromatiaceae             -          LKAP-TSAKG2_F04_022_2018_2 -               29     879      24     891       9     891    1455    +    1.4e-200  664.2  21.6  -
Geodermatophilaceae       -          LKAP-TSAKG2_F04_022_2018_2 -               28     882      13     891       5     891    1479    +    1.4e-200  664.3  23.3  -
Lysobacteraceae           -          LKAP-TSAKG2_F04_022_2018_2 -               29     892      23     891       9     891    1484    +    1.5e-200  664.1  22.2  -
Caulobacteraceae          -          LKAP-TSAKG2_F04_022_2018_2 -               29     832      24     891      14     891    1415    +      2e-200  663.8  23.8  -
Cellulomonadaceae         -          LKAP-TSAKG2_F04_022_2018_2 -               19     874      13     890       6     891    1465    +    2.3e-200  663.6  23.2  -
Thermodesulfobacteriaceae -          LKAP-TSAKG2_F04_022_2018_2 -               29     899      24     891      11     891    1497    +      3e-200  663.3  22.0  -
Chromobacteriaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               14     882      13     891       5     891    1460    +    3.1e-200  663.1  21.9  -
Parviterribacteraceae     -          LKAP-TSAKG2_F04_022_2018_2 -               16     880      14     891       7     891    1456    +    3.3e-200  662.9  22.2  -
Nitrospiraceae            -          LKAP-TSAKG2_F04_022_2018_2 -               35     874      24     891       9     891    1479    +    7.4e-200  661.8  23.2  -
Sneathiellaceae           -          LKAP-TSAKG2_F04_022_2018_2 -               34     847      24     891      17     891    1427    +    1.6e-199  660.7  22.5  -
Fusobacteriaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               36     872      17     891       8     891    1458    +    1.6e-199  660.7  24.0  -
Intrasporangiaceae        -          LKAP-TSAKG2_F04_022_2018_2 -               15     873      13     891       5     891    1461    +    2.8e-199  659.8  23.2  -
Thiotrichales             -          LKAP-TSAKG2_F04_022_2018_2 -               49     909      24     891      11     891    1519    +    4.2e-199  659.0  21.3  -
Cellvibrionaceae          -          LKAP-TSAKG2_F04_022_2018_2 -               29     887      24     889      14     891    1472    +    5.3e-199  658.9  21.8  -
Bogoriellaceae            -          LKAP-TSAKG2_F04_022_2018_2 -               15     875      13     891       5     891    1470    +    5.9e-199  658.8  23.1  -
