# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B2a_forward          -               21    1091      17    1098       3    1118    1491    +           0 1171.3  21.6  -
Oceanospirillaceae        -          B2a_forward          -               19    1080      22    1088       4    1109    1467    +           0 1083.1  22.1  -
Cellvibrionaceae          -          B2a_forward          -               15    1078      18    1088       4    1109    1472    +           0 1077.1  22.1  -
Gammaproteobacteria       -          B2a_forward          -               14    1078      17    1088       4    1108    1481    +           0 1066.9  22.2  -
Alteromonadaceae          -          B2a_forward          -               15    1078      18    1088       3    1109    1468    +           0 1058.6  22.2  -
Alcanivoracaceae          -          B2a_forward          -               34    1104      17    1096       3    1114    1504    +           0 1054.1  21.9  -
Thermoleophilaceae        -          B2a_forward          -                7    1081      17    1088       7    1108    1494    +           0 1052.7  22.2  -
Oceanospirillales         -          B2a_forward          -               21    1084      18    1088       2    1109    1489    +           0 1049.1  22.3  -
Hahellaceae               -          B2a_forward          -               16    1077      19    1088       3    1108    1473    +           0 1046.7  22.3  -
Microbulbiferaceae        -          B2a_forward          -               64    1078      69    1096      45    1114    1480    +           0 1044.2  20.6  -
Methylococcaceae          -          B2a_forward          -               35    1086      24    1088       6    1109    1481    +           0 1029.2  22.0  -
Moraxellaceae             -          B2a_forward          -               16    1070      22    1088       4    1108    1468    +           0 1025.3  22.1  -
Alteromonadales           -          B2a_forward          -               15    1080      18    1088       3    1109    1468    +           0 1022.2  22.1  -
Spongiibacteraceae        -          B2a_forward          -               18    1076      18    1088       3    1109    1462    +    2.5e-308 1021.5  22.2  -
Thioalkalispiraceae       -          B2a_forward          -               27    1097      18    1088       4    1109    1479    +    3.8e-307 1017.6  22.2  -
Piscirickettsiaceae       -          B2a_forward          -               16    1081      17    1087       4    1108    1466    +    4.4e-305 1010.7  22.3  -
Halomonadaceae            -          B2a_forward          -               14    1079      17    1089       3    1109    1466    +    2.4e-304 1008.3  22.1  -
