# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae            -          LKAP-TSA1KG_H08_050_2018_1 -               11    1016       5    1009       2    1010    1491    +           0 1217.7  21.7  -
Bacillales                -          LKAP-TSA1KG_H08_050_2018_1 -               18    1028       5    1009       2    1010    1503    +           0 1155.2  22.0  -
Bacillaceae               -          LKAP-TSA1KG_H08_050_2018_1 -               18    1020      13    1008       2    1010    1493    +           0 1132.5  21.8  -
Staphylococcaceae         -          LKAP-TSA1KG_H08_050_2018_1 -               13    1014       5    1008       2    1010    1479    +           0 1119.3  21.6  -
Listeriaceae              -          LKAP-TSA1KG_H08_050_2018_1 -                6    1000      13    1009       8    1010    1448    +           0 1115.1  21.0  -
Carnobacteriaceae         -          LKAP-TSA1KG_H08_050_2018_1 -               11    1017       5    1009       2    1010    1496    +           0 1097.5  21.9  -
Aerococcaceae             -          LKAP-TSA1KG_H08_050_2018_1 -               11    1017       5    1009       2    1010    1473    +           0 1090.9  22.0  -
Sporolactobacillaceae     -          LKAP-TSA1KG_H08_050_2018_1 -               11    1010       5    1008       2    1010    1503    +           0 1082.0  22.1  -
Enterococcaceae           -          LKAP-TSA1KG_H08_050_2018_1 -               11    1022       5    1009       2    1010    1498    +           0 1079.4  21.8  -
Paenibacillaceae          -          LKAP-TSA1KG_H08_050_2018_1 -               12    1018       5    1007       2    1010    1493    +           0 1076.3  22.0  -
Lactobacillaceae          -          LKAP-TSA1KG_H08_050_2018_1 -               14    1045       5    1009       2    1010    1522    +           0 1061.6  22.0  -
Thermoactinomycetaceae    -          LKAP-TSA1KG_H08_050_2018_1 -               19    1016       5    1009       2    1010    1495    +           0 1043.0  22.3  -
Peptococcaceae            -          LKAP-TSA1KG_H08_050_2018_1 -               18     987       5    1003       2    1010    1479    +      3e-297  984.6  22.8  -
Alicyclobacillaceae       -          LKAP-TSA1KG_H08_050_2018_1 -               31    1019       5    1007       2    1010    1512    +    2.2e-295  978.9  22.6  -
Leuconostocaceae          -          LKAP-TSA1KG_H08_050_2018_1 -                7    1018       5    1009       2    1010    1479    +    7.8e-295  976.9  22.2  -
Clostridiaceae            -          LKAP-TSA1KG_H08_050_2018_1 -               25     992       5    1005       2    1009    1485    +    9.9e-293  969.6  22.5  -
Eubacteriaceae            -          LKAP-TSA1KG_H08_050_2018_1 -               25    1004       5    1008       3    1010    1485    +    3.3e-292  968.0  22.7  -
Streptococcaceae          -          LKAP-TSA1KG_H08_050_2018_1 -               17    1021       5    1006       2    1009    1497    +    6.3e-291  963.8  22.5  -
Clostridiales             -          LKAP-TSA1KG_H08_050_2018_1 -               19     997       6    1008       3    1010    1470    +      1e-288  956.4  22.4  -
Erysipelotrichaceae       -          LKAP-TSA1KG_H08_050_2018_1 -               16     987       5     997       2    1003    1466    +    1.8e-285  945.8  24.6  -
Peptostreptococcaceae     -          LKAP-TSA1KG_H08_050_2018_1 -               11     980       5    1009       2    1010    1441    +      1e-280  929.8  22.2  -
Syntrophomonadaceae       -          LKAP-TSA1KG_H08_050_2018_1 -               28    1011       5     988       2    1004    1515    +    1.2e-279  926.2  24.1  -
Thermoanaerobacteraceae   -          LKAP-TSA1KG_H08_050_2018_1 -               17     982       5     988       2    1006    1492    +    2.1e-278  922.1  23.4  -
Ruminococcaceae           -          LKAP-TSA1KG_H08_050_2018_1 -               12     996       6    1009       2    1010    1457    +    7.8e-278  920.3  21.8  -
Selenomonadaceae          -          LKAP-TSA1KG_H08_050_2018_1 -               31    1041       6    1008       2    1010    1531    +    8.1e-274  907.0  22.5  -
Thermoanaerobacterales    -          LKAP-TSA1KG_H08_050_2018_1 -               20     978       6     982       2    1000    1472    +    2.5e-269  892.2  23.8  -
Heliobacteriaceae         -          LKAP-TSA1KG_H08_050_2018_1 -               28    1001       5    1009       2    1010    1500    +    5.6e-268  887.8  22.3  -
Sporomusaceae             -          LKAP-TSA1KG_H08_050_2018_1 -               30    1033       5    1008       2    1010    1535    +    2.2e-267  885.5  23.1  -
Lachnospiraceae           -          LKAP-TSA1KG_H08_050_2018_1 -               12     993       6    1007       2    1009    1469    +    1.6e-264  876.2  22.4  -
Veillonellaceae           -          LKAP-TSA1KG_H08_050_2018_1 -                7    1003      21    1008      17    1010    1450    +    5.4e-264  874.4  22.9  -
Mycoplasmataceae          -          LKAP-TSA1KG_H08_050_2018_1 -                8     955       7     976       3     996    1467    +    1.1e-260  863.8  23.9  -
Brevibacteriaceae         -          LKAP-TSA1KG_H08_050_2018_1 -               26     999      10    1007       3    1009    1487    +      6e-260  861.0  21.9  -
