# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          LKAP-GUTHK2_A06_048_2017_1 -               27     806      17     800       3     801    1467    +    7.4e-253  836.1  18.2  -
Ferrimonadaceae                  -          LKAP-GUTHK2_A06_048_2017_1 -               24     815      13     799       3     801    1475    +    8.8e-249  822.5  18.1  -
Aeromonadaceae                   -          LKAP-GUTHK2_A06_048_2017_1 -               39     819      17     799       3     801    1496    +      5e-245  810.1  18.1  -
Idiomarinaceae                   -          LKAP-GUTHK2_A06_048_2017_1 -               26     802      16     796       3     801    1466    +    1.1e-242  802.3  18.1  -
Hafniaceae                       -          LKAP-GUTHK2_A06_048_2017_1 -               16     799      11     799       2     801    1459    +    4.8e-241  797.0  18.3  -
Psychromonadaceae                -          LKAP-GUTHK2_A06_048_2017_1 -               27     805      17     799       3     801    1467    +    7.7e-237  783.2  18.2  -
Colwelliaceae                    -          LKAP-GUTHK2_A06_048_2017_1 -               27     800      17     795       4     800    1465    +    5.2e-236  780.5  18.1  -
Moritellaceae                    -          LKAP-GUTHK2_A06_048_2017_1 -               42     822      17     799       5     801    1501    +    9.4e-236  779.4  18.3  -
Unclassified_Oceanospirillales   -          LKAP-GUTHK2_A06_048_2017_1 -               32     801      17     796       4     801    1483    +    3.7e-231  764.1  18.5  -
Budviciaceae                     -          LKAP-GUTHK2_A06_048_2017_1 -               17     795      17     799       6     801    1483    +      6e-231  763.6  18.4  -
Celerinatantimonadaceae          -          LKAP-GUTHK2_A06_048_2017_1 -               22     807      17     796       4     800    1433    +    1.9e-229  758.8  18.3  -
Thorselliaceae                   -          LKAP-GUTHK2_A06_048_2017_1 -                6     774      22     799      18     801    1419    +    5.4e-227  750.5  18.5  -
Alcanivoracaceae                 -          LKAP-GUTHK2_A06_048_2017_1 -               47     820      17     796       3     800    1504    +    2.8e-226  748.0  18.3  -
Succinivibrionaceae              -          LKAP-GUTHK2_A06_048_2017_1 -               30     786      17     800       4     801    1474    +    1.9e-224  742.0  18.0  -
Thioalkalispiraceae              -          LKAP-GUTHK2_A06_048_2017_1 -               40     817      17     796       4     801    1478    +    4.4e-223  737.5  18.1  -
Orbaceae                         -          LKAP-GUTHK2_A06_048_2017_1 -               54     828      17     799       4     801    1538    +    7.6e-223  736.7  18.3  -
Halieaceae                       -          LKAP-GUTHK2_A06_048_2017_1 -               35     802      17     796       4     801    1484    +    3.4e-222  734.6  18.7  -
Halothiobacillaceae              -          LKAP-GUTHK2_A06_048_2017_1 -               44     820      17     797       4     801    1501    +    2.4e-218  721.8  18.0  -
