# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          B1g_forward          -               24     450       4     425       2     445    1504    +    3.8e-122  402.4   9.8  -
Aeromonadaceae                   -          B1g_forward          -               16     450       4     429       2     451    1496    +    1.2e-120  397.4   9.8  -
Microbulbiferaceae               -          B1g_forward          -                4     423       4     423       2     436    1478    +    2.9e-120  396.5   9.8  -
Unclassified_Alteromonadales     -          B1g_forward          -                4     431       4     424       2     445    1467    +    1.3e-118  390.6   9.9  -
Unclassified_Oceanospirillales   -          B1g_forward          -                9     431       4     425       1     445    1483    +    4.7e-118  388.8   9.6  -
Halieaceae                       -          B1g_forward          -               12     432       4     425       2     445    1484    +    1.3e-117  387.5   9.8  -
Spongiibacteraceae               -          B1g_forward          -                7     430       4     426       2     447    1462    +    3.6e-116  382.6   9.7  -
Litoricolaceae                   -          B1g_forward          -               12     435       4     422       2     442    1474    +    1.4e-115  381.0   9.8  -
Thermoleophilaceae               -          B1g_forward          -                2     427       9     424       8     443    1486    +    6.6e-115  378.5   9.7  -
Thioalkalispiraceae              -          B1g_forward          -               16     447       4     425       2     444    1478    +    5.1e-114  375.5   9.9  -
Acidiferrobacteraceae            -          B1g_forward          -                4     428       4     427       2     447    1456    +    2.7e-113  373.3   9.8  -
Ferrimonadaceae                  -          B1g_forward          -                4     442       4     425       2     446    1475    +    2.9e-112  369.6   9.8  -
Nevskiaceae                      -          B1g_forward          -               13     420       4     418       2     438    1470    +    4.5e-112  369.6   9.5  -
Idiomarinaceae                   -          B1g_forward          -                4     431       4     424       2     436    1466    +    1.2e-110  364.3   9.9  -
Moritellaceae                    -          B1g_forward          -               19     448       4     424       2     445    1501    +    6.5e-110  361.9   9.8  -
Granulosicoccaceae               -          B1g_forward          -                4     431       4     424       2     432    1471    +      9e-110  361.7  10.0  -
Colwelliaceae                    -          B1g_forward          -                4     430       4     424       2     444    1465    +    1.9e-109  360.6   9.8  -
Halothiobacillaceae              -          B1g_forward          -               21     448       4     424       2     444    1501    +    5.8e-109  358.8   9.9  -
Cardiobacteriaceae               -          B1g_forward          -               12     433       4     422       2     437    1462    +    7.2e-109  358.9   9.8  -
Sulfuricellaceae                 -          B1g_forward          -                4     421       4     418       1     433    1462    +      3e-107  353.3   9.6  -
