# target name                    accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Oceanospirillales   -          A1b_reverse          -                7    1444       2    1439       1    1455    1483    +           0 1439.4  15.5  -
Alcanivoracaceae                 -          A1b_reverse          -               23    1464       3    1440       1    1458    1504    +           0 1413.5  15.1  -
Kangiellaceae                    -          A1b_reverse          -               12    1436       3    1421       1    1442    1479    +           0 1399.2  15.1  -
Spongiibacteraceae               -          A1b_reverse          -                6    1443       3    1440       1    1455    1462    +           0 1388.7  15.2  -
Halieaceae                       -          A1b_reverse          -               11    1445       3    1439       1    1456    1484    +           0 1386.8  15.1  -
Thioalkalispiraceae              -          A1b_reverse          -               15    1461       3    1439       1    1454    1478    +           0 1376.4  15.2  -
Unclassified_Alteromonadales     -          A1b_reverse          -                3    1446       3    1440       1    1454    1467    +           0 1370.6  15.2  -
Microbulbiferaceae               -          A1b_reverse          -                3    1437       3    1438       1    1453    1478    +           0 1364.3  15.4  -
Saccharospirillaceae             -          A1b_reverse          -                4    1434       3    1440       1    1452    1468    +           0 1358.9  15.4  -
Litoricolaceae                   -          A1b_reverse          -               11    1450       3    1439       1    1452    1474    +           0 1357.9  15.1  -
Halothiobacillaceae              -          A1b_reverse          -               20    1464       3    1440       1    1453    1501    +           0 1356.1  15.1  -
Granulosicoccaceae               -          A1b_reverse          -                3    1445       3    1437       1    1451    1471    +           0 1342.1  15.2  -
Nevskiaceae                      -          A1b_reverse          -               12    1440       3    1440       1    1454    1470    +           0 1335.9  15.3  -
Aeromonadaceae                   -          A1b_reverse          -               15    1459       3    1439       1    1454    1496    +           0 1334.5  15.2  -
Cardiobacteriaceae               -          A1b_reverse          -               11    1445       3    1440       1    1453    1462    +           0 1329.2  15.2  -
Idiomarinaceae                   -          A1b_reverse          -                3    1448       3    1441       1    1455    1466    +           0 1323.0  15.1  -
Coxiellaceae                     -          A1b_reverse          -                3    1451       3    1439       1    1453    1473    +           0 1312.1  15.4  -
Colwelliaceae                    -          A1b_reverse          -                3    1443       3    1438       1    1453    1465    +           0 1308.2  15.4  -
Succinivibrionaceae              -          A1b_reverse          -                6    1424       3    1439       1    1449    1474    +           0 1304.6  15.8  -
Ferrimonadaceae                  -          A1b_reverse          -                3    1456       3    1440       1    1455    1475    +           0 1303.8  15.2  -
Wenzhouxiangellaceae             -          A1b_reverse          -                3    1452       3    1441       1    1455    1472    +           0 1297.6  15.0  -
Moritellaceae                    -          A1b_reverse          -               18    1463       3    1440       1    1457    1501    +           0 1296.7  15.3  -
Arenicellaceae                   -          A1b_reverse          -                3    1439       3    1440       1    1457    1488    +           0 1290.0  15.1  -
Acidiferrobacteraceae            -          A1b_reverse          -                3    1437       3    1440       1    1452    1456    +           0 1283.8  15.0  -
Thermoleophilaceae               -          A1b_reverse          -                1    1438       8    1425       8    1447    1486    +           0 1266.0  15.6  -
Salinisphaeraceae                -          A1b_reverse          -                2    1431      14    1438      13    1439    1432    +           0 1254.0  14.7  -
Unclassified_Thiotrichales       -          A1b_reverse          -               24    1461       3    1440       1    1453    1517    +           0 1249.5  15.5  -
Psychromonadaceae                -          A1b_reverse          -                3    1446       3    1438       1    1454    1467    +           0 1241.6  15.1  -
Celerinatantimonadaceae          -          A1b_reverse          -                1    1424       6    1412       6    1419    1433    +           0 1226.9  15.5  -
Acidithiobacillaceae             -          A1b_reverse          -                2    1438       3    1440       2    1456    1457    +           0 1222.1  15.2  -
Hafniaceae                       -          A1b_reverse          -                1    1437       7    1437       7    1453    1459    +           0 1218.7  15.4  -
Sulfuricellaceae                 -          A1b_reverse          -                2    1444       2    1441       1    1454    1462    +           0 1213.9  14.9  -
Francisellaceae                  -          A1b_reverse          -               13    1439       3    1438       1    1454    1509    +           0 1208.8  15.1  -
Hydrogenophilaceae               -          A1b_reverse          -                3    1440       3    1438       1    1453    1462    +           0 1209.0  15.2  -
Budviciaceae                     -          A1b_reverse          -                1    1434      11    1438      11    1453    1483    +           0 1204.0  15.5  -
