# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae_Aeromonas                         -          LKAP-TSAKG2_C05_043_2018_2 -               52     943      24     913      14     913    1503    +           0 1150.5  30.8  -
Shewanellaceae_Shewanella                        -          LKAP-TSAKG2_C05_043_2018_2 -               33     924      24     913       9     913    1483    +           0 1033.9  31.0  -
Aeromonadaceae_Pseudaeromonas                    -          LKAP-TSAKG2_C05_043_2018_2 -               14     905      23     913      14     913    1491    +           0 1026.9  30.9  -
Ferrimonadaceae_Ferrimonas                       -          LKAP-TSAKG2_C05_043_2018_2 -               30     932      22     913       4     913    1475    +    4.7e-308 1022.8  31.5  -
Aeromonadaceae_Tolumonas                         -          LKAP-TSAKG2_C05_043_2018_2 -               43     933      24     913       5     913    1514    +    1.3e-303 1008.3  31.3  -
Aeromonadaceae_Oceanimonas                       -          LKAP-TSAKG2_C05_043_2018_2 -               30     921      24     913       5     913    1483    +    4.8e-301  999.6  31.3  -
Aeromonadaceae_Zobellella                        -          LKAP-TSAKG2_C05_043_2018_2 -               40     929      24     913      16     913    1478    +    7.2e-297  985.7  30.7  -
Yersiniaceae_Yersinia                            -          LKAP-TSAKG2_C05_043_2018_2 -               33     922      24     913      15     913    1461    +      3e-296  983.9  30.8  -
Aeromonadaceae_Oceanisphaera                     -          LKAP-TSAKG2_C05_043_2018_2 -               32     921      23     913       5     913    1464    +    7.6e-295  979.0  31.3  -
Yersiniaceae_Serratia                            -          LKAP-TSAKG2_C05_043_2018_2 -               37     926      24     913      13     913    1491    +      8e-294  975.8  30.7  -
Pectobacteriaceae_Brenneria                      -          LKAP-TSAKG2_C05_043_2018_2 -               11     900      24     913      17     913    1457    +      1e-293  975.4  30.8  -
Erwiniaceae_Erwinia                              -          LKAP-TSAKG2_C05_043_2018_2 -               33     922      24     913      10     913    1495    +    3.3e-292  970.6  30.9  -
Pectobacteriaceae_Dickeya                        -          LKAP-TSAKG2_C05_043_2018_2 -               27     919      22     913       9     913    1421    +    7.7e-291  965.9  31.1  -
Morganellaceae_Xenorhabdus                       -          LKAP-TSAKG2_C05_043_2018_2 -               35     924      24     913      16     913    1493    +    1.2e-290  965.4  30.8  -
