# target name                                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#                            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Planococcaceae_Planococcus                       -          LKAP-TSAKG2_F04_022_2018_2 -               35     907      21     891       8     891    1492    +           0 1136.3  21.9  -
Planococcaceae_Planomicrobium                    -          LKAP-TSAKG2_F04_022_2018_2 -               23     897      19     891       7     891    1485    +           0 1107.2  21.9  -
Planococcaceae_Sporosarcina                      -          LKAP-TSAKG2_F04_022_2018_2 -               25     897      21     891       8     891    1504    +           0 1054.3  21.9  -
Planococcaceae_Jeotgalibacillus                  -          LKAP-TSAKG2_F04_022_2018_2 -               21     899      17     891       6     891    1507    +           0 1040.7  21.9  -
Bacillaceae_Lysinibacillus                       -          LKAP-TSAKG2_F04_022_2018_2 -               25     901      21     891       5     891    1476    +    4.2e-308 1023.0  22.0  -
Planococcaceae_Chryseomicrobium                  -          LKAP-TSAKG2_F04_022_2018_2 -               24     899      20     891       6     891    1483    +    4.7e-308 1022.9  21.9  -
Bacillaceae_Domibacillus                         -          LKAP-TSAKG2_F04_022_2018_2 -               25     898      21     891       6     891    1476    +    1.5e-306 1018.0  21.9  -
Planococcaceae_Bhargavaea                        -          LKAP-TSAKG2_F04_022_2018_2 -               43     916      19     891       5     891    1544    +    7.6e-306 1015.7  21.9  -
Bacillaceae_Psychrobacillus                      -          LKAP-TSAKG2_F04_022_2018_2 -               34     907      23     891       8     891    1503    +    3.5e-305 1013.3  21.8  -
Planococcaceae_Paenisporosarcina                 -          LKAP-TSAKG2_F04_022_2018_2 -               15     892      20     891       8     891    1481    +    2.2e-300  997.4  21.7  -
Bacillaceae_Anoxybacillus                        -          LKAP-TSAKG2_F04_022_2018_2 -               25     900      20     891       7     891    1495    +    1.2e-299  995.1  21.9  -
Bacillaceae_Oceanobacillus                       -          LKAP-TSAKG2_F04_022_2018_2 -               24     911      20     889       5     891    1508    +    1.6e-295  981.6  21.8  -
Planococcaceae_Kurthia                           -          LKAP-TSAKG2_F04_022_2018_2 -               23     899      19     891       6     891    1479    +    6.4e-293  972.7  22.1  -
Planococcaceae_Caryophanon                       -          LKAP-TSAKG2_F04_022_2018_2 -               51     930      20     891       8     891    1492    +    1.6e-292  971.3  21.8  -
Bacillaceae_Fictibacillus                        -          LKAP-TSAKG2_F04_022_2018_2 -               10     876      24     891      17     891    1439    +    1.9e-292  971.2  21.7  -
Bacillaceae_Pontibacillus                        -          LKAP-TSAKG2_F04_022_2018_2 -               13     895      24     891      15     891    1469    +    2.7e-292  970.8  21.6  -
Bacillaceae_Virgibacillus                        -          LKAP-TSAKG2_F04_022_2018_2 -               23     913      19     889       6     891    1519    +    6.6e-292  969.6  21.8  -
Listeriaceae_Listeria                            -          LKAP-TSAKG2_F04_022_2018_2 -               13     884      24     891      15     891    1458    +      9e-292  969.2  21.7  -
Staphylococcaceae_Macrococcus                    -          LKAP-TSAKG2_F04_022_2018_2 -               44     920      20     891       8     891    1547    +    9.1e-292  969.0  22.1  -
Bacillales_Rummeliibacillus                      -          LKAP-TSAKG2_F04_022_2018_2 -               21     895      17     891       6     891    1473    +    1.2e-291  968.6  21.8  -
Bacillaceae_Viridibacillus                       -          LKAP-TSAKG2_F04_022_2018_2 -               24     899      20     891       8     891    1505    +    2.1e-291  967.6  21.6  -
Bacillales_Solibacillus                          -          LKAP-TSAKG2_F04_022_2018_2 -               27     906      20     891       7     891    1525    +    1.1e-290  965.4  21.6  -
Bacillaceae_Ornithinibacillus                    -          LKAP-TSAKG2_F04_022_2018_2 -               29     909      24     889       6     891    1482    +    2.1e-289  961.2  21.8  -
Staphylococcaceae_Salinicoccus                   -          LKAP-TSAKG2_F04_022_2018_2 -               16     891      20     891       8     891    1476    +    2.3e-288  957.8  21.9  -
Staphylococcaceae_Staphylococcus                 -          LKAP-TSAKG2_F04_022_2018_2 -               33     907      20     891       7     891    1484    +    1.2e-285  948.6  21.6  -
Bacillaceae_Salinibacillus                       -          LKAP-TSAKG2_F04_022_2018_2 -               18     911      18     891       7     891    1471    +    5.7e-285  946.7  21.8  -
