# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_B08_062.seq -               27    1170       8    1150       3    1152    1474    +           0 1381.8  27.1  -
Ferrimonadaceae           -          LKAP.g-Gut1_B08_062.seq -               27    1170       8    1150       2    1152    1475    +           0 1235.3  27.1  -
Alteromonadales           -          LKAP.g-Gut1_B08_062.seq -               34    1161      14    1150       4    1152    1468    +           0 1214.2  26.0  -
Enterobacteriaceae        -          LKAP.g-Gut1_B08_062.seq -               28    1159       9    1150       4    1151    1465    +           0 1207.1  26.5  -
Yersiniaceae              -          LKAP.g-Gut1_B08_062.seq -               28    1160       9    1150       4    1151    1473    +           0 1206.0  26.4  -
Gammaproteobacteria       -          LKAP.g-Gut1_B08_062.seq -               27    1159       8    1150       4    1152    1481    +           0 1205.3  26.4  -
Shewanellaceae            -          LKAP.g-Gut1_B08_062.seq -               27    1162       8    1150       3    1152    1483    +           0 1205.2  26.4  -
Erwiniaceae               -          LKAP.g-Gut1_B08_062.seq -               62    1154      56    1150      34    1151    1483    +           0 1201.4  26.0  -
Pectobacteriaceae         -          LKAP.g-Gut1_B08_062.seq -               24    1157       8    1150       4    1151    1477    +           0 1197.8  26.4  -
Alteromonadaceae          -          LKAP.g-Gut1_B08_062.seq -               27    1158       8    1150       4    1152    1468    +           0 1194.6  26.4  -
Aeromonadaceae            -          LKAP.g-Gut1_B08_062.seq -               41    1174      10    1150       4    1152    1496    +           0 1188.9  26.2  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_B08_062.seq -               27    1156       8    1150       4    1152    1469    +           0 1186.5  25.5  -
Morganellaceae            -          LKAP.g-Gut1_B08_062.seq -               31    1163       9    1150       4    1151    1487    +           0 1180.0  26.7  -
Hafniaceae                -          LKAP.g-Gut1_B08_062.seq -               22    1153       9    1149       3    1151    1459    +           0 1179.6  26.5  -
Budviciaceae              -          LKAP.g-Gut1_B08_062.seq -               59    1149      58    1149      35    1151    1483    +           0 1166.9  25.9  -
Oceanospirillaceae        -          LKAP.g-Gut1_B08_062.seq -               28    1161       9    1150       4    1152    1467    +           0 1164.2  26.2  -
Colwelliaceae             -          LKAP.g-Gut1_B08_062.seq -               27    1161       8    1150       4    1152    1467    +           0 1161.7  26.1  -
Idiomarinaceae            -          LKAP.g-Gut1_B08_062.seq -               27    1161       8    1150       3    1152    1466    +           0 1160.8  26.2  -
Moritellaceae             -          LKAP.g-Gut1_B08_062.seq -               42    1177       8    1150       5    1152    1501    +           0 1147.9  26.1  -
Cellvibrionaceae          -          LKAP.g-Gut1_B08_062.seq -               27    1159       8    1150       4    1152    1472    +           0 1139.0  26.5  -
Psychromonadaceae         -          LKAP.g-Gut1_B08_062.seq -               28    1160       9    1150       4    1152    1467    +           0 1137.1  26.2  -
Oceanospirillales         -          LKAP.g-Gut1_B08_062.seq -               33    1164       8    1149       4    1152    1489    +           0 1136.5  26.5  -
Chromatiaceae             -          LKAP.g-Gut1_B08_062.seq -               27    1149       8    1150       4    1152    1455    +           0 1129.5  26.8  -
Pseudomonadaceae          -          LKAP.g-Gut1_B08_062.seq -               34    1164       8    1150       4    1151    1491    +           0 1121.2  26.4  -
Thorselliaceae            -          LKAP.g-Gut1_B08_062.seq -               38    1127      58    1149      34    1151    1419    +           0 1118.1  26.4  -
Alcanivoracaceae          -          LKAP.g-Gut1_B08_062.seq -               47    1178       8    1150       4    1152    1504    +           0 1108.5  26.4  -
Piscirickettsiaceae       -          LKAP.g-Gut1_B08_062.seq -               67    1160      56    1149      32    1152    1466    +           0 1105.0  25.8  -
Methylococcaceae          -          LKAP.g-Gut1_B08_062.seq -               41    1167       8    1150       4    1152    1481    +           0 1104.6  26.7  -
Pasteurellaceae           -          LKAP.g-Gut1_B08_062.seq -               69    1161      56    1150      33    1151    1422    +           0 1103.2  25.7  -
Hahellaceae               -          LKAP.g-Gut1_B08_062.seq -               27    1158       8    1150       3    1152    1473    +           0 1096.7  26.4  -
Halieaceae                -          LKAP.g-Gut1_B08_062.seq -               35    1160       8    1150       4    1152    1484    +           0 1096.6  26.6  -
Orbaceae                  -          LKAP.g-Gut1_B08_062.seq -               93    1183      59    1150      38    1152    1539    +           0 1095.1  25.8  -
Halomonadaceae            -          LKAP.g-Gut1_B08_062.seq -               27    1158       8    1150       3    1152    1466    +           0 1086.7  26.6  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_B08_062.seq -               23    1167       9    1150       4    1152    1433    +           0 1082.4  26.0  -
Saccharospirillaceae      -          LKAP.g-Gut1_B08_062.seq -               31    1152      10    1149       3    1152    1468    +           0 1082.0  25.9  -
