# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GUTHK2_H06_034_2017_1 -               27    1273      17    1227       4    1233    1474    +           0 1368.2  21.4  -
Alteromonadales           -          LKAP-GUTHK2_H06_034_2017_1 -               27    1267      17    1230       5    1233    1468    +           0 1222.6  21.6  -
Ferrimonadaceae           -          LKAP-GUTHK2_H06_034_2017_1 -               22    1277      14    1231       2    1233    1475    +           0 1218.9  21.9  -
Enterobacteriaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               27    1262      17    1227       4    1233    1465    +           0 1216.1  21.4  -
Shewanellaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1266      17    1228       4    1233    1483    +           0 1212.8  21.5  -
Erwiniaceae               -          LKAP-GUTHK2_H06_034_2017_1 -               22    1257      17    1227       4    1232    1483    +           0 1206.7  21.5  -
Pectobacteriaceae         -          LKAP-GUTHK2_H06_034_2017_1 -               24    1260      17    1227       4    1232    1477    +           0 1202.7  21.4  -
Aeromonadaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               39    1277      17    1227       4    1232    1496    +           0 1202.4  21.3  -
Gammaproteobacteria       -          LKAP-GUTHK2_H06_034_2017_1 -               27    1263      17    1228       6    1233    1481    +           0 1200.7  21.3  -
Hafniaceae                -          LKAP-GUTHK2_H06_034_2017_1 -               21    1256      17    1226       3    1232    1459    +           0 1198.5  21.5  -
Yersiniaceae              -          LKAP-GUTHK2_H06_034_2017_1 -               27    1263      17    1227       5    1233    1473    +           0 1197.2  21.4  -
Morganellaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               30    1266      17    1227       5    1233    1487    +           0 1197.2  21.3  -
Pseudoalteromonadaceae    -          LKAP-GUTHK2_H06_034_2017_1 -               27    1259      17    1227       4    1233    1469    +           0 1192.2  20.7  -
Alteromonadaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               27    1263      17    1229       5    1233    1468    +           0 1187.1  21.7  -
Oceanospirillaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               27    1267      17    1230       4    1233    1467    +           0 1169.0  21.3  -
Budviciaceae              -          LKAP-GUTHK2_H06_034_2017_1 -               17    1253      17    1227       7    1232    1483    +           0 1165.3  21.4  -
Colwelliaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               27    1264      17    1227       6    1233    1467    +           0 1165.2  21.3  -
Idiomarinaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               26    1264      16    1227       4    1232    1466    +           0 1154.6  21.2  -
Psychromonadaceae         -          LKAP-GUTHK2_H06_034_2017_1 -               27    1263      17    1227       5    1233    1467    +           0 1152.7  21.5  -
Moritellaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               42    1280      17    1227       5    1233    1501    +           0 1150.6  21.4  -
Pasteurellaceae           -          LKAP-GUTHK2_H06_034_2017_1 -               27    1264      17    1227       7    1232    1422    +           0 1134.6  20.9  -
Thorselliaceae            -          LKAP-GUTHK2_H06_034_2017_1 -                6    1230      22    1226      18    1230    1419    +           0 1129.6  21.2  -
Chromatiaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               27    1254      17    1229       5    1233    1455    +           0 1129.7  21.9  -
Oceanospirillales         -          LKAP-GUTHK2_H06_034_2017_1 -               33    1269      17    1228       5    1233    1489    +           0 1127.3  21.6  -
Cellvibrionaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               27    1264      17    1229       4    1233    1472    +           0 1122.3  21.3  -
Pseudomonadaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               34    1268      17    1228       4    1233    1491    +           0 1116.0  21.3  -
Celerinatantimonadaceae   -          LKAP-GUTHK2_H06_034_2017_1 -               22    1270      17    1227       6    1233    1433    +           0 1111.4  21.6  -
Orbaceae                  -          LKAP-GUTHK2_H06_034_2017_1 -               54    1235      17    1186       7    1212    1539    +           0 1109.3  21.7  -
Methylococcaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               41    1270      17    1227       7    1233    1481    +           0 1109.2  21.7  -
Piscirickettsiaceae       -          LKAP-GUTHK2_H06_034_2017_1 -               29    1265      17    1228       6    1233    1466    +           0 1105.0  21.4  -
Hahellaceae               -          LKAP-GUTHK2_H06_034_2017_1 -               23    1261      15    1227       3    1232    1473    +           0 1096.7  21.4  -
Alcanivoracaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               47    1282      17    1228       4    1233    1504    +           0 1095.2  21.3  -
Succinivibrionaceae       -          LKAP-GUTHK2_H06_034_2017_1 -               30    1189      17    1186       8    1206    1473    +           0 1089.6  21.3  -
Halomonadaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1262      17    1228       4    1233    1466    +           0 1087.8  21.6  -
Halieaceae                -          LKAP-GUTHK2_H06_034_2017_1 -               35    1264      17    1228       6    1231    1484    +           0 1084.2  21.6  -
Moraxellaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               24    1253      17    1226       5    1230    1468    +           0 1077.9  21.4  -
Saccharospirillaceae      -          LKAP-GUTHK2_H06_034_2017_1 -               30    1205      18    1186       4    1209    1468    +           0 1072.0  21.3  -
Thioalkalispiraceae       -          LKAP-GUTHK2_H06_034_2017_1 -               40    1282      18    1229       5    1233    1479    +           0 1071.0  21.3  -
Ectothiorhodospiraceae    -          LKAP-GUTHK2_H06_034_2017_1 -               34    1271      17    1230       5    1233    1463    +           0 1066.0  21.6  -
Spongiibacteraceae        -          LKAP-GUTHK2_H06_034_2017_1 -               29    1264      16    1231       3    1233    1462    +           0 1064.1  21.4  -
Lysobacteraceae           -          LKAP-GUTHK2_H06_034_2017_1 -               28    1265      17    1227       3    1232    1484    +           0 1063.1  21.3  -
Thermoleophilaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               20    1274      17    1228       6    1233    1494    +           0 1061.5  21.6  -
Litoricolaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               35    1217      17    1186       6    1207    1474    +           0 1060.4  21.5  -
Kangiellaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               36    1274      17    1228       7    1233    1479    +           0 1059.7  21.0  -
Halothiobacillaceae       -          LKAP-GUTHK2_H06_034_2017_1 -               44    1281      17    1228       6    1233    1500    +           0 1054.7  21.3  -
Microbulbiferaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               27    1256      17    1227       4    1232    1480    +           0 1047.7  21.5  -
Thiotrichaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1220      17    1228       6    1233    1421    +           0 1040.6  20.3  -
Legionellaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               23    1210      17    1186       6    1206    1446    +           0 1023.3  21.4  -
Coxiellaceae              -          LKAP-GUTHK2_H06_034_2017_1 -               27    1271      17    1228      10    1232    1475    +           0 1022.1  21.2  -
Cardiobacteriaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               35    1215      17    1186       7    1206    1464    +           0 1022.2  21.2  -
Chromobacteriaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               26    1256      17    1228       4    1233    1460    +    1.4e-305 1012.8  21.5  -
Nevskiaceae               -          LKAP-GUTHK2_H06_034_2017_1 -               43    1256      23    1228      11    1233    1470    +    2.2e-305 1012.2  21.2  -
Arenicellaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               34    1260      23    1231       5    1233    1488    +    8.9e-304 1006.8  21.7  -
Rhodanobacteraceae        -          LKAP-GUTHK2_H06_034_2017_1 -               28    1264      17    1226       4    1232    1473    +      3e-303 1005.0  21.3  -
Granulosicoccaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               27    1265      17    1228       7    1233    1471    +      2e-302 1002.2  21.6  -
Thiotrichales             -          LKAP-GUTHK2_H06_034_2017_1 -               47    1284      17    1231       6    1233    1519    +    1.7e-298  988.8  21.0  -
Rhodocyclaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1259      17    1226       6    1231    1484    +    2.2e-297  985.4  21.6  -
Rhodospirillaceae         -          LKAP-GUTHK2_H06_034_2017_1 -               35    1214      22    1227       6    1232    1429    +      7e-296  980.6  20.6  -
Neisseriaceae             -          LKAP-GUTHK2_H06_034_2017_1 -               41    1276      17    1228       6    1233    1477    +    4.7e-295  977.8  21.3  -
Acidiferrobacteraceae     -          LKAP-GUTHK2_H06_034_2017_1 -               64    1250      64    1225      55    1233    1454    +    6.2e-293  970.8  21.8  -
Salinisphaeraceae         -          LKAP-GUTHK2_H06_034_2017_1 -               15    1246      17    1227       6    1233    1429    +    1.9e-292  969.2  21.6  -
Burkholderiaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               27    1252      17    1228       6    1233    1482    +    2.9e-290  962.0  21.4  -
Desulfobacteraceae        -          LKAP-GUTHK2_H06_034_2017_1 -               40    1295      17    1227       7    1233    1516    +    3.2e-289  958.4  20.8  -
Alcaligenaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1254      17    1227       3    1233    1467    +    1.5e-288  956.2  21.5  -
Hydrogenophilaceae        -          LKAP-GUTHK2_H06_034_2017_1 -               27    1257      17    1226       6    1233    1461    +    2.1e-288  955.9  21.5  -
Desulfovibrionaceae       -          LKAP-GUTHK2_H06_034_2017_1 -               42    1288      17    1228       6    1233    1527    +    3.7e-288  954.9  21.6  -
Desulfobulbaceae          -          LKAP-GUTHK2_H06_034_2017_1 -               29    1288      18    1232       6    1233    1483    +    4.5e-287  951.2  21.5  -
Hyphomicrobiaceae         -          LKAP-GUTHK2_H06_034_2017_1 -               49    1207      56    1227      33    1232    1427    +    5.2e-287  951.2  20.2  -
Clostridiaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               41    1260      17    1231       6    1233    1485    +    7.8e-287  950.4  21.3  -
Clostridiales             -          LKAP-GUTHK2_H06_034_2017_1 -               34    1263      17    1231       7    1233    1470    +    1.1e-286  950.0  20.4  -
Sutterellaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               27    1256      17    1228       5    1233    1487    +    3.2e-286  948.3  21.4  -
Geobacteraceae            -          LKAP-GUTHK2_H06_034_2017_1 -               35    1286      17    1229       5    1233    1487    +    5.1e-285  944.4  21.2  -
Eubacteriaceae            -          LKAP-GUTHK2_H06_034_2017_1 -               41    1268      17    1231       7    1233    1485    +      1e-284  943.4  20.9  -
