# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Pseudomonadaceae          -          B1b3_2_reverse       -              482    1434     996      40    1024      20    1491    -           0 1099.3  11.2  -
Cellvibrionaceae          -          B1b3_2_reverse       -              475    1429     997      40    1024      22    1472    -           0 1054.2  11.3  -
Oceanospirillaceae        -          B1b3_2_reverse       -              483    1436     992      35    1024      20    1467    -           0 1028.6  11.1  -
Alteromonadaceae          -          B1b3_2_reverse       -              479    1427     994      41    1022      22    1468    -    3.1e-308 1021.2  11.5  -
Gammaproteobacteria       -          B1b3_2_reverse       -              466    1428    1008      41    1073      21    1481    -    1.1e-307 1019.3  11.6  -
Alcanivoracaceae          -          B1b3_2_reverse       -              496    1448     996      40    1022      21    1504    -    2.4e-307 1018.2  11.1  -
Oceanospirillales         -          B1b3_2_reverse       -              484    1434     994      41    1024      22    1489    -    3.2e-306 1014.4  11.4  -
Hahellaceae               -          B1b3_2_reverse       -              478    1428     994      40    1029      22    1473    -    3.8e-306 1014.4  11.3  -
Microbulbiferaceae        -          B1b3_2_reverse       -              472    1423     995      40    1022      24    1480    -    9.4e-303 1003.3  11.6  -
Spongiibacteraceae        -          B1b3_2_reverse       -              475    1427     996      40    1026      21    1462    -      6e-301  997.0  11.3  -
Thioalkalispiraceae       -          B1b3_2_reverse       -              489    1450    1002      37    1048      17    1479    -    1.2e-300  996.1  10.5  -
Alteromonadales           -          B1b3_2_reverse       -              479    1431     995      41    1024      22    1468    -      1e-299  992.8  11.4  -
Thermoleophilaceae        -          B1b3_2_reverse       -              461    1438    1014      43    1069      32    1494    -    9.8e-299  989.8  11.4  -
Chromatiaceae             -          B1b3_2_reverse       -              419    1418    1053      41    1075      21    1455    -    2.2e-297  985.4  11.7  -
Thiotrichaceae            -          B1b3_2_reverse       -              428    1387    1002      39    1022      19    1421    -    4.9e-297  984.1  11.1  -
Methylococcaceae          -          B1b3_2_reverse       -              478    1436    1003      41    1026      23    1481    -    4.9e-297  984.1  11.4  -
Piscirickettsiaceae       -          B1b3_2_reverse       -              475    1430    1002      41    1027      22    1466    -    2.5e-295  978.4  11.3  -
Ectothiorhodospiraceae    -          B1b3_2_reverse       -              483    1439     995      37    1024      20    1463    -    1.6e-294  976.0  11.3  -
Litoricolaceae            -          B1b3_2_reverse       -              485    1434     995      41    1027      23    1474    -    1.6e-293  972.6  11.3  -
Kangiellaceae             -          B1b3_2_reverse       -              439    1443    1056      37    1077      20    1479    -    2.9e-293  971.6  11.7  -
Halomonadaceae            -          B1b3_2_reverse       -              461    1427    1012      41    1033      22    1466    -    4.3e-293  971.0  11.0  -
Halieaceae                -          B1b3_2_reverse       -              472    1430    1003      40    1043      22    1484    -    4.5e-293  971.0  11.1  -
Moraxellaceae             -          B1b3_2_reverse       -              473    1421     996      40    1022      21    1468    -    7.2e-291  963.9  11.3  -
Halothiobacillaceae       -          B1b3_2_reverse       -              497    1447     994      41    1022      21    1500    -    1.4e-290  962.8  11.4  -
Saccharospirillaceae      -          B1b3_2_reverse       -              472    1425     995      38    1024      23    1468    -    5.3e-289  957.5  11.3  -
Lysobacteraceae           -          B1b3_2_reverse       -              472    1433    1004      40    1028      20    1484    -    1.6e-286  949.4  11.0  -
Colwelliaceae             -          B1b3_2_reverse       -              474    1430    1002      41    1041      26    1467    -    1.1e-285  946.6  11.1  -
Granulosicoccaceae        -          B1b3_2_reverse       -              416    1430    1072      42    1092      26    1471    -    6.9e-281  930.8  12.0  -
Idiomarinaceae            -          B1b3_2_reverse       -              436    1431    1048      40    1071      21    1466    -    6.4e-280  927.2  11.3  -
Nevskiaceae               -          B1b3_2_reverse       -              465    1425    1004      41    1036      21    1470    -    4.4e-279  925.0  11.1  -
Shewanellaceae            -          B1b3_2_reverse       -              479    1433     997      40    1026      22    1483    -    9.1e-279  923.6  11.3  -
Legionellaceae            -          B1b3_2_reverse       -              414    1429    1069      39    1089      22    1446    -    3.1e-278  922.0  11.8  -
Arenicellaceae            -          B1b3_2_reverse       -              475    1426     994      37    1015      19    1488    -    7.4e-278  920.8  11.2  -
Cardiobacteriaceae        -          B1b3_2_reverse       -              478    1435    1002      38    1026      18    1464    -    9.6e-278  920.6  11.1  -
Pseudoalteromonadaceae    -          B1b3_2_reverse       -              417    1425    1063      41    1085      22    1469    -    1.3e-277  919.7  11.8  -
Chromobacteriaceae        -          B1b3_2_reverse       -              469    1422     998      40    1045      21    1460    -    4.4e-277  918.2  10.9  -
Aeromonadaceae            -          B1b3_2_reverse       -              492    1443     996      41    1024      22    1496    -    1.1e-276  916.5  11.4  -
Coxiellaceae              -          B1b3_2_reverse       -              489    1439     997      39    1024      24    1475    -      1e-274  910.2  11.7  -
Rhodanobacteraceae        -          B1b3_2_reverse       -              472    1431    1004      42    1046      26    1473    -    1.8e-274  909.5  10.9  -
Ferrimonadaceae           -          B1b3_2_reverse       -              489    1439     995      41    1025      23    1475    -    2.2e-273  905.6  11.2  -
Acidiferrobacteraceae     -          B1b3_2_reverse       -              461    1414    1004      45    1033      35    1454    -    2.4e-273  905.8  11.4  -
Vibrionaceae              -          B1b3_2_reverse       -              480    1441    1005      39    1072      20    1474    -    6.4e-268  887.6  11.3  -
Wenzhouxiangellaceae      -          B1b3_2_reverse       -              439    1442    1047      35    1069      17    1472    -    1.1e-267  886.7  10.6  -
Succinivibrionaceae       -          B1b3_2_reverse       -              460    1402     994      45    1015      24    1473    -    1.4e-266  883.2  11.4  -
Neisseriaceae             -          B1b3_2_reverse       -              487    1445    1002      37    1030      19    1477    -    2.4e-263  872.6  10.8  -
Moritellaceae             -          B1b3_2_reverse       -              497    1445     994      42    1022      27    1501    -    2.2e-262  869.2  11.5  -
Erwiniaceae               -          B1b3_2_reverse       -              475    1423     994      41    1024      24    1483    -    2.1e-261  866.1  11.6  -
Rhodocyclaceae            -          B1b3_2_reverse       -              475    1426     995      41    1025      24    1484    -    2.3e-261  866.0  11.5  -
Desulfohalobiaceae        -          B1b3_2_reverse       -              440    1454    1073      44    1093      24    1509    -    1.8e-260  863.0  11.8  -
Methylothermaceae         -          B1b3_2_reverse       -              480    1457    1015      41    1035      21    1491    -    1.9e-260  862.9  11.1  -
Enterobacteriaceae        -          B1b3_2_reverse       -              480    1428     994      41    1023      24    1465    -    1.9e-260  863.0  11.6  -
Yersiniaceae              -          B1b3_2_reverse       -              480    1429     994      41    1026      26    1473    -    6.9e-260  861.0  11.5  -
Psychromonadaceae         -          B1b3_2_reverse       -              473    1431    1002      41    1027      23    1467    -    7.8e-259  857.6  11.4  -
Salinisphaeraceae         -          B1b3_2_reverse       -              464    1413     995      41    1023      31    1429    -    1.9e-258  856.4  11.5  -
Pectobacteriaceae         -          B1b3_2_reverse       -              477    1427     994      40    1016      22    1477    -    2.5e-258  855.8  11.5  -
Morganellaceae            -          B1b3_2_reverse       -              483    1432     994      41    1024      27    1487    -    8.5e-258  854.3  11.7  -
Rhodospirillaceae         -          B1b3_2_reverse       -              423    1375     999      45    1019      28    1429    -    1.8e-257  853.3  11.4  -
Celerinatantimonadaceae   -          B1b3_2_reverse       -              444    1430    1027      47    1047      45    1433    -    3.8e-257  852.0  11.1  -
Desulfobulbaceae          -          B1b3_2_reverse       -              429    1450    1072      40    1092      26    1483    -    6.3e-257  851.2  11.8  -
Hafniaceae                -          B1b3_2_reverse       -              463    1422    1006      42    1072      29    1459    -    1.2e-256  850.2  11.8  -
Clostridiales             -          B1b3_2_reverse       -              476    1425     994      41    1015      27    1470    -    1.6e-256  849.9  11.5  -
Desulfobacteraceae        -          B1b3_2_reverse       -              511    1457     994      45    1025      32    1516    -    2.1e-256  849.6  11.4  -
Alcaligenaceae            -          B1b3_2_reverse       -              477    1420     994      41    1022      24    1467    -    1.3e-255  847.0  11.5  -
Budviciaceae              -          B1b3_2_reverse       -              470    1419     994      41    1024      27    1483    -    1.9e-255  846.3  11.7  -
Deltaproteobacteria       -          B1b3_2_reverse       -              511    1462     994      42    1017      32    1514    -    2.9e-255  845.8  11.6  -
Eubacteriaceae            -          B1b3_2_reverse       -              483    1427     994      44    1014      27    1485    -    4.5e-255  845.1  11.6  -
Francisellaceae           -          B1b3_2_reverse       -              458    1425    1015      44    1070      29    1508    -    1.3e-254  843.6  11.6  -
Sulfuricellaceae          -          B1b3_2_reverse       -              477    1427     994      41    1016      22    1463    -    2.1e-254  842.9  11.4  -
Hydrogenophilaceae        -          B1b3_2_reverse       -              474    1423     994      42    1015      21    1461    -    4.4e-254  842.0  11.4  -
Hyphomicrobiaceae         -          B1b3_2_reverse       -              420    1371     999      42    1019      32    1427    -    9.5e-254  840.8  11.5  -
Methylophilaceae          -          B1b3_2_reverse       -              463    1415     994      40    1015      26    1431    -    1.2e-253  840.5  11.6  -
Burkholderiaceae          -          B1b3_2_reverse       -              473    1416     995      42    1016      24    1482    -    2.5e-253  839.4  11.5  -
Clostridiaceae            -          B1b3_2_reverse       -              478    1418     983      45    1010      29    1485    -    2.8e-253  839.1  11.8  -
Thiotrichales             -          B1b3_2_reverse       -              497    1451     993      38    1015      22    1519    -    3.6e-253  838.5  11.3  -
Desulfovibrionaceae       -          B1b3_2_reverse       -              504    1451     994      43    1032      28    1527    -    5.7e-253  838.2  11.3  -
Burkholderiales           -          B1b3_2_reverse       -              473    1417     996      42    1022      28    1463    -    1.7e-252  836.6  11.5  -
Geobacteraceae            -          B1b3_2_reverse       -              434    1447    1073      45    1093      29    1487    -    3.2e-251  832.3  12.2  -
Comamonadaceae            -          B1b3_2_reverse       -              473    1416     995      42    1022      28    1466    -    1.3e-250  830.1  11.5  -
Desulfuromonadaceae       -          B1b3_2_reverse       -              507    1461     997      41    1033      30    1518    -    3.3e-250  829.1  11.6  -
Orbaceae                  -          B1b3_2_reverse       -              504    1454     994      39    1022      20    1539    -    9.6e-250  827.4  11.4  -
Acetobacteraceae          -          B1b3_2_reverse       -              425    1378     999      44    1016      24    1438    -    2.8e-249  826.2  11.2  -
Acidithiobacillaceae      -          B1b3_2_reverse       -              450    1421    1016      41    1038      24    1457    -    4.6e-249  825.1  11.3  -
Lactobacillaceae          -          B1b3_2_reverse       -              522    1465     992      44    1014      28    1522    -    2.3e-248  823.0  11.4  -
Bacillales                -          B1b3_2_reverse       -              503    1449     993      44    1015      28    1503    -    2.1e-247  819.9  11.6  -
Syntrophomonadaceae       -          B1b3_2_reverse       -              504    1449     995      47    1019      33    1515    -    5.4e-247  818.2  11.8  -
Bacillaceae               -          B1b3_2_reverse       -              481    1444    1004      44    1025      28    1493    -    7.5e-247  818.0  11.3  -
Pasteurellaceae           -          B1b3_2_reverse       -              437    1420    1050      51    1072      49    1422    -    9.3e-247  817.6  12.1  -
Ruminococcaceae           -          B1b3_2_reverse       -              481    1413     983      44    1010      30    1457    -    2.2e-246  816.2  12.0  -
Azonexaceae               -          B1b3_2_reverse       -              476    1425     996      44    1022      30    1474    -    2.3e-246  816.4  11.6  -
Thiobacilliaceae          -          B1b3_2_reverse       -              493    1439     994      40    1015      23    1517    -    4.7e-245  812.0  11.6  -
Syntrophaceae             -          B1b3_2_reverse       -              492    1456    1014      45    1073      31    1551    -    3.1e-244  809.2  11.9  -
Thermoanaerobacteraceae   -          B1b3_2_reverse       -              471    1439     999      41    1019      31    1492    -    3.6e-244  808.8  11.8  -
Zoogloeaceae              -          B1b3_2_reverse       -              479    1431     996      41    1025      21    1474    -    5.2e-244  808.4  11.3  -
Peptococcaceae            -          B1b3_2_reverse       -              465    1419     994      44    1014      24    1479    -    1.1e-243  807.3  11.5  -
Sutterellaceae            -          B1b3_2_reverse       -              469    1420    1004      42    1030      33    1487    -    4.4e-243  805.3  11.4  -
Syntrophobacteraceae      -          B1b3_2_reverse       -              485    1448    1013      46    1046      34    1496    -    8.1e-243  804.7  11.3  -
Thermoanaerobacterales    -          B1b3_2_reverse       -              476    1421     996      56    1018      36    1472    -    1.8e-242  803.4  11.9  -
Thermithiobacillaceae     -          B1b3_2_reverse       -              459    1406     994      45    1016      39    1419    -    2.4e-242  803.0  11.9  -
Peptostreptococcaceae     -          B1b3_2_reverse       -              459    1406     991      40    1011      30    1441    -    1.8e-241  799.9  11.7  -
Rhodobiaceae              -          B1b3_2_reverse       -              428    1382     999      41    1019      22    1440    -      2e-241  800.1  11.4  -
Alphaproteobacteria       -          B1b3_2_reverse       -              419    1372     998      41    1018      34    1409    -    2.6e-241  799.8  11.7  -
Thermoactinomycetaceae    -          B1b3_2_reverse       -              487    1436     999      46    1045      35    1495    -    4.1e-241  799.1  11.2  -
Erysipelotrichaceae       -          B1b3_2_reverse       -              480    1413     993      45    1028      37    1466    -    1.6e-239  793.7  12.3  -
Acidobacteria             -          B1b3_2_reverse       -              507    1452     997      47    1019      39    1505    -    4.2e-239  792.7  12.2  -
Oxalobacteraceae          -          B1b3_2_reverse       -              467    1416    1004      44    1030      24    1459    -    4.5e-239  792.2  11.2  -
Methylocystaceae          -          B1b3_2_reverse       -              430    1380     999      42    1019      37    1424    -    9.1e-239  791.3  11.7  -
Nitrosomonadaceae         -          B1b3_2_reverse       -              466    1424    1004      42    1026      22    1461    -    2.2e-238  790.0  11.3  -
Sphingomonadaceae         -          B1b3_2_reverse       -              430    1376     994      45    1010      28    1434    -    4.9e-237  785.7  11.5  -
Leuconostocaceae          -          B1b3_2_reverse       -              505    1441     981      41    1003      28    1479    -      1e-236  784.5  11.5  -
Sneathiellaceae           -          B1b3_2_reverse       -              434    1384     998      45    1018      36    1427    -    1.3e-236  784.1  11.8  -
Nautiliaceae              -          B1b3_2_reverse       -              448    1397     994      44    1014      23    1431    -    1.8e-236  783.8  11.4  -
Lachnospiraceae           -          B1b3_2_reverse       -              470    1414     993      47    1013      35    1469    -    2.2e-236  783.1  11.7  -
Hyphomonadaceae           -          B1b3_2_reverse       -              418    1352     999      42    1019      24    1400    -    2.5e-236  783.3  10.6  -
Desulfomicrobiaceae       -          B1b3_2_reverse       -              495    1446     996      41    1024      28    1495    -    2.7e-236  782.9  11.5  -
Bacteroidaceae            -          B1b3_2_reverse       -              493    1432     995      41    1033      30    1480    -    4.1e-236  782.2  11.5  -
Planococcaceae            -          B1b3_2_reverse       -              489    1435     994      46    1014      31    1491    -    4.6e-236  782.1  11.5  -
Rhizobiales               -          B1b3_2_reverse       -              428    1378     999      45    1019      37    1438    -    1.3e-235  780.9  11.7  -
Spirochaetaceae           -          B1b3_2_reverse       -              499    1441     983      41    1003      28    1486    -    1.4e-235  780.7  11.8  -
Porticoccaceae            -          B1b3_2_reverse       -              483    1430     991      41    1024      21    1497    -    6.8e-235  777.9  11.3  -
Paenibacillaceae          -          B1b3_2_reverse       -              490    1441     999      46    1019      36    1493    -    7.2e-235  778.3  11.8  -
Deferribacteraceae        -          B1b3_2_reverse       -              484    1445     999      43    1019      32    1513    -    8.5e-235  777.8  11.8  -
Xanthobacteraceae         -          B1b3_2_reverse       -              416    1365     999      46    1017      37    1415    -      1e-234  777.8  11.6  -
Aurantimonadaceae         -          B1b3_2_reverse       -              435    1383     999      44    1019      28    1442    -    4.1e-234  775.9  11.4  -
Heliobacteriaceae         -          B1b3_2_reverse       -              475    1422     994      45    1008      36    1500    -    7.6e-233  771.5  12.0  -
Carnobacteriaceae         -          B1b3_2_reverse       -              492    1435     994      46    1014      31    1496    -    9.9e-233  771.1  11.5  -
Spirillaceae              -          B1b3_2_reverse       -              488    1437     996      45    1022      39    1447    -    1.2e-232  771.1  11.7  -
Sporolactobacillaceae     -          B1b3_2_reverse       -              483    1430     997      47    1019      31    1503    -    1.8e-232  770.2  11.5  -
Rhizobiaceae              -          B1b3_2_reverse       -              417    1367     999      44    1015      29    1422    -    2.2e-232  770.1  11.4  -
Aerococcaceae             -          B1b3_2_reverse       -              493    1439     993      41    1014      28    1473    -    4.8e-232  768.9  11.4  -
Oleiphilaceae             -          B1b3_2_reverse       -              474    1425     997      41    1025      32    1437    -      9e-232  767.6  11.4  -
Phyllobacteriaceae        -          B1b3_2_reverse       -              417    1369     999      44    1016      34    1424    -    1.2e-231  767.6  11.4  -
Streptococcaceae          -          B1b3_2_reverse       -              499    1442     994      45    1027      30    1497    -    1.6e-231  767.1  11.4  -
Thorselliaceae            -          B1b3_2_reverse       -              430    1397    1013      41    1033      23    1419    -    4.6e-231  765.4  11.0  -
Nitrospiraceae            -          B1b3_2_reverse       -              475    1420     983      46    1004      36    1479    -    5.5e-231  765.3  12.1  -
Myxococcaceae             -          B1b3_2_reverse       -              510    1430     986      60    1006      41    1517    -    5.6e-231  765.2  12.1  -
Ventosimonadaceae         -          B1b3_2_reverse       -              443    1454    1055      42    1089      26    1489    -    6.5e-231  764.6  11.7  -
Calditrichaeota           -          B1b3_2_reverse       -              493    1428     995      58    1032      38    1483    -      8e-231  765.0  11.5  -
Cystobacteraceae          -          B1b3_2_reverse       -              495    1416     985      58    1006      39    1491    -    1.2e-230  764.2  12.1  -
Enterococcaceae           -          B1b3_2_reverse       -              497    1440     994      46    1014      33    1498    -    1.4e-230  764.0  11.7  -
Desulfarculaceae          -          B1b3_2_reverse       -              487    1451    1015      44    1051      32    1516    -    1.7e-230  763.9  11.0  -
Methylobacteriaceae       -          B1b3_2_reverse       -              420    1365     999      47    1019      39    1426    -    2.1e-230  763.5  11.6  -
Fusobacteriaceae          -          B1b3_2_reverse       -              477    1414     982      41    1003      29    1458    -      3e-230  763.0  12.0  -
Listeriaceae              -          B1b3_2_reverse       -              475    1417     994      46    1014      28    1448    -    3.9e-230  762.7  11.3  -
Staphylococcaceae         -          B1b3_2_reverse       -              489    1435     994      46    1015      29    1479    -    8.2e-230  761.5  11.5  -
Leptospiraceae            -          B1b3_2_reverse       -              451    1389     994      47    1015      33    1431    -    1.2e-229  760.7  11.4  -
Desulfonatronaceae        -          B1b3_2_reverse       -              472    1442    1017      40    1043      23    1495    -    2.8e-229  759.6  11.0  -
Rhodobacteraceae          -          B1b3_2_reverse       -              408    1351    1010      45    1029      25    1402    -    4.5e-229  759.1  10.3  -
Helicobacteraceae         -          B1b3_2_reverse       -              459    1407     994      44    1015      24    1473    -    4.9e-229  758.5  11.1  -
Streptomycetaceae         -          B1b3_2_reverse       -              455    1408     994      45    1014      30    1479    -    9.8e-229  758.0  11.5  -
Alicyclobacillaceae       -          B1b3_2_reverse       -              498    1428     993      57    1014      37    1512    -    1.8e-228  757.2  11.8  -
Micrococcaceae            -          B1b3_2_reverse       -              463    1427    1002      43    1022      27    1476    -      2e-228  756.9  11.1  -
Bradyrhizobiaceae         -          B1b3_2_reverse       -              420    1368     999      46    1019      26    1428    -    3.7e-228  755.9  11.4  -
Bdellovibrionaceae        -          B1b3_2_reverse       -              448    1392     994      45    1014      33    1430    -    1.2e-227  754.2  11.6  -
Erythrobacteraceae        -          B1b3_2_reverse       -              425    1369     993      46    1011      26    1433    -    3.3e-227  753.0  11.4  -
Brevibacteriaceae         -          B1b3_2_reverse       -              474    1423     994      45    1015      28    1487    -    3.8e-227  752.4  11.2  -
Mycoplasmataceae          -          B1b3_2_reverse       -              480    1405     982      40    1002      30    1467    -    5.6e-227  752.2  12.2  -
Campylobacteraceae        -          B1b3_2_reverse       -              457    1404     994      45    1015      25    1429    -    1.1e-226  750.8  11.1  -
Natranaerobiaceae         -          B1b3_2_reverse       -              448    1399     999      44    1018      29    1429    -    1.7e-226  750.4  11.6  -
Polyangiaceae             -          B1b3_2_reverse       -              516    1453     985      48    1005      39    1548    -    4.9e-226  748.9  12.2  -
Synergistaceae            -          B1b3_2_reverse       -              465    1412     983      41    1003      29    1450    -    8.8e-226  748.1  12.0  -
Sporomusaceae             -          B1b3_2_reverse       -              510    1457     994      46    1033      35    1535    -    4.4e-225  745.5  11.7  -
Holophagaceae             -          B1b3_2_reverse       -              502    1436     986      49    1006      29    1502    -    5.9e-225  745.5  11.8  -
Beijerinckiaceae          -          B1b3_2_reverse       -              431    1383     999      44    1019      37    1421    -    8.9e-225  744.7  11.7  -
Haliangiaceae             -          B1b3_2_reverse       -              510    1456     993      43    1014      36    1507    -    2.8e-224  743.2  11.9  -
Selenomonadaceae          -          B1b3_2_reverse       -              518    1450     994      58    1029      37    1531    -      3e-224  742.9  11.7  -
Pseudonocardiaceae        -          B1b3_2_reverse       -              463    1410     994      44    1014      28    1475    -    7.4e-224  741.7  11.2  -
Kiloniellaceae            -          B1b3_2_reverse       -              449    1395     997      47    1022      40    1450    -    3.6e-223  739.2  11.6  -
Oscillatoriales           -          B1b3_2_reverse       -              427    1370     993      45    1014      36    1445    -    4.5e-223  739.3  11.8  -
Brucellaceae              -          B1b3_2_reverse       -              421    1371     999      45    1015      38    1411    -    6.2e-223  738.8  11.6  -
Acidimicrobiaceae         -          B1b3_2_reverse       -              485    1421     983      46    1004      36    1464    -    9.9e-223  738.1  11.7  -
Thermaceae                -          B1b3_2_reverse       -              466    1398     997      56    1017      39    1477    -    4.9e-222  735.8  12.4  -
Frankiaceae               -          B1b3_2_reverse       -              474    1412     986      45    1006      34    1499    -    1.8e-221  734.0  11.7  -
Immundisolibacteraceae    -          B1b3_2_reverse       -              498    1452    1006      46    1031      26    1555    -      2e-221  733.3  10.9  -
Caulobacteraceae          -          B1b3_2_reverse       -              418    1341     999      47    1016      38    1415    -      6e-220  728.8  10.6  -
Caldicoprobacteraceae     -          B1b3_2_reverse       -              486    1447     996      45    1005      38    1530    -    6.8e-220  728.5  11.8  -
Halanaerobiaceae          -          B1b3_2_reverse       -              520    1442     983      60    1010      39    1503    -    7.2e-220  728.4  12.1  -
Halobacteroidaceae        -          B1b3_2_reverse       -              491    1419     983      56    1003      36    1478    -    1.3e-219  727.4  12.2  -
Thermodesulfobacteriaceae -          B1b3_2_reverse       -              442    1453    1052      43    1073      33    1497    -    1.5e-219  727.6  12.6  -
Planctomycetaceae         -          B1b3_2_reverse       -              483    1424     983      44    1003      32    1486    -    1.6e-219  727.6  11.7  -
Rubrobacteraceae          -          B1b3_2_reverse       -              480    1428     997      45    1018      33    1495    -    2.6e-219  726.7  12.0  -
Nakamurellaceae           -          B1b3_2_reverse       -              461    1399     986      45    1007      31    1462    -    5.3e-219  725.6  11.3  -
