# target name          accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#  ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Moraxellaceae          -          LKAP-TSAKG2_F03_021_2018_2 -               21     171      20     169       1     178    1468    +     2.4e-08   24.9   3.2  -
Spongiibacteraceae     -          LKAP-TSAKG2_F03_021_2018_2 -               15     177       3     170       1     178    1462    +     7.8e-08   22.9   3.3  -
Oceanospirillaceae     -          LKAP-TSAKG2_F03_021_2018_2 -               52     177      49     168      28     177    1467    +     1.4e-06   18.7   2.7  -
Wenzhouxiangellaceae   -          LKAP-TSAKG2_F03_021_2018_2 -               18     139      14     130       2     154    1472    +       4e-06   17.2   1.3  -
Cellvibrionaceae       -          LKAP-TSAKG2_F03_021_2018_2 -               12     177       3     169       1     177    1472    +     7.2e-06   16.5   3.1  -
Halieaceae             -          LKAP-TSAKG2_F03_021_2018_2 -               76     178      70     168      49     175    1484    +     7.9e-06   16.3   3.7  -
Chromatiaceae          -          LKAP-TSAKG2_F03_021_2018_2 -               16     169      12     168       2     177    1455    +       1e-05   16.1   3.2  -
Gammaproteobacteria    -          LKAP-TSAKG2_F03_021_2018_2 -               13     175       4     166       1     176    1481    +     1.5e-05   15.3   3.0  -
Alteromonadaceae       -          LKAP-TSAKG2_F03_021_2018_2 -               12     173       3     165       1     177    1468    +     1.9e-05   15.0   2.7  -
Microbulbiferaceae     -          LKAP-TSAKG2_F03_021_2018_2 -               67     172      68     169      45     176    1480    +     2.1e-05   15.1   3.4  -
Pseudomonadaceae       -          LKAP-TSAKG2_F03_021_2018_2 -               59     181      50     167      26     175    1491    +     2.4e-05   14.7   2.4  -
Ectothiorhodospiraceae -          LKAP-TSAKG2_F03_021_2018_2 -               84     181      75     168      51     178    1463    +     5.7e-05   13.6   4.0  -
Aurantimonadaceae      -          LKAP-TSAKG2_F03_021_2018_2 -               53     142      50     134      29     154    1442    +     6.2e-05   13.7   0.2  -
Alcanivoracaceae       -          LKAP-TSAKG2_F03_021_2018_2 -               98     193      74     165      49     177    1504    +     6.3e-05   13.2   3.3  -
Arenicellaceae         -          LKAP-TSAKG2_F03_021_2018_2 -               68     130      69     128      48     150    1488    +     8.9e-05   13.0   1.0  -
Oceanospirillales      -          LKAP-TSAKG2_F03_021_2018_2 -               79     146      69     133      47     154    1489    +     9.1e-05   12.6   0.7  -
