# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Listeriaceae                     -          LKAP-TSAKG2_H09_065_2018_2 -                8     865      17     871      11     872    1448    +    5.9e-285  943.0  18.4  -
Sporolactobacillaceae            -          LKAP-TSAKG2_H09_065_2018_2 -               19     877      15     872       7     872    1503    +      2e-283  937.7  18.5  -
Aerococcaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               19     883      15     872       7     872    1474    +    3.6e-277  917.0  18.5  -
Heliobacteriaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               35     868      14     872       8     872    1502    +    2.9e-222  735.1  18.2  -
Deferribacteraceae               -          LKAP-TSAKG2_H09_065_2018_2 -               27     879      16     871       9     872    1514    +    4.9e-215  711.0  18.1  -
Entomoplasmataceae               -          LKAP-TSAKG2_H09_065_2018_2 -               25     862      14     868       8     872    1498    +    8.5e-214  707.2  18.8  -
Acidaminococcaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               30     890      18     871       7     872    1506    +    5.5e-213  704.2  18.5  -
Geobacteraceae                   -          LKAP-TSAKG2_H09_065_2018_2 -               26     891      14     872       8     872    1485    +    1.8e-212  702.5  18.5  -
Desulfuromonadaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               36     902      14     872       7     872    1519    +    1.2e-209  693.2  18.4  -
Thermoleophilaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               12     868      15     872       8     872    1486    +    2.2e-208  688.9  18.8  -
Unclassified_Deltaproteobacteria -          LKAP-TSAKG2_H09_065_2018_2 -               35     902      15     872       8     872    1518    +      1e-205  680.3  18.5  -
Syntrophaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               36     901      15     872       8     872    1556    +    3.1e-205  678.5  18.2  -
Rubrobacteraceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               23     873      18     872       6     872    1494    +    9.3e-204  673.7  18.2  -
Unclassified_Acidobacteria       -          LKAP-TSAKG2_H09_065_2018_2 -               39     900      15     871       9     872    1505    +    1.3e-203  673.7  18.3  -
Thermolithobacteraceae           -          LKAP-TSAKG2_H09_065_2018_2 -               38     915      14     872       8     872    1546    +    2.7e-203  671.9  18.7  -
Anaeroplasmataceae               -          LKAP-TSAKG2_H09_065_2018_2 -               45     863      14     869       8     872    1453    +    1.7e-202  669.6  18.3  -
Acholeplasmataceae               -          LKAP-TSAKG2_H09_065_2018_2 -               10     847      14     869      10     872    1440    +    1.4e-200  663.0  18.7  -
Desulfohalobiaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               22     896      14     871       8     872    1510    +    3.5e-200  661.8  18.3  -
Natranaerobiaceae                -          LKAP-TSAKG2_H09_065_2018_2 -                4     843      21     871      18     872    1426    +    1.9e-199  659.3  18.3  -
Symbiobacteriaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               10     874      15     872       6     872    1487    +    5.5e-199  658.2  18.6  -
Bdellovibrionaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               14     837      14     870       8     872    1430    +    1.9e-198  656.1  17.6  -
Halanaerobiaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               35     901      19     870      10     872    1506    +    3.5e-198  655.1  18.6  -
Halothiobacillaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               39     888      17     872       7     872    1501    +    6.8e-198  654.1  18.9  -
Nitrospiraceae                   -          LKAP-TSAKG2_H09_065_2018_2 -               24     855      14     872       8     872    1480    +    1.2e-197  653.5  18.1  -
Haliangiaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               40     900      19     872      10     872    1507    +    3.3e-197  652.1  18.9  -
Hyphomonadaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               24     812      19     872       8     872    1399    +    9.1e-197  650.8  18.2  -
Chrysiogenaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               40     867      16     871       5     872    1513    +    3.4e-196  648.6  18.5  -
Defluviitaleaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               13     836      19     869      10     872    1413    +    3.5e-196  648.7  18.6  -
Unclassified_Oceanospirillales   -          LKAP-TSAKG2_H09_065_2018_2 -               27     869      18     872       7     872    1483    +    3.7e-196  648.2  18.9  -
Desulfobulbaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               23     882      18     871       8     872    1482    +    7.1e-196  647.5  18.4  -
Desulfonatronaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               18     879      14     871       7     872    1495    +    9.7e-196  647.1  19.0  -
Unclassified_Alphaproteobacteria -          LKAP-TSAKG2_H09_065_2018_2 -               23     814      18     872       8     872    1412    +    1.2e-194  643.8  18.2  -
Thermodesulfobiaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               34     871      14     872       9     872    1524    +    1.4e-194  643.2  18.1  -
Kangiellaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               29     882      16     872       8     872    1479    +    2.3e-194  642.4  18.8  -
Polyangiaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               43     899      19     872       9     872    1550    +    4.2e-194  641.7  18.3  -
Alcanivoracaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               43     889      18     872       8     872    1504    +    1.3e-193  639.8  19.2  -
Unclassified_Calditrichaeota     -          LKAP-TSAKG2_H09_065_2018_2 -               26     884      15     869       9     872    1483    +    3.4e-193  638.9  18.5  -
Caldicoprobacteraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               34     879      14     872       8     872    1531    +    5.6e-193  637.9  18.5  -
Desulfomicrobiaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               28     884      14     871       7     872    1495    +    8.2e-193  637.4  18.6  -
Sneathiellaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               27     827      18     872       9     872    1427    +      2e-192  636.2  17.8  -
Coxiellaceae                     -          LKAP-TSAKG2_H09_065_2018_2 -               19     876      15     872       8     872    1473    +    7.3e-192  634.3  19.1  -
Kineosporiaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               31     853      18     872       8     872    1463    +    1.5e-191  633.4  18.5  -
Litoricolaceae                   -          LKAP-TSAKG2_H09_065_2018_2 -               31     876      18     872       8     872    1474    +    1.6e-191  633.3  19.1  -
Spongiibacteraceae               -          LKAP-TSAKG2_H09_065_2018_2 -               25     867      17     872       7     872    1462    +    1.7e-191  632.8  19.4  -
Bacteriovoracaceae               -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     871       6     872    1473    +    2.1e-191  632.7  18.3  -
Leptospiraceae                   -          LKAP-TSAKG2_H09_065_2018_2 -               21     839      16     869       9     872    1433    +    2.3e-191  632.6  18.5  -
Conexibacteraceae                -          LKAP-TSAKG2_H09_065_2018_2 -               38     895      14     872       8     872    1536    +    3.3e-191  631.9  18.7  -
Parviterribacteraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               24     860      19     872       8     872    1456    +    2.2e-190  629.4  19.2  -
Unclassified_Rhizobiales         -          LKAP-TSAKG2_H09_065_2018_2 -               33     820      18     870       7     872    1437    +    3.3e-190  628.9  18.2  -
Acidiferrobacteraceae            -          LKAP-TSAKG2_H09_065_2018_2 -               18     861      14     872       8     872    1456    +    2.6e-189  625.9  19.3  -
Nakamurellaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               24     846      19     872       7     872    1462    +    3.2e-189  625.5  18.0  -
Frankiaceae                      -          LKAP-TSAKG2_H09_065_2018_2 -               44     859      18     872       8     872    1499    +      6e-189  624.8  18.6  -
Patulibacteraceae                -          LKAP-TSAKG2_H09_065_2018_2 -               38     880      14     872       8     872    1494    +    8.3e-189  623.9  19.2  -
Solirubrobacteraceae             -          LKAP-TSAKG2_H09_065_2018_2 -                8     858      19     872      13     872    1443    +    1.1e-188  623.7  18.7  -
Beijerinckiaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               35     824      18     871       9     872    1421    +      2e-188  622.9  18.8  -
Glycomycetaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               30     868      18     872       7     872    1497    +      2e-188  623.1  18.6  -
Acidimicrobiaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               41     868      17     872       9     872    1463    +    4.8e-188  621.8  18.3  -
Caulobacteraceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               21     811      17     871       8     872    1418    +      5e-188  621.7  17.9  -
Unclassified_Thiotrichales       -          LKAP-TSAKG2_H09_065_2018_2 -               45     887      19     872       7     872    1517    +      1e-187  620.4  18.7  -
Dermatophilaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               29     854      19     872       8     872    1481    +    1.3e-187  620.1  18.6  -
Thioalkalispiraceae              -          LKAP-TSAKG2_H09_065_2018_2 -               32     887      16     872       5     872    1478    +    1.3e-187  620.0  19.4  -
Bogoriellaceae                   -          LKAP-TSAKG2_H09_065_2018_2 -               22     857      17     872       6     872    1472    +    1.5e-187  619.9  18.7  -
Cellulomonadaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               27     853      18     872       7     872    1461    +    1.7e-187  619.9  19.0  -
Halieaceae                       -          LKAP-TSAKG2_H09_065_2018_2 -               29     870      17     872       9     872    1484    +    7.3e-187  617.6  18.8  -
Dietziaceae                      -          LKAP-TSAKG2_H09_065_2018_2 -               15     836      19     872       9     872    1453    +    1.3e-186  616.9  18.3  -
Nevskiaceae                      -          LKAP-TSAKG2_H09_065_2018_2 -               27     864      14     872       7     872    1470    +    4.3e-186  615.4  19.1  -
Unclassified_Alteromonadales     -          LKAP-TSAKG2_H09_065_2018_2 -               23     870      18     872       7     872    1467    +    5.8e-186  614.5  19.4  -
Thermodesulfobacteriaceae        -          LKAP-TSAKG2_H09_065_2018_2 -               19     880      15     872       8     872    1498    +    1.2e-185  613.9  18.9  -
Sanguibacteraceae                -          LKAP-TSAKG2_H09_065_2018_2 -               41     867      19     872       7     872    1483    +    1.5e-185  613.3  18.9  -
Unclassified_Micrococcales       -          LKAP-TSAKG2_H09_065_2018_2 -               24     848      19     872       8     872    1475    +    1.5e-185  613.4  18.7  -
Cryptosporangiaceae              -          LKAP-TSAKG2_H09_065_2018_2 -               24     843      19     872       8     872    1470    +    7.3e-185  611.1  18.6  -
Unclassified_Corynebacterineae   -          LKAP-TSAKG2_H09_065_2018_2 -               24     847      19     872       9     872    1475    +      2e-184  609.8  18.2  -
Aurantimonadaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               41     827      19     871       7     872    1444    +      2e-184  609.8  18.3  -
Saccharospirillaceae             -          LKAP-TSAKG2_H09_065_2018_2 -               24     863      18     872       7     872    1468    +    3.5e-184  608.7  19.3  -
Beutenbergiaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               23     851      18     872       8     872    1473    +    3.9e-184  608.7  18.9  -
Desulfurellaceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               24     889      14     872       8     872    1537    +    5.1e-184  608.3  18.5  -
Jiangellaceae                    -          LKAP-TSAKG2_H09_065_2018_2 -               28     856      17     872       6     872    1501    +      9e-184  607.4  18.7  -
Nautiliaceae                     -          LKAP-TSAKG2_H09_065_2018_2 -               20     837      16     872       8     872    1428    +    2.2e-183  606.4  18.6  -
Catenulisporaceae                -          LKAP-TSAKG2_H09_065_2018_2 -               24     845      19     872       8     872    1460    +    1.4e-182  603.6  18.5  -
Sporichthyaceae                  -          LKAP-TSAKG2_H09_065_2018_2 -               23     845      18     872       8     872    1472    +    2.8e-182  602.7  18.5  -
Thermithiobacillaceae            -          LKAP-TSAKG2_H09_065_2018_2 -                4     848      15     871      13     872    1419    +    3.1e-182  602.4  19.3  -
Cystobacteraceae                 -          LKAP-TSAKG2_H09_065_2018_2 -               18     877      14     871       8     872    1491    +    3.6e-182  602.1  18.6  -
