# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Aeromonadaceae                   -          C0402_LKAP-FHGF1_E02_008 -               40     685      10     655       1     655    1496    +    1.8e-216  715.1  14.9  -
Ferrimonadaceae                  -          C0402_LKAP-FHGF1_E02_008 -               28     681      10     655       2     655    1475    +      6e-215  710.1  15.0  -
Unclassified_Alteromonadales     -          C0402_LKAP-FHGF1_E02_008 -               28     671      10     655       1     655    1467    +    1.5e-206  682.3  15.1  -
Moritellaceae                    -          C0402_LKAP-FHGF1_E02_008 -               43     688      10     655       1     655    1501    +    9.8e-206  679.7  15.0  -
Colwelliaceae                    -          C0402_LKAP-FHGF1_E02_008 -               28     670      10     655       1     655    1465    +    5.3e-204  674.1  14.9  -
Idiomarinaceae                   -          C0402_LKAP-FHGF1_E02_008 -               28     671      10     655       1     655    1466    +      3e-200  661.4  14.9  -
Unclassified_Oceanospirillales   -          C0402_LKAP-FHGF1_E02_008 -               33     670      10     655       1     655    1483    +    1.3e-199  659.3  15.4  -
Psychromonadaceae                -          C0402_LKAP-FHGF1_E02_008 -               28     671      10     655       1     655    1467    +    1.3e-199  659.5  15.0  -
Litoricolaceae                   -          C0402_LKAP-FHGF1_E02_008 -               36     677      10     655       1     655    1474    +    1.6e-197  652.7  15.1  -
Succinivibrionaceae              -          C0402_LKAP-FHGF1_E02_008 -               31     651      10     655       1     655    1474    +    5.6e-193  637.5  15.6  -
Budviciaceae                     -          C0402_LKAP-FHGF1_E02_008 -               18     661      10     655       1     655    1483    +      1e-191  633.3  15.0  -
Microbulbiferaceae               -          C0402_LKAP-FHGF1_E02_008 -               27     664       9     655       1     655    1478    +    1.6e-191  632.8  15.4  -
Spongiibacteraceae               -          C0402_LKAP-FHGF1_E02_008 -               30     668       9     655       1     655    1462    +    3.2e-191  631.5  15.1  -
Hafniaceae                       -          C0402_LKAP-FHGF1_E02_008 -               22     665      10     655       2     655    1459    +    1.2e-188  623.0  15.0  -
Halieaceae                       -          C0402_LKAP-FHGF1_E02_008 -               36     671      10     655       1     655    1484    +    1.3e-188  623.1  15.6  -
Alcanivoracaceae                 -          C0402_LKAP-FHGF1_E02_008 -               48     689      10     655       1     655    1504    +    4.1e-188  621.2  15.1  -
Thioalkalispiraceae              -          C0402_LKAP-FHGF1_E02_008 -               41     686      10     655       3     655    1478    +    1.4e-186  616.2  14.9  -
Celerinatantimonadaceae          -          C0402_LKAP-FHGF1_E02_008 -               23     676      10     655       1     655    1433    +      9e-185  610.4  15.0  -
Halothiobacillaceae              -          C0402_LKAP-FHGF1_E02_008 -               45     688      10     655       3     655    1501    +    4.3e-184  608.0  15.0  -
Orbaceae                         -          C0402_LKAP-FHGF1_E02_008 -               53     694       9     655       1     655    1538    +      4e-178  588.2  14.9  -
Granulosicoccaceae               -          C0402_LKAP-FHGF1_E02_008 -               28     671      10     655       4     655    1471    +    4.8e-177  584.8  15.0  -
Kangiellaceae                    -          C0402_LKAP-FHGF1_E02_008 -               37     682      10     655       3     655    1479    +    9.3e-177  583.7  14.9  -
Thorselliaceae                   -          C0402_LKAP-FHGF1_E02_008 -                1     640      10     655      10     655    1419    +    1.3e-175  579.8  14.8  -
Saccharospirillaceae             -          C0402_LKAP-FHGF1_E02_008 -               29     664      10     655       1     655    1468    +    1.7e-175  579.5  15.4  -
Sulfuricellaceae                 -          C0402_LKAP-FHGF1_E02_008 -               28     667      10     655       4     655    1462    +    3.5e-174  575.3  14.9  -
Cardiobacteriaceae               -          C0402_LKAP-FHGF1_E02_008 -               36     674      10     655       3     655    1462    +    3.2e-171  565.7  15.2  -
Thermoleophilaceae               -          C0402_LKAP-FHGF1_E02_008 -               41     667      35     655      14     655    1486    +    2.7e-167  552.3  15.0  -
