# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          LKAP-Gut2_B11_093.seq -               28    1041       6    1024       2    1024    1467    +           0 1121.5  22.3  -
Ferrimonadaceae                  -          LKAP-Gut2_B11_093.seq -               27    1051       4    1024       1    1024    1475    +           0 1109.0  22.2  -
Aeromonadaceae                   -          LKAP-Gut2_B11_093.seq -               40    1055       6    1024       2    1024    1496    +           0 1098.5  22.3  -
Hafniaceae                       -          LKAP-Gut2_B11_093.seq -               20    1035       3    1024       1    1024    1459    +           0 1095.4  22.1  -
Idiomarinaceae                   -          LKAP-Gut2_B11_093.seq -               27    1042       5    1024       2    1024    1466    +           0 1080.9  22.4  -
Colwelliaceae                    -          LKAP-Gut2_B11_093.seq -               28    1040       6    1024       3    1024    1465    +           0 1071.0  22.5  -
Budviciaceae                     -          LKAP-Gut2_B11_093.seq -               17    1031       5    1024       2    1024    1483    +           0 1068.4  22.4  -
Psychromonadaceae                -          LKAP-Gut2_B11_093.seq -               27    1041       5    1024       2    1024    1467    +           0 1064.7  22.5  -
Moritellaceae                    -          LKAP-Gut2_B11_093.seq -               42    1058       5    1024       3    1024    1501    +           0 1057.2  22.4  -
Thorselliaceae                   -          LKAP-Gut2_B11_093.seq -                6    1010      10    1024       6    1024    1419    +           0 1054.3  22.9  -
Unclassified_Oceanospirillales   -          LKAP-Gut2_B11_093.seq -               32    1040       5    1024       3    1024    1483    +           0 1033.4  22.4  -
Orbaceae                         -          LKAP-Gut2_B11_093.seq -               54    1064       5    1024       3    1024    1538    +    1.2e-307 1018.1  22.5  -
Alcanivoracaceae                 -          LKAP-Gut2_B11_093.seq -               49    1060       7    1024       2    1024    1504    +    3.6e-307 1016.5  22.3  -
Celerinatantimonadaceae          -          LKAP-Gut2_B11_093.seq -               22    1048       5    1024       2    1024    1433    +    5.2e-307 1016.2  22.1  -
Succinivibrionaceae              -          LKAP-Gut2_B11_093.seq -               30    1018       5    1024       2    1024    1474    +    9.9e-304 1005.2  22.2  -
Thioalkalispiraceae              -          LKAP-Gut2_B11_093.seq -               41    1058       6    1024       2    1024    1478    +      2e-301  997.4  22.2  -
Halieaceae                       -          LKAP-Gut2_B11_093.seq -               35    1041       5    1024       2    1024    1484    +    2.8e-297  983.8  22.4  -
Spongiibacteraceae               -          LKAP-Gut2_B11_093.seq -               36    1038      10    1024       3    1024    1462    +      1e-296  981.8  22.1  -
Litoricolaceae                   -          LKAP-Gut2_B11_093.seq -               35    1047       5    1024       2    1024    1474    +    3.5e-296  980.3  22.4  -
Halothiobacillaceae              -          LKAP-Gut2_B11_093.seq -               44    1059       5    1024       2    1024    1501    +    7.5e-296  979.1  22.3  -
Kangiellaceae                    -          LKAP-Gut2_B11_093.seq -               36    1053       5    1024       3    1024    1479    +    1.7e-293  971.2  22.4  -
Saccharospirillaceae             -          LKAP-Gut2_B11_093.seq -               34    1034      10    1024       2    1024    1468    +    6.8e-291  962.6  22.6  -
Microbulbiferaceae               -          LKAP-Gut2_B11_093.seq -               33    1034      10    1024       2    1024    1478    +    1.2e-290  962.1  22.0  -
Thermoleophilaceae               -          LKAP-Gut2_B11_093.seq -               20    1039       5    1024       2    1024    1486    +    1.9e-286  947.9  22.2  -
Cardiobacteriaceae               -          LKAP-Gut2_B11_093.seq -               35    1043       5    1024       3    1024    1462    +    4.2e-284  940.5  22.1  -
Nevskiaceae                      -          LKAP-Gut2_B11_093.seq -               37    1035       6    1024       2    1024    1470    +    3.6e-281  930.8  22.5  -
Coxiellaceae                     -          LKAP-Gut2_B11_093.seq -               27    1047       5    1024       2    1024    1473    +    1.4e-279  925.2  22.3  -
Granulosicoccaceae               -          LKAP-Gut2_B11_093.seq -               27    1042       5    1024       3    1024    1471    +      5e-278  920.1  22.8  -
Unclassified_Thiotrichales       -          LKAP-Gut2_B11_093.seq -               71    1058      32    1024      10    1024    1517    +    2.1e-276  914.6  21.7  -
Arenicellaceae                   -          LKAP-Gut2_B11_093.seq -               49    1034      35    1024      10    1024    1488    +    5.6e-273  903.4  22.0  -
