# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Alcanivoracaceae                 -          LKAP-TSA1KG_F01_005_2018_1 -               49     378      18     343       2     343    1504    +     2.2e-94  309.6  10.1  -
Unclassified_Oceanospirillales   -          LKAP-TSA1KG_F01_005_2018_1 -               31     359      15     343       3     343    1483    +     1.7e-93  306.6  10.2  -
Litoricolaceae                   -          LKAP-TSA1KG_F01_005_2018_1 -               33     366      14     343       3     343    1474    +     1.1e-91  301.0  10.1  -
Saccharospirillaceae             -          LKAP-TSA1KG_F01_005_2018_1 -               34     353      21     343       3     343    1468    +     1.2e-91  300.6  10.4  -
Kangiellaceae                    -          LKAP-TSA1KG_F01_005_2018_1 -               35     371      15     343       3     343    1479    +     1.7e-90  296.8  10.0  -
Thioalkalispiraceae              -          LKAP-TSA1KG_F01_005_2018_1 -               39     375      15     343       2     343    1478    +     3.4e-89  292.4  10.0  -
Wenzhouxiangellaceae             -          LKAP-TSA1KG_F01_005_2018_1 -               40     361      28     342       7     343    1472    +     3.9e-89  292.3   9.4  -
Spongiibacteraceae               -          LKAP-TSA1KG_F01_005_2018_1 -               31     357      17     343       2     343    1462    +     1.1e-87  287.5  10.0  -
Granulosicoccaceae               -          LKAP-TSA1KG_F01_005_2018_1 -               26     360      15     343       3     343    1471    +     1.2e-86  284.2  10.0  -
Halieaceae                       -          LKAP-TSA1KG_F01_005_2018_1 -               35     360      16     343       3     343    1484    +     1.2e-85  280.8   9.9  -
Microbulbiferaceae               -          LKAP-TSA1KG_F01_005_2018_1 -               27     353      16     343       2     343    1478    +     8.1e-85  278.3  10.0  -
Moritellaceae                    -          LKAP-TSA1KG_F01_005_2018_1 -               41     377      15     343       3     343    1501    +     6.9e-83  271.5  10.0  -
Arenicellaceae                   -          LKAP-TSA1KG_F01_005_2018_1 -               43     354      37     342      10     343    1488    +       2e-82  270.2   9.3  -
Cardiobacteriaceae               -          LKAP-TSA1KG_F01_005_2018_1 -               28     364      12     343       3     343    1462    +     6.2e-82  268.8  10.2  -
Salinisphaeraceae                -          LKAP-TSA1KG_F01_005_2018_1 -               15     345      16     342       3     343    1432    +     7.9e-82  268.3  10.0  -
Acidiferrobacteraceae            -          LKAP-TSA1KG_F01_005_2018_1 -               46     351      40     343      17     343    1456    +     8.8e-82  268.1   9.4  -
Ferrimonadaceae                  -          LKAP-TSA1KG_F01_005_2018_1 -               24     370      13     343       1     343    1475    +     2.9e-80  262.8  10.5  -
Halothiobacillaceae              -          LKAP-TSA1KG_F01_005_2018_1 -               43     377      15     343       1     343    1501    +     5.9e-80  261.9  10.2  -
Aeromonadaceae                   -          LKAP-TSA1KG_F01_005_2018_1 -               38     374      15     343       2     343    1496    +     1.4e-79  260.4  10.0  -
Coxiellaceae                     -          LKAP-TSA1KG_F01_005_2018_1 -               26     367      15     343       2     343    1473    +     1.5e-79  260.7  10.0  -
Nevskiaceae                      -          LKAP-TSA1KG_F01_005_2018_1 -               36     355      16     343       3     343    1470    +     1.9e-79  260.6  10.2  -
Idiomarinaceae                   -          LKAP-TSA1KG_F01_005_2018_1 -               25     360      14     343       1     343    1466    +     1.6e-78  257.0  10.2  -
Colwelliaceae                    -          LKAP-TSA1KG_F01_005_2018_1 -               22     359      14     343       3     343    1465    +     1.8e-78  257.2  10.2  -
Unclassified_Alteromonadales     -          LKAP-TSA1KG_F01_005_2018_1 -               27     360      16     343       3     343    1467    +     1.2e-77  254.1  10.1  -
Thermoleophilaceae               -          LKAP-TSA1KG_F01_005_2018_1 -               19     353      15     340       2     343    1486    +     3.1e-77  252.9  10.2  -
Succinivibrionaceae              -          LKAP-TSA1KG_F01_005_2018_1 -               28     357      14     343       3     343    1474    +     9.4e-77  251.3  10.2  -
Unclassified_Thiotrichales       -          LKAP-TSA1KG_F01_005_2018_1 -               67     374      36     343      15     343    1517    +     1.5e-74  243.9   9.5  -
Aurantimonadaceae                -          LKAP-TSA1KG_F01_005_2018_1 -               46     337      18     336       3     343    1444    +     2.1e-74  243.8   9.6  -
Sulfuricellaceae                 -          LKAP-TSA1KG_F01_005_2018_1 -               26     356      15     343       4     343    1462    +     5.4e-74  242.3   9.9  -
Sutterellaceae                   -          LKAP-TSA1KG_F01_005_2018_1 -               27     358      16     343       2     343    1487    +       2e-73  240.2  10.0  -
Acidithiobacillaceae             -          LKAP-TSA1KG_F01_005_2018_1 -               33     351      22     343       4     343    1457    +     4.5e-73  239.1   9.7  -
