# target name                    accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Ferrimonadaceae                  -          LKAP-Gut2_G10_068.seq -               27    1078       6    1056       2    1058    1475    +           0 1218.6  20.8  -
Moritellaceae                    -          LKAP-Gut2_G10_068.seq -               42    1085       7    1056       4    1058    1501    +           0 1186.1  21.0  -
Aeromonadaceae                   -          LKAP-Gut2_G10_068.seq -               40    1082       8    1056       3    1058    1496    +           0 1184.8  20.7  -
Unclassified_Alteromonadales     -          LKAP-Gut2_G10_068.seq -               28    1068       8    1056       3    1058    1467    +           0 1168.8  20.8  -
Hafniaceae                       -          LKAP-Gut2_G10_068.seq -               20    1062       5    1056       1    1058    1459    +           0 1110.9  20.7  -
Colwelliaceae                    -          LKAP-Gut2_G10_068.seq -               28    1067       8    1056       4    1058    1465    +           0 1105.1  20.9  -
Psychromonadaceae                -          LKAP-Gut2_G10_068.seq -               27    1068       7    1056       3    1058    1467    +           0 1099.9  20.7  -
Budviciaceae                     -          LKAP-Gut2_G10_068.seq -               17    1058       7    1056       3    1058    1483    +           0 1090.1  20.7  -
Unclassified_Oceanospirillales   -          LKAP-Gut2_G10_068.seq -               32    1067       7    1056       3    1058    1483    +           0 1089.5  20.7  -
Idiomarinaceae                   -          LKAP-Gut2_G10_068.seq -               27    1069       7    1056       3    1058    1466    +           0 1082.8  20.7  -
Spongiibacteraceae               -          LKAP-Gut2_G10_068.seq -               36    1065      12    1056       4    1058    1462    +           0 1072.6  20.8  -
Litoricolaceae                   -          LKAP-Gut2_G10_068.seq -               35    1074       7    1056       4    1058    1474    +           0 1065.5  21.0  -
Alcanivoracaceae                 -          LKAP-Gut2_G10_068.seq -               49    1087       9    1056       3    1058    1504    +           0 1056.5  20.9  -
Thioalkalispiraceae              -          LKAP-Gut2_G10_068.seq -               41    1085       8    1056       3    1058    1478    +           0 1050.8  20.9  -
Halieaceae                       -          LKAP-Gut2_G10_068.seq -               36    1068       8    1056       4    1058    1484    +           0 1045.1  20.8  -
Celerinatantimonadaceae          -          LKAP-Gut2_G10_068.seq -               22    1075       7    1056       3    1058    1433    +           0 1035.7  21.0  -
Orbaceae                         -          LKAP-Gut2_G10_068.seq -               54    1091       7    1056       4    1058    1538    +           0 1027.3  20.4  -
Succinivibrionaceae              -          LKAP-Gut2_G10_068.seq -               30    1045       7    1056       4    1058    1474    +           0 1023.3  21.6  -
Microbulbiferaceae               -          LKAP-Gut2_G10_068.seq -               33    1061      12    1056       3    1058    1478    +    9.6e-306 1012.1  20.6  -
Kangiellaceae                    -          LKAP-Gut2_G10_068.seq -               36    1080       7    1056       4    1058    1479    +    1.5e-303 1004.6  20.8  -
Thorselliaceae                   -          LKAP-Gut2_G10_068.seq -                6    1037      12    1056       8    1058    1419    +    5.5e-302  999.4  20.7  -
Saccharospirillaceae             -          LKAP-Gut2_G10_068.seq -               32    1061      11    1056       3    1058    1468    +    1.9e-301  997.6  21.0  -
Halothiobacillaceae              -          LKAP-Gut2_G10_068.seq -               44    1086       7    1056       4    1058    1501    +    2.1e-301  997.5  20.9  -
Thermoleophilaceae               -          LKAP-Gut2_G10_068.seq -               20    1066       7    1056       3    1058    1486    +    5.9e-296  979.4  20.1  -
Granulosicoccaceae               -          LKAP-Gut2_G10_068.seq -               27    1069       7    1056       4    1058    1471    +    2.7e-291  964.2  21.0  -
Cardiobacteriaceae               -          LKAP-Gut2_G10_068.seq -               35    1070       7    1056       4    1058    1462    +    1.2e-288  955.6  20.9  -
Sulfuricellaceae                 -          LKAP-Gut2_G10_068.seq -               27    1067       7    1056       3    1058    1462    +    3.1e-285  944.0  20.3  -
Coxiellaceae                     -          LKAP-Gut2_G10_068.seq -               27    1074       7    1056       4    1058    1473    +    1.2e-282  935.4  20.8  -
Nevskiaceae                      -          LKAP-Gut2_G10_068.seq -               43    1062      13    1056       4    1058    1470    +    7.8e-281  929.7  20.7  -
Acidiferrobacteraceae            -          LKAP-Gut2_G10_068.seq -               63    1061      53    1056      32    1058    1456    +    5.1e-278  920.1  20.0  -
Francisellaceae                  -          LKAP-Gut2_G10_068.seq -               39    1069       9    1056       4    1058    1509    +    5.1e-277  916.8  20.6  -
Arenicellaceae                   -          LKAP-Gut2_G10_068.seq -               47    1061      37    1056      16    1058    1488    +    7.8e-275  909.6  20.4  -
Unclassified_Thiotrichales       -          LKAP-Gut2_G10_068.seq -               69    1085      33    1056      12    1058    1517    +    3.6e-274  907.2  20.6  -
Salinisphaeraceae                -          LKAP-Gut2_G10_068.seq -               16    1055       7    1056       2    1058    1432    +    6.1e-274  906.6  20.5  -
Hydrogenophilaceae               -          LKAP-Gut2_G10_068.seq -               27    1066       7    1056       3    1058    1462    +    4.4e-273  903.9  20.6  -
Methylophilaceae                 -          LKAP-Gut2_G10_068.seq -               11    1052      11    1056       3    1058    1430    +    4.9e-271  896.9  20.5  -
Thiobacilliaceae                 -          LKAP-Gut2_G10_068.seq -               46    1084       7    1056       3    1058    1517    +    8.9e-271  896.2  20.3  -
Wenzhouxiangellaceae             -          LKAP-Gut2_G10_068.seq -               33    1073      12    1056       3    1058    1472    +    1.2e-270  895.5  20.4  -
Zoogloeaceae                     -          LKAP-Gut2_G10_068.seq -               34    1072       7    1056       3    1058    1474    +    2.5e-270  894.6  20.5  -
