# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_B05_045   -               27    1011      17    1001       6    1003    1474    +           0 1196.2  21.2  -
Ferrimonadaceae           -          LKAP-GutHK_B05_045   -               21    1011      13    1001       5    1003    1475    +           0 1066.0  21.3  -
Enterobacteriaceae        -          LKAP-GutHK_B05_045   -               27    1001      17    1001       7    1003    1465    +           0 1038.3  21.1  -
Gammaproteobacteria       -          LKAP-GutHK_B05_045   -               27    1000      17    1001       7    1003    1481    +           0 1032.3  20.9  -
Alteromonadales           -          LKAP-GutHK_B05_045   -               29     996      19     996       7    1003    1468    +           0 1029.2  20.8  -
Shewanellaceae            -          LKAP-GutHK_B05_045   -               27    1003      17    1001       6    1003    1483    +           0 1028.1  21.2  -
Erwiniaceae               -          LKAP-GutHK_B05_045   -               58     996      61    1001      39    1003    1483    +           0 1027.6  20.8  -
Morganellaceae            -          LKAP-GutHK_B05_045   -               30    1004      17    1001       7    1003    1487    +           0 1023.5  21.3  -
Pectobacteriaceae         -          LKAP-GutHK_B05_045   -               24     998      17    1001       6    1003    1477    +           0 1022.5  21.2  -
Hafniaceae                -          LKAP-GutHK_B05_045   -               21     994      17    1000       3    1003    1459    +           0 1021.9  21.2  -
Yersiniaceae              -          LKAP-GutHK_B05_045   -               27    1001      17    1001       7    1003    1473    +           0 1021.8  21.2  -
Aeromonadaceae            -          LKAP-GutHK_B05_045   -               39    1015      17    1001       6    1003    1496    +    2.6e-308 1021.1  21.3  -
Alteromonadaceae          -          LKAP-GutHK_B05_045   -               27     999      17    1000       7    1003    1468    +    2.7e-308 1021.2  21.3  -
Pseudoalteromonadaceae    -          LKAP-GutHK_B05_045   -               27     994      17     998       6    1003    1469    +    2.9e-304 1007.8  20.5  -
Budviciaceae              -          LKAP-GutHK_B05_045   -               57     990      65    1000      43    1003    1483    +    2.6e-300  994.8  20.8  -
Colwelliaceae             -          LKAP-GutHK_B05_045   -               27    1002      17    1001       8    1003    1467    +    6.5e-300  993.6  21.0  -
Oceanospirillaceae        -          LKAP-GutHK_B05_045   -               28    1002      18    1001       7    1003    1467    +    2.4e-299  991.6  21.2  -
Moritellaceae             -          LKAP-GutHK_B05_045   -               42    1017      17    1000       9    1003    1501    +    8.5e-298  986.4  21.0  -
Psychromonadaceae         -          LKAP-GutHK_B05_045   -               27    1001      17    1001       7    1003    1467    +      1e-297  986.3  20.9  -
Chromatiaceae             -          LKAP-GutHK_B05_045   -               27     990      17    1001       6    1003    1455    +      6e-296  980.4  21.4  -
Idiomarinaceae            -          LKAP-GutHK_B05_045   -               26    1002      16    1001       6    1003    1466    +    8.6e-296  979.7  20.7  -
Pseudomonadaceae          -          LKAP-GutHK_B05_045   -               34    1003      17     999       7    1003    1491    +    9.7e-292  966.4  21.1  -
Cellvibrionaceae          -          LKAP-GutHK_B05_045   -               27     998      17     999       7    1003    1472    +    1.3e-291  966.0  21.1  -
Thorselliaceae            -          LKAP-GutHK_B05_045   -               39     970      68    1001      48    1003    1419    +    1.4e-291  965.8  20.7  -
Oceanospirillales         -          LKAP-GutHK_B05_045   -               33    1000      17     996       7    1003    1489    +    5.4e-290  960.5  21.1  -
Celerinatantimonadaceae   -          LKAP-GutHK_B05_045   -               22    1007      17    1000       7    1003    1433    +    2.9e-287  951.7  21.1  -
Pasteurellaceae           -          LKAP-GutHK_B05_045   -               28    1002      18    1001      10    1003    1422    +    9.2e-287  950.0  20.9  -
Methylococcaceae          -          LKAP-GutHK_B05_045   -               41    1008      17    1001       5    1003    1481    +    1.5e-286  949.2  20.9  -
