# target name             accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bacillales                -          LKAP-GUTHK2_C04_028_2017_1 -               18    1189       1    1143       1    1145    1503    +           0 1088.8  18.0  -
Planococcaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               11    1177       1    1143       1    1145    1491    +    3.2e-299  991.4  17.9  -
Bacillaceae               -          LKAP-GUTHK2_C04_028_2017_1 -               13    1183       3    1143       1    1145    1493    +    6.6e-298  987.2  17.6  -
Staphylococcaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               14    1176       2    1143       1    1145    1479    +    2.8e-289  958.6  17.8  -
Sporolactobacillaceae     -          LKAP-GUTHK2_C04_028_2017_1 -               12    1173       2    1143       1    1145    1503    +    3.9e-288  954.7  17.8  -
Carnobacteriaceae         -          LKAP-GUTHK2_C04_028_2017_1 -               12    1177       2    1143       1    1145    1496    +    1.4e-285  946.3  18.3  -
Enterococcaceae           -          LKAP-GUTHK2_C04_028_2017_1 -               12    1182       2    1143       1    1145    1498    +    2.7e-284  942.1  18.5  -
Aerococcaceae             -          LKAP-GUTHK2_C04_028_2017_1 -               12    1176       2    1143       1    1145    1473    +    2.4e-281  932.3  18.0  -
Paenibacillaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               13    1182       2    1143       1    1145    1493    +      1e-279  926.9  17.9  -
Lactobacillaceae          -          LKAP-GUTHK2_C04_028_2017_1 -               15    1205       2    1143       1    1145    1522    +    2.7e-276  915.6  18.8  -
Thermoactinomycetaceae    -          LKAP-GUTHK2_C04_028_2017_1 -               20    1177       2    1143       1    1145    1495    +    2.8e-276  915.7  18.1  -
Listeriaceae              -          LKAP-GUTHK2_C04_028_2017_1 -               57    1159      71    1143      49    1145    1448    +    1.3e-275  913.4  15.7  -
Peptococcaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               19    1158       2    1143       1    1145    1479    +      5e-264  874.7  17.1  -
Alicyclobacillaceae       -          LKAP-GUTHK2_C04_028_2017_1 -               32    1181       2    1143       1    1145    1512    +    6.9e-263  871.3  17.5  -
Eubacteriaceae            -          LKAP-GUTHK2_C04_028_2017_1 -               26    1166       2    1142       1    1145    1485    +    4.3e-261  865.0  17.9  -
