# target name                    accession  query name               accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------     -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Unclassified_Alteromonadales     -          F0923_LKAP-FHGF1_F06_038 -               27     632      10     623       2     633    1467    +    1.3e-174  576.4  10.4  -
Ferrimonadaceae                  -          F0923_LKAP-FHGF1_F06_038 -               26     640       9     621       2     632    1475    +    2.1e-174  575.7  10.7  -
Idiomarinaceae                   -          F0923_LKAP-FHGF1_F06_038 -               25     619       8     609       1     629    1466    +    9.2e-174  573.5  10.2  -
Colwelliaceae                    -          F0923_LKAP-FHGF1_F06_038 -               27     632      10     623       1     633    1465    +    2.6e-170  562.4  10.6  -
Aeromonadaceae                   -          F0923_LKAP-FHGF1_F06_038 -               39     644      10     621       2     632    1496    +    9.5e-168  553.6  10.3  -
Unclassified_Oceanospirillales   -          F0923_LKAP-FHGF1_F06_038 -               32     629      10     621       2     631    1483    +    4.7e-164  541.4  10.5  -
Hafniaceae                       -          F0923_LKAP-FHGF1_F06_038 -               21     613      10     609       2     629    1459    +      1e-163  540.4  10.5  -
Psychromonadaceae                -          F0923_LKAP-FHGF1_F06_038 -               27     638      10     628       1     633    1467    +    1.3e-162  536.9  10.4  -
Moritellaceae                    -          F0923_LKAP-FHGF1_F06_038 -               42     648      10     622       3     631    1501    +      1e-161  533.7  10.3  -
Budviciaceae                     -          F0923_LKAP-FHGF1_F06_038 -               17     609      10     609       2     630    1483    +    7.8e-161  530.9  10.3  -
Thorselliaceae                   -          F0923_LKAP-FHGF1_F06_038 -                1     600      11     622      11     631    1419    +      2e-159  526.2  11.2  -
Microbulbiferaceae               -          F0923_LKAP-FHGF1_F06_038 -               26     612       9     609       2     624    1478    +    3.2e-159  525.8  10.6  -
Halothiobacillaceae              -          F0923_LKAP-FHGF1_F06_038 -               44     650      10     624       3     632    1501    +    9.5e-158  520.6  10.6  -
Cardiobacteriaceae               -          F0923_LKAP-FHGF1_F06_038 -               35     636      10     624       5     631    1462    +    5.3e-154  508.5  10.6  -
Halieaceae                       -          F0923_LKAP-FHGF1_F06_038 -               35     618      10     608       2     625    1484    +      1e-153  507.3  10.8  -
Alcanivoracaceae                 -          F0923_LKAP-FHGF1_F06_038 -               47     637      10     609       2     627    1504    +    1.1e-153  507.1  10.4  -
Litoricolaceae                   -          F0923_LKAP-FHGF1_F06_038 -               35     634      10     619       2     628    1474    +    1.8e-153  506.7  10.2  -
Thioalkalispiraceae              -          F0923_LKAP-FHGF1_F06_038 -               40     635      10     610       2     630    1478    +    5.5e-152  501.5  10.3  -
Orbaceae                         -          F0923_LKAP-FHGF1_F06_038 -               54     645      10     612       1     630    1538    +    7.5e-151  497.7  10.3  -
Celerinatantimonadaceae          -          F0923_LKAP-FHGF1_F06_038 -               22     635      10     621       1     632    1433    +    3.8e-150  495.6  10.3  -
Spongiibacteraceae               -          F0923_LKAP-FHGF1_F06_038 -               30     627      10     621       2     632    1462    +    6.2e-150  494.6  10.4  -
Succinivibrionaceae              -          F0923_LKAP-FHGF1_F06_038 -               30     613      10     623       2     633    1474    +    1.6e-149  493.3  10.0  -
Saccharospirillaceae             -          F0923_LKAP-FHGF1_F06_038 -               28     614      10     611       2     631    1468    +    2.5e-148  489.4  10.8  -
Nevskiaceae                      -          F0923_LKAP-FHGF1_F06_038 -               36     624      10     621       3     631    1470    +      1e-147  487.8  10.5  -
Salinisphaeraceae                -          F0923_LKAP-FHGF1_F06_038 -               12     615       7     619       2     632    1432    +    3.5e-147  485.8  10.5  -
