# target name                    accession  query name                 accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#            ------------------- ----------       -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Sporolactobacillaceae            -          LKAP-GUTHK2_G07_051_2017_1 -               11    1207       6    1183       2    1185    1503    +           0 1217.7  20.7  -
Listeriaceae                     -          LKAP-GUTHK2_G07_051_2017_1 -               14    1193      19    1183       9    1185    1448    +           0 1174.2  19.7  -
Aerococcaceae                    -          LKAP-GUTHK2_G07_051_2017_1 -               11    1210       6    1183       2    1185    1474    +           0 1127.8  20.6  -
Heliobacteriaceae                -          LKAP-GUTHK2_G07_051_2017_1 -               28    1199       6    1183       2    1185    1502    +      2e-299  991.3  20.6  -
Geobacteraceae                   -          LKAP-GUTHK2_G07_051_2017_1 -               19    1221       6    1183       2    1185    1485    +    1.3e-287  952.0  20.6  -
Natranaerobiaceae                -          LKAP-GUTHK2_G07_051_2017_1 -                7    1172      21    1183      15    1185    1426    +    1.7e-285  945.0  19.2  -
Unclassified_Deltaproteobacteria -          LKAP-GUTHK2_G07_051_2017_1 -               27    1235       6    1183       2    1185    1518    +    2.3e-285  944.7  20.7  -
Desulfuromonadaceae              -          LKAP-GUTHK2_G07_051_2017_1 -               29    1233       6    1183       2    1185    1519    +    8.4e-285  942.7  20.8  -
Thermoleophilaceae               -          LKAP-GUTHK2_G07_051_2017_1 -                5    1206       7    1183       4    1185    1486    +      1e-283  939.0  21.1  -
Acidaminococcaceae               -          LKAP-GUTHK2_G07_051_2017_1 -               18    1221       6    1183       2    1185    1506    +    2.5e-282  934.5  20.4  -
Syntrophaceae                    -          LKAP-GUTHK2_G07_051_2017_1 -               28    1231       6    1183       3    1185    1556    +      2e-281  931.5  20.7  -
Deferribacteraceae               -          LKAP-GUTHK2_G07_051_2017_1 -               18    1217       6    1183       2    1185    1514    +    2.6e-274  907.9  21.0  -
Desulfohalobiaceae               -          LKAP-GUTHK2_G07_051_2017_1 -               15    1229       6    1183       2    1185    1510    +    7.3e-274  906.4  20.9  -
