# target name             accession  query name            accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------  -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Flavobacteriaceae         -          LKAP-Gut2_E03_023.seq -               26    1104       6    1080       2    1081    1451    +           0 1185.9  12.0  -
Cryomorphaceae            -          LKAP-Gut2_E03_023.seq -               33    1105       6    1080       3    1081    1454    +           0 1071.5  12.1  -
Crocinitomicaceae         -          LKAP-Gut2_E03_023.seq -               28    1103       6    1080       3    1081    1466    +           0 1067.2  12.1  -
Marinilabiliaceae         -          LKAP-Gut2_E03_023.seq -               27    1098       6    1080       3    1081    1447    +           0 1041.8  12.3  -
Flammeovirgaceae          -          LKAP-Gut2_E03_023.seq -               27    1095       6    1080       3    1081    1446    +    6.9e-306 1013.7  12.2  -
Prolixibacteraceae        -          LKAP-Gut2_E03_023.seq -               27    1096       6    1079       2    1081    1444    +    7.8e-303 1003.3  12.0  -
Cytophagaceae             -          LKAP-Gut2_E03_023.seq -               32    1091       9    1080       2    1081    1437    +    5.6e-300  993.9  11.8  -
Porphyromonadaceae        -          LKAP-Gut2_E03_023.seq -               35    1107       6    1075       3    1081    1473    +    3.1e-297  984.9  12.2  -
Bacteroidaceae            -          LKAP-Gut2_E03_023.seq -               36    1114       6    1077       3    1081    1480    +    1.4e-294  975.9  12.2  -
Rikenellaceae             -          LKAP-Gut2_E03_023.seq -               35    1111       6    1080       3    1081    1456    +    4.9e-294  974.2  12.1  -
Marinifilaceae            -          LKAP-Gut2_E03_023.seq -               27    1101       6    1080       2    1081    1450    +    1.7e-293  972.4  12.1  -
Bacteroidales             -          LKAP-Gut2_E03_023.seq -               49    1117       6    1078       3    1081    1485    +    7.8e-292  966.6  12.1  -
Sphingobacteriaceae       -          LKAP-Gut2_E03_023.seq -               27    1097       6    1080       2    1081    1450    +    1.5e-290  962.6  11.9  -
Bernardetiaceae           -          LKAP-Gut2_E03_023.seq -               27    1098       6    1079       3    1081    1481    +    3.4e-288  954.8  12.1  -
Lewinellaceae             -          LKAP-Gut2_E03_023.seq -               28    1096       7    1080       3    1081    1446    +    1.1e-281  933.3  12.1  -
Persicobacteraceae        -          LKAP-Gut2_E03_023.seq -               28    1096       7    1080       3    1081    1448    +    8.6e-278  920.4  12.2  -
Haliscomenobacteraceae    -          LKAP-Gut2_E03_023.seq -               47    1116       6    1078       3    1081    1485    +    1.7e-277  919.9  12.0  -
Cyclobacteriaceae         -          LKAP-Gut2_E03_023.seq -               28    1098       7    1080       3    1081    1447    +    1.5e-275  913.1  12.1  -
Hymenobacteraceae         -          LKAP-Gut2_E03_023.seq -               56    1088      46    1080      15    1081    1445    +    1.1e-270  896.9  11.7  -
Prevotellaceae            -          LKAP-Gut2_E03_023.seq -               28    1106       6    1077       3    1081    1464    +    4.6e-270  894.6  12.1  -
Chitinophagaceae          -          LKAP-Gut2_E03_023.seq -               28    1104       6    1080       2    1081    1458    +    9.5e-269  890.7  12.1  -
Cytophagales              -          LKAP-Gut2_E03_023.seq -               28    1096       7    1080       3    1081    1444    +    6.9e-267  884.3  11.9  -
Odoribacteraceae          -          LKAP-Gut2_E03_023.seq -               47    1119       6    1079       3    1081    1486    +    6.4e-264  874.3  12.1  -
Saprospiraceae            -          LKAP-Gut2_E03_023.seq -               38    1108       6    1079       3    1081    1430    +    3.4e-260  862.5  12.2  -
Balneolaceae              -          LKAP-Gut2_E03_023.seq -               28    1101       7    1080       3    1081    1459    +    4.9e-254  841.6  12.2  -
Microscillaceae           -          LKAP-Gut2_E03_023.seq -               56    1082      50    1079      30    1081    1461    +    4.2e-252  835.2  11.5  -
Clostridiales             -          LKAP-Gut2_E03_023.seq -               35    1104       7    1079       4    1081    1470    +    9.4e-246  814.1  12.4  -
Eubacteriaceae            -          LKAP-Gut2_E03_023.seq -               48    1108      12    1077       4    1081    1485    +    3.3e-244  809.0  12.4  -
Clostridiaceae            -          LKAP-Gut2_E03_023.seq -               41    1101       6    1079       3    1081    1485    +    9.8e-241  797.4  12.5  -
Peptostreptococcaceae     -          LKAP-Gut2_E03_023.seq -               28    1084       7    1078       3    1081    1441    +    4.4e-238  788.6  12.4  -
Rubricoccaceae            -          LKAP-Gut2_E03_023.seq -               72    1095      47    1069      25    1080    1452    +      5e-238  788.6  11.5  -
Rhodothermaceae           -          LKAP-Gut2_E03_023.seq -               63    1088      46    1069      26    1080    1457    +    3.4e-234  775.9  11.7  -
Ruminococcaceae           -          LKAP-Gut2_E03_023.seq -               80    1091      44    1068      18    1079    1457    +    1.3e-232  770.5  12.0  -
Spirochaetaceae           -          LKAP-Gut2_E03_023.seq -               32    1117       5    1080       2    1081    1486    +    4.1e-231  765.8  12.1  -
Salinibacteraceae         -          LKAP-Gut2_E03_023.seq -               99    1128      52    1079      33    1081    1497    +      4e-229  759.1  11.5  -
Gammaproteobacteria       -          LKAP-Gut2_E03_023.seq -               27    1108       6    1080       3    1081    1481    +    1.3e-227  753.9  12.3  -
Rhodospirillaceae         -          LKAP-Gut2_E03_023.seq -               54    1060      44    1079      23    1081    1429    +    4.2e-226  749.2  12.0  -
Ichthyobacteriaceae       -          LKAP-Gut2_E03_023.seq -               48    1105       7    1059       3    1079    1521    +      7e-226  748.0  12.2  -
Kangiellaceae             -          LKAP-Gut2_E03_023.seq -               36    1119       6    1078       3    1081    1479    +    9.2e-226  747.8  12.2  -
Syntrophomonadaceae       -          LKAP-Gut2_E03_023.seq -               80    1134      50    1079      25    1081    1515    +    1.4e-224  743.8  11.7  -
Hyphomicrobiaceae         -          LKAP-Gut2_E03_023.seq -               48    1053      40    1078      20    1081    1427    +    1.6e-224  743.8  12.1  -
Balneicellaceae           -          LKAP-Gut2_E03_023.seq -               32    1099       7    1069       3    1080    1505    +    2.2e-224  742.9  12.1  -
Lachnospiraceae           -          LKAP-Gut2_E03_023.seq -               81    1099      47    1079      23    1081    1469    +    4.5e-224  742.3  12.0  -
Peptococcaceae            -          LKAP-Gut2_E03_023.seq -               37    1101       9    1080       3    1081    1479    +    5.1e-224  742.0  12.3  -
Desulfovibrionaceae       -          LKAP-Gut2_E03_023.seq -               60    1133      26    1080       5    1081    1527    +      2e-222  736.9  11.9  -
Bdellovibrionaceae        -          LKAP-Gut2_E03_023.seq -               63    1075      52    1077      32    1081    1430    +      9e-222  734.7  11.7  -
Methylococcaceae          -          LKAP-Gut2_E03_023.seq -               41    1115       6    1079       3    1081    1481    +    1.3e-221  734.1  12.3  -
