# target name             accession  query name              accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ----------    -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP.g-Gut1_G01_003.seq -               27    1134       8    1105       3    1105    1474    +           0 1284.7  17.6  -
Ferrimonadaceae           -          LKAP.g-Gut1_G01_003.seq -               27    1132       8    1103       2    1105    1475    +           0 1149.0  17.7  -
Alteromonadales           -          LKAP.g-Gut1_G01_003.seq -               28    1123       9    1103       4    1105    1468    +           0 1147.1  17.7  -
Shewanellaceae            -          LKAP.g-Gut1_G01_003.seq -               27    1121       8    1100       3    1104    1483    +           0 1142.4  17.7  -
Pseudoalteromonadaceae    -          LKAP.g-Gut1_G01_003.seq -               27    1119       8    1104       4    1105    1469    +           0 1139.1  17.3  -
Enterobacteriaceae        -          LKAP.g-Gut1_G01_003.seq -               27    1108       8    1090       4    1104    1465    +           0 1137.6  17.9  -
Gammaproteobacteria       -          LKAP.g-Gut1_G01_003.seq -               27    1121       8    1103       4    1105    1481    +           0 1134.7  17.6  -
Aeromonadaceae            -          LKAP.g-Gut1_G01_003.seq -               39    1136       8    1103       3    1105    1496    +           0 1133.7  17.7  -
Hafniaceae                -          LKAP.g-Gut1_G01_003.seq -               21    1116       8    1103       2    1105    1459    +           0 1129.9  17.9  -
Yersiniaceae              -          LKAP.g-Gut1_G01_003.seq -               27    1122       8    1103       4    1105    1473    +           0 1129.6  17.8  -
Erwiniaceae               -          LKAP.g-Gut1_G01_003.seq -               23    1116       9    1103       3    1105    1483    +           0 1128.4  17.9  -
Morganellaceae            -          LKAP.g-Gut1_G01_003.seq -               30    1125       8    1103       4    1105    1487    +           0 1126.2  17.8  -
Pectobacteriaceae         -          LKAP.g-Gut1_G01_003.seq -               24    1119       8    1103       3    1105    1477    +           0 1125.0  17.8  -
Alteromonadaceae          -          LKAP.g-Gut1_G01_003.seq -               27    1121       8    1104       4    1105    1468    +           0 1124.1  17.9  -
Colwelliaceae             -          LKAP.g-Gut1_G01_003.seq -               27    1123       8    1103       4    1105    1467    +           0 1109.3  17.6  -
Oceanospirillaceae        -          LKAP.g-Gut1_G01_003.seq -               28    1123       9    1103       4    1105    1467    +           0 1098.6  17.6  -
Idiomarinaceae            -          LKAP.g-Gut1_G01_003.seq -               27    1123       8    1103       3    1105    1466    +           0 1095.6  17.8  -
Psychromonadaceae         -          LKAP.g-Gut1_G01_003.seq -               27    1121       8    1102       4    1105    1467    +           0 1090.8  17.7  -
Budviciaceae              -          LKAP.g-Gut1_G01_003.seq -               17    1112       8    1103       4    1105    1483    +           0 1090.4  17.9  -
Moritellaceae             -          LKAP.g-Gut1_G01_003.seq -               42    1139       8    1103       4    1105    1501    +           0 1084.6  17.7  -
Thorselliaceae            -          LKAP.g-Gut1_G01_003.seq -                6    1075      13    1088       9    1104    1419    +           0 1072.6  18.2  -
Cellvibrionaceae          -          LKAP.g-Gut1_G01_003.seq -               27    1122       8    1104       4    1105    1472    +           0 1069.7  17.8  -
Chromatiaceae             -          LKAP.g-Gut1_G01_003.seq -               27    1111       8    1103       3    1105    1455    +           0 1069.5  18.3  -
Pasteurellaceae           -          LKAP.g-Gut1_G01_003.seq -               27    1123       8    1103       4    1105    1422    +           0 1068.4  17.6  -
Oceanospirillales         -          LKAP.g-Gut1_G01_003.seq -               33    1127       8    1103       4    1105    1489    +           0 1056.2  17.9  -
Pseudomonadaceae          -          LKAP.g-Gut1_G01_003.seq -               34    1117       8    1095       3    1104    1491    +           0 1055.2  17.9  -
Piscirickettsiaceae       -          LKAP.g-Gut1_G01_003.seq -               29    1122       8    1102       4    1105    1466    +           0 1050.7  17.9  -
Celerinatantimonadaceae   -          LKAP.g-Gut1_G01_003.seq -               22    1129       8    1103       4    1105    1433    +           0 1047.5  17.8  -
Orbaceae                  -          LKAP.g-Gut1_G01_003.seq -               54    1146       8    1104       4    1105    1539    +           0 1046.4  17.8  -
Methylococcaceae          -          LKAP.g-Gut1_G01_003.seq -               41    1129       8    1103       4    1105    1481    +           0 1045.7  18.1  -
Succinivibrionaceae       -          LKAP.g-Gut1_G01_003.seq -               30    1099       8    1103       5    1105    1473    +           0 1044.8  17.6  -
Alcanivoracaceae          -          LKAP.g-Gut1_G01_003.seq -               47    1141       8    1104       4    1105    1504    +           0 1034.0  17.8  -
Moraxellaceae             -          LKAP.g-Gut1_G01_003.seq -               24    1111       8    1101       4    1104    1468    +           0 1027.6  18.1  -
Hahellaceae               -          LKAP.g-Gut1_G01_003.seq -               27    1111       8    1095       3    1104    1473    +           0 1026.4  18.0  -
Halomonadaceae            -          LKAP.g-Gut1_G01_003.seq -               27    1120       8    1103       3    1105    1466    +      9e-308 1019.6  17.8  -
Halieaceae                -          LKAP.g-Gut1_G01_003.seq -               35    1123       8    1104       4    1105    1484    +      1e-306 1016.2  18.1  -
Spongiibacteraceae        -          LKAP.g-Gut1_G01_003.seq -               30    1119       8    1103       3    1105    1462    +    1.8e-306 1015.3  17.8  -
Litoricolaceae            -          LKAP.g-Gut1_G01_003.seq -               35    1112       8    1088       4    1103    1474    +    2.4e-306 1015.1  18.1  -
Thioalkalispiraceae       -          LKAP.g-Gut1_G01_003.seq -               40    1140       9    1104       4    1105    1479    +    1.6e-305 1012.2  17.7  -
Ectothiorhodospiraceae    -          LKAP.g-Gut1_G01_003.seq -               34    1114       8    1090       3    1104    1463    +      4e-305 1011.0  18.3  -
Lysobacteraceae           -          LKAP.g-Gut1_G01_003.seq -               28    1124       8    1103       3    1105    1484    +    1.3e-304 1009.3  17.7  -
Kangiellaceae             -          LKAP.g-Gut1_G01_003.seq -               36    1133       8    1104       4    1105    1479    +    1.8e-303 1005.4  17.6  -
Saccharospirillaceae      -          LKAP.g-Gut1_G01_003.seq -               31    1109      10    1098       3    1103    1468    +    5.5e-303 1003.8  17.8  -
Halothiobacillaceae       -          LKAP.g-Gut1_G01_003.seq -               44    1123       8    1087       4    1104    1500    +    1.9e-302 1002.1  18.0  -
Microbulbiferaceae        -          LKAP.g-Gut1_G01_003.seq -               27    1116       8    1104       4    1105    1480    +    3.9e-301  997.9  17.9  -
Thiotrichaceae            -          LKAP.g-Gut1_G01_003.seq -               27    1079       8    1104       4    1105    1421    +    4.5e-298  987.5  17.1  -
Thermoleophilaceae        -          LKAP.g-Gut1_G01_003.seq -               20    1101       8    1079       4    1097    1494    +    2.3e-297  985.1  18.0  -
Chromobacteriaceae        -          LKAP.g-Gut1_G01_003.seq -               26    1099       8    1087       3    1097    1460    +    3.3e-295  978.2  18.1  -
Cardiobacteriaceae        -          LKAP.g-Gut1_G01_003.seq -               35    1109       8    1087       5    1104    1464    +    1.2e-293  973.2  17.8  -
Legionellaceae            -          LKAP.g-Gut1_G01_003.seq -               23    1113       8    1097       4    1105    1446    +    2.2e-292  968.8  17.9  -
Nevskiaceae               -          LKAP.g-Gut1_G01_003.seq -               43    1093      14    1079       5    1099    1470    +    1.3e-290  963.1  18.3  -
Granulosicoccaceae        -          LKAP.g-Gut1_G01_003.seq -               27    1123       8    1103       4    1105    1471    +    7.3e-290  960.5  17.9  -
Rhodanobacteraceae        -          LKAP.g-Gut1_G01_003.seq -               28    1124       8    1103       4    1105    1473    +    2.6e-288  955.3  17.7  -
Coxiellaceae              -          LKAP.g-Gut1_G01_003.seq -               27    1122       8    1097       4    1104    1475    +    8.4e-287  950.2  17.9  -
Rhodocyclaceae            -          LKAP.g-Gut1_G01_003.seq -               27    1104       8    1087       4    1096    1484    +    8.9e-287  950.1  18.1  -
Thiotrichales             -          LKAP.g-Gut1_G01_003.seq -               47    1124       8    1087       4    1101    1519    +    2.2e-283  938.7  17.7  -
Rhodospirillaceae         -          LKAP.g-Gut1_G01_003.seq -               35    1062      13    1092       4    1104    1429    +    3.6e-283  938.4  17.2  -
Arenicellaceae            -          LKAP.g-Gut1_G01_003.seq -               34    1107      14    1096       5    1104    1488    +    7.3e-283  937.3  18.2  -
