# target name             accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  modlen strand   E-value  score  bias  description of target
#     ------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Vibrionaceae              -          LKAP-GutHK_G07_051   -               23    1000      15     985       2     990    1474    +           0 1202.2  23.0  -
Alteromonadales           -          LKAP-GutHK_G07_051   -               23     982      15     975       2     986    1468    +           0 1069.5  22.4  -
Enterobacteriaceae        -          LKAP-GutHK_G07_051   -               23     984      15     978       2     989    1465    +           0 1066.9  22.7  -
Ferrimonadaceae           -          LKAP-GutHK_G07_051   -               16     999      11     984       2     990    1475    +           0 1064.9  23.0  -
Shewanellaceae            -          LKAP-GutHK_G07_051   -               23     985      15     977       2     988    1483    +           0 1062.6  22.4  -
Erwiniaceae               -          LKAP-GutHK_G07_051   -               18     980      15     979       2     989    1483    +           0 1056.8  22.7  -
Aeromonadaceae            -          LKAP-GutHK_G07_051   -               35     998      15     978       2     989    1496    +           0 1054.1  22.5  -
Gammaproteobacteria       -          LKAP-GutHK_G07_051   -               23     982      15     977       2     988    1481    +           0 1048.3  22.2  -
Pectobacteriaceae         -          LKAP-GutHK_G07_051   -               20     982      15     979       2     989    1477    +           0 1048.1  22.8  -
Yersiniaceae              -          LKAP-GutHK_G07_051   -               23     984      15     978       2     989    1473    +           0 1046.0  22.7  -
Hafniaceae                -          LKAP-GutHK_G07_051   -               17     978      15     978       2     989    1459    +           0 1045.5  22.7  -
Morganellaceae            -          LKAP-GutHK_G07_051   -               26     989      15     980       2     989    1487    +           0 1042.6  22.8  -
Alteromonadaceae          -          LKAP-GutHK_G07_051   -               23     979      15     974       2     987    1468    +           0 1042.3  22.7  -
Pseudoalteromonadaceae    -          LKAP-GutHK_G07_051   -               22     977      14     975       2     987    1469    +           0 1040.8  21.7  -
Oceanospirillaceae        -          LKAP-GutHK_G07_051   -               23     984      15     977       2     988    1467    +    5.3e-306 1013.6  22.4  -
Budviciaceae              -          LKAP-GutHK_G07_051   -               13     975      15     979       5     988    1483    +    8.3e-306 1013.0  22.5  -
Colwelliaceae             -          LKAP-GutHK_G07_051   -               23     982      15     975       2     987    1467    +    1.4e-304 1009.0  22.4  -
Idiomarinaceae            -          LKAP-GutHK_G07_051   -               23     981      15     974       2     986    1466    +    6.3e-303 1003.3  22.4  -
Psychromonadaceae         -          LKAP-GutHK_G07_051   -               23     981      15     975       2     986    1467    +    1.1e-302 1002.8  22.4  -
Moritellaceae             -          LKAP-GutHK_G07_051   -               39     998      16     975       2     988    1501    +    3.7e-301  997.5  22.5  -
Thorselliaceae            -          LKAP-GutHK_G07_051   -                6     952      24     977      20     989    1419    +    4.1e-298  987.4  22.3  -
Oceanospirillales         -          LKAP-GutHK_G07_051   -               29     985      15     974       2     987    1489    +    3.1e-296  981.1  22.8  -
Chromatiaceae             -          LKAP-GutHK_G07_051   -               23     975      15     980       2     990    1455    +    1.4e-295  979.2  23.6  -
Cellvibrionaceae          -          LKAP-GutHK_G07_051   -               23     979      15     974       2     987    1472    +    2.7e-295  978.2  22.5  -
Pseudomonadaceae          -          LKAP-GutHK_G07_051   -               30     984      15     974       2     988    1491    +    6.9e-295  976.8  22.5  -
Pasteurellaceae           -          LKAP-GutHK_G07_051   -               23     984      15     977       2     988    1422    +    1.4e-294  975.8  22.2  -
Celerinatantimonadaceae   -          LKAP-GutHK_G07_051   -               18     989      15     976       2     986    1433    +    2.3e-292  968.5  22.5  -
Piscirickettsiaceae       -          LKAP-GutHK_G07_051   -               26     983      16     974       2     987    1466    +    2.2e-291  965.1  22.4  -
Alcanivoracaceae          -          LKAP-GutHK_G07_051   -               43     998      15     973       2     987    1504    +    3.9e-290  961.0  22.2  -
Orbaceae                  -          LKAP-GutHK_G07_051   -               50    1008      15     978       2     990    1539    +    3.9e-290  961.0  22.7  -
Hahellaceae               -          LKAP-GutHK_G07_051   -               24     978      16     974       2     986    1473    +    1.7e-288  955.7  22.5  -
Methylococcaceae          -          LKAP-GutHK_G07_051   -               38     990      16     977       3     990    1481    +    4.1e-288  954.3  23.0  -
Succinivibrionaceae       -          LKAP-GutHK_G07_051   -               27     958      16     975       3     987    1473    +    2.2e-287  951.9  21.9  -
Halieaceae                -          LKAP-GutHK_G07_051   -               31     983      15     977       2     989    1484    +    6.5e-284  940.4  23.2  -
Thioalkalispiraceae       -          LKAP-GutHK_G07_051   -               36     999      16     975       2     988    1479    +    1.7e-282  935.7  22.2  -
Halomonadaceae            -          LKAP-GutHK_G07_051   -               23     983      15     978       2     989    1466    +    4.8e-282  934.2  22.9  -
Moraxellaceae             -          LKAP-GutHK_G07_051   -               20     975      15     978       2     989    1468    +    7.5e-282  933.8  22.9  -
Saccharospirillaceae      -          LKAP-GutHK_G07_051   -               24     973      15     974       2     987    1468    +    5.8e-281  930.7  22.1  -
Ectothiorhodospiraceae    -          LKAP-GutHK_G07_051   -               30     988      15     976       2     989    1463    +    2.6e-280  928.7  22.9  -
Litoricolaceae            -          LKAP-GutHK_G07_051   -               31     989      15     977       2     987    1474    +      7e-280  927.2  22.6  -
Thermoleophilaceae        -          LKAP-GutHK_G07_051   -               17     986      16     976       2     986    1494    +    1.4e-279  926.0  22.7  -
